 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9096916 6026900 120 2110 0 0 0 0  5  3 -0  0  0  709 1643  273 25  3 72
 0 0 0 9407760 6267692 150 2547 0 0 0 0  0  0  0  0  0  686 2105  271  0  4 96
 0 0 0 9407564 6267624 134 2156 0 0 0 0  0  0  0  0  0  583 1785  310  0  4 96
 0 0 0 9407272 6267496 129 2158 0 0 0 0  0  2  0  0  0  611 1686  309  0  4 96
 0 0 0 9407440 6267496 129 2158 0 0 0 0  0  0  0  0  0  603 1694  293  0  4 96
 0 0 0 9407536 6267808 147 2161 0 0 0 0  0  0  0  0  0  564 1670  265  0  4 96
 0 0 0 9407216 6267452 129 2154 0 0 0 0  0  0  0  0  0  568 1703  268  0  4 96
 0 0 0 9407516 6267576 129 2164 0 0 0 0  0  0  0  0  0  579 1680  273  0  4 96
 0 0 0 9407516 6267688 82 1178 0 0 0  0  0  0  0  0  0  501 1249  223  0  2 98
 0 0 0 9407508 6267588 52 979 0 0  0  0  0  2  0  0  0  557 1109  266  0  2 98
 0 0 0 9407208 6267456 129 2156 0 0 0 0  0  0  0  0  0  593 1688  277  0  4 96
 0 0 0 9407508 6267656 147 2167 0 0 0 0  0  0  0  0  0  587 1673  260  0  4 96
 0 0 0 9407256 6267492 129 2157 0 0 0 0  0  0  0  0  0  597 1696  277  0  4 96
 0 0 0 9407204 6267448 129 2159 0 0 0 0  0  0  0  0  0  599 1673  268  0  4 96
 0 0 0 9407492 6267624 134 2159 0 0 0 0  0  0  0  0  0  582 1687  261  0  4 96
 0 0 0 9407244 6267480 129 2156 0 0 0 0  0  2  0  0  0  609 1674  296  0  4 96
 0 0 0 9407080 6267328 136 2163 0 0 0 0  0  0  0  0  0  605 1691  288  0  4 96
 0 0 0 9407468 6267576 12 98 0  0  0  0  0  0  0  0  0  469  745  180  0  1 99
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9407460 6267540 117 2060 0 0 0 0  0  0  0  0  0  614 1628  269  0  3 97
 0 0 0 9407208 6267444 129 2160 0 0 0 0  0  0  0  0  0  594 1674  265  0  4 96
