Time CPU_0_Temp CPU_1_Temp Ambient_Temp0 Ambient_Temp1 Blower_Fan_0 Blower_Fan_1 Axial_Fan_0 Axial_Fan_1
0 41 47 33 44 3645.600 3567.200 9656 9656
5 41 47 33 44 3645.600 3567.200 9656 9372
10 41 47 33 44 3645.600 3567.200 9372 9656
15 41 47 33 44 3645.600 3645.600 9656 9656
20 41 47 33 44 3645.600 3645.600 9656 9372
25 41 47 33 44 3645.600 3645.600 9372 9656
30 41 47 32 44 3645.600 3645.600 9656 9656
35 41 47 33 44 3645.600 3567.200 9372 9372
40 41 47 33 44 3645.600 3645.600 9656 9656
45 41 47 33 44 3645.600 3567.200 9656 9656
50 41 47 33 44 3645.600 3645.600 9372 9372
55 41 48 33 44 3645.600 3645.600 9656 9656
60 41 47 32 44 3645.600 3645.600 9372 9656
65 41 47 33 44 3567.200 3567.200 9656 9656
70 41 47 32 44 3645.600 3567.200 9656 9656
75 41 48 33 44 3645.600 3645.600 9656 9656
80 41 47 32 44 3645.600 3645.600 9656 9656
85 41 47 33 44 3645.600 3645.600 9656 9656
90 41 47 33 44 3645.600 3567.200 9656 9656
95 41 47 32 44 3645.600 3567.200 9656 9656
100 41 48 32 44 3645.600 3645.600 9656 9656
105 41 47 33 44 3645.600 3567.200 9656 9656
110 41 47 32 44 3645.600 3645.600 9656 9656
115 41 47 32 44 3645.600 3645.600 9372 9656
120 41 47 32 44 3645.600 3645.600 9656 9656
125 41 48 32 44 3645.600 3645.600 9656 9656
130 41 47 32 44 3645.600 3645.600 9656 9656
135 41 47 32 44 3645.600 3645.600 9656 9656
140 41 47 32 44 3645.600 3645.600 9656 9372
145 41 47 32 44 3645.600 3645.600 9656 9372
150 41 47 32 44 3645.600 3645.600 9656 9656
155 41 47 32 44 3645.600 3567.200 9656 9656
160 41 47 32 44 3645.600 3645.600 9656 9656
165 41 47 32 44 3645.600 3567.200 9656 9372
170 41 48 32 44 3645.600 3567.200 9372 9372
175 41 47 32 44 3645.600 3567.200 9656 9656
180 41 47 32 44 3645.600 3567.200 9372 9656
185 41 47 32 44 3724 3645.600 9656 9656
190 41 47 32 44 3645.600 3645.600 9372 9656
195 41 48 32 44 3724 3567.200 9656 9656
200 41 47 32 44 3645.600 3645.600 9656 9656
205 41 47 32 44 3645.600 3645.600 9656 9372
210 41 47 32 44 3645.600 3645.600 9656 9372
215 41 47 32 44 3645.600 3645.600 9656 9656
220 41 47 32 44 3567.200 3567.200 9656 9372
225 41 48 32 44 3645.600 3645.600 9656 9656
230 41 47 32 44 3645.600 3645.600 9656 9656
235 41 47 32 44 3645.600 3645.600 9656 9656
240 41 47 32 44 3645.600 3645.600 9940 9656
245 41 47 33 44 3645.600 3567.200 9372 9656
250 41 47 32 44 3645.600 3645.600 9372 9656
255 41 47 32 44 3645.600 3567.200 9656 9656
260 41 47 32 44 3645.600 3567.200 9372 9656
265 41 48 32 44 3567.200 3645.600 9372 9656
270 42 49 32 44 3724 3645.600 9656 9656
275 43 50 32 44 3645.600 3645.600 9656 9372
280 43 50 32 44 3645.600 3645.600 9372 9656
285 43 49 32 44 3645.600 3567.200 9372 9656
290 43 50 32 45 3645.600 3567.200 9656 9656
295 43 50 33 45 3645.600 3645.600 9656 9656
300 43 51 33 45 3645.600 3567.200 9656 9656
305 44 50 33 45 3567.200 3645.600 9656 9656
310 44 51 33 45 3645.600 3645.600 9656 9656
315 44 51 33 45 3645.600 3645.600 9372 9656
320 44 51 33 45 3567.200 3645.600 9656 9656
325 44 51 33 45 3645.600 3567.200 9656 9656
330 44 51 33 45 3645.600 3567.200 9656 9656
335 44 51 33 45 3645.600 3645.600 9656 9372
340 45 51 33 46 3724 3567.200 9656 9656
345 45 52 33 46 3645.600 3645.600 9656 9656
350 45 52 33 46 3645.600 3645.600 9656 9656
355 45 52 33 46 3645.600 3567.200 9372 9656
360 45 52 33 46 3645.600 3645.600 9656 9656
365 45 52 33 46 3645.600 3567.200 9656 9656
370 45 52 33 46 3567.200 3645.600 9372 9656
375 45 52 33 46 3645.600 3645.600 9656 9656
380 45 52 33 46 3645.600 3567.200 9656 9656
385 45 52 33 46 3567.200 3567.200 9656 9656
390 45 52 34 46 3645.600 3567.200 9656 9656
395 45 52 34 46 3645.600 3645.600 9656 9656
400 45 53 34 47 3645.600 3567.200 9656 9656
405 46 52 34 47 3567.200 3645.600 9656 9656
410 46 53 34 47 3645.600 3567.200 9656 9656
415 46 52 34 47 3645.600 3645.600 9656 9656
420 46 51 34 47 3645.600 3645.600 9372 9656
425 47 51 34 47 3567.200 3567.200 9656 9656
430 47 51 34 47 3645.600 3645.600 9656 9656
435 47 51 34 47 3645.600 3645.600 9656 9656
440 47 51 34 46 3645.600 3567.200 9656 9656
445 48 51 34 46 3645.600 3645.600 9372 9656
450 47 51 34 46 3645.600 3645.600 9656 9656
455 48 51 34 46 3567.200 3567.200 9656 9656
460 48 50 34 46 3567.200 3567.200 9656 9656
465 48 51 34 46 3645.600 3567.200 9656 9656
470 48 50 34 46 3724 3645.600 9656 9656
475 48 50 34 46 3645.600 3567.200 9656 9656
480 49 49 34 46 3645.600 3645.600 9656 9656
485 49 49 34 46 3645.600 3645.600 9372 9656
490 48 50 34 46 3567.200 3645.600 9656 9656
495 49 50 35 46 3645.600 3645.600 9656 9656
500 48 50 35 46 3645.600 3645.600 9656 9656
505 49 49 35 46 3645.600 3567.200 9656 9656
510 49 50 35 46 3645.600 3645.600 9656 9656
515 49 49 35 46 3645.600 3645.600 9372 9372
520 49 49 35 46 3645.600 3567.200 9372 9656
525 49 49 35 46 3567.200 3567.200 9656 9372
530 49 49 35 46 3645.600 3567.200 9656 9656
535 49 49 35 46 3645.600 3645.600 9656 9656
540 49 49 35 45 3645.600 3567.200 9656 9656
