 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9140240 6141220 123 2029 0 0 0 0 11  3 -0  0  0  721 1682  288 26  3 71
 0 0 0 9694908 6554928 151 2547 0 0 0 0  0  0  0  0  0  676 2105  267  0  4 96
 0 0 0 9694440 6554692 129 2158 0 0 0 0  0  0  0  0  0  577 1689  267  0  4 96
 0 0 0 9694696 6554856 134 2157 0 0 0 0  0  2  0  0  0  619 1675  313  0  4 96
 0 0 0 9694444 6554784 129 2155 0 0 0 0  0  0  0  0  0  586 1696  279  0  4 96
 0 0 0 9694392 6554740 129 2157 0 0 0 0  0  0  0  0  0  575 1675  264  0  4 96
 0 0 0 9694660 6555068 147 2164 0 0 0 0  0  0  0  0  0  594 1781  322  0  4 96
 0 0 0 9694408 6554752 129 2155 0 0 0 0  0  0  0  0  0  567 1671  258  0  4 96
 0 0 0 9694364 6554716 77 1181 0 0 0  0  0  0  0  0  0  519 1267  226  0  2 98
 0 0 0 9694584 6554828 52 978 0 0  0  0  0  4  0  0  0  568 1095  295  0  2 98
 0 0 0 9694476 6554660 133 2159 0 0 0 0  0  0  0  0  0  606 1697  285  0  4 96
 0 0 0 9694292 6554632 129 2158 0 0 0 0  0  0  0  0  0  583 1674  268  0  4 96
 0 0 0 9694304 6554720 147 2166 0 0 0 0  0  0  0  0  0  585 1693  274  0  4 96
 0 0 0 9694596 6554780 129 2158 0 0 0 0  0  0  0  0  0  584 1669  256  0  4 96
 0 0 0 9694344 6554688 129 2158 0 0 0 0  0  0  0  0  0  561 1685  255  0  4 96
 0 0 0 9694304 6554704 134 2157 0 0 0 0  0  2  0  0  0  611 1673  306  0  4 96
 0 0 0 9694600 6554784 129 2159 0 0 0 0  0  0  0  0  0  578 1690  265  0  4 96
 0 0 0 9694320 6554676 12 99 0  0  0  0  0  0  0  0  0  457  759  175  0  1 99
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9694556 6554772 127 2063 0 0 0 0  0  0  0  0  0  588 1598  263  0  3 97
 0 0 0 9694264 6554612 131 2160 0 0 0 0  0  0  0  0  0  578 1681  265  0  4 96
 0 0 0 9694560 6554740 129 2158 0 0 0 0  0  0  0  0  0  596 1688  266  0  4 96
 0 0 0 9694304 6554652 133 2154 0 0 0 0  0  3  0  0  0  620 1671  317  0  4 96
 0 0 0 9694188 6554536 129 2159 0 0 0 0  0  0  0  0  0  607 1690  285  0  4 96
 0 0 0 9694560 6554740 129 2159 0 0 0 0  0  0  0  0  0  575 1674  255  0  4 96
 0 0 0 9694304 6554912 147 2167 0 0 0 0  0  0  0  0  0  569 1686  261  0  4 96
