 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9439860 6360220 133 2008 0 0 0 0 27  4 -0  0  0  740 1781  329 26  3 71
 0 0 0 9798940 6658696 151 2558 0 0 0 0  0 93  0  0  0  723 2113  270  0  4 96
 0 0 0 9798704 6658528 129 2155 0 0 0 0  0  0  0  0  0  588 1691  262  0  4 96
 0 0 0 9798664 6658532 129 2159 0 0 0 0  0  0  0  0  0  575 1680  258  0  4 96
 0 0 0 9798712 6658656 134 2154 0 0 0 0  0  4  0  0  0  608 1686  308  0  4 96
 0 0 0 9798432 6658544 129 2159 0 0 0 0  0  0  0  0  0  567 1673  261  0  4 96
 0 0 0 9798668 6658652 129 2156 0 0 0 0  0  0  0  0  0  556 1686  253  0  4 96
 0 0 0 9798676 6658872 147 2165 0 0 0 0  0  0  0  0  0  581 1671  252  0  4 96
 0 0 0 9798352 6658424 76 1179 0 0 0  0  0  0  0  0  0  539 1258  219  0  2 97
 0 0 0 9798644 6658560 52 979 0 0  0  0  0  0  0  0  0  493 1089  211  0  1 98
 0 0 0 9798644 6658548 134 2158 0 0 0 0  0  2  0  0  0  619 1689  307  0  4 96
 0 0 0 9798392 6658456 128 2158 0 0 0 0  0  0  0  0  0  585 1684  260  0  4 96
 0 0 0 9798116 6658260 129 2157 0 0 0 0  0  1  0  0  0  634 1683  283  0  4 96
 0 0 0 9798440 6658492 147 2166 0 0 0 0  0  0  0  0  0  575 1673  257  0  4 96
 0 0 0 9798188 6658252 129 2156 0 0 0 0  0  0  0  0  0  577 1683  261  0  4 96
 0 0 0 9798148 6658220 129 2158 0 0 0 0  0  0  0  0  0  588 1672  257  0  4 96
 0 0 0 9798404 6658336 130 2158 0 0 0 0  0  3  0  0  0  611 1689  303  0  4 96
 0 0 0 9798116 6658192 12 99 0  0  0  0  0  0  0  0  0  461  752  176  0  1 99
 kthr      memory            page            disk          faults      cpu
