Time CPU_0_Temp CPU_1_Temp Ambient_Temp0 Ambient_Temp1 Blower_Fan_0 Blower_Fan_1 Axial_Fan_0 Axial_Fan_1
0 41 47 33 44 3645.600 3567.200 9656 9656
5 41 47 33 44 3645.600 3567.200 9656 9656
10 41 47 33 44 3645.600 3645.600 9656 9656
15 41 47 33 44 3645.600 3645.600 9656 9656
20 41 47 33 44 3645.600 3645.600 9656 9656
25 41 47 33 44 3645.600 3567.200 9656 9656
30 41 47 33 44 3567.200 3645.600 9656 9656
35 41 47 33 44 3645.600 3567.200 9656 9656
40 41 48 32 44 3645.600 3645.600 9656 9656
45 41 47 32 44 3645.600 3567.200 9372 9372
50 41 47 32 44 3645.600 3645.600 9656 9656
55 41 47 33 44 3645.600 3645.600 9656 9372
60 41 47 33 44 3567.200 3567.200 9656 9656
65 41 47 33 44 3645.600 3645.600 9656 9656
70 41 47 33 44 3645.600 3645.600 9372 9656
75 41 48 32 44 3645.600 3567.200 9372 9372
80 41 48 33 44 3645.600 3645.600 9656 9656
85 41 48 33 44 3567.200 3645.600 9372 9656
90 41 47 33 44 3645.600 3645.600 9656 9656
95 41 47 33 44 3645.600 3645.600 9656 9656
100 41 48 33 44 3645.600 3567.200 9656 9656
105 41 47 33 44 3645.600 3645.600 9656 9656
110 41 47 32 44 3645.600 3645.600 9372 9372
115 41 47 32 44 3645.600 3645.600 9656 9656
120 41 47 32 44 3724 3645.600 9656 9656
125 41 48 33 44 3645.600 3645.600 9656 9656
130 41 47 33 44 3645.600 3567.200 9656 9656
135 41 47 33 44 3645.600 3645.600 9656 9372
140 41 48 32 44 3567.200 3645.600 9656 9656
145 41 47 33 44 3645.600 3567.200 9656 9656
150 41 47 33 44 3645.600 3567.200 9656 9656
155 41 47 33 44 3645.600 3645.600 9656 9656
160 41 47 32 44 3645.600 3567.200 9656 9656
165 41 47 33 44 3567.200 3645.600 9372 9372
170 41 47 32 44 3567.200 3645.600 9656 9656
175 41 47 33 44 3645.600 3645.600 9372 9656
180 41 47 32 44 3645.600 3567.200 9656 9656
185 41 47 32 44 3645.600 3567.200 9656 9656
190 41 47 32 44 3645.600 3645.600 9372 9656
195 41 47 32 44 3645.600 3645.600 9656 9656
200 41 47 32 44 3645.600 3645.600 9656 9656
205 41 47 32 44 3567.200 3645.600 9656 9656
210 41 47 32 44 3645.600 3567.200 9656 9656
215 41 47 32 44 3645.600 3645.600 9656 9656
220 41 47 32 44 3645.600 3645.600 9656 9372
225 41 47 32 44 3645.600 3645.600 9656 9656
230 41 47 32 44 3645.600 3645.600 9656 9656
235 41 47 32 44 3645.600 3567.200 9372 9656
240 41 47 32 44 3645.600 3645.600 9656 9656
245 41 47 32 44 3645.600 3645.600 9372 9656
250 41 47 32 44 3645.600 3645.600 9656 9372
255 41 48 32 44 3645.600 3567.200 9656 9656
260 41 47 32 44 3645.600 3567.200 9656 9656
265 41 48 33 44 3645.600 3567.200 9656 9656
270 43 48 32 44 3645.600 3645.600 9656 9656
275 43 48 32 44 3645.600 3645.600 9372 9372
280 44 48 32 44 3645.600 3645.600 9656 9656
285 44 48 33 44 3645.600 3567.200 9372 9656
290 44 47 32 44 3567.200 3567.200 9656 9656
295 44 48 33 44 3645.600 3645.600 9656 9656
300 45 48 33 44 3645.600 3567.200 9656 9656
305 45 48 33 44 3645.600 3645.600 9372 9656
310 45 48 33 44 3645.600 3567.200 9656 9656
315 45 48 33 44 3645.600 3645.600 9656 9656
320 45 48 33 44 3645.600 3567.200 9656 9656
325 46 48 33 44 3645.600 3645.600 9656 9372
330 45 48 33 44 3645.600 3645.600 9656 9656
335 46 49 33 44 3645.600 3567.200 9656 9656
340 46 49 33 44 3645.600 3567.200 9656 9656
345 46 48 33 44 3645.600 3645.600 9372 9656
350 46 48 33 44 3645.600 3645.600 9656 9656
355 47 48 33 44 3645.600 3645.600 9656 9656
360 47 49 33 44 3645.600 3645.600 9656 9656
365 47 48 33 44 3645.600 3567.200 9372 9656
370 47 48 33 44 3567.200 3645.600 9656 9656
375 47 48 34 44 3645.600 3645.600 9656 9656
380 47 48 34 44 3567.200 3645.600 9372 9656
385 47 49 34 44 3645.600 3645.600 9372 9656
390 47 48 34 44 3645.600 3645.600 9656 9656
395 47 48 34 44 3645.600 3645.600 9656 9372
400 47 48 34 44 3645.600 3567.200 9656 9656
405 47 48 34 44 3645.600 3567.200 9656 9656
410 48 49 34 44 3645.600 3645.600 9656 9372
415 48 48 34 44 3645.600 3645.600 9656 9656
420 48 48 34 44 3645.600 3645.600 9656 9656
425 48 48 34 44 3645.600 3645.600 9656 9656
430 47 48 34 44 3645.600 3567.200 9656 9656
435 48 48 34 44 3645.600 3645.600 9656 9372
440 48 48 34 44 3645.600 3567.200 9656 9656
445 48 48 34 44 3645.600 3645.600 9656 9656
450 48 48 34 44 3724 3567.200 9656 9656
455 48 48 34 44 3645.600 3645.600 9656 9372
460 48 48 34 44 3645.600 3567.200 9656 9372
465 48 48 34 44 3645.600 3567.200 9372 9656
470 48 48 34 44 3567.200 3645.600 9656 9656
475 48 48 35 44 3724 3567.200 9372 9656
480 48 48 35 44 3645.600 3567.200 9656 9656
485 48 48 35 44 3567.200 3645.600 9656 9656
490 48 49 35 44 3645.600 3567.200 9372 9656
495 48 48 35 44 3645.600 3645.600 9372 9656
500 48 49 35 44 3645.600 3645.600 9372 9656
505 48 48 35 44 3645.600 3645.600 9656 9372
510 48 48 35 44 3645.600 3645.600 9656 9656
515 48 48 35 44 3645.600 3645.600 9372 9372
520 48 48 35 44 3567.200 3645.600 9656 9656
525 48 49 35 44 3645.600 3567.200 9656 9656
530 48 49 35 44 3645.600 3567.200 9656 9656
535 48 49 35 44 3645.600 3645.600 9656 9656
540 48 48 35 44 3645.600 3567.200 9656 9656
545 48 48 35 44 3567.200 3645.600 9656 9372
550 48 48 35 45 3645.600 3567.200 9656 9656
555 48 48 35 44 3645.600 3567.200 9656 9656
560 48 48 35 44 3645.600 3645.600 9656 9656
565 48 49 35 44 3645.600 3567.200 9656 9656
570 48 48 35 44 3645.600 3645.600 9656 9656
575 48 48 35 44 3645.600 3645.600 9656 9656
580 48 48 35 44 3645.600 3567.200 9656 9656
585 48 48 35 44 3645.600 3567.200 9656 9656
590 48 48 35 44 3645.600 3567.200 9656 9656
595 48 48 35 44 3645.600 3645.600 9656 9656
600 48 48 35 44 3645.600 3645.600 9656 9372
605 48 48 35 44 3567.200 3645.600 9656 9656
