 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9121400 6123788 125 2027 0 0 0 0 14  3 -0  0  0  726 1688  295 26  3 71
 0 0 0 9712836 6573140 151 2546 0 0 0 0  0  0  0  0  0  698 2110  268  0  4 96
 0 0 0 9712172 6572540 134 2160 0 0 0 0  0  0  0  0  0  583 1689  264  0  4 96
 0 0 0 9712468 6572648 129 2155 0 0 0 0  0  0  0  0  0  584 1670  262  0  4 96
 0 0 0 9712216 6572604 146 2164 0 0 0 0  0  0  0  0  0  582 1688  268  0  4 96
 0 0 0 9712168 6572516 129 2156 0 0 0 0  0  0  0  0  0  588 1679  260  0  4 96
 0 0 0 9712440 6572640 129 2157 0 0 0 0  0  2  0  0  0  634 1697  314  0  4 96
 0 0 0 9712060 6572460 134 2159 0 0 0 0  0  0  0  0  0  610 1673  280  0  4 96
 0 0 0 9712440 6572652 76 1178 0 0 0  0  0  0  0  0  0  534 1257  221  0  2 98
 0 0 0 9712140 6572520 52 979 0 0  0  0  0  0  0  0  0  505 1093  217  0  1 98
 0 0 0 9712436 6572864 129 2157 0 0 0 0  0  0  0  0  0  590 1687  264  0  4 96
 0 0 0 9712184 6572684 147 2165 0 0 0 0  0  0  0  0  0  593 1676  261  0  4 96
 0 0 0 9712128 6572508 129 2157 0 0 0 0  0  3  0  0  0  616 1684  326  0  4 96
 0 0 0 9712416 6572640 134 2159 0 0 0 0  0  0  0  0  0  586 1670  252  0  4 96
 0 0 0 9712144 6572516 129 2158 0 0 0 0  0  0  0  0  0  589 1685  259  0  4 96
 0 0 0 9712100 6572480 129 2159 0 0 0 0  0  0  0  0  0  582 1763  308  0  4 96
 0 0 0 9712396 6572824 147 2163 0 0 0 0  0  0  0  0  0  600 1694  279  0  4 96
 0 0 0 9712372 6572596 12 99 0  0  0  0  0  0  0  0  0  465  765  188  0  1 99
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9712104 6572480 117 2061 0 0 0 0  0  3  0  0  0  635 1601  327  0  3 97
 0 0 0 9711936 6572336 129 2158 0 0 0 0  0  0  0  0  0  574 1676  281  0  4 96
 0 0 0 9712352 6572584 131 2159 0 0 0 0  0  0  0  0  0  584 1692  270  0  4 96
 0 0 0 9712072 6572444 129 2157 0 0 0 0  0  0  0  0  0  580 1675  266  0  4 96
 0 0 0 9712032 6572484 147 2166 0 0 0 0  0  0  0  0  0  596 1685  262  0  4 96
 0 0 0 9712300 6572512 129 2157 0 0 0 0  0  0  0  0  0  587 1678  264  0  4 96
 0 0 0 9712036 6572408 129 2159 0 0 0 0  0  3  0  0  0  612 1695  330  0  4 96
 0 0 0 9712284 6572552 82 1180 0 0 0  0  0  0  0  0  0  513 1275  215  0  3 97
 0 0 0 9711988 6572368 52 978 0 0  0  0  0  0  0  0  0  496 1077  220  0  1 99
 0 0 0 9712288 6572500 129 2158 0 0 0 0  0  0  0  0  0  582 1670  263  0  4 96
 0 0 0 9712032 6572408 141 2162 0 0 0 0  0  0  0  0  0  581 1686  265  0  4 96
 0 0 0 9711968 6572360 129 2160 0 0 0 0  0  0  0  0  0  572 1677  258  0  4 96
 0 0 0 9712260 6572476 129 2159 0 0 0 0  0  2  0  0  0  678 1695  321  0  4 96
 0 0 0 9711932 6572324 134 2158 0 0 0 0  0  0  0  0  0  602 1675  281  0  4 96
 0 0 0 9711968 6572344 129 2157 0 0 0 0  0  0  0  0  0  588 1683  259  0  3 96
 0 0 0 9712260 6572472 129 2158 0 0 0 0  0  0  0  0  0  582 1684  271  0  4 96
 0 0 0 9712260 6572688 17 99 0  0  0  0  0  0  0  0  0  464  780  175  0  1 99
 0 0 0 9712008 6572428 130 2065 0 0 0 0  0  0  0  0  0  563 1568  253  0  3 97
 0 0 0 9711968 6572344 129 2160 0 0 0 0  0  2  0  0  0  624 1688  318  0  4 96
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9712240 6572452 134 2161 0 0 0 0  0  0  0  0  0  583 1675  260  0  4 96
 0 0 0 9712164 6572432 129 2160 0 0 0 0  0  0  0  0  0  598 1687  267  0  4 96
 0 0 0 9712200 6572460 128 2161 0 0 0 0  0  0  0  0  0  586 1763  306  0  4 96
 0 0 0 9712224 6572592 147 2170 0 0 0 0  0  0  0  0  0  587 1690  265  0  4 96
 0 0 0 9712164 6572424 129 2162 0 0 0 0  0  0  0  0  0  579 1675  260  0  4 96
 0 0 0 9712184 6572424 90 1403 0 0 0  0  0  2  0  0  0  576 1390  280  0  3 97
 0 0 0 9712068 6572360 39 761 0 0  0  0  0  0  0  0  0  509  972  223  0  1 99
 0 0 0 9712220 6572452 134 2164 0 0 0 0  0  0  0  0  0  577 1690  268  0  4 96
 0 0 0 9712016 6572372 129 2161 0 0 0 0  0  0  0  0  0  573 1675  267  0  4 96
 0 0 0 9712160 6572432 147 2172 0 0 0 0  0  0  0  0  0  591 1686  263  0  4 96
 0 0 0 9712196 6572408 129 2167 0 0 0 0  0  0  0  0  0  586 1681  266  0  4 96
 0 0 0 9712156 6572424 129 2165 0 0 0 0  0  3  0  0  0  635 1684  323  0  4 96
 0 0 0 9712052 6572404 134 2168 0 0 0 0  0  0  0  0  0  584 1674  260  0  4 96
 0 0 0 9712168 6572380 129 2167 0 0 0 0  0  0  0  0  0  602 1694  269  0  4 96
 0 0 0 9712020 6572356 25 381 0 0  0  0  0  0  0  0  0  470  887  189  0  1 98
 0 0 0 9712148 6572648 104 1785 0 0 0 0  0  0  0  0  0  569 1488  258  0  2 97
 0 0 0 9711968 6572412 148 2242 0 0 0 0  0  0  0  0  0  592 1706  262  0  4 96
 0 0 0 9712104 6572316 129 2165 0 0 0 0  0  3  0  0  0  626 1694  329  0  4 96
 0 0 0 9711908 6572164 134 2172 0 0 0 0  0  0  0  0  0  587 1678  280  0  4 96
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9711988 6572244 129 2169 0 0 0 0  0  0  0  0  0  578 1690  263  0  4 96
 0 0 0 9712028 6572240 129 2169 0 0 0 0  0  0  0  0  0  583 1674  264  0  4 96
 0 0 0 9711904 6572428 147 2174 0 0 0 0  0  0  0  0  0  591 1689  264  0  4 96
 0 0 0 9712032 6572244 102 1621 0 0 0 0  0  0  0  0  0  561 1460  233  0  3 97
 0 0 0 9711976 6572232 39 758 0 0  0  0  0  2  0  0  0  543  981  256  0  1 99
 0 0 0 9244444 6396188 370 37589 0 0 0 0 0  2  0  0  0 1137 15086 279 41 13 46
 0 0 0 8539688 5809656 145 10366 0 0 0 0 0 18  0  0  0 1475 12275 275 42 12 46
 0 0 0 8425768 5683892 129 3631 0 0 0 0  0  0  0  0  0  792 3067  285 50  4 46
 0 0 0 8424464 5682704 147 2244 0 0 0 0  0  0  0  0  0  795 1836  243 50  4 46
 0 0 0 8423040 5681348 129 2226 0 0 0 0  0  0  0  0  0 1116 1815  242 50  4 46
 0 0 0 8421588 5679864 129 2230 0 0 0 0  0  8  0  0  0 1547 1842  360 50  4 46
 0 0 0 8420332 5678496 134 2236 0 0 0 0  0  0  0  0  0  838 1823  257 50  4 46
 0 0 0 8417960 5676232 12 225 0 0  0  0  0  0  0  0  0  475  919  173 50  1 49
 0 0 0 8417272 5675380 117 2128 0 0 0 0  0  0  0  0  0  796 1714  247 50  3 47
 0 0 0 8416180 5674460 145 2222 0 0 0 0  0  0  0  0  0  802 1830  246 50  4 46
 0 0 0 8415524 5673636 129 2216 0 0 0 0  0  0  0  0  0  787 1832  250 50  4 46
 0 0 0 8414328 5672600 129 2223 0 0 0 0  0  2  0  0  0  924 1826  298 50  4 46
 0 0 0 8413188 5671488 134 2232 0 0 0 0  0  0  0  0  0  787 1819  246 50  4 46
 0 0 0 8412164 5670288 129 2231 0 0 0 0  0  0  0  0  0  787 1830  246 50  4 46
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 8410588 5668884 129 2221 0 0 0 0  0  0  0  0  0  812 1832  246 50  4 46
 0 0 0 8409660 5668228 95 1234 0 0 0  0  0  0  0  0  0  630 1401  207 50  3 48
 0 0 0 8409192 5667316 53 1041 0 0 0  0  0  0  0  0  0  611 1236  210 50  2 48
 0 0 0 8408124 5666252 129 2224 0 0 0 0  0  2  0  0  0  972 1844  302 50  4 46
 0 0 0 8406760 5665012 129 2223 0 0 0 0  0  0  0  0  0  826 1810  258 50  4 46
 0 0 0 8405668 5663960 129 2229 0 0 0 0  0  0  0  0  0  797 1846  246 50  4 46
 0 0 0 8404884 5663008 129 2213 0 0 0 0  0  0  0  0  0  813 1798  243 50  4 46
 0 0 0 8403800 5662156 147 2252 0 0 0 0  0  0  0  0  0  806 1798  242 50  4 46
 0 0 0 8402576 5660828 129 2206 0 0 0 0  0  0  0  0  0  808 1810  243 50  4 46
 0 0 0 8401792 5659988 102 1698 0 0 0 0  0  2  0  0  0  795 1625  274 50  4 46
 0 0 0 8400420 5658732 27 583 0 0  0  0  0  0  0  0  0  529  992  185 50  1 50
 0 0 0 8397172 5655412 135 2476 0 0 0 0  0  0  0  0  0  805 1862  243 50  4 46
 0 0 0 8393828 5652152 129 2172 0 0 0 0  0  0  0  0  0  792 1866  288 50  4 46
 0 0 0 8393452 5651952 147 2213 0 0 0 0  0  0  0  0  0  812 1833  242 50  4 46
 0 0 0 8392804 5651084 129 2247 0 0 0 0  0  0  0  0  0 1083 1839  239 50  4 46
 0 0 0 8390820 5649236 129 2235 0 0 0 0  0  2  0  0  0  941 1839  297 50  4 46
 0 0 0 8389396 5647944 134 2219 0 0 0 0  0  0  0  0  0  828 1790  269 50  4 46
 0 0 0 8388672 5646952 129 2243 0 0 0 0  0  0  0  0  0  769 1849  241 50  4 46
 0 0 0 8387476 5645916 12 137 0 0  0  0  0  0  0  0  0  472  904  177 50  1 49
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 8386712 5645032 129 2132 0 0 0 0  0  0  0  0  0  789 1722  246 50  3 47
 0 0 0 8385188 5643712 131 2241 0 0 0 0  0  0  0  0  0  805 1821  244 50  4 46
 0 0 0 8384300 5642612 129 2228 0 0 0 0  0  4  0  0  0 1097 1841  322 50  4 46
 0 0 0 8382984 5641440 134 2209 0 0 0 0  0  0  0  0  0  793 1800  243 50  4 46
 0 0 0 8382036 5640572 129 2211 0 0 0 0  0  0  0  0  0  792 1819  238 50  4 46
 0 0 0 8381376 5639692 129 2225 0 0 0 0  0  0  0  0  0  797 1800  243 50  4 46
 0 0 0 8380408 5639252 147 2213 0 0 0 0  0  0  0  0  0  807 1818  240 50  4 46
 0 0 0 8379816 5638132 77 1224 0 0 0  0  0  0  0  0  0  626 1366  210 50  3 48
 0 0 0 8378724 5637180 53 1041 0 0 0  0  0  2  0  0  0  730 1271  260 50  2 48
 0 0 0 8377716 5636080 132 2221 0 0 0 0  0  0  0  0  0  813 1815  254 50  4 46
 0 0 0 8376600 5635116 132 2216 0 0 0 0  0  0  0  0  0  813 1837  245 50  4 46
 0 0 0 8375528 5633976 129 2234 0 0 0 0  0  0  0  0  0  799 1818  245 50  4 46
 0 0 0 8373900 5632392 147 2259 0 0 0 0  0  0  0  0  0  798 1797  255 50  4 46
 0 0 0 8373216 5631528 129 2223 0 0 0 0  0  0  0  0  0  814 1797  240 50  4 46
 0 0 0 8372412 5630764 129 2215 0 0 0 0  0  3  0  0  0  988 1832  305 50  4 46
 0 0 0 8371500 5629892 107 1732 0 0 0 0  0  0  0  0  0  697 1608  222 50  4 46
 0 0 0 8370508 5628872 27 528 0 0  0  0  0  0  0  0  0  539 1019  192 50  1 50
 0 0 0 8369604 5627912 129 2215 0 0 0 0  0  0  0  0  0  781 1893  281 50  4 46
 0 0 0 8368592 5626952 148 2236 0 0 0 0  0  0  0  0  0  804 1868  252 50  4 46
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 8367744 5626076 129 2221 0 0 0 0  0  0  0  0  0 1098 1807  246 50  4 46
 0 0 0 8366780 5625096 129 2201 0 0 0 0  0  2  0  0  0 1007 1838  292 50  4 46
 0 0 0 8365604 5624108 134 2217 0 0 0 0  0  0  0  0  0  850 1814  259 50  4 46
 0 0 0 8364680 5623160 129 2230 0 0 0 0  0  0  0  0  0  802 1823  238 50  4 46
 0 0 0 8363876 5622192 129 2223 0 0 0 0  0  0  0  0  0  782 1831  244 50  4 46
 0 0 0 8362908 5621580 17 155 0 0  0  0  0  0  0  0  0  476  912  173 50  1 49
 0 0 0 8361676 5620168 131 2138 0 0 0 0  0  0  0  0  0  778 1737  242 50  3 47
 0 0 0 8360456 5618936 129 2207 0 0 0 0  0  2  0  0  0  946 1823  298 50  4 46
 0 0 0 8359996 5618332 134 2221 0 0 0 0  0  0  0  0  0  791 1813  239 50  4 46
 0 0 0 8358852 5617304 129 2220 0 0 0 0  0  0  0  0  0  838 1851  260 50  4 46
 0 0 0 8357676 5616156 129 2222 0 0 0 0  0  0  0  0  0  782 1817  249 50  4 46
 0 0 0 8356940 5615524 147 2226 0 0 0 0  0  0  0  0  0  802 1835  243 50  4 46
 0 0 0 8355788 5614240 129 2247 0 0 0 0  0  0  0  0  0  795 1822  246 50  4 46
 0 0 0 8352140 5610708 76 1335 0 0 0  0  0  2  0  0  0  822 1374  272 50  2 48
 0 0 0 8350988 5609760 53 1033 0 0 0  0  0  0  0  0  0  642 1267  219 50  2 48
 0 0 0 8350596 5609176 132 2211 0 0 0 0  0  0  0  0  0  809 1854  249 50  4 46
 0 0 0 8349692 5608264 129 2217 0 0 0 0  0  0  0  0  0  793 1816  239 50  4 46
 0 0 0 8348928 5607588 147 2220 0 0 0 0  0  0  0  0  0  803 1830  241 50  4 46
 0 0 0 8347856 5606456 129 2219 0 0 0 0  0  0  0  0  0  777 1823  241 50  4 46
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 8346988 5605564 129 2226 0 0 0 0  0  2  0  0  0  950 1857  291 50  4 46
 0 0 0 8345992 5604620 134 2211 0 0 0 0  0  0  0  0  0  793 1806  238 50  4 46
 0 0 0 8344444 5603228 77 1245 0 0 0  0  0  0  0  0  0  645 1429  207 50  3 47
 0 0 0 8343580 5602208 52 1044 0 0 0  0  0  0  0  0  0  627 1281  260 50  1 49
 0 0 0 8342884 5601520 147 2211 0 0 0 0  0  0  0  0  0  789 1809  241 50  4 46
 0 0 0 8341888 5600656 130 2220 0 0 0 0  0  0  0  0  0 1117 1804  241 50  4 46
 0 0 0 8339700 5599056 129 2234 0 0 0 0  0  4  0  0  0 1056 1818  325 50  4 46
 0 0 0 8338944 5598076 134 2229 0 0 0 0  0  0  0  0  0  848 1821  257 50  4 46
 0 0 0 8337744 5597044 129 2218 0 0 0 0  0  0  0  0  0  827 1824  237 50  4 46
 0 0 0 8336756 5596000 129 2225 0 0 0 0  0  0  0  0  0  798 1797  240 50  4 46
 0 0 0 8335944 5595332 147 2232 0 0 0 0  0  0  0  0  0  812 1841  247 50  4 46
 0 0 0 8334396 5593652 12 154 0 0  0  0  0  0  0  0  0  484  874  172 50  1 49
 0 0 0 8333888 5592996 117 2115 0 0 0 0  0  2  0  0  0  918 1735  295 50  4 46
 0 0 0 8332556 5591824 132 2220 0 0 0 0  0  0  0  0  0  811 1818  244 50  4 46
 0 0 0 8331516 5590608 129 2263 0 0 0 0  0  0  0  0  0  806 1823  241 50  4 46
 0 0 0 8330364 5589660 129 2177 0 0 0 0  0  0  0  0  0  801 1791  238 50  4 46
 0 0 0 8454016 5712392 155 7022 0 0 0 0  0  0  0  0  0  828 3698  247 48  6 46
 0 0 0 8487092 5744804 129 2172 0 0 0 0  0  0  0  0  0  811 1690  244 50  4 46
 0 0 0 8487140 5744868 129 2171 0 0 0 0  0  2  0  0  0 1004 1707  312 50  4 46
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 8486988 5744848 59 894 0 0  0  0  0  0  0  0  0  638 1091  219 50  2 48
 0 0 0 8487068 5744868 75 1277 0 0 0  0  0  0  0  0  0  654 1265  212 50  2 48
 0 0 0 8485832 5743640 129 2382 0 0 0 0  0  0  0  0  0  808 1788  245 50  4 46
 0 0 0 8463112 5724532 147 6650 0 0 0 0  0  0  0  0  0  796 2610  242 50  4 46
 0 0 0 8392088 5650940 129 2172 0 0 0 0  0  0  0  0  0  805 1684  240 50  4 46
 0 0 0 8392012 5650956 129 2173 0 0 0 0  0  3  0  0  0 1058 1694  314 50  4 46
 0 0 0 8392152 5651016 134 2172 0 0 0 0  0  0  0  0  0  781 1684  237 50  4 46
 0 0 0 8391900 5650872 129 2172 0 0 0 0  0  0  0  0  0  813 1691  247 50  4 46
 0 0 0 8362548 5621532 77 3620 0 0 0  0  0  0  0  0  0  671 1384  259 50  3 47
 0 0 0 8343304 5602128 60 990 0 0  0  0  0  0  0  0  0  630 1094  214 50  1 49
 0 0 0 8343304 5602120 130 2172 0 0 0 0  0  0  0  0  0 1261 1683  240 50  4 46
 0 0 0 8342988 5602004 129 2171 0 0 0 0  0  2  0  0  0  941 1706  324 50  4 46
 0 0 0 8342936 5601940 135 2175 0 0 0 0  0  0  0  0  0  826 1685  260 50  4 46
 0 0 0 8310732 5569544 129 4599 0 0 0 0  0  0  0  0  0  773 1695  246 50  4 46
 0 0 0 8294192 5553160 129 2174 0 0 0 0  0  0  0  0  0  823 1683  249 50  4 46
 0 0 0 8294152 5553348 147 2177 0 0 0 0  0  0  0  0  0  792 1690  247 50  4 46
 0 0 0 8294428 5553248 129 2176 0 0 0 0  0  0  0  0  0  805 1689  239 50  4 46
 0 0 0 8294424 5553232 12 99 0  0  0  0  0  2  0  0  0  608  745  237 50  1 49
 0 0 0 8294208 5553148 117 2076 0 0 0 0  0  0  0  0  0  760 1620  240 50  3 47
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 8294052 5553072 129 2170 0 0 0 0  0  0  0  0  0  811 1693  243 50  4 46
 0 0 0 8294456 5553260 129 2173 0 0 0 0  0  0  0  0  0  782 1684  248 50  4 46
 0 0 0 8294420 5553376 147 2178 0 0 0 0  0  0  0  0  0  806 1712  251 50  4 46
 0 0 0 8294372 5553220 129 2175 0 0 0 0  0  0  0  0  0  815 1686  243 50  4 46
 0 0 0 8294312 5553168 129 2170 0 0 0 0  0  2  0  0  0  913 1703  305 50  4 46
