 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9007684 5919320 116 2079 0 0 0 0  4  3 -0  0  0  699 1609  267 24  3 73
 0 0 0 9386660 6246772 150 2545 0 0 0 0  0  0  0  0  0  682 2103  259  0  4 96
 0 0 0 9386420 6246516 136 2161 0 0 0 0  0  0  0  0  0  582 1685  259  0  4 96
 0 0 0 9386712 6246644 130 2158 0 0 0 0  0  0  0  0  0  596 1681  259  0  4 96
 0 0 0 9386456 6246548 129 2155 0 0 0 0  0  0  0  0  0  576 1696  259  0  4 96
 0 0 0 9386408 6246584 134 2158 0 0 0 0  0  2  0  0  0  655 1754  337  0  4 96
 0 0 0 9386680 6246752 129 2157 0 0 0 0  0  0  0  0  0  580 1686  264  0  4 96
 0 0 0 9386236 6246456 129 2156 0 0 0 0  0  0  0  0  0  598 1671  279  0  4 96
 0 0 0 9386656 6246932 95 1187 0 0 0  0  0  0  0  0  0  534 1256  218  0  2 98
 0 0 0 9386356 6246584 52 979 0 0  0  0  0  0  0  0  0  500 1101  218  0  1 98
 0 0 0 9386652 6246712 129 2159 0 0 0 0  0  0  0  0  0  578 1685  256  0  4 96
 0 0 0 9386400 6246640 129 2157 0 0 0 0  0  2  0  0  0  595 1671  299  0  4 96
 0 0 0 9386352 6246600 131 2158 0 0 0 0  0  0  0  0  0  579 1689  267  0  4 96
 0 0 0 9386644 6246704 129 2157 0 0 0 0  0  0  0  0  0  559 1671  254  0  4 96
 0 0 0 9386388 6246736 147 2166 0 0 0 0  0  0  0  0  0  573 1684  254  0  4 96
 0 0 0 9386352 6246580 129 2156 0 0 0 0  0  0  0  0  0  575 1674  264  0  4 96
 0 0 0 9386648 6246708 129 2160 0 0 0 0  0  3  0  0  0  630 1687  299  0  4 96
 0 0 0 9386616 6246740 17 98 0  0  0  0  0  0  0  0  0  461  737  171  0  1 99
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9386348 6246572 117 2061 0 0 0 0  0  0  0  0  0  586 1611  263  0  3 97
 0 0 0 9386208 6246432 129 2159 0 0 0 0  0  0  0  0  0  589 1675  276  0  4 96
 0 0 0 9386560 6246624 147 2166 0 0 0 0  0  0  0  0  0  581 1684  258  0  4 96
 0 0 0 9386300 6246524 129 2157 0 0 0 0  0  0  0  0  0  593 1686  266  0  4 96
 0 0 0 9386260 6246488 129 2160 0 0 0 0  0  2  0  0  0  605 1685  298  0  4 96
 0 0 0 9386528 6246620 134 2155 0 0 0 0  0  0  0  0  0  565 1673  259  0  4 96
 0 0 0 9386264 6246484 129 2159 0 0 0 0  0  0  0  0  0  579 1686  269  0  4 96
 0 0 0 9386516 6246576 77 1180 0 0 0  0  0  0  0  0  0  518 1255  213  0  2 97
 0 0 0 9386220 6246660 52 978 0 0  0  0  0  0  0  0  0  520 1095  218  0  1 99
 0 0 0 9386520 6246652 147 2164 0 0 0 0  0  0  0  0  0  590 1675  261  0  4 96
 0 0 0 9386444 6246548 129 2158 0 0 0 0  0  3  0  0  0  631 1685  316  0  4 96
 0 0 0 9386336 6246524 132 2160 0 0 0 0  0  0  0  0  0  588 1762  302  0  4 96
 0 0 0 9386472 6246560 131 2159 0 0 0 0  0  0  0  0  0  592 1687  268  0  4 96
 0 0 0 9386240 6246384 129 2156 0 0 0 0  0  0  0  0  0  593 1671  280  0  4 96
 0 0 0 9386432 6246688 147 2165 0 0 0 0  0  0  0  0  0  574 1684  263  0  4 96
 0 0 0 9386472 6246532 129 2161 0 0 0 0  0  0  0  0  0  587 1689  265  0  4 96
 0 0 0 9386472 6246532 12 98 0  0  0  0  0  2  0  0  0  493  770  216  0  1 99
 0 0 0 9386440 6246620 117 2062 0 0 0 0  0  0  0  0  0  579 1577  256  0  3 97
 0 0 0 9386396 6246528 134 2157 0 0 0 0  0  0  0  0  0  588 1682  268  0  4 96
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9386472 6246532 128 2159 0 0 0 0  0  0  0  0  0  582 1673  258  0  4 96
 0 0 0 9386432 6246564 147 2167 0 0 0 0  0  0  0  0  0  583 1685  260  0  4 96
 0 0 0 9386492 6246560 129 2162 0 0 0 0  0  0  0  0  0  583 1681  269  0  4 96
 0 0 0 9386456 6246528 129 2161 0 0 0 0  0  2  0  0  0  611 1686  301  0  4 96
 0 0 0 9386408 6246564 134 2163 0 0 0 0  0  0  0  0  0  586 1687  265  0  4 96
