 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9009332 5919512 116 2075 0 0 0 0  4  3 -0  0  0  698 1608  267 24  3 73
 0 0 0 9385624 6245736 150 2567 0 0 0 0  0  0  0  0  0  669 2107  271  0  4 96
 0 0 0 9385380 6245484 129 2155 0 0 0 0  0  2  0  0  0  628 1694  309  0  4 96
 0 0 0 9385676 6245708 134 2160 0 0 0 0  0  0  0  0  0  728 1764  303  0  4 96
 0 0 0 9385424 6245640 129 2154 0 0 0 0  0  0  0  0  0  576 1683  261  0  4 96
 0 0 0 9385304 6245532 129 2159 0 0 0 0  0  0  0  0  0  584 1677  276  0  4 96
 0 0 0 9385636 6245924 147 2163 0 0 0 0  0  0  0  0  0  577 1685  259  0  4 96
 0 0 0 9385384 6245604 129 2158 0 0 0 0  0  0  0  0  0  578 1679  264  0  4 96
 0 0 0 9385636 6245696 77 1179 0 0 0  0  0  2  0  0  0  553 1252  263  0  2 98
 0 0 0 9385336 6245588 52 979 0 0  0  0  0  0  0  0  0  495 1101  210  0  2 98
 0 0 0 9385632 6245700 131 2158 0 0 0 0  0  0  0  0  0  582 1683  266  0  4 96
 0 0 0 9385384 6245600 129 2156 0 0 0 0  0  0  0  0  0  583 1680  259  0  4 96
 0 0 0 9385340 6245640 147 2167 0 0 0 0  0  0  0  0  0  574 1686  259  0  4 96
 0 0 0 9385632 6245692 129 2159 0 0 0 0  0  0  0  0  0  591 1673  263  0  4 96
 0 0 0 9385376 6245596 129 2158 0 0 0 0  0  2  0  0  0  618 1693  306  0  4 96
 0 0 0 9385336 6245624 134 2155 0 0 0 0  0  0  0  0  0  568 1676  255  0  4 96
 0 0 0 9385632 6245692 129 2160 0 0 0 0  0  0  0  0  0  590 1699  267  0  4 96
 0 0 0 9385528 6245600 12 98 0  0  0  0  0  0  0  0  0  466  734  199  0  1 99
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9385296 6245520 129 2064 0 0 0 0  0  0  0  0  0  572 1617  260  0  3 96
 0 0 0 9385312 6245540 129 2157 0 0 0 0  0  0  0  0  0  578 1674  268  0  4 96
 0 0 0 9385608 6245668 129 2161 0 0 0 0  0  2  0  0  0  596 1694  309  0  4 96
 0 0 0 9385352 6245592 134 2156 0 0 0 0  0  0  0  0  0  573 1671  259  0  4 96
 0 0 0 9385276 6245504 129 2157 0 0 0 0  0  0  0  0  0  576 1682  261  0  4 96
 0 0 0 9385536 6245596 129 2158 0 0 0 0  0  0  0  0  0  573 1674  260  0  4 96
 0 0 0 9385272 6245764 147 2166 0 0 0 0  0  0  0  0  0  560 1684  258  0  4 96
 0 0 0 9385524 6245584 77 1179 0 0 0  0  0  0  0  0  0  523 1248  223  0  2 97
 0 0 0 9385228 6245456 52 979 0 0  0  0  0  3  0  0  0  548 1108  270  0  2 98
 0 0 0 9385528 6245588 134 2158 0 0 0 0  0  0  0  0  0  576 1765  303  0  4 96
 0 0 0 9385272 6245492 129 2228 0 0 0 0  0  0  0  0  0  563 1732  269  0  4 96
 0 0 0 9385116 6245352 129 2159 0 0 0 0  0  0  0  0  0  565 1679  277  0  4 96
 0 0 0 9385532 6245740 147 2166 0 0 0 0  0  0  0  0  0  584 1685  260  0  4 96
 0 0 0 9385280 6245500 129 2160 0 0 0 0  0  0  0  0  0  580 1682  263  0  4 96
 0 0 0 9385236 6245464 129 2157 0 0 0 0  0  2  0  0  0  611 1690  299  0  4 96
 0 0 0 9385528 6245672 134 2158 0 0 0 0  0  0  0  0  0  574 1675  259  0  4 96
 0 0 0 9385528 6245588 12 98 0  0  0  0  0  0  0  0  0  459  759  179  0  1 99
 0 0 0 9385260 6245480 117 2060 0 0 0 0  0  0  0  0  0  576 1590  259  0  3 97
 0 0 0 9385224 6245452 147 2166 0 0 0 0  0  0  0  0  0  574 1683  257  0  4 96
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9385520 6245580 128 2160 0 0 0 0  0  0  0  0  0  558 1672  262  0  4 96
 0 0 0 9385264 6245484 129 2162 0 0 0 0  0  2  0  0  0  659 1692  305  0  4 96
 0 0 0 9385228 6245496 134 2160 0 0 0 0  0  0  0  0  0  561 1673  256  0  4 96
 0 0 0 9385504 6245576 129 2164 0 0 0 0  0  0  0  0  0  574 1685  263  0  4 96
 0 0 0 9385160 6245384 137 2167 0 0 0 0  0  0  0  0  0  586 1671  276  0  4 96
 0 0 0 9385484 6245632 82 1181 0 0 0  0  0  0  0  0  0  515 1261  219  0  2 97
 0 0 0 9385168 6245396 52 982 0 0  0  0  0  0  0  0  0  522 1091  225  0  1 99
 0 0 0 9385460 6245520 129 2163 0 0 0 0  0  2  0  0  0  620 1687  305  0  4 96
 0 0 0 9385200 6245420 133 2161 0 0 0 0  0  0  0  0  0  561 1670  255  0  4 96
 0 0 0 9385160 6245388 129 2165 0 0 0 0  0  0  0  0  0  564 1685  263  0  4 96
 0 0 0 9385460 6245520 129 2167 0 0 0 0  0  0  0  0  0  591 1679  257  0  4 96
 0 0 0 9385204 6245684 147 2173 0 0 0 0  0  0  0  0  0  581 1684  262  0  4 96
 0 0 0 9385160 6245388 129 2169 0 0 0 0  0  0  0  0  0  579 1676  261  0  4 96
 0 0 0 9385456 6245516 129 2167 0 0 0 0  0  3  0  0  0  622 1693  315  0  4 96
 0 0 0 9385456 6245600 17 98 0  0  0  0  0  0  0  0  0  422  840  218  0  1 99
 0 0 0 9385172 6245400 116 2068 0 0 0 0  0  0  0  0  0  590 1605  261  0  3 97
 0 0 0 9385000 6245228 129 2165 0 0 0 0  0  0  0  0  0  576 1678  271  0  4 96
 0 0 0 9385416 6245608 147 2173 0 0 0 0  0  0  0  0  0  579 1685  264  0  4 96
 0 0 0 9385164 6245384 129 2172 0 0 0 0  0  0  0  0  0  567 1687  265  0  4 96
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
