 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 8981896 5889068 116 2074 0 0 0 0  4  2 -0  0  0  698 1607  266 24  3 72
 0 0 0 9381192 6241156 150 2543 0 0 0 0  0  0  0  0  0  681 2102  266  0  4 96
 0 0 0 9380872 6240912 147 2164 0 0 0 0  0  0  0  0  0  595 1689  268  0  4 96
 0 0 0 9381020 6240952 129 2160 0 0 0 0  0  0  0  0  0  583 1675  264  0  4 96
 0 0 0 9380840 6240936 128 2156 0 0 0 0  0  3  0  0  0  618 1685  317  0  4 96
 0 0 0 9380940 6241064 134 2156 0 0 0 0  0  0  0  0  0  573 1682  261  0  4 96
 0 0 0 9380992 6241068 129 2157 0 0 0 0  0  0  0  0  0  573 1686  253  0  4 96
 0 0 0 9380988 6241076 144 2164 0 0 0 0  0  0  0  0  0  585 1673  258  0  4 96
 0 0 0 9380996 6241100 79 1178 0 0 0  0  0  0  0  0  0  528 1239  218  0  2 98
 0 0 0 9380956 6241084 52 979 0 0  0  0  0  0  0  0  0  509 1107  213  0  2 98
 0 0 0 9380992 6241056 129 2157 0 0 0 0  0  2  0  0  0  609 1682  303  0  4 96
 0 0 0 9380864 6241032 134 2158 0 0 0 0  0  0  0  0  0  565 1679  258  0  4 96
 1 0 0 9380800 6240976 129 2160 0 0 0 0  0  0  0  0  0  579 1685  256  0  4 96
 0 0 0 9380952 6241016 128 2158 0 0 0 0  0  0  0  0  0  580 1671  260  0  4 96
 0 0 0 9380644 6241028 147 2166 0 0 0 0  0  0  0  0  0  581 1685  272  0  4 96
 0 0 0 9380876 6240984 129 2156 0 0 0 0  0  0  0  0  0  573 1672  258  0  4 96
 0 0 0 9380932 6240996 129 2156 0 0 0 0  0  2  0  0  0  612 1682  301  0  4 96
 0 0 0 9380896 6241048 17 98 0  0  0  0  0  0  0  0  0  452  739  179  0  0 100
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9380856 6240968 117 2061 0 0 0 0  0  0  0  0  0  559 1623  250  0  3 96
 0 0 0 9380820 6240932 129 2156 0 0 0 0  0  0  0  0  0  579 1672  261  0  4 96
 0 0 0 9380900 6241100 147 2167 0 0 0 0  0  0  0  0  0  564 1691  259  0  4 96
 0 0 0 9380784 6240896 129 2160 0 0 0 0  0  0  0  0  0  589 1675  258  0  4 96
 0 0 0 9380796 6240904 129 2156 0 0 0 0  0  2  0  0  0  647 1683  301  0  4 96
 0 0 0 9380824 6240956 134 2160 0 0 0 0  0  0  0  0  0  575 1677  255  0  4 96
 0 0 0 9380640 6240832 129 2156 0 0 0 0  0  0  0  0  0  582 1773  301  0  4 96
 0 0 0 9380820 6240884 92 1187 0 0 0  0  0  0  0  0  0  525 1235  223  0  2 98
 0 0 0 9380716 6240844 52 978 0 0  0  0  0  0  0  0  0  522 1113  228  0  2 98
 0 0 0 9380824 6240896 130 2157 0 0 0 0  0  0  0  0  0  580 1671  263  0  4 96
 0 0 0 9380780 6240888 129 2158 0 0 0 0  0  2  0  0  0  618 1685  309  0  4 96
 0 0 0 9380760 6240916 134 2160 0 0 0 0  0  0  0  0  0  580 1688  261  0  4 96
 0 0 0 9380796 6240864 129 2156 0 0 0 0  0  0  0  0  0  579 1682  256  0  4 96
 0 0 0 9380752 6240856 129 2161 0 0 0 0  0  0  0  0  0  586 1675  260  0  4 96
 0 0 0 9380748 6241136 147 2165 0 0 0 0  0  0  0  0  0  584 1683  259  0  4 96
 0 0 0 9380796 6240860 129 2156 0 0 0 0  0  0  0  0  0  562 1672  254  0  4 96
 0 0 0 9380796 6240860 14 98 0  0  0  0  0  2  0  0  0  483  724  220  0  0 100
 0 0 0 9380808 6240884 120 2060 0 0 0 0  0  0  0  0  0  579 1628  251  0  3 96
 0 0 0 9380644 6240820 129 2160 0 0 0 0  0  0  0  0  0  573 1688  255  0  4 96
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9380796 6240860 129 2161 0 0 0 0  0  0  0  0  0  583 1683  268  0  4 96
 0 0 0 9380636 6240912 148 2237 0 0 0 0  0  0  0  0  0  581 1715  269  0  4 96
 0 0 0 9380756 6240864 129 2160 0 0 0 0  0  0  0  0  0  583 1673  263  0  4 96
 0 0 0 9380780 6240852 129 2164 0 0 0 0  0  2  0  0  0  615 1687  302  0  4 96
 0 0 0 9380728 6240908 134 2163 0 0 0 0  0  0  0  0  0  587 1681  256  0  4 96
 0 0 0 9380768 6240832 77 1182 0 0 0  0  0  0  0  0  0  500 1232  213  0  2 98
 0 0 0 9380628 6240796 52 980 0 0  0  0  0  0  0  0  0  516 1115  212  0  2 98
 0 0 0 9380772 6240904 147 2173 0 0 0 0  0  0  0  0  0  582 1686  253  0  4 96
 0 0 0 9380584 6240796 129 2163 0 0 0 0  0  0  0  0  0  571 1672  259  0  4 96
 0 0 0 9380692 6240812 129 2165 0 0 0 0  0  2  0  0  0  600 1686  308  0  4 96
 0 0 0 9380772 6240888 134 2161 0 0 0 0  0  0  0  0  0  571 1676  258  0  4 96
 0 0 0 9380684 6240792 129 2166 0 0 0 0  0  0  0  0  0  580 1775  298  0  4 96
 0 0 0 9380680 6240792 136 2176 0 0 0 0  0  0  0  0  0  586 1681  260  0  4 96
 0 0 0 9380700 6240984 140 2170 0 0 0 0  0  0  0  0  0  572 1686  272  0  4 96
 0 0 0 9380772 6240836 12 98 0  0  0  0  0  0  0  0  0  446  712  169  0  0 100
 0 0 0 9380668 6240784 117 2069 0 0 0 0  0  2  0  0  0  613 1647  302  0  4 96
 0 0 0 9380728 6240804 134 2164 0 0 0 0  0  0  0  0  0  575 1680  256  0  4 96
 0 0 0 9380692 6240756 129 2167 0 0 0 0  0  0  0  0  0  585 1686  255  0  4 96
 0 0 0 9380712 6240784 129 2170 0 0 0 0  0  0  0  0  0  587 1680  259  0  4 96
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9380660 6240976 147 2179 0 0 0 0  0  0  0  0  0  589 1696  254  0  4 96
 0 0 0 9380692 6240756 128 2168 0 0 0 0  0  0  0  0  0  578 1676  255  0  4 96
 0 0 0 9380552 6240716 131 2168 0 0 0 0  0  2  0  0  0  627 1690  306  0  4 96
 0 0 0 9380696 6240800 79 1186 0 0 0  0  0  0  0  0  0  517 1221  215  0  2 98
 1 0 0 9380668 6240776 63 1180 0 0 0  0  0  0  0  0  0  522 1216  215  0  2 98
 0 0 0 9154892 6021836 344 28020 0 0 0 0 0  0  0  0  0 1021 14992 283 42 12 46
 0 0 0 8853816 5713344 159 8601 0 0 0 0  0  0  0  0  0 1361 12082 254 42 12 46
 0 0 0 8722404 5581872 131 3922 0 0 0 0  0  0  0  0  0  804 3224  242 49  5 46
 0 0 0 8718916 5578200 129 2234 0 0 0 0  0  3  0  0  0 1265 1836  307 50  4 46
 0 0 0 8717484 5577212 134 2226 0 0 0 0  0  0  0  0  0  805 1827  243 50  4 46
 0 0 0 8716136 5575844 129 2235 0 0 0 0  0  0  0  0  0  789 1840  238 50  4 46
 0 0 0 8715168 5574708 94 1253 0 0 0  0  0  0  0  0  0  645 1378  208 50  3 47
 0 0 0 8713256 5572856 53 1114 0 0 0  0  0  0  0  0  0  598 1260  197 50  2 48
 0 0 0 8712056 5571600 130 2225 0 0 0 0  0  0  0  0  0  790 1817  234 50  4 46
 0 0 0 8711084 5570672 129 2207 0 0 0 0  0  2  0  0  0  913 1827  293 50  4 46
 0 0 0 8709904 5569644 134 2224 0 0 0 0  0  0  0  0  0  822 1836  247 50  4 46
 0 0 0 8709272 5568812 129 2225 0 0 0 0  0  0  0  0  0 1285 1919  280 50  4 46
 0 0 0 8707920 5567620 129 2224 0 0 0 0  0  0  0  0  0  796 1818  248 50  4 46
 0 0 0 8706700 5566712 148 2240 0 0 0 0  0  0  0  0  0  838 1834  253 50  4 46
