 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9093208 6013908 116 2073 0 0 0 0  5  3 -0  0  0  700 1603  269 24  3 73
 0 0 0 9398040 6258112 150 2544 0 0 0 0  0  0  0  0  0  669 2102  268  0  4 96
 0 0 0 9398136 6258068 129 2158 0 0 0 0  0  0  0  0  0  582 1687  256  0  4 96
 0 0 0 9397880 6258020 146 2164 0 0 0 0  0  2  0  0  0  614 1671  302  0  4 96
 0 0 0 9397824 6257924 129 2155 0 0 0 0  0  0  0  0  0  563 1685  266  0  4 96
 0 0 0 9398108 6258052 129 2158 0 0 0 0  0  0  0  0  0  561 1672  259  0  4 96
 0 0 0 9397828 6258060 134 2158 0 0 0 0  0  0  0  0  0  560 1691  262  0  4 96
 0 0 0 9397792 6258028 129 2155 0 0 0 0  0  0  0  0  0  576 1672  263  0  4 96
 0 0 0 9398088 6258156 77 1180 0 0 0  0  0  0  0  0  0  531 1259  219  0  2 98
 0 0 0 9398084 6258436 52 979 0 0  0  0  0  2  0  0  0  514 1102  257  0  2 98
 0 0 0 9397828 6258112 147 2166 0 0 0 0  0  0  0  0  0  574 1685  261  0  4 96
 0 0 0 9397676 6257908 129 2158 0 0 0 0  0  0  0  0  0  588 1673  272  0  4 96
 0 0 0 9398072 6258152 134 2157 0 0 0 0  0  0  0  0  0  587 1693  262  0  4 96
 0 0 0 9397812 6258040 129 2158 0 0 0 0  0  0  0  0  0  579 1671  261  0  4 96
 0 0 0 9397760 6257996 129 2160 0 0 0 0  0  0  0  0  0  559 1686  252  0  4 96
 0 0 0 9398060 6258340 147 2163 0 0 0 0  0  2  0  0  0  603 1670  298  0  4 96
 0 0 0 9397804 6258032 129 2158 0 0 0 0  0  0  0  0  0  578 1690  266  0  4 96
 0 0 0 9398024 6258104 12 99 0  0  0  0  0  0  0  0  0  461  748  174  0  1 99
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9397720 6257988 117 2061 0 0 0 0  0  0  0  0  0  592 1604  263  0  3 97
 0 0 0 9398012 6258092 131 2159 0 0 0 0  0  0  0  0  0  577 1672  259  0  4 96
 0 0 0 9397756 6257984 129 2159 0 0 0 0  0  0  0  0  0  573 1774  307  0  4 96
 0 0 0 9397712 6258016 147 2165 0 0 0 0  0  2  0  0  0  634 1672  304  0  4 96
 0 0 0 9397968 6258036 129 2157 0 0 0 0  0  0  0  0  0  556 1684  263  0  4 96
 0 0 0 9397592 6257820 129 2158 0 0 0 0  0  0  0  0  0  578 1673  279  0  4 96
 0 0 0 9397616 6257904 134 2160 0 0 0 0  0  0  0  0  0  577 1696  264  0  4 96
 0 0 0 9397908 6257976 77 1179 0 0 0  0  0  0  0  0  0  510 1258  217  0  2 97
 0 0 0 9397908 6257976 52 978 0 0  0  0  0  0  0  0  0  512 1091  212  0  1 99
 0 0 0 9397652 6257892 140 2162 0 0 0 0  0  2  0  0  0  604 1671  301  0  4 96
 0 0 0 9397600 6257840 130 2161 0 0 0 0  0  0  0  0  0  573 1687  269  0  4 96
 0 0 0 9397868 6257948 129 2158 0 0 0 0  0  0  0  0  0  563 1677  263  0  4 96
 0 0 0 9397612 6257852 134 2158 0 0 0 0  0  0  0  0  0  578 1687  262  0  4 96
 0 0 0 9397576 6257812 129 2158 0 0 0 0  0  0  0  0  0  554 1675  258  0  4 96
 0 0 0 9397872 6257940 129 2158 0 0 0 0  0  0  0  0  0  581 1686  259  0  4 96
 0 0 0 9397612 6258108 147 2166 0 0 0 0  0  2  0  0  0  615 1673  299  0  4 96
 0 0 0 9397868 6257936 12 98 0  0  0  0  0  0  0  0  0  457  765  184  0  1 99
