Time ambienttemp cpu0.dietemp cpu0.memtemp cpu1.dietemp cpu1.memtemp gbeth.temp hddbp.temp sp.temp fan1.tach fan2.tach fan3.tach fan4.tach fan5.tach fan6.tach
0 18 39 27 36.600 30 37.200 19.800 37.200 9960 10260 10380 9600 10920 10740
5 18 39 27 36.600 30 37.200 19.800 37.200 9960 10260 10380 9600 10920 10740
10 18.600 39 27 36.600 30 37.200 19.800 37.200 9960 10200 10380 9600 10920 10740
15 18.600 39 27 36.600 30 37.200 19.800 37.200 9960 10200 10380 9600 10920 10740
20 18.600 39 27 36.600 30 37.200 19.800 37.200 10020 10200 10380 9660 10860 10740
25 18 39 27 36.600 30 37.200 19.800 37.200 10020 10260 10440 9600 10860 10740
30 18 39 27 36.600 30 37.200 19.800 37.200 10020 10260 10440 9600 10860 10740
35 18 39 27 36.600 30 37.200 19.800 37.200 10020 10200 10380 9660 10920 10740
40 18.600 39 27 36.600 30 37.200 19.800 37.200 10020 10200 10380 9660 10920 10740
45 18.600 39 27 36.600 30 37.200 19.800 37.200 10020 10200 10380 9600 10860 10740
50 18.600 39 27 37.200 30 37.200 19.800 37.200 10020 10200 10380 9600 10860 10740
55 18.600 39 27 37.200 30 37.200 19.800 37.200 10020 10260 10380 9660 10860 10740
60 18.600 39 27 37.200 30 37.200 19.800 37.200 10020 10260 10380 9660 10860 10740
65 18.600 39 27 37.200 30 37.200 19.800 37.200 10020 10200 10380 9600 10920 10740
70 18.600 39 27 37.200 30 37.200 19.800 37.200 10020 10200 10380 9600 10920 10740
75 18.600 39 27 37.200 30 37.200 19.800 37.200 9960 10260 10380 9600 10860 10740
80 18.600 39 27 37.200 30 37.200 21 37.200 10020 10260 10380 9660 10920 10740
85 19.200 39 27 37.200 30 37.200 21 37.200 10020 10260 10380 9660 10920 10740
90 19.200 39 27 37.200 30 37.200 21 37.200 10020 10260 10380 9600 10860 10740
95 19.800 39 27 37.200 30 37.200 21 37.200 10020 10260 10380 9600 10860 10740
100 18.600 39 27 37.200 30 37.200 21 37.200 10020 10260 10380 9600 10920 10740
105 18.600 39 27 37.200 30 37.200 21 37.200 10020 10260 10380 9600 10920 10740
110 18 39 27 37.200 30 37.800 21 37.200 10020 10200 10440 9600 10860 10740
115 19.200 39 27 37.200 30 37.800 21 37.200 10020 10200 10440 9600 10860 10740
120 19.200 39 27 37.200 30 37.200 21 37.200 9960 10260 10380 9660 10920 10740
125 19.200 39 27 37.200 30 37.200 21 37.200 9960 10260 10380 9660 10920 10740
130 18.600 39 27 37.200 30 37.200 21 37.200 10020 10260 10440 9600 10860 10740
135 18.600 39 27 37.200 30 37.200 21 37.200 10020 10260 10440 9600 10860 10740
140 18.600 39 27 37.200 30 37.200 21 37.200 10020 10200 10440 9600 10860 10740
145 18.600 39 27 37.200 30 37.200 21 37.200 10020 10200 10440 9600 10860 10740
150 18.600 39 27 37.200 30 37.200 21 37.200 10080 10200 10440 9660 10920 10740
155 18.600 39 27 37.200 30 37.200 21 37.200 10080 10200 10440 9660 10920 10740
160 18.600 39 27 37.200 30 37.200 21 37.200 10020 10260 10440 9600 10920 10740
165 18.600 39 27 37.200 30 37.200 21 37.200 10020 10260 10440 9600 10920 10740
170 18.600 39 27 37.200 30 37.200 21 37.200 10020 10260 10440 9600 10920 10740
175 18.600 39 27 37.200 30 37.200 21 37.200 10020 10260 10440 9600 10920 10740
180 18.600 39 27 37.200 30 37.800 21 37.200 9960 10260 10440 9660 10860 10740
185 18.600 39 27 37.200 30 37.800 21 37.200 9960 10260 10440 9660 10860 10740
190 18.600 39 27 37.200 30 37.200 21 37.200 9960 10260 10380 9660 10920 10740
195 18.600 39 27 37.200 30 37.200 21 37.200 9960 10260 10380 9660 10920 10740
200 18 39 27 37.200 30 37.200 21 37.200 10080 10200 10440 9660 10860 10740
205 18 39 27 37.200 30 37.200 21 37.200 10080 10200 10440 9660 10860 10740
210 18 39 27 37.200 30 37.200 19.800 37.200 10020 10260 10380 9660 10920 10680
215 18 39 27 37.200 30 37.200 19.800 37.200 10020 10260 10380 9660 10920 10680
220 18 39.600 27 37.200 30 37.800 19.800 37.200 10020 10200 10380 9600 10920 10740
225 18 39.600 27 37.200 30 37.800 19.800 37.200 10020 10200 10380 9600 10920 10740
230 18 40.800 27 38.400 30 37.200 19.800 37.200 10020 10200 10380 9660 10860 10740
