Time ambienttemp cpu0.dietemp cpu0.memtemp cpu1.dietemp cpu1.memtemp gbeth.temp hddbp.temp sp.temp fan1.tach fan2.tach fan3.tach fan4.tach fan5.tach fan6.tach
0 19.200 39 27 37.200 30 37.200 21 37.200 10020 10260 10440 9660 10920 10740
5 19.200 39 27 37.200 30 37.200 21 37.200 10020 10260 10440 9660 10920 10740
10 19.200 39 27 37.200 30 37.200 21 37.200 10020 10200 10380 9660 10920 10800
15 19.800 39 27 37.200 30 37.200 21 37.200 10020 10200 10380 9660 10920 10800
20 19.800 39 27 37.200 30 37.800 21 37.200 10020 10260 10440 9660 10920 10740
25 19.800 39 27 37.200 30 37.800 21 37.200 10020 10260 10440 9660 10920 10800
30 19.200 39.600 27 37.200 30 37.800 21 37.200 10020 10260 10440 9660 10920 10800
35 19.200 39.600 27 37.200 30 37.800 21 37.200 10020 10260 10440 9660 10920 10740
40 19.200 39.600 27 37.200 30 37.800 21 37.200 10020 10260 10440 9660 10920 10740
45 18.600 39.600 27 37.200 30 37.800 21 37.200 10020 10260 10380 9660 10860 10740
50 19.800 39.600 27 37.800 30 37.800 21 37.200 10020 10260 10380 9660 10860 10740
55 19.800 39.600 27 37.800 30 37.800 21 37.200 10020 10260 10440 9660 10920 10740
60 19.800 39.600 27 37.800 30.600 37.800 21 37.200 10020 10260 10440 9660 10920 10740
65 19.200 39.600 27 37.800 30.600 37.800 21 37.200 10020 10260 10440 9600 10860 10740
70 19.200 39.600 27 37.800 30.600 37.800 21 37.200 10020 10260 10440 9600 10860 10740
75 19.800 39.600 27 37.800 30.600 37.800 21 37.200 10020 10260 10440 9660 10860 10740
80 19.800 39.600 27 37.800 30.600 37.200 21 37.200 10020 10260 10440 9660 10860 10740
85 19.200 39.600 27 37.800 30.600 37.200 21 37.200 10020 10260 10440 9660 10920 10740
90 19.200 39.600 27 37.800 30.600 37.800 21 37.200 10020 10260 10440 9660 10920 10740
95 19.800 39.600 27 37.800 30.600 37.800 21 37.200 10020 10260 10440 9600 10860 10740
100 19.200 39.600 27 37.800 30.600 37.800 21 37.200 10020 10260 10440 9600 10860 10740
105 19.200 39.600 27 37.800 30.600 37.800 21 37.200 10020 10200 10440 9660 10920 10740
110 19.200 39.600 27 37.800 30.600 37.800 21 37.200 10020 10200 10440 9660 10920 10740
115 19.200 39.600 27 37.800 30.600 37.800 21 37.200 10020 10200 10440 9600 10920 10740
120 19.200 39.600 27 37.800 30.600 37.800 21 37.200 10020 10200 10440 9600 10920 10740
125 18.600 39.600 27 37.800 30.600 37.800 21 37.200 10020 10260 10380 9600 10920 10740
130 18.600 39.600 27 37.800 30.600 37.800 21 37.200 10020 10260 10380 9600 10920 10740
135 18.600 39.600 27 37.800 30.600 37.800 21 37.200 10020 10260 10380 9600 10860 10740
140 18.600 39 27 37.800 30.600 37.800 21 37.200 10020 10260 10380 9600 10860 10740
145 18.600 39 27 37.800 30.600 37.800 21 37.200 10020 10200 10440 9600 10920 10740
150 18.600 39 27 37.800 30.600 37.800 21 37.200 10020 10200 10440 9600 10920 10740
155 19.200 39 27 37.800 30.600 37.800 21 37.200 10020 10260 10440 9660 10920 10740
160 19.200 39 27 37.200 30.600 37.800 21 37.200 10080 10260 10440 9660 10920 10740
165 18 39 27 37.200 30.600 37.800 21 37.200 10080 10260 10380 9600 10860 10680
170 18.600 39 27 37.200 30.600 37.800 21 37.200 9960 10260 10380 9600 10860 10680
175 18.600 39 27 37.200 30.600 37.800 21 37.200 9960 10200 10380 9660 10860 10740
180 18 39 27 37.200 30 37.800 19.800 37.200 10020 10200 10380 9660 10860 10740
185 18 39 27 37.200 30 37.800 19.800 37.200 10020 10200 10380 9600 10860 10740
190 18 39 27 37.200 30 37.800 19.800 37.200 10020 10200 10380 9600 10860 10740
195 18 39 27 37.200 30 37.800 19.800 37.200 10020 10200 10440 9600 10860 10680
200 18 39 27 37.200 30 37.800 19.800 37.200 9960 10200 10440 9600 10860 10680
205 18 39 27 37.200 30 37.800 19.800 37.200 9960 10200 10380 9600 10860 10740
210 18 39 27 37.200 30 37.200 19.800 37.200 10020 10200 10380 9600 10860 10740
215 18 39 27 37.200 30 37.200 19.800 37.200 10020 10200 10380 9600 10860 10740
220 18 39 27 37.200 30 37.800 19.800 37.200 10020 10200 10380 9600 10860 10740
225 18 39 27 37.200 30 37.800 19.800 37.200 10020 10260 10440 9660 10920 10680
230 18 39.600 27 37.200 30 37.800 19.800 37.200 10020 10260 10440 9660 10920 10680
235 18 39.600 27 37.200 30 37.800 19.800 37.200 10020 10200 10440 9600 10860 10680
240 18 39 27 37.200 30 37.800 19.800 37.200 10020 10200 10440 9600 10860 10680
245 18 39 27 37.200 30 37.800 19.800 37.200 10020 10200 10380 9600 10860 10680
250 18 39.600 27 37.200 30 37.800 19.800 37.200 10020 10200 10380 9600 10860 10680
255 18 39.600 27 37.200 30 37.800 19.800 37.200 10020 10200 10440 9660 10860 10740
260 18 39.600 27 37.200 30 37.800 19.800 37.200 10020 10200 10440 9660 10860 10740
265 18 39.600 27 37.200 30 37.800 19.800 37.200 10020 10260 10380 9660 10860 10740
270 18 39.600 27.600 37.200 30 37.800 19.800 37.200 9960 10260 10380 9660 10860 10740
275 18 39.600 27.600 37.200 30 37.800 19.800 37.200 9960 10260 10440 9600 10860 10740
280 18 40.200 27.600 37.200 30 37.800 19.800 37.200 10020 10260 10440 9600 10860 10740
285 18 40.200 27.600 37.200 30 37.800 19.800 37.200 10020 10260 10380 9600 10920 10680
290 18 40.200 28.200 37.200 30 37.800 19.800 37.200 10020 10260 10380 9600 10920 10680
295 18 40.200 28.200 37.200 30 37.800 19.800 37.200 10020 10260 10440 9660 10920 10740
