Time ambienttemp cpu0.dietemp cpu0.memtemp cpu1.dietemp cpu1.memtemp gbeth.temp hddbp.temp sp.temp fan1.tach fan2.tach fan3.tach fan4.tach fan5.tach fan6.tach
0 16.800 38.400 27.600 36 30 37.200 19.200 37.200 10020 10260 10380 9600 10860 10680
5 16.800 38.400 27.600 36 30 37.200 19.200 37.200 10020 10260 10380 9600 10860 10680
10 16.800 39.600 27.600 36 30 37.200 19.200 37.200 10020 10200 10380 9600 10860 10740
15 16.800 39.600 27.600 36 30 37.200 19.200 37.200 10020 10200 10380 9600 10860 10740
20 16.800 39 27.600 37.200 30 37.200 19.200 36 10020 10260 10380 9600 10860 10740
25 16.800 39 27.600 37.200 30 37.200 19.200 36 10020 10260 10380 9600 10860 10740
30 16.800 39 27.600 36.600 29.400 37.200 19.200 36 9960 10260 10380 9660 10860 10680
35 16.800 39 27.600 36.600 29.400 37.200 19.200 36 9960 10260 10380 9660 10860 10680
40 16.800 39 27.600 36.600 29.400 37.200 19.200 36 10020 10260 10380 9600 10860 10680
45 17.400 39 27.600 36.600 29.400 37.200 19.200 36 10020 10260 10380 9600 10860 10680
50 17.400 40.200 27.600 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10680
55 16.800 40.200 27.600 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10680
60 16.800 39.600 27.600 37.200 30 37.200 19.200 36 10020 10200 10380 9660 10860 10680
65 16.800 39.600 27.600 37.200 30 37.200 19.200 36 10020 10200 10380 9660 10860 10680
70 16.800 40.200 27.600 37.200 29.400 37.200 19.200 36 10020 10200 10380 9660 10860 10680
75 16.800 40.200 27.600 37.200 29.400 37.200 19.200 36 10020 10200 10380 9660 10860 10680
80 16.800 39.600 27.600 36.600 29.400 37.200 19.200 36 10080 10200 10380 9600 10860 10680
85 16.200 39.600 27.600 36.600 29.400 37.200 19.200 36 10080 10200 10380 9600 10860 10680
90 16.800 40.800 27.600 36 29.400 37.200 19.200 36 10080 10200 10320 9600 10860 10680
