Time,ambienttemp,cpu0.dietemp,cpu0.memtemp,cpu1.dietemp,cpu1.memtemp,gbeth.temp,hddbp.temp,sp.temp,fan1.tach,fan2.tach,fan3.tach,fan4.tach,fan5.tach,fan6.tach
0,17.400,37.800,26.400,36.600,29.400,37.200,19.800,36,10020,10200,10380,9600,10860,10680
5,17.400,37.800,26.400,36.600,29.400,37.200,19.800,36,10020,10200,10380,9600,10860,10680
10,17.400,38.400,26.400,37.200,29.400,37.200,19.800,36,9960,10260,10380,9600,10860,10740
15,17.400,38.400,26.400,37.200,29.400,37.200,19.800,36,9960,10260,10380,9600,10860,10740
20,17.400,38.400,26.400,37.200,29.400,37.200,19.800,36,9960,10200,10380,9600,10920,10740
25,18,38.400,26.400,37.200,29.400,37.200,19.800,36,9960,10200,10380,9600,10920,10740
30,18,38.400,26.400,37.200,30,37.200,19.800,36,10020,10200,10380,9600,10860,10680
35,17.400,38.400,26.400,37.200,30,37.200,19.800,36,10020,10200,10380,9600,10860,10680
40,18,38.400,26.400,37.800,30,37.200,19.800,36,10020,10200,10380,9600,10860,10680
45,18,38.400,26.400,37.800,30,37.200,19.800,36,10020,10200,10380,9600,10860,10680
50,17.400,38.400,26.400,37.200,30,37.200,19.800,36,10020,10200,10380,9660,10860,10680
55,18,38.400,26.400,37.200,30,37.200,19.800,36,10020,10200,10380,9660,10860,10680
60,18,38.400,26.400,38.400,30,37.200,19.800,36,10020,10260,10380,9600,10860,10680
65,18,38.400,26.400,38.400,30,37.200,19.800,36,10020,10260,10380,9600,10860,10680
70,18,39,26.400,38.400,30,37.200,19.800,36,9960,10260,10380,9600,10860,10680
75,18,39,26.400,38.400,30,37.200,19.800,36,9960,10260,10380,9600,10860,10680
80,18,38.400,26.400,39,30,37.200,19.800,36,9960,10260,10440,9600,10860,10680
85,17.400,38.400,26.400,39,30,37.200,19.800,36,9960,10260,10440,9600,10860,10680
90,17.400,38.400,26.400,39,30,37.200,19.800,36,10020,10200,10380,9600,10860,10680
95,18,38.400,26.400,39,30,37.200,19.800,36,10020,10200,10380,9600,10860,10680
100,18,39,26.400,39,30,37.200,19.800,36,10020,10200,10440,9600,10860,10680
105,18,39,26.400,39,30,37.200,19.800,36,10020,10200,10440,9600,10860,10680
110,18,38.400,26.400,39,30.600,37.200,19.800,36,10020,10200,10440,9600,10860,10680
115,18,38.400,26.400,39,30.600,37.200,19.800,36,10020,10200,10440,9600,10860,10680
120,18,38.400,26.400,39,30.600,37.200,19.800,36,10020,10200,10440,9600,10860,10740
125,18,38.400,26.400,39,30.600,37.200,19.800,36,10020,10200,10440,9600,10860,10740
130,18,39,26.400,39,30.600,37.800,19.800,36,10020,10260,10440,9660,10860,10740
135,18,39,26.400,39,30.600,37.800,19.800,36,10020,10260,10440,9660,10860,10740
140,18,39,26.400,39.600,30.600,37.200,19.800,36,10020,10260,10380,9600,10860,10680
145,18,39,26.400,39.600,30.600,37.200,19.800,36,10020,10260,10380,9600,10860,10680
150,18,38.400,26.400,39.600,30.600,37.200,19.800,36,10020,10200,10380,9600,10860,10680
155,18,38.400,26.400,39.600,30.600,37.200,19.800,36,10080,10200,10380,9600,10860,10680
160,18,39,26.400,40.200,30.600,37.200,19.800,36,10080,10200,10380,9600,10860,10680
165,18,39,26.400,40.200,30.600,37.200,19.800,36,10020,10200,10380,9600,10860,10680
170,18,39,26.400,39.600,30.600,37.200,19.800,36,10020,10260,10440,9660,10920,10740
175,18,39,26.400,39.600,30.600,37.200,19.800,36,10080,10260,10440,9600,10860,10740
180,18,39,26.400,39.600,30.600,37.800,19.800,36,10080,10260,10440,9600,10860,10740
185,18.600,39,26.400,39.600,30.600,37.800,19.800,36,10020,10200,10440,9600,10860,10740
190,18.600,39,26.400,39.600,31.200,37.800,19.800,36,10020,10200,10440,9600,10860,10740
195,18,39,26.400,39.600,31.200,37.800,19.800,36,10080,10200,10440,9660,10860,10740
200,18,39.600,26.400,39,31.200,37.800,21,36,10080,10200,10440,9660,10860,10680
205,18,39.600,26.400,39,31.200,37.800,21,36,10020,10260,10380,9600,10860,10680
210,18,39,26.400,40.200,31.200,37.800,21,36,10020,10260,10380,9600,10860,10680
215,18,39,26.400,40.200,31.200,37.800,21,36,10020,10260,10440,9660,10860,10680
220,18,39.600,26.400,40.200,31.200,37.800,21,36,10020,10260,10440,9660,10860,10680
225,18.600,39.600,26.400,40.200,31.200,37.800,21,36,10020,10260,10380,9600,10860,10680
230,18,39,26.400,40.200,31.200,37.800,21,36,10020,10260,10380,9600,10860,10740
235,18,39,26.400,40.200,31.200,37.800,21,36,10020,10260,10440,9600,10920,10740
240,18,39.600,26.400,39.600,31.200,37.800,21,36,10020,10260,10440,9600,10920,10740
245,18,39.600,26.400,39.600,31.200,37.800,21,36,10020,10260,10380,9600,10920,10740
250,18,39.600,26.400,40.200,31.200,37.200,21,36,10020,10260,10380,9600,10920,10680
255,18,39.600,26.400,40.200,31.200,37.200,21,36,10020,10260,10440,10920,10680
260,18,39,26.400,40.200,31.200,37.800,21,36,10020,10260,10440,9660,10920,10740
265,18,39,26.400,40.200,31.200,37.800,21,36,10020,10260,10440,9600,10860,10740
