Time,ambienttemp,cpu0.dietemp,cpu0.memtemp,cpu1.dietemp,cpu1.memtemp,gbeth.temp,hddbp.temp,sp.temp,fan1.tach,fan2.tach,fan3.tach,fan4.tach,fan5.tach,fan6.tach
0,16.800,37.800,25.800,36,29.400,37.200,19.800,36,10020,10200,10380,9600,10860,10680
5,16.800,37.800,25.800,36,29.400,37.200,19.800,36,10020,10200,10380,9600,10860,10680
10,16.800,37.800,25.800,36,29.400,36,19.800,36,10020,10200,10380,9660,10860,10680
15,17.400,37.800,25.800,36,29.400,36,19.800,36,10020,10200,10380,9660,10860,10680
20,17.400,37.800,25.800,36,29.400,37.200,19.800,36,9960,10200,10380,9600,10860,10680
25,17.400,37.800,25.800,36,29.400,37.200,19.800,36,9960,10200,10380,9600,10860,10680
30,17.400,37.800,25.800,36,29.400,37.200,19.200,36,9960,10200,10380,9600,10860,10680
35,17.400,37.800,25.800,36,29.400,37.200,19.200,36,9960,10140,10380,9600,10860,10680
40,16.800,37.800,25.800,36,29.400,37.200,19.200,36,9960,10140,10380,9600,10860,10680
45,16.800,37.800,25.800,36,29.400,37.200,19.200,36,10020,10200,10380,9660,10800,10680
50,17.400,37.800,25.800,36,29.400,36,19.200,36,10020,10200,10380,9660,10800,10680
55,17.400,37.800,25.800,36,29.400,36,19.200,36,9960,10200,10380,9600,10860,10680
60,17.400,37.800,25.800,36,29.400,37.200,19.200,36,9960,10200,10380,9600,10860,10680
65,17.400,37.800,25.800,36,29.400,37.200,19.200,36,9960,10260,10380,9540,10860,10680
70,16.800,37.800,25.800,36,29.400,37.200,19.200,36,9960,10260,10380,9540,10860,10680
75,16.800,37.800,25.800,36,29.400,37.200,19.200,36,9960,10200,10380,9600,10860,10680
80,17.400,37.800,25.800,36,29.400,37.200,19.200,36,9960,10200,10380,9600,10860,10680
85,16.800,37.800,25.800,36,29.400,37.200,19.200,36,9960,10140,10380,9600,10800,10680
90,16.800,37.800,25.800,36,29.400,37.200,19.200,36,9960,10140,10380,9600,10800,10680
95,16.800,37.800,25.800,36,29.400,37.200,19.200,36,9960,10260,10320,9600,10860,10680
100,17.400,37.800,25.800,36,29.400,37.200,19.200,36,9960,10260,10320,9600,10860,10680
105,17.400,37.800,25.800,36,29.400,37.200,19.200,36,10020,10200,10380,9600,10860,10680
110,17.400,37.800,25.800,36,29.400,36,19.200,36,10020,10200,10380,9600,10860,10680
115,17.400,37.800,25.800,36,29.400,36,19.200,36,10020,10260,10380,9600,10860,10680
120,17.400,37.200,25.800,36,29.400,36,19.200,36,10020,10260,10380,9600,10860,10680
125,16.800,37.200,25.800,36,29.400,36,19.200,36,9960,10200,10380,9600,10860,10680
130,18,37.800,25.800,36,29.400,36,19.200,36,9960,10200,10380,9600,10860,10680
135,18,37.800,25.800,36,29.400,36,19.200,36,10020,10200,10380,9600,10860,10740
140,18,37.800,25.800,36,29.400,37.200,19.200,36,10020,10200,10380,9600,10860,10740
145,18,37.800,25.800,36,29.400,37.200,19.200,36,9960,10200,10380,9600,10860,10740
150,18,37.800,25.800,36,29.400,36,19.800,36,9960,10200,10380,9600,10860,10740
155,17.400,37.800,25.800,36,29.400,36,19.800,36,9960,10260,10380,9600,10860,10680
160,18,37.800,25.800,36,29.400,37.200,19.800,36,9960,10260,10380,9600,10860,10680
165,18,37.800,25.800,36,29.400,37.200,19.800,36,9960,10200,10380,9600,10860,10680
170,18,37.800,25.800,36,29.400,36,19.800,36,9960,10200,10380,9600,10860,10680
175,18,37.800,25.800,36,29.400,36,19.800,36,9960,10200,10380,9600,10860,10740
180,18,37.800,25.800,36,29.400,37.200,19.800,36,9960,10200,10380,9600,10860,10740
185,18,37.800,25.800,36,29.400,37.200,19.800,36,9960,10200,10380,9660,10860,10740
190,18,37.800,25.800,36,29.400,36,19.800,36,9960,10200,10380,9660,10860,10740
195,18,37.800,25.800,36,29.400,36,19.800,36,10020,10200,10380,9600,10860,10680
200,18,37.800,25.800,36,29.400,37.200,19.800,36,10020,10200,10380,9600,10860,10680
