Time ambienttemp cpu0.dietemp cpu0.memtemp cpu1.dietemp cpu1.memtemp gbeth.temp hddbp.temp sp.temp fan1.tach fan2.tach fan3.tach fan4.tach fan5.tach fan6.tach
0 18 39 26.400 36.600 29.400 37.200 19.800 36 10020 10260 10320 9660 10860 10740
5 18 39 26.400 36.600 29.400 37.200 19.800 36 10020 10260 10320 9660 10860 10740
10 18 38.400 26.400 36.600 29.400 37.200 19.800 36 9960 10200 10440 9600 10860 10680
15 18.600 38.400 26.400 36.600 29.400 37.200 19.800 36 9960 10200 10440 9600 10860 10680
20 18 38.400 26.400 36.600 29.400 37.200 19.800 36 10020 10260 10380 9660 10860 10740
25 18 38.400 26.400 36.600 29.400 37.200 19.800 36 10020 10260 10380 9660 10860 10740
30 18 38.400 26.400 36.600 30 37.200 19.800 36 9960 10200 10380 9600 10920 10740
35 18 38.400 26.400 36.600 30 37.200 19.800 36 9960 10200 10380 9600 10920 10740
40 18 38.400 26.400 36.600 30 37.200 19.800 36 9960 10200 10380 9600 10860 10740
45 18 38.400 26.400 36.600 30 37.200 19.800 36 9960 10200 10380 9600 10860 10740
50 18 38.400 26.400 36.600 29.400 37.200 19.800 36 10020 10260 10440 9660 10920 10740
55 18 38.400 26.400 36.600 29.400 37.200 19.800 36 10020 10260 10440 9660 10920 10740
60 18 38.400 26.400 36.600 29.400 37.200 19.800 36 10020 10200 10380 9600 10860 10740
65 18 38.400 26.400 36.600 29.400 37.200 19.800 36 10020 10200 10380 9600 10860 10740
70 18 38.400 26.400 36.600 29.400 37.200 19.800 36 10020 10200 10380 9660 10860 10680
75 18 38.400 26.400 36.600 29.400 37.200 19.800 36 10020 10200 10380 9660 10860 10680
80 17.400 38.400 26.400 36.600 29.400 37.200 19.800 36 10020 10260 10380 9600 10920 10740
85 18 38.400 26.400 36.600 29.400 37.200 19.800 36 10020 10260 10380 9600 10920 10740
90 18 38.400 26.400 36 29.400 37.200 19.800 36 10020 10200 10380 9600 10860 10680
95 18 38.400 26.400 36 29.400 37.200 19.800 36 10020 10200 10380 9600 10860 10680
100 18 38.400 26.400 36.600 29.400 37.200 19.800 36 9960 10200 10380 9600 10860 10680
105 18 38.400 26.400 36.600 29.400 37.200 19.800 36 9960 10200 10380 9600 10860 10680
110 18 38.400 26.400 36 29.400 37.200 19.800 36 9960 10260 10380 9600 10920 10680
115 18 38.400 26.400 36 29.400 37.200 19.800 36 9960 10260 10380 9600 10920 10680
120 18 37.800 26.400 36 29.400 37.200 19.800 36 10020 10200 10380 9600 10860 10680
125 18 37.800 26.400 36 29.400 37.200 19.800 36 10020 10200 10380 9600 10860 10680
130 18 38.400 26.400 36 29.400 37.200 19.800 36 10020 10200 10380 9600 10860 10740
135 17.400 38.400 26.400 36 29.400 37.200 19.800 36 10020 10200 10380 9600 10860 10740
140 17.400 37.800 26.400 36 29.400 37.200 19.800 36 10020 10200 10380 9600 10860 10680
145 17.400 37.800 26.400 36 29.400 37.200 19.800 36 10020 10200 10380 9600 10860 10680
150 18 37.800 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10740
155 18 37.800 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10740
160 18 37.800 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10740
165 18 37.800 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10740
170 18 37.800 26.400 36 29.400 37.200 19.200 36 9960 10200 10380 9600 10920 10740
175 17.400 37.800 26.400 36 29.400 37.200 19.200 36 9960 10200 10380 9600 10920 10740
180 17.400 37.800 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10680
185 17.400 37.800 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10680
190 18 37.800 25.800 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10740
195 17.400 37.800 25.800 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10740
200 18 37.800 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10740
205 18 37.800 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10740
210 17.400 37.800 25.800 36 29.400 37.200 19.200 36 9960 10140 10380 9600 10860 10680
215 18 37.800 25.800 36 29.400 37.200 19.200 36 9960 10140 10380 9600 10860 10680
220 18 39 26.400 37.200 29.400 37.200 19.200 36 9960 10200 10380 9600 10860 10740
225 18 39 26.400 37.200 29.400 37.200 19.200 36 9960 10200 10380 9600 10860 10740
230 18 39.600 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10800 10680
235 18 39.600 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10800 10680
240 18 39.600 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10740
245 17.400 39.600 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10740
250 17.400 40.200 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10680
255 18 40.200 26.400 36 29.400 37.200 19.200 36 10020 10200 10380 9600 10860 10680
260 18 40.800 26.400 36.600 29.400 37.200 19.200 36 10020 10260 10380 9660 10860 10740
265 18 40.800 26.400 36.600 29.400 37.200 19.200 36 10020 10260 10380 9660 10860 10740
270 18 40.800 26.400 36.600 29.400 37.200 19.800 36 10020 10260 10380 9600 10860 10680
275 18 40.800 26.400 36.600 29.400 37.200 19.800 36 10020 10260 10380 9600 10860 10680
280 18 40.800 27 36.600 29.400 37.200 19.800 36 10020 10200 10440 9600 10860 10680
285 18 40.800 27 36.600 29.400 37.200 19.800 36 10020 10200 10440 9600 10860 10680
290 18 41.400 27 37.200 29.400 37.200 19.800 36 9960 10260 10380 9660 10860 10680
295 18 41.400 27 37.200 29.400 37.200 19.800 36 9960 10260 10380 9660 10860 10680
300 18.600 41.400 27 37.200 30 37.200 19.800 36 10020 10260 10380 9600 10860 10740
305 18.600 41.400 27 37.200 30 37.200 19.800 36 10020 10260 10380 9600 10860 10740
310 18.600 42 27 37.200 30 37.200 19.800 36 9960 10260 10440 9600 10860 10740
315 18.600 42 27 37.200 30 37.200 19.800 36 9960 10260 10440 9600 10860 10740
320 18.600 42 27 37.800 30 37.200 19.800 36 10020 10200 10380 9600 10920 10740
325 18 42 27 37.800 30 37.200 19.800 36 10020 10200 10380 9600 10920 10740
330 19.200 42 27.600 37.200 30 37.200 19.800 36 10020 10260 10380 9660 10860 10680
335 19.200 42 27.600 37.200 30 37.200 19.800 36 10020 10260 10380 9660 10860 10680
340 18.600 42 27.600 37.200 30 37.200 19.800 36 10020 10200 10440 9600 10860 10740
345 18.600 42 27.600 37.200 30 37.200 19.800 36 10020 10200 10440 9600 10860 10740
350 18.600 42 27.600 37.800 30 37.200 19.800 36 10020 10200 10440 9600 10860 10680
355 18.600 42 27.600 37.800 30 37.200 19.800 36 10020 10200 10440 9600 10860 10680
