Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,43,45,34,43,3645.6,3567.2,8449,8449,1541422,1542733,1542077.5,17334263,10172755,13753509,20657434,20742874,20700154,574421,475045,520635,145647,206.8,114.8,1.71,155.1,124.08,62.04,1.54,13.75,20.7,5.74,4.75,5.21,1.46,2.1,0.8,21.6,5.1,22118.4,5222.4
5,43,46,34,43,3567.2,3645.6,8449,8236,1539682,1539682,1539682,15266142,15270736,15268439,18479886,18480032,18479959,398081,209758,493715,320026,206.8,114.7,1.66,155.1,124.08,62.04,1.54,15.27,18.48,3.98,2.1,4.94,3.2,0.2,0,1.6,0,1638.4,0
10,43,45,34,43,3567.2,3567.2,8662,8236,1547295,1547295,1547295,13679203,13681884,13680543.5,15751990,15752460,15752225,476206,354007,382801,172477,207,114.7,1.66,155.25,124.2,62.1,1.55,13.68,15.75,4.76,3.54,3.83,1.72,0,0.2,0,4.4,0,4505.6
15,43,45,34,43,3567.2,3645.6,8662,8449,1537361,1537361,1537361,14878845,14883942,14881393.5,17913861,17918677,17916269,480680,370281,307735,584152,207,114.7,1.66,155.25,124.2,62.1,1.54,14.88,17.92,4.81,3.7,3.08,5.84,0,0,0,0,0,0
20,43,45,34,43,3567.2,3567.2,8662,8449,1523946,1523946,1523946,14058598,14052866,14055732,17645427,17642544,17643985.5,487870,369152,312022,311687,208.2,114.6,1.66,156.15,124.92,62.46,1.52,14.06,17.64,4.88,3.69,3.12,3.12,0,0,0,0,0,0
25,43,45,34,43,3567.2,3567.2,8449,8449,1539989,1539989,1539989,13661049,13660499,13660774,14888769,14888665,14888717,534722,384334,321954,161987,207.8,114.6,1.66,155.85,124.68,62.34,1.54,13.66,14.89,5.35,3.84,3.22,1.62,0,0.2,0,0.2,0,204.8
30,43,46,34,43,3567.2,3567.2,8449,8236,1508172,1508172,1508172,14199626,14203160,14201393,17756086,17761150,17758618,353941,211590,426548,386651,207.6,114.8,1.66,155.7,124.56,62.28,1.51,14.2,17.76,3.54,2.12,4.27,3.87,0,0,0,0,0,0
35,43,46,34,43,3567.2,3567.2,8449,8449,1518965,1518965,1518965,14928209,14924844,14926526.5,18299991,18292938,18296464.5,405841,138757,440839,424860,207.5,114.9,1.66,155.63,124.5,62.25,1.52,14.93,18.3,4.06,1.39,4.41,4.25,0,0,0,0,0,0
40,43,45,34,43,3567.2,3567.2,8662,8449,1377438,1377422,1377430,9636581,9541342,9588961.5,10925198,10926207,10925702.5,284444,221871,228429,136063,207.4,114.7,1.66,155.55,124.44,62.22,1.38,9.59,10.93,2.84,2.22,2.28,1.36,0,0.2,0,2.3,0,2355.2
45,43,45,34,43,3567.2,3567.2,8449,8449,370730,370746,370738,8967332,9062095,9014713.5,11643617,11649805,11646711,262714,200153,277252,384369,207.2,114.9,1.66,155.4,124.32,62.16,0.37,9.01,11.65,2.63,2,2.77,3.84,0,0,0,0,0,0
50,43,45,34,43,3567.2,3567.2,8662,8236,1532686,1532686,1532686,15003836,15004217,15004026.5,18524038,18516774,18520406,461012,368255,360801,279947,206.9,114.8,1.73,155.18,124.14,62.07,1.53,15,18.52,4.61,3.68,3.61,2.8,0,1.6,0,3.8,0,3891.2
