Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
0,42,44,33,42,3567.2,3567.2,8662,8449,1522801,1515458,1519129.5,12889512,21319998,17104755,26342094,26152161,26247127.5,578597,541409,304259,539261,206.6,114.9,1.654,154.95,123.96,61.98,1.5191295,17.104755,26.2471275,5.78597,5.41409,3.04259,5.39261
5,41,44,33,42,3488.8,3567.2,8662,8449,1526136,1526138,1526137,14730211,14740136,14735173.5,17135921,17138986,17137453.5,397929,202380,434471,368980,206.1,114.8,1.674,154.575,123.66,61.83,1.526137,14.7351735,17.1374535,3.97929,2.0238,4.34471,3.6898
10,41,44,33,41,3567.2,3567.2,8662,8449,1531352,1531334,1531343,14252824,14252499,14252661.5,16031508,16025223,16028365.5,486525,282144,363329,322404,206,114.9,1.691,154.5,123.6,61.8,1.531343,14.2526615,16.0283655,4.86525,2.82144,3.63329,3.22404
15,42,43,33,42,3567.2,3567.2,8662,8449,1529439,1529457,1529448,16997572,16997742,16997657,22330706,22334490,22332598,515771,445776,327205,521947,206.1,114.9,1.653,154.575,123.66,61.83,1.529448,16.997657,22.332598,5.15771,4.45776,3.27205,5.21947
20,42,43,33,42,3567.2,3567.2,8662,8449,1532131,1532131,1532131,15205568,15204970,15205269,17486966,17492013,17489489.5,491219,327385,359042,258638,218.4,115,1.641,163.8,131.04,65.52,1.532131,15.205269,17.4894895,4.91219,3.27385,3.59042,2.58638
25,41,44,33,42,3567.2,3567.2,8449,8236,1530591,1530591,1530591,15874041,15874894,15874467.5,21311801,21316881,21314341,438278,256486,373007,569543,204.9,114.9,1.658,153.675,122.94,61.47,1.530591,15.8744675,21.314341,4.38278,2.56486,3.73007,5.69543
30,41,44,33,42,3567.2,3567.2,8662,8449,1554475,1554475,1554475,15546234,15545806,15546020,20619297,20608455,20613876,442438,238898,374374,523394,205,115,1.651,153.75,123,61.5,1.554475,15.54602,20.613876,4.42438,2.38898,3.74374,5.23394
35,41,43,33,42,3567.2,3645.6,8662,8449,1539815,1539815,1539815,14170869,14171046,14170957.5,15163729,15166674,15165201.5,475173,426234,308709,203661,205.6,114.9,1.651,154.2,123.36,61.68,1.539815,14.1709575,15.1652015,4.75173,4.26234,3.08709,2.03661
40,42,43,33,42,3567.2,3567.2,8662,8449,1428900,1429007,1428953.5,9527304,9501496,9514400,10451050,10465100,10458075,356795,191429,178272,212320,205.9,114.9,1.652,154.425,123.54,61.77,1.4289535,9.5144,10.458075,3.56795,1.91429,1.78272,2.1232
45,41,44,33,42,5997.6,5801.6,8662,8449,348436,348329,348382.5,10067245,10092985,10080115,15184861,15171710,15178285.5,323202,178665,121615,511649,206.2,114.9,1.652,154.65,123.72,61.86,0.3483825,10.080115,15.1782855,3.23202,1.78665,1.21615,5.11649
