Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
0,45,47,35,44,3567.2,3645.6,8662,8449,914684,1522655,1218669.5,19466941,20323423,19895182,12999453,22540370,17769911.5,370764,444769,566279,406567,207.8,114.9,1.664,155.85,124.68,62.34,1.2186695,19.895182,17.7699115,3.70764,4.44769,5.66279,4.06567
5,45,47,35,45,3567.2,3567.2,8449,8449,1541978,1541978,1541978,16862782,16862809,16862795.5,23298359,23306688,23302523.5,437915,244660,875362,221237,207.9,115.1,1.662,155.925,124.74,62.37,1.541978,16.8627955,23.3025235,4.37915,2.4466,8.75362,2.21237
10,45,47,35,44,3567.2,3567.2,8449,8449,1527232,1527232,1527232,15018196,15021751,15019973.5,17149996,17142052,17146024,421173,220117,413408,318956,207.9,115,1.662,155.925,124.74,62.37,1.527232,15.0199735,17.146024,4.21173,2.20117,4.13408,3.18956
15,45,47,35,45,3567.2,3645.6,8662,8449,1531863,1531863,1531863,15737238,15735761,15736499.5,20214933,20213470,20214201.5,528226,397003,295747,411244,207.8,115,1.666,155.85,124.68,62.34,1.531863,15.7364995,20.2142015,5.28226,3.97003,2.95747,4.11244
20,45,47,35,45,3645.6,3567.2,8662,8449,1557334,1557248,1557291,15303421,15305145,15304283,19013945,19004718,19009331.5,484801,443857,341811,334060,207.6,114.9,1.711,155.7,124.56,62.28,1.557291,15.304283,19.0093315,4.84801,4.43857,3.41811,3.3406
25,45,47,35,45,3645.6,3645.6,8662,8662,1533252,1533338,1533295,14053319,14053006,14053162.5,15229634,15239989,15234811.5,495910,395898,313894,196990,207.6,114.9,1.663,155.7,124.56,62.28,1.533295,14.0531625,15.2348115,4.9591,3.95898,3.13894,1.9699
30,45,47,35,45,3567.2,3567.2,8662,8449,1534659,1534659,1534659,14324696,14324747,14324721.5,17122937,17122362,17122649.5,407917,211592,421340,381585,207.6,114.9,1.664,155.7,124.56,62.28,1.534659,14.3247215,17.1226495,4.07917,2.11592,4.2134,3.81585
35,45,48,35,45,3567.2,3567.2,8662,8449,1560185,1560141,1560163,17950224,17948844,17949534,25300715,25294073,25297394,411335,207565,438091,717512,207.7,115,1.663,155.775,124.62,62.31,1.560163,17.949534,25.297394,4.11335,2.07565,4.38091,7.17512
40,45,47,35,45,3567.2,3567.2,8662,8449,1382571,1362150,1372360.5,9209366,9209254,9209310,10452493,10428702,10440597.5,267257,169291,211302,223578,207.8,114.8,1.666,155.85,124.68,62.34,1.3723605,9.20931,10.4405975,2.67257,1.69291,2.11302,2.23578
45,45,47,35,45,3567.2,3645.6,8662,8662,379910,400375,390142.5,9045900,9048926,9047413,13852785,13884449,13868617,246875,122504,182640,436155,207.8,115,1.665,155.85,124.68,62.34,0.3901425,9.047413,13.868617,2.46875,1.22504,1.8264,4.36155
50,45,47,35,45,3567.2,3567.2,8662,8449,1552262,1552262,1552262,15763589,15760216,15761902.5,20549738,20558495,20554116.5,385537,265723,630210,296314,208,114.9,1.662,156,124.8,62.4,1.552262,15.7619025,20.5541165,3.85537,2.65723,6.3021,2.96314
55,45,47,35,45,3567.2,3645.6,8449,8449,1520212,1520212,1520212,14779359,14779089,14779224,17189897,17180700,17185298.5,408895,193140,521329,275965,208,115,1.664,156,124.8,62.4,1.520212,14.779224,17.1852985,4.08895,1.9314,5.21329,2.75965
60,45,47,35,45,3567.2,3567.2,8662,8449,1527333,1527333,1527333,14292564,14295712,14294138,16743619,16743659,16743639,385506,253277,420060,385099,208.1,115,1.667,156.075,124.86,62.43,1.527333,14.294138,16.743639,3.85506,2.53277,4.2006,3.85099
65,45,47,35,45,3567.2,3645.6,8662,8449,1539282,1539282,1539282,17408246,17407803,17408024.5,24290074,24298418,24294246,422434,286973,395449,690260,207.9,115,1.664,155.925,124.74,62.37,1.539282,17.4080245,24.294246,4.22434,2.86973,3.95449,6.9026
70,45,47,35,45,3567.2,3567.2,8662,8449,1532523,1532523,1532523,14162362,14161190,14161776,15598343,15593949,15596146,473520,339092,356966,224027,207.6,114.9,1.725,155.7,124.56,62.28,1.532523,14.161776,15.596146,4.7352,3.39092,3.56966,2.24027
75,45,47,35,45,3567.2,3567.2,8449,8449,1536002,1536002,1536002,15660241,15662626,15661433.5,21807013,21803774,21805393.5,409534,239084,357924,635367,207.6,114.9,1.665,155.7,124.56,62.28,1.536002,15.6614335,21.8053935,4.09534,2.39084,3.57924,6.35367
80,45,47,36,45,3567.2,3567.2,8662,8449,1539926,1539926,1539926,15888417,15886019,15887218,19354147,19361949,19358048,447694,448551,296329,379461,207.7,114.9,1.664,155.775,124.62,62.31,1.539926,15.887218,19.358048,4.47694,4.48551,2.96329,3.79461
85,45,47,36,45,3567.2,3567.2,8662,8449,1550389,1550389,1550389,13227861,13227323,13227592,14093576,14085592,14089584,513019,397595,293665,204127,207.8,114.9,1.664,155.85,124.68,62.34,1.550389,13.227592,14.089584,5.13019,3.97595,2.93665,2.04127
90,45,47,36,45,3567.2,3567.2,8662,8449,993406,993395,993400.5,12413353,8821846,10617599.5,9634790,9635795,9635292.5,303546,252752,291088,201318,207.8,115,1.666,155.85,124.68,62.34,0.9934005,10.6175995,9.6352925,3.03546,2.52752,2.91088,2.01318
95,45,48,36,45,3567.2,3567.2,8662,8449,778810,778779,778794.5,13920148,12441064,13180606,18484433,18475666,18480049.5,318918,198767,400894,530338,207.9,115,1.664,155.925,124.74,62.37,0.7787945,13.180606,18.4800495,3.18918,1.98767,4.00894,5.30338
100,45,47,36,45,3645.6,3567.2,8662,8449,1534025,1534067,1534046,16122909,13918907,15020908,16182079,16189306,16185692.5,378455,257414,375202,343453,207.9,114.8,1.665,155.925,124.74,62.37,1.534046,15.020908,16.1856925,3.78455,2.57414,3.75202,3.43453
105,45,47,36,45,3645.6,3567.2,8662,8449,1542119,1542119,1542119,16254141,16125954,16190047.5,22613635,22614317,22613976,436647,227831,379046,633915,208,114.9,1.668,156,124.8,62.4,1.542119,16.1900475,22.613976,4.36647,2.27831,3.79046,6.33915
110,45,47,36,45,3567.2,3567.2,8662,8449,1538623,1538623,1538623,13996823,16252125,15124474,20688823,20697104,20692963.5,374441,256217,296956,543338,208.2,114.9,1.663,156.15,124.92,62.46,1.538623,15.124474,20.6929635,3.74441,2.56217,2.96956,5.43338
115,45,47,36,45,3567.2,3567.2,8662,8449,1543246,1543246,1543246,13331004,13996882,13663943,15110365,15113004,15111684.5,520554,383912,287476,202700,207.7,114.9,1.67,155.775,124.62,62.31,1.543246,13.663943,15.1116845,5.20554,3.83912,2.87476,2.027
120,45,47,36,45,3567.2,3645.6,8662,8449,1555993,1555993,1555993,16085580,13332419,14708999.5,14108101,14109406,14108753.5,507892,431884,298710,220685,207.6,114.9,1.74,155.7,124.56,62.28,1.555993,14.7089995,14.1087535,5.07892,4.31884,2.9871,2.20685
125,45,47,36,45,3567.2,3645.6,8662,8662,1551187,1551145,1551166,14325661,16083326,15204493.5,21444177,21423600,21433888.5,488469,433752,342674,559441,207.6,115,1.662,155.7,124.56,62.28,1.551166,15.2044935,21.4338885,4.88469,4.33752,3.42674,5.59441
130,45,47,36,45,3567.2,3645.6,8662,8449,1535870,1535912,1535891,16182770,14326986,15254878,15936185,15943800,15939992.5,476287,370499,335232,203068,207.7,114.9,1.664,155.775,124.62,62.31,1.535891,15.254878,15.9399925,4.76287,3.70499,3.35232,2.03068
135,45,47,36,45,3567.2,3567.2,8662,8449,1530655,1530655,1530655,4401535,16179764,10290649.5,22081984,22082097,22082040.5,479481,383690,18667,486055,207.7,115,1.664,155.775,124.62,62.31,1.530655,10.2906495,22.0820405,4.79481,3.8369,0.18667,4.86055
