Time CPU_0_Temp CPU_1_Temp Ambient_Temp0 Ambient_Temp1 Blower_Fan_0 Blower_Fan_1 Axial_Fan_0 Axial_Fan_1
0 44 47 35 44 3567.200 3645.600 8662 8236
5 44 47 35 45 3567.200 3645.600 8662 8449
10 44 47 35 44 3567.200 3567.200 8449 8236
15 44 47 35 44 3567.200 3567.200 8449 8449
20 44 47 35 44 3567.200 3567.200 8662 8236
25 44 47 35 44 3567.200 3567.200 8449 8236
30 44 46 35 45 3567.200 3567.200 8449 8236
35 45 46 35 45 3567.200 3567.200 8449 8449
40 44 47 35 44 3645.600 3567.200 8662 8236
45 44 47 35 44 3645.600 3645.600 8449 8236
50 45 47 35 45 3567.200 3567.200 8449 8449
55 44 46 35 44 3567.200 3567.200 8449 8449
60 45 46 35 45 3567.200 3567.200 8449 8449
65 44 47 35 45 3567.200 3567.200 8662 8236
70 44 46 35 45 3488.800 3567.200 8449 8236
75 44 47 35 45 3567.200 3567.200 8662 8236
80 44 47 35 45 3567.200 3567.200 8662 8449
85 44 47 35 45 3567.200 3645.600 8449 8449
90 45 47 35 45 3567.200 3567.200 8449 8236
95 44 47 35 44 3567.200 3567.200 8662 8236
100 45 47 35 45 3645.600 3645.600 8662 8236
105 44 47 35 44 3567.200 3567.200 8662 8449
110 44 47 35 44 3567.200 3567.200 8662 8449
115 44 47 35 45 3567.200 3567.200 8662 8236
120 45 47 35 45 3567.200 3567.200 8662 8236
125 44 47 35 45 3567.200 3567.200 8449 8236
130 45 47 35 44 3488.800 3567.200 8449 8236
135 44 47 35 45 3567.200 3645.600 8662 8449
140 45 47 35 45 3567.200 3567.200 8662 8236
145 44 47 35 45 3567.200 3567.200 8662 8236
150 44 47 35 45 3488.800 3567.200 8662 8449
155 45 47 35 45 3567.200 3567.200 8662 8236
160 45 47 35 45 3488.800 3567.200 8662 8236
165 44 47 35 45 3567.200 3567.200 8662 8449
170 45 47 35 45 3567.200 3567.200 8662 8236
175 44 47 35 45 3567.200 3567.200 8449 8449
180 45 47 35 45 3567.200 3567.200 8662 8449
185 45 47 35 45 3567.200 3645.600 8662 8236
190 44 47 35 45 3567.200 3567.200 8662 8236
195 44 47 35 45 3567.200 3567.200 8662 8449
200 45 47 35 45 3567.200 3567.200 8662 8236
205 44 47 35 45 3567.200 3645.600 8662 8449
210 45 47 35 45 3567.200 3567.200 8662 8236
215 45 47 35 45 3567.200 3645.600 8662 8236
220 44 47 35 45 3567.200 3567.200 8662 8236
225 45 47 35 45 3645.600 3567.200 8662 8449
230 45 47 35 45 3567.200 3567.200 8662 8236
235 45 47 35 45 3567.200 3567.200 8662 8449
240 45 47 36 45 3567.200 3645.600 8662 8236
245 45 47 35 45 3567.200 3567.200 8662 8449
250 45 47 35 45 3567.200 3645.600 8449 8236
255 45 47 35 45 3567.200 3567.200 8662 8236
260 45 47 35 45 3567.200 3567.200 8662 8449
265 45 47 35 45 3567.200 3567.200 8662 8449
270 45 48 36 45 3645.600 3567.200 8449 8449
275 45 49 35 45 3567.200 3645.600 8662 8236
280 45 50 36 45 3567.200 3567.200 8662 8449
285 45 50 35 45 3567.200 3645.600 8662 8449
290 45 50 36 45 3645.600 3567.200 8662 8236
295 45 50 36 45 3567.200 3567.200 8662 8449
300 45 50 36 45 3567.200 3567.200 8662 8236
305 45 51 36 46 3567.200 3645.600 8449 8236
310 45 50 36 46 3567.200 3567.200 8662 8023
315 45 50 36 46 3488.800 3567.200 8662 8236
320 45 51 36 46 3567.200 3645.600 8662 8236
325 45 51 36 46 3567.200 3567.200 8662 8236
330 45 51 36 46 3567.200 3567.200 8662 8236
335 45 51 36 46 3567.200 3567.200 8662 8236
340 45 51 36 46 3567.200 3645.600 8662 8449
345 45 51 36 46 3567.200 3567.200 8662 8236
