 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6771580 7812932 23 218 16 0 0  0 16  1  0  0  0  454  240  208  1  0 98
 0 0 0 6800664 7842944 149 2093 0 0 0 0  0  0  0  0  0  547 1845  269  0  3 97
 0 0 0 6800364 7842832 149 1843 0 1 1 0  0  0  0  0  0  494 1507  275  0  3 97
 0 0 0 6800648 7842968 148 1840 0 0 0 0  0  0  0  0  0  515 1503  322  0  3 97
 0 0 0 6800364 7842832 148 1839 0 0 0 0  0  0  0  0  0  500 1485  269  0  3 97
 0 0 0 6800644 7842964 148 1841 0 0 0 0  0  0  0  0  0  490 1500  277  0  3 97
 0 0 0 6800388 7842852 148 1839 0 0 0 0  0  0  0  0  0  493 1486  270  0  3 97
 0 0 0 6800644 7842960 149 1841 0 1 1 0  0  0  0  0  0  529 1500  317  0  3 97
 0 0 0 6800392 7842852 148 1838 0 0 0 0  0  0  0  0  0  487 1484  267  0  3 97
 0 0 0 6800336 7842812 106 1239 0 0 0 0  0  0  0  0  0  458 1306  286  0  3 97
 0 0 0 6800620 7842936 43 602 0 0  0  0  0  0  0  0  0  440  790  241  0  0 100
 0 0 0 6799796 7842932 149 1843 0 0 0 0  0  0  0  0  0  505 1551  305  1  3 96
 0 0 0 6796224 7842780 148 1838 0 0 0 0  0  0  0  0  0  505 1485  308  0  3 97
 0 0 0 6796508 7842916 148 1839 0 0 0 0  0  0  0  0  0  522 1499  313  0  3 97
 0 0 0 6796252 7842804 149 1842 0 1 1 0  0  1  0  0  0  517 1488  315  0  3 97
 0 0 0 6796508 7842912 148 1842 0 0 0 0  0  0  0  0  0  491 1510  277  0  3 97
 0 0 0 6796256 7842800 148 1839 0 0 0 0  0  0  0  0  0  495 1484  266  0  3 97
 0 0 0 6796224 7842768 148 1840 0 0 0 0  0  0  0  0  0  518 1503  323  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6796508 7842904 148 1838 0 0 0 0  0  0  0  0  0  488 1484  269  0  3 97
 0 0 0 6796224 7842764 122 1181 0 2 2 0  0  0  0  0  0  503 1596  247  0  3 97
 0 0 0 6796484 7842884 58 823 0 0  0  0  0  0  0  0  0  457  892  228  0  0 99
 0 0 0 6796484 7842876 148 1839 0 0 0 0  0  0  0  0  0  487 1502  273  0  3 97
 0 0 0 6796228 7842768 148 1839 0 0 0 0  0  0  0  0  0  511 1484  314  0  3 97
 0 0 0 6796484 7842876 148 1841 0 0 0 0  0  0  0  0  0  519 1501  323  0  3 97
 0 0 0 6796232 7842768 148 1839 0 0 0 0  0  0  0  0  0  515 1486  307  0  3 97
 0 0 0 6796200 7842736 149 1842 0 1 1 0  0  1  0  0  0  549 1501  321  0  3 97
 0 0 0 6796484 7842872 147 1837 0 0 0 0  0  0  0  0  0  488 1484  271  0  3 97
 0 0 0 6796200 7842740 149 1842 0 0 0 0  0  0  0  0  0  498 1507  277  0  3 97
 0 0 0 6796484 7842876 148 1838 0 0 0 0  0  0  0  0  0  516 1484  311  0  3 97
 0 0 0 6796228 7842768 91 1017 0 0 0  0  0  0  0  0  0  455 1133  232  0  2 97
