Time CPU_0_Temp CPU_1_Temp Ambient_Temp0 Ambient_Temp1 Blower_Fan_0 Blower_Fan_1 Axial_Fan_0 Axial_Fan_1
0 47 49 38 47 3567.200 3645.600 8662 8449
5 46 49 38 47 3567.200 3645.600 8662 8449
10 47 49 38 47 3645.600 3567.200 8662 8449
15 46 49 38 47 3567.200 3567.200 8662 8236
20 47 49 38 47 3567.200 3567.200 8662 8449
25 46 48 38 47 3567.200 3645.600 8662 8662
30 46 49 38 47 3567.200 3645.600 8662 8449
35 46 49 38 47 3567.200 3567.200 8449 8449
40 46 49 38 47 3567.200 3567.200 8449 8449
45 46 49 38 47 3567.200 3645.600 8662 8449
50 46 49 38 47 3645.600 3567.200 8662 8662
55 46 49 38 47 3567.200 3567.200 8662 8449
60 46 49 38 47 3567.200 3567.200 8662 8449
65 46 49 38 47 3645.600 3567.200 8662 8449
70 46 49 38 47 3567.200 3567.200 8662 8662
75 46 49 37 47 3567.200 3567.200 8662 8449
80 46 49 37 47 3567.200 3645.600 8662 8449
85 46 49 37 47 3567.200 3567.200 8662 8449
90 46 48 37 47 3567.200 3567.200 8662 8449
95 46 48 37 47 3567.200 3645.600 8662 8449
100 46 48 37 47 3567.200 3645.600 8662 8449
105 45 48 37 47 3567.200 3567.200 8875 8449
110 46 48 37 46 3567.200 3645.600 8662 8449
115 46 48 37 47 3567.200 3645.600 8662 8449
120 46 48 37 46 3567.200 3567.200 8662 8449
125 46 48 37 46 3567.200 3567.200 8662 8449
130 45 48 37 46 3567.200 3645.600 8449 8449
135 45 48 37 46 3567.200 3567.200 8662 8449
140 45 48 37 46 3567.200 3567.200 8449 8449
145 45 48 37 46 3567.200 3645.600 8662 8449
150 45 48 37 46 3567.200 3567.200 8662 8449
155 45 48 37 47 3998.400 4429.600 8662 8662
160 45 47 37 46 3567.200 3645.600 8662 8449
165 45 47 37 46 3567.200 3567.200 8449 8449
170 45 47 37 46 3645.600 3645.600 8662 8449
175 45 47 37 46 3567.200 3567.200 8662 8449
180 45 47 37 46 3567.200 3567.200 8662 8449
185 45 47 37 46 3567.200 3567.200 8449 8449
190 45 47 37 46 3567.200 3567.200 8662 8662
195 45 47 37 46 3567.200 3645.600 8662 8662
200 45 47 37 46 3567.200 3567.200 8449 8449
205 45 47 37 46 3567.200 3567.200 8662 8449
210 45 47 37 46 3645.600 3567.200 8662 8449
215 45 47 37 46 3645.600 3567.200 8662 8449
220 45 47 37 46 3567.200 3567.200 8875 8449
225 44 47 36 45 3567.200 3567.200 8662 8662
230 45 47 36 46 3567.200 3567.200 8662 8662
235 44 47 36 46 3567.200 3645.600 8662 8449
240 44 47 36 45 3567.200 3567.200 8662 8449
245 44 47 36 45 3567.200 3567.200 8449 8449
250 45 47 36 45 3567.200 3645.600 8662 8449
255 44 47 36 45 3567.200 3567.200 8662 8449
260 44 47 36 45 3645.600 3567.200 8662 8449
265 44 47 36 45 3567.200 3567.200 8662 8662
270 45 47 36 45 3567.200 3567.200 8662 8449
275 44 48 36 45 3567.200 3645.600 8662 8449
280 44 49 36 45 3567.200 3645.600 8662 8449
285 44 48 36 45 3567.200 3567.200 8449 8449
290 44 48 36 46 3488.800 3567.200 8662 8449
295 44 49 36 46 3567.200 3567.200 8449 8449
300 44 49 36 46 3567.200 3567.200 8662 8449
305 45 48 36 46 3567.200 3567.200 8662 8449
310 44 49 36 46 3567.200 3567.200 8662 8449
315 44 50 36 46 3567.200 3645.600 8662 8449
320 44 50 36 46 3567.200 3567.200 8662 8449
325 44 50 36 46 3567.200 3567.200 8662 8449
330 45 49 36 46 3567.200 3567.200 8662 8449
335 44 50 36 47 3567.200 3567.200 8662 8449
340 44 50 36 47 3488.800 3567.200 8662 8449
345 44 50 36 47 3645.600 3567.200 8662 8449
350 44 50 36 47 3488.800 3567.200 8662 8449
355 44 50 36 47 3567.200 3567.200 8662 8449
360 44 50 36 47 3567.200 3567.200 8662 8449
365 44 51 36 47 3567.200 3645.600 8449 8236
370 44 50 36 47 3567.200 3567.200 8662 8449
375 44 50 36 47 3567.200 3567.200 8662 8449
380 44 51 36 47 3567.200 3567.200 8662 8449
385 44 51 36 47 3645.600 3645.600 8662 8449
390 44 50 36 47 3488.800 3567.200 8662 8662
395 44 50 36 47 3567.200 3567.200 8662 8449
400 44 50 36 47 3567.200 3567.200 8662 8662
405 44 51 36 47 3567.200 3567.200 8662 8449
410 44 50 36 47 3567.200 3567.200 8449 8662
415 44 51 36 47 3567.200 3567.200 8449 8449
420 44 51 36 47 3567.200 3567.200 8662 8449
425 44 51 36 47 3567.200 3645.600 8662 8449
430 44 51 36 47 3567.200 3567.200 8662 8449
435 44 51 36 47 3567.200 3567.200 8662 8449
440 44 51 36 47 3567.200 3567.200 8662 8449
445 44 50 36 47 3567.200 3645.600 8662 8449
450 44 51 36 48 3567.200 3567.200 8449 8449
455 44 51 36 47 3567.200 3645.600 8662 8449
460 44 51 36 48 3567.200 3567.200 8662 8449
465 44 51 36 47 3567.200 3567.200 8662 8449
470 44 50 36 47 3567.200 3567.200 8662 8449
475 44 51 36 48 3645.600 3567.200 8662 8449
480 44 51 36 47 3567.200 3567.200 8449 8449
485 44 50 36 47 3488.800 3567.200 8449 8449
490 44 51 36 48 3488.800 3567.200 8449 8449
495 44 50 36 48 3567.200 3645.600 8662 8449
500 44 51 36 48 3567.200 3567.200 8662 8449
505 44 51 36 47 3567.200 3567.200 8662 8449
510 44 51 36 48 3488.800 3567.200 8662 8449
515 44 51 36 48 3645.600 3567.200 8662 8449
520 44 51 36 48 3645.600 3567.200 8662 8449
525 44 51 36 48 3567.200 3567.200 8449 8449
530 44 51 36 48 3567.200 3567.200 8662 8449
535 44 51 36 48 3567.200 3567.200 8662 8449
540 44 50 36 48 3567.200 3645.600 8662 8662
545 44 51 36 47 3567.200 3645.600 8662 8449
550 44 51 36 48 3567.200 3567.200 8662 8662
555 44 51 36 47 3567.200 3645.600 8662 8449
560 44 51 36 48 3645.600 3645.600 8662 8449
565 44 51 36 48 3567.200 3567.200 8662 8449
570 44 51 36 48 3645.600 3567.200 8662 8449
575 44 51 36 48 3567.200 3567.200 8662 8662
580 44 51 36 47 3567.200 3567.200 8662 8449
585 44 51 36 48 3567.200 3567.200 8662 8449
590 44 51 36 48 3567.200 3645.600 8662 8449
595 43 50 36 48 3567.200 3645.600 8662 8662
600 44 51 36 48 3567.200 3567.200 8662 8449
605 44 51 36 48 3567.200 3567.200 8662 8449
610 44 50 36 47 3567.200 3645.600 8662 8449
615 44 51 36 48 3567.200 3567.200 8662 8449
620 44 51 36 47 3567.200 3567.200 8662 8449
625 44 51 36 48 3567.200 3567.200 8662 8449
630 44 50 36 48 3567.200 3567.200 8662 8449
635 44 51 36 47 3488.800 3567.200 8875 8662
640 43 51 36 48 3567.200 3645.600 8662 8449
645 43 51 36 48 3567.200 3567.200 8662 8449
650 44 51 36 48 3645.600 3567.200 8662 8662
655 44 51 36 48 3567.200 3567.200 8449 8449
660 44 51 36 47 3567.200 3567.200 8449 8449
665 44 50 36 47 3567.200 3567.200 8449 8449
670 44 50 36 48 3567.200 3567.200 8449 8449
675 43 50 36 48 3567.200 3567.200 8662 8449
680 44 50 36 48 3567.200 3567.200 8662 8449
685 44 50 36 48 3567.200 3567.200 8662 8449
690 43 51 36 47 3488.800 3567.200 8449 8449
695 44 50 36 48 3567.200 3645.600 8662 8662
700 44 51 36 48 3567.200 3567.200 8662 8449
705 43 50 36 47 3567.200 3645.600 8662 8662
710 43 50 36 47 3567.200 3567.200 8662 8449
715 43 51 36 47 3567.200 3645.600 8662 8662
720 44 51 35 48 3567.200 3567.200 8449 8449
725 43 51 36 48 3567.200 3567.200 8662 8449
730 43 51 35 47 3567.200 3567.200 8662 8449
735 43 51 35 47 3567.200 3567.200 8662 8449
740 43 50 35 48 3567.200 3645.600 8662 8449
745 44 50 36 47 3567.200 3567.200 8662 8449
750 44 51 35 48 3567.200 3567.200 8662 8449
755 43 50 35 47 3567.200 3567.200 8662 8449
760 43 51 35 48 3567.200 3567.200 8662 8449
765 43 50 35 47 3488.800 3567.200 8449 8449
770 43 51 35 47 3567.200 3567.200 8662 8449
775 43 51 35 47 3567.200 3567.200 8662 8449
780 43 50 35 47 3567.200 3567.200 8875 8662
785 44 49 35 47 3567.200 3567.200 8662 8449
790 43 51 35 47 3567.200 3567.200 8662 8449
795 43 50 35 48 3567.200 3567.200 8662 8449
800 44 50 35 47 3567.200 3567.200 8662 8449
805 43 50 35 47 3567.200 3567.200 8449 8449
810 43 50 35 47 3567.200 3645.600 8449 8449
815 43 50 35 47 3567.200 3567.200 8662 8662
820 44 50 35 47 3567.200 3567.200 8662 8449
825 43 51 35 47 3567.200 3567.200 8662 8449
830 43 50 35 47 3645.600 3567.200 8449 8449
835 43 50 35 47 3567.200 3567.200 8662 8449
840 43 51 35 47 3567.200 3645.600 8662 8449
845 43 50 35 47 3567.200 3567.200 8449 8449
850 43 50 35 47 3567.200 3567.200 8662 8449
855 43 50 35 47 3488.800 3567.200 8662 8449
860 43 50 35 47 3567.200 3567.200 8662 8662
865 43 50 35 47 3567.200 3567.200 8662 8449
870 43 50 35 47 3567.200 3567.200 8662 8449
875 43 50 35 47 3567.200 3645.600 8662 8449
880 43 50 35 47 3567.200 3567.200 8662 8449
885 43 50 35 47 3567.200 3567.200 8662 8449
890 43 50 35 47 3567.200 3567.200 8662 8449
895 43 50 35 47 3567.200 3645.600 8662 8449
900 43 50 35 47 3567.200 3645.600 8875 8449
905 43 50 35 47 3567.200 3567.200 8662 8449
910 43 50 35 47 3567.200 3567.200 8875 8449
915 43 50 35 47 3567.200 3645.600 8662 8449
920 43 50 35 47 3567.200 3645.600 8662 8449
925 43 50 35 47 3567.200 3567.200 8662 8449
930 43 50 35 47 3567.200 3645.600 8662 8449
935 43 50 35 47 3567.200 3567.200 8662 8449
940 43 50 35 47 3567.200 3567.200 8449 8449
945 43 50 35 47 3567.200 3567.200 8449 8449
950 43 50 35 47 3567.200 3567.200 8662 8449
955 43 49 35 47 3488.800 3567.200 8662 8449
960 43 50 35 47 3567.200 3645.600 8449 8449
965 43 50 35 47 3567.200 3567.200 8662 8662
970 43 50 35 47 3645.600 3645.600 8662 8449
975 43 50 35 47 3567.200 3567.200 8662 8449
980 43 50 35 47 3567.200 3567.200 8662 8449
985 43 49 35 47 3567.200 3645.600 8662 8449
990 43 50 35 47 3567.200 3567.200 8662 8236
995 43 50 35 47 3567.200 3567.200 8662 8449
1000 43 50 35 47 3488.800 3567.200 8662 8236
1005 43 50 35 47 3567.200 3567.200 8662 8449
1010 43 50 35 47 3567.200 3567.200 8662 8662
1015 43 50 35 47 3567.200 3567.200 8662 8449
1020 43 50 35 47 3567.200 3567.200 8662 8449
1025 43 50 35 47 3488.800 3567.200 8662 8449
1030 43 50 35 47 3567.200 3567.200 8662 8449
1035 43 50 35 47 3645.600 3567.200 8662 8449
1040 43 50 35 47 3488.800 3645.600 8449 8449
1045 43 50 35 47 3567.200 3567.200 8662 8662
1050 43 50 35 47 3567.200 3567.200 8662 8449
1055 43 50 35 47 3567.200 3567.200 8449 8662
1060 43 50 35 47 3645.600 3567.200 8662 8449
1065 43 50 35 47 3488.800 3567.200 8662 8449
1070 43 49 35 47 3488.800 3567.200 8662 8449
1075 43 50 35 47 3567.200 3567.200 8662 8449
1080 43 50 35 47 3567.200 3567.200 8449 8449
1085 43 50 35 47 3567.200 3645.600 8662 8449
1090 43 49 35 47 3567.200 3567.200 8662 8449
1095 43 50 35 47 3567.200 3567.200 8662 8449
1100 43 50 35 47 3567.200 3567.200 8662 8449
1105 43 49 35 47 3567.200 3567.200 8449 8449
1110 43 50 35 47 3488.800 3567.200 8662 8449
1115 43 49 35 47 3567.200 3567.200 8662 8449
1120 43 50 35 47 3567.200 3567.200 8662 8662
1125 43 50 35 47 3567.200 3645.600 8449 8449
1130 43 50 35 47 3567.200 3567.200 8662 8449
1135 43 50 35 47 3488.800 3567.200 8662 8449
1140 43 50 35 47 3567.200 3567.200 8662 8449
1145 43 49 35 47 3567.200 3567.200 8662 8236
1150 43 49 35 47 3567.200 3567.200 8662 8449
1155 43 50 35 47 3488.800 3567.200 8662 8449
1160 43 50 35 47 3567.200 3567.200 8662 8449
1165 43 49 35 47 3567.200 3645.600 8662 8449
1170 43 50 35 47 3488.800 3567.200 8662 8662
1175 43 49 35 47 3567.200 3567.200 8662 8449
1180 43 49 35 47 3567.200 3567.200 8662 8449
1185 43 50 35 46 3567.200 3567.200 8662 8449
1190 43 49 35 47 3567.200 3567.200 8662 8449
1195 43 49 35 47 3567.200 3645.600 8662 8662
1200 43 50 35 47 3567.200 3567.200 8662 8662
1205 42 50 35 47 3567.200 3567.200 8662 8449
1210 43 49 35 46 3488.800 3567.200 8449 8449
1215 43 50 35 47 3567.200 3567.200 8662 8449
1220 42 50 35 47 3567.200 3645.600 8662 8449
1225 43 50 35 47 3567.200 3567.200 8449 8449
1230 43 50 35 47 3567.200 3567.200 8662 8449
1235 43 50 35 47 3567.200 3567.200 8662 8449
1240 43 49 35 47 3567.200 3567.200 8662 8449
1245 43 49 35 47 3567.200 3567.200 8662 8449
1250 43 49 35 47 3567.200 3645.600 8662 8449
1255 43 49 35 47 3567.200 3645.600 8662 8449
1260 42 49 35 47 3567.200 3567.200 8662 8449
1265 43 49 35 47 3567.200 3567.200 8662 8449
1270 43 49 35 46 3488.800 3567.200 8449 8449
1275 43 49 35 46 3567.200 3567.200 8662 8449
1280 43 49 35 46 3567.200 3567.200 8662 8449
1285 42 49 35 47 3567.200 3567.200 8662 8449
1290 43 49 35 46 3567.200 3567.200 8662 8449
1295 42 50 35 47 3567.200 3567.200 8662 8449
1300 42 50 35 46 3488.800 3645.600 8662 8449
1305 43 49 35 47 3567.200 3567.200 8662 8449
1310 43 49 35 46 3567.200 3645.600 8662 8449
1315 42 50 35 47 3567.200 3567.200 8662 8449
1320 42 49 34 46 3567.200 3567.200 8662 8449
1325 42 50 35 47 3567.200 3567.200 8662 8449
1330 43 49 35 46 3567.200 3645.600 8662 8662
1335 42 49 35 46 3567.200 3567.200 8662 8449
1340 43 50 35 47 3488.800 3567.200 8662 8449
1345 42 49 35 47 3567.200 3567.200 8875 8449
1350 43 49 35 46 3567.200 3567.200 8662 8449
1355 43 49 35 46 3567.200 3645.600 8449 8449
1360 43 49 35 46 3567.200 3645.600 8662 8449
1365 42 49 35 46 3567.200 3567.200 8662 8449
1370 42 49 35 46 3567.200 3567.200 8449 8236
1375 42 49 35 46 3567.200 3645.600 8449 8449
1380 42 49 35 46 3488.800 3567.200 8662 8662
1385 42 49 34 46 3567.200 3567.200 8662 8662
1390 42 49 35 46 3488.800 3567.200 8449 8449
1395 43 49 34 46 3567.200 3567.200 8662 8449
1400 42 49 35 46 3567.200 3567.200 8662 8449
1405 42 49 34 47 3488.800 3645.600 8662 8449
1410 42 50 34 46 3567.200 3645.600 8662 8449
1415 42 49 34 46 3567.200 3567.200 8662 8662
1420 42 49 34 46 3567.200 3567.200 8662 8449
1425 42 49 34 46 3567.200 3567.200 8449 8449
1430 42 49 34 46 3567.200 3567.200 8662 8449
1435 42 49 34 46 3567.200 3645.600 8662 8449
1440 42 49 34 46 3567.200 3645.600 8449 8449
1445 42 49 34 46 3567.200 3645.600 8662 8449
1450 42 49 34 46 3488.800 3645.600 8662 8449
1455 42 49 34 46 3488.800 3567.200 8449 8449
1460 42 49 34 46 3488.800 3567.200 8662 8449
1465 42 50 34 46 3567.200 3645.600 8662 8449
1470 42 49 34 46 3567.200 3567.200 8662 8449
1475 42 49 34 46 3488.800 3567.200 8449 8449
1480 42 49 34 46 3567.200 3567.200 8449 8449
1485 42 49 34 46 3567.200 3567.200 8449 8449
1490 42 48 34 46 3567.200 3567.200 8662 8449
1495 42 47 34 46 3567.200 3567.200 8662 8449
1500 42 48 34 46 3488.800 3567.200 8662 8236
1505 42 47 34 46 3567.200 3567.200 8662 8449
1510 42 47 34 46 3567.200 3567.200 8662 8449
1515 42 47 34 46 3567.200 3567.200 8662 8449
1520 42 47 34 45 3567.200 3567.200 8662 8449
1525 42 46 34 45 3645.600 3567.200 8662 8449
1530 42 46 34 45 3567.200 3567.200 8662 8449
1535 42 46 34 45 3567.200 3567.200 8662 8449
1540 42 46 34 45 3567.200 3567.200 8449 8449
1545 42 46 34 45 3488.800 3567.200 8662 8449
1550 42 46 34 45 3645.600 3567.200 8662 8662
1555 42 46 34 45 3567.200 3567.200 8662 8449
1560 42 46 34 45 3488.800 3645.600 8662 8449
1565 42 46 34 45 3567.200 3567.200 8662 8449
1570 42 46 34 44 3567.200 3567.200 8662 8449
1575 42 46 34 44 3567.200 3645.600 8449 8449
1580 42 45 34 44 3567.200 3645.600 8662 8449
1585 42 46 34 44 3567.200 3567.200 8662 8449
1590 42 45 34 44 3567.200 3567.200 8662 8449
1595 42 45 34 44 3567.200 3567.200 8662 8449
1600 42 45 34 44 3567.200 3567.200 8662 8449
1605 42 45 34 44 3567.200 3567.200 8662 8449
1610 42 45 34 44 3567.200 3567.200 8449 8236
1615 42 45 34 44 3488.800 3567.200 8662 8449
1620 42 45 34 44 3567.200 3567.200 8662 8449
1625 42 45 34 44 3567.200 3645.600 8662 8449
1630 42 45 34 44 3567.200 3567.200 8449 8449
1635 42 44 34 44 3567.200 3567.200 8662 8449
1640 42 45 34 44 3488.800 3567.200 8662 8236
1645 42 44 34 43 3567.200 3645.600 8662 8449
1650 42 44 34 43 3567.200 3567.200 8449 8449
1655 42 45 34 43 3488.800 3567.200 8662 8449
1660 42 45 34 43 3567.200 3567.200 8662 8449
1665 42 44 34 43 3567.200 3567.200 8662 8449
1670 42 44 34 43 3567.200 3645.600 8662 8449
1675 42 45 34 43 3645.600 3645.600 8449 8662
1680 42 45 34 43 3567.200 3567.200 8662 8449
1685 42 44 34 43 3567.200 3567.200 8662 8236
1690 42 45 34 43 3567.200 3567.200 8662 8449
1695 42 45 34 43 3567.200 3567.200 8662 8449
1700 42 45 34 43 3488.800 3567.200 8662 8449
1705 42 45 34 43 3567.200 3645.600 8662 8449
1710 42 45 34 43 3567.200 3567.200 8662 8449
1715 42 44 34 43 3567.200 3567.200 8449 8449
1720 42 44 34 43 3488.800 3567.200 8662 8449
1725 42 44 34 43 3567.200 3567.200 8662 8449
1730 42 44 34 43 3567.200 3567.200 8662 8236
1735 42 44 34 43 3567.200 3567.200 8662 8449
1740 42 44 34 43 3567.200 3567.200 8662 8449
1745 42 44 34 43 3567.200 3645.600 8662 8449
1750 42 44 33 43 3567.200 3567.200 8662 8449
1755 42 44 33 43 3567.200 3567.200 8662 8662
1760 42 44 33 43 3488.800 3645.600 8662 8449
1765 42 44 33 43 3567.200 3567.200 8662 8449
1770 42 44 33 43 3645.600 3645.600 8662 8449
1775 42 44 33 43 3567.200 3567.200 8449 8449
1780 42 44 33 43 3488.800 3567.200 8662 8449
1785 42 44 33 43 3488.800 3645.600 8662 8449
1790 42 44 33 43 3567.200 3567.200 8662 8449
1795 42 44 33 43 3567.200 3567.200 8662 8449
1800 42 44 33 43 3567.200 3567.200 8662 8449
