 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6660092 7670556 133 1487 21 0 0 0 56 3  0  0  0  582 1511  417 11  3 86
 0 0 0 6805964 7812936 140 2060 0 0 0 0  0  0  0  0  0  565 1838  273  0  3 97
 0 0 0 6806032 7812976 144 1829 0 0 0 0  0  0  0  0  0  534 1506  283  0  3 97
 0 0 0 6805748 7812840 144 1825 0 0 0 0  0  0  0  0  0  509 1487  270  0  3 97
 0 0 0 6806032 7812976 144 1825 0 0 0 0  0  0  0  0  0  510 1499  276  0  3 97
 0 0 0 6805888 7812956 144 1823 0 1 1 0  0  0  0  0  0  505 1484  272  0  3 97
 0 0 0 6806032 7812972 144 1828 0 0 0 0  0  0  0  0  0  539 1568  335  0  3 97
 0 0 0 6805776 7812864 144 1824 0 0 0 0  0  0  0  0  0  519 1484  268  0  3 97
 0 0 0 6806032 7812972 144 1826 0 0 0 0  0  0  0  0  0  524 1500  273  0  3 97
 0 0 0 6805756 7812852 142 1779 0 0 0 0  0  0  0  0  0  509 1467  269  0  3 97
 0 0 0 6806008 7812948 2 49  0  1  1  0  0  1  0  0  0  451  564  194  0  0 100
 0 0 0 6805724 7812812 144 1824 0 0 0 0  0  0  0  0  0  509 1486  269  0  3 97
 0 0 0 6806008 7812948 144 1825 0 0 0 0  0  0  0  0  0  507 1502  277  0  3 97
 0 0 0 6805724 7812812 144 1828 0 0 0 0  0  0  0  0  0  510 1487  272  0  3 97
 0 0 0 6806004 7812940 144 1824 0 0 0 0  0  0  0  0  0  509 1499  271  0  3 97
 0 0 0 6805748 7812832 144 1825 0 0 0 0  0  0  0  0  0  507 1486  267  0  3 97
 0 0 0 6806004 7812936 144 1825 0 0 0 0  0  0  0  0  0  545 1500  305  0  3 97
 0 0 0 6805752 7812828 144 1824 0 1 1 0  0  0  0  0  0  509 1489  270  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6805720 7812796 144 1827 0 0 0 0  0  0  0  0  0  502 1504  273  0  3 97
 0 0 0 6806004 7812932 119 1463 0 0 0 0  0  0  0  0  0  470 1319  252  0  3 97
 0 0 0 6805980 7812920 25 361 0 0  0  0  0  0  0  0  0  459  705  225  0  0 100
 0 0 0 6805696 7812776 144 1827 0 0 0 0  0  0  0  0  0  511 1500  273  0  3 97
 0 0 0 6805980 7812920 144 1824 0 0 0 0  0  1  0  0  0  530 1504  272  0  3 97
 0 0 0 6805724 7812812 148 1902 0 1 1 0  0  0  0  0  0  517 1515  272  0  3 97
 0 0 0 6805980 7812920 144 1826 0 0 0 0  0  0  0  0  0  502 1503  275  0  3 97
 0 0 0 6805728 7812808 144 1826 0 0 0 0  0  0  0  0  0  528 1486  299  0  3 97
