Time CPU_0_Temp CPU_1_Temp Ambient_Temp0 Ambient_Temp1 Blower_Fan_0 Blower_Fan_1 Axial_Fan_0 Axial_Fan_1
0 41 43 32 41 3488.800 3567.200 8449 8449
5 41 43 32 41 3488.800 3567.200 8662 8662
10 41 43 32 42 3488.800 3567.200 8449 8449
15 41 43 32 41 3567.200 3567.200 8449 8662
20 41 43 32 41 3567.200 3567.200 8662 8449
25 41 43 32 41 3567.200 3567.200 8662 8449
30 41 43 32 41 3567.200 3567.200 8449 8449
35 41 43 32 41 3567.200 3567.200 8449 8662
40 41 43 32 41 3567.200 3645.600 8662 8662
45 41 43 32 41 3567.200 3567.200 8449 8449
50 41 43 32 41 3567.200 3567.200 8662 8449
55 41 43 32 41 3567.200 3567.200 8662 8449
60 41 43 32 41 3567.200 3567.200 8449 8449
65 41 43 32 41 3567.200 3567.200 8449 8449
70 41 43 32 42 3567.200 3567.200 8449 8662
75 41 43 32 41 3488.800 3567.200 8662 8449
80 41 43 32 41 3488.800 3567.200 8662 8662
85 41 43 32 41 3567.200 3567.200 8662 8449
90 41 43 32 41 3567.200 3567.200 8662 8449
95 41 43 32 41 3567.200 3567.200 8662 8449
100 41 43 32 41 3567.200 3567.200 8662 8662
105 41 43 32 41 3567.200 3645.600 8662 8662
110 41 43 32 41 3567.200 3567.200 8662 8662
115 41 43 32 41 3567.200 3567.200 8662 8449
120 41 43 32 41 3567.200 3567.200 8662 8449
125 41 43 32 41 3567.200 3567.200 8662 8662
130 41 43 32 41 3488.800 3567.200 8662 8449
135 41 43 32 41 3567.200 3567.200 8449 8662
140 41 43 32 41 3567.200 3567.200 8449 8449
145 41 43 32 41 3567.200 3567.200 8662 8662
150 41 43 32 41 3567.200 3567.200 8449 8449
155 41 43 32 41 3567.200 3567.200 8662 8449
160 41 43 32 41 3567.200 3488.800 8449 8662
165 41 43 32 41 3567.200 3567.200 8449 8662
170 41 43 32 41 3567.200 3567.200 8662 8449
175 41 43 32 41 3567.200 3567.200 8662 8662
180 41 43 32 41 3567.200 3567.200 8449 8662
185 41 43 32 41 3567.200 3567.200 8662 8449
190 41 43 32 41 3488.800 3567.200 8449 8449
195 41 43 32 41 3567.200 3567.200 8449 8662
200 41 43 32 41 3488.800 3567.200 8662 8449
205 41 43 32 41 3567.200 3567.200 8662 8662
210 41 43 32 41 3567.200 3567.200 8449 8449
215 41 43 32 41 3488.800 3567.200 8662 8449
220 41 43 32 41 3567.200 3567.200 8662 8449
225 41 43 32 41 3567.200 3567.200 8449 8449
230 41 43 32 41 3488.800 3567.200 8449 8449
235 41 43 32 41 3567.200 3645.600 8662 8662
240 41 43 32 41 3567.200 3567.200 8662 8662
245 41 43 32 41 3567.200 3567.200 8662 8662
250 41 43 32 41 3567.200 3567.200 8662 8662
255 41 43 32 41 3567.200 3567.200 8662 8662
260 41 43 32 41 3488.800 3567.200 8662 8449
265 41 43 32 41 3488.800 3567.200 8449 8449
270 41 44 32 41 3567.200 3567.200 8662 8449
275 41 44 32 41 3567.200 3567.200 8449 8449
280 42 43 32 41 3567.200 3567.200 8449 8449
285 42 43 32 41 3488.800 3567.200 8449 8449
290 43 43 32 41 3567.200 3567.200 8662 8449
295 43 43 32 41 3567.200 3567.200 8662 8662
300 43 43 32 41 3488.800 3567.200 8662 8662
305 43 43 32 41 3488.800 3567.200 8662 8449
310 44 43 32 41 3488.800 3567.200 8449 8662
315 44 43 32 41 3488.800 3567.200 8662 8662
320 44 43 32 41 3567.200 3567.200 8662 8662
325 44 43 32 41 3567.200 3567.200 8449 8449
330 44 43 32 41 3567.200 3567.200 8449 8662
335 44 43 32 41 3488.800 3567.200 8449 8449
340 44 43 32 41 3567.200 3567.200 8662 8662
345 45 43 32 41 3567.200 3645.600 8449 8662
350 45 43 33 41 3567.200 3567.200 8662 8449
355 44 43 33 41 3488.800 3567.200 8662 8662
360 45 43 33 41 3567.200 3567.200 8662 8662
365 45 43 33 41 3567.200 3567.200 8662 8662
370 45 43 33 41 3488.800 3645.600 8662 8662
375 45 43 33 41 3567.200 3567.200 8662 8662
380 45 43 33 41 3567.200 3645.600 8662 8662
385 45 43 33 41 3488.800 3567.200 8662 8662
390 44 44 33 41 3488.800 3567.200 8449 8662
395 45 43 33 41 3567.200 3567.200 8662 8449
400 45 43 33 41 3567.200 3567.200 8449 8449
405 45 43 33 41 3567.200 3567.200 8449 8662
410 45 43 33 41 3567.200 3567.200 8449 8449
415 45 43 33 41 3567.200 3567.200 8449 8449
420 45 43 33 41 3567.200 3567.200 8662 8662
425 45 43 33 41 3567.200 3567.200 8662 8662
430 45 43 33 41 3488.800 3567.200 8449 8662
435 46 43 33 41 3567.200 3567.200 8449 8662
440 44 44 33 41 3567.200 3567.200 8662 8449
445 45 43 33 41 3567.200 3567.200 8449 8662
450 45 43 33 41 3488.800 3567.200 8662 8662
455 45 44 33 41 3488.800 3567.200 8662 8449
460 46 43 33 41 3567.200 3567.200 8662 8449
465 46 43 33 41 3488.800 3567.200 8662 8449
470 46 43 33 41 3567.200 3567.200 8449 8662
475 46 43 33 41 3567.200 3645.600 8662 8449
480 45 43 33 41 3567.200 3567.200 8662 8449
485 46 43 33 41 3488.800 3567.200 8662 8662
490 45 43 33 41 3567.200 3645.600 8449 8662
495 46 43 33 41 3488.800 3567.200 8449 8449
500 45 43 33 41 3567.200 3567.200 8449 8662
505 46 43 33 41 3567.200 3567.200 8662 8662
510 45 43 33 41 3567.200 3567.200 8449 8449
515 46 43 33 41 3567.200 3567.200 8662 8662
520 45 44 33 41 3567.200 3567.200 8662 8662
525 46 43 33 41 3488.800 3567.200 8662 8662
530 46 43 33 41 3567.200 3567.200 8662 8662
535 46 43 33 41 3567.200 3567.200 8662 8662
540 46 43 33 41 3567.200 3567.200 8449 8662
545 46 43 33 41 3488.800 3567.200 8662 8662
550 45 43 33 41 3567.200 3567.200 8449 8662
555 46 43 33 41 3567.200 3567.200 8449 8449
560 46 43 33 41 3567.200 3567.200 8449 8449
565 46 43 33 41 3488.800 3567.200 8449 8449
570 45 44 33 41 3567.200 3567.200 8662 8449
575 45 43 33 41 3488.800 3567.200 8662 8662
580 46 43 33 41 3567.200 3567.200 8662 8662
585 46 43 33 41 3567.200 3567.200 8449 8662
590 46 43 33 41 3567.200 3567.200 8662 8662
595 46 43 33 41 3488.800 3567.200 8662 8662
600 45 43 33 41 3567.200 3567.200 8662 8662
605 46 43 33 41 3567.200 3567.200 8662 8662
610 46 42 33 41 3567.200 3567.200 8662 8662
615 45 43 33 41 3567.200 3567.200 8662 8449
620 46 43 33 41 3567.200 3567.200 8662 8662
625 46 43 33 41 3488.800 3567.200 8449 8449
630 46 43 33 41 3567.200 3567.200 8662 8662
635 45 44 33 41 3567.200 3567.200 8662 8662
640 45 43 33 41 3488.800 3645.600 8449 8449
645 45 43 33 41 3488.800 3567.200 8662 8449
