 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6434124 7444012 128 1567 12 0 0 0 28 2  0  0  0  552 1425  348 12  3 85
 0 0 0 6783724 7790200 145 2107 0 0 0 0  0  0  0  0  0  575 1929  314  0  3 97
 0 0 0 6783452 7790072 144 1831 0 0 0 0  0  0  0  0  0  540 1506  315  0  3 97
 0 0 0 6783420 7790044 144 1824 0 1 1 0  0  1  0  0  0  536 1498  319  0  3 97
 0 0 0 6783704 7790180 144 1827 0 0 0 0  0  0  0  0  0  505 1493  271  0  3 97
 0 0 0 6783420 7790044 144 1824 0 0 0 0  0  0  0  0  0  530 1499  320  0  3 97
 0 0 0 6783704 7790176 144 1822 0 0 0 0  0  0  0  0  0  529 1484  312  0  3 97
 0 0 0 6783660 7790184 144 1828 0 0 0 0  0  0  0  0  0  538 1506  318  0  3 97
 0 0 0 6783704 7790176 144 1825 0 0 0 0  0  1  0  0  0  529 1486  268  0  3 97
 0 0 0 6783428 7790056 129 1595 0 1 1 0  0  0  0  0  0  502 1394  261  0  3 97
 0 0 0 6783680 7790152 15 231 0 0  0  0  0  0  0  0  0  434  634  192  0  0 100
 0 0 0 6783396 7790016 144 1824 0 0 0 0  0  0  0  0  0  517 1499  271  0  3 97
 0 0 0 6783680 7790156 144 1826 0 0 0 0  0  0  0  0  0  531 1490  319  0  3 97
 0 0 0 6783396 7790020 144 1824 0 0 0 0  0  0  0  0  0  539 1504  317  0  3 97
 0 0 0 6783680 7790152 144 1825 0 0 0 0  0  1  0  0  0  518 1486  268  0  3 97
 0 0 0 6783592 7790112 144 1827 0 1 1 0  0  0  0  0  0  516 1501  276  0  3 97
 0 0 0 6783680 7790148 144 1825 0 0 0 0  0  0  0  0  0  505 1491  271  0  3 97
 0 0 0 6783428 7790040 144 1825 0 0 0 0  0  0  0  0  0  502 1500  272  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6783652 7790140 144 1827 0 0 0 0  0  0  0  0  0  511 1488  307  0  3 97
 0 0 0 6783680 7790144 103 1211 0 0 0 0  0  0  0  0  0  514 1228  289  0  3 97
 0 0 0 6783656 7790132 41 615 0 0  0  0  0  1  0  0  0  467  801  216  0  1 99
 0 0 0 6783372 7789988 144 1826 0 1 1 0  0  2  0  0  0  540 1500  323  0  3 97
 0 0 0 6783656 7790124 144 1824 0 0 0 0  0  0  0  0  0  533 1485  316  0  3 97
 0 0 0 6783572 7790092 174 1987 0 3 3 0  0  0  0  0  0  574 1960  334  0  3 97
 0 0 0 6783656 7790136 144 1825 0 0 0 0  0  0  0  0  0  533 1491  313  0  3 97
 0 0 0 6783400 7790028 144 1824 0 0 0 0  0  0  0  0  0  552 1565  352  0  3 97
 0 0 0 6783616 7790156 144 1826 0 0 0 0  0  1  0  0  0  547 1486  314  0  3 97
 0 0 0 6783656 7790132 144 1825 0 1 1 0  0  0  0  0  0  541 1499  323  0  3 97
 0 0 0 6783372 7789996 144 1824 0 0 0 0  0  0  0  0  0  531 1488  320  0  3 97
 0 0 0 6783656 7790132 88 1009 0 0 0  0  0  0  0  0  0  493 1134  270  0  3 97
 0 0 0 6783656 7790136 56 817 0 0  0  0  0  0  0  0  0  468  893  233  0  0 100
 0 0 0 6783612 7790128 143 1824 0 0 0 0  0  0  0  0  0  538 1501  319  0  3 97
 0 0 0 6783632 7790124 144 1824 0 0 0 0  0  1  0  0  0  523 1485  308  0  3 97
 0 0 0 6783376 7790004 144 1827 0 1 1 0  0  1  0  0  0  527 1500  312  0  3 97
 0 0 0 6783444 7790056 144 1825 0 0 0 0  0  0  0  0  0  526 1489  314  0  3 97
 0 0 0 6783632 7790112 144 1826 0 0 0 0  0  0  0  0  0  537 1500  322  0  3 97
 0 0 0 6783348 7789976 144 1825 0 0 0 0  0  0  0  0  0  527 1486  317  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6783632 7790112 144 1823 0 0 0 0  0  0  0  0  0  539 1501  315  0  3 97
 0 0 0 6783348 7789976 144 1825 0 1 1 0  0  1  0  0  0  565 1486  311  0  3 97
 0 0 0 6783632 7790112 88 1008 0 0 0  0  0  0  0  0  0  473 1132  232  0  3 97
 0 0 0 6783632 7790116 56 817 0 0  0  0  0  0  0  0  0  469  893  221  0  1 99
 0 0 0 6783376 7790004 144 1827 0 0 0 0  0  0  0  0  0  546 1501  318  0  3 97
 0 0 0 6783632 7790112 144 1824 0 0 0 0  0  0  0  0  0  541 1486  311  0  3 97
