Time CPU_0_Temp CPU_1_Temp Ambient_Temp0 Ambient_Temp1 Blower_Fan_0 Blower_Fan_1 Axial_Fan_0 Axial_Fan_1
0 41 42 31 40 3488.800 3567.200 8662 8662
5 40 42 31 40 3567.200 3567.200 8449 8449
10 40 42 31 40 3567.200 3567.200 8449 8449
15 40 42 31 40 3488.800 3567.200 8449 8662
20 40 42 31 40 3488.800 3567.200 8662 8662
25 40 42 31 40 3567.200 3567.200 8662 8449
30 40 42 31 40 3567.200 3567.200 8662 8449
35 40 42 31 40 3488.800 3567.200 8662 8662
40 40 42 31 40 3567.200 3567.200 8662 8449
45 40 42 31 40 3567.200 3567.200 8662 8662
50 40 43 31 40 3567.200 3567.200 8662 8449
55 41 42 31 40 3567.200 3567.200 8449 8449
60 40 42 31 40 3488.800 3567.200 8449 8662
65 40 42 31 40 3567.200 3567.200 8662 8449
70 40 42 31 40 3567.200 3567.200 8449 8662
75 40 42 31 40 3567.200 3567.200 8662 8449
80 40 42 31 40 3567.200 3567.200 8662 8449
85 40 42 31 40 3488.800 3567.200 8449 8449
90 40 43 31 40 3567.200 3567.200 8449 8449
95 41 42 31 40 3567.200 3567.200 8662 8449
100 40 42 31 40 3567.200 3645.600 8449 8449
105 40 42 31 40 3567.200 3567.200 8662 8449
110 40 43 31 40 3567.200 3567.200 8662 8662
115 40 43 31 40 3567.200 3567.200 8662 8449
120 40 42 31 40 3567.200 3567.200 8449 8449
125 40 42 31 40 3567.200 3567.200 8662 8449
130 41 42 31 40 3567.200 3567.200 8662 8449
135 40 43 31 40 3567.200 3567.200 8449 8449
140 40 43 31 40 3567.200 3567.200 8662 8449
145 41 42 31 40 3567.200 3567.200 8662 8662
150 41 43 31 40 3567.200 3567.200 8449 8662
155 41 42 31 40 3567.200 3567.200 8662 8662
160 41 43 31 41 3567.200 3567.200 8662 8662
165 41 42 31 40 3567.200 3567.200 8662 8449
170 41 43 31 40 3567.200 3567.200 8662 8662
175 41 42 31 40 3488.800 3567.200 8662 8662
180 41 42 32 41 3567.200 3567.200 8449 8449
185 41 43 32 40 3567.200 3567.200 8662 8449
