Time CPU_0_Temp CPU_1_Temp Ambient_Temp0 Ambient_Temp1 Blower_Fan_0 Blower_Fan_1 Axial_Fan_0 Axial_Fan_1
0 41 46 33 43 3567.200 3567.200 8662 8449
5 41 46 32 43 3567.200 3567.200 8662 8662
10 41 46 32 43 3567.200 3567.200 8449 8449
15 41 45 32 43 3567.200 3567.200 8662 8662
20 41 45 32 43 3567.200 3567.200 8662 8662
25 41 46 32 43 3567.200 3567.200 8662 8662
30 42 45 33 43 3488.800 3567.200 8662 8449
35 42 45 33 43 3567.200 3567.200 8662 8449
40 41 45 32 43 3567.200 3645.600 8662 8662
45 41 45 33 43 3488.800 3567.200 8449 8449
50 42 45 33 43 3567.200 3645.600 8662 8449
55 42 45 33 43 3567.200 3645.600 8875 8449
60 41 46 33 43 3567.200 3567.200 8662 8449
65 41 45 33 43 3567.200 3567.200 8662 8449
70 41 46 33 43 3567.200 3645.600 8662 8449
75 41 46 33 43 3567.200 3645.600 8662 8662
80 41 46 33 43 3567.200 3645.600 8662 8449
85 41 46 33 43 3567.200 3567.200 8662 8662
90 41 46 33 43 3567.200 3567.200 8662 8662
95 41 46 33 43 3567.200 3567.200 8662 8662
100 41 46 33 43 3567.200 3567.200 8662 8449
105 42 45 33 43 3567.200 3567.200 8662 8449
110 42 45 33 43 3567.200 3567.200 8662 8662
115 41 45 33 43 3567.200 3567.200 8662 8662
120 41 46 33 43 3567.200 3567.200 8662 8662
125 41 46 33 43 3488.800 3567.200 8662 8449
130 42 45 33 43 3567.200 3567.200 8662 8449
135 42 45 33 43 3567.200 3567.200 8662 8662
140 41 46 33 43 3567.200 3567.200 8875 8449
145 41 46 33 43 3567.200 3567.200 8662 8449
150 41 46 33 43 3567.200 3567.200 8662 8449
155 42 45 33 43 3567.200 3567.200 8662 8449
160 41 46 33 43 3567.200 3645.600 8662 8662
165 41 46 33 43 3567.200 3567.200 8662 8662
170 42 45 33 43 3567.200 3567.200 8875 8662
175 42 45 33 43 3567.200 3567.200 8662 8449
180 42 45 33 43 3567.200 3567.200 8662 8662
185 42 45 33 43 3567.200 3567.200 8662 8449
190 42 46 33 43 3567.200 3567.200 8662 8662
195 42 46 33 43 3567.200 3567.200 8662 8449
200 42 45 33 43 3567.200 3567.200 8875 8449
205 42 45 33 43 3567.200 3567.200 8662 8662
210 42 46 33 43 3488.800 3567.200 8875 8662
215 42 46 33 43 3567.200 3645.600 8662 8662
220 42 46 33 43 3488.800 3645.600 8875 8449
225 42 46 33 43 3567.200 3645.600 8662 8449
230 42 45 33 43 3567.200 3567.200 8662 8449
