Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr
0,41.00,45.00,32.00,42.00,3567.20,3645.60,8449.00,8449.00,4990751437,4990556490,4990653964,4799050606,4985490317,4892270462,4990751203,4990556271,4990653737,208.4,115.5,1.646,156.3,125.04,62.52
5,41.00,45.00,32.00,42.00,3488.80,3567.20,8662.00,8449.00,4986669297,4986667494,4986668396,4986658693,4986638867,4986648780,4986669291,4986667488,4986668390,207.5,115.3,1.651,155.625,124.5,62.25
10,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986686082,4986673259,4986679671,4986669695,4986672062,4986670879,4986686089,4986673265,4986679677,207.1,115.4,1.648,155.325,124.26,62.13
15,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8662.00,4986658528,4986669098,4986663813,4986674202,4986673220,4986673711,4986658521,4986669090,4986663806,206.9,115.3,1.652,155.175,124.14,62.07
20,41.00,45.00,32.00,42.00,3567.20,3567.20,8449.00,8449.00,4986676739,4986672332,4986674536,4986668674,4986675893,4986672284,4986676745,4986672335,4986674540,206.8,115.5,1.646,155.1,124.08,62.04
25,41.00,44.00,32.00,42.00,3567.20,3645.60,8662.00,8449.00,4986677637,4986670034,4986673836,4986669725,4986667081,4986668403,4986677633,4986670035,4986673834,206.9,115.5,1.648,155.175,124.14,62.07
30,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986654315,4986663572,4986658944,4986666855,4986672304,4986669580,4986654319,4986663574,4986658947,207,115.5,1.646,155.25,124.2,62.1
35,41.00,45.00,32.00,42.00,3645.60,3645.60,8662.00,8449.00,4986667674,4986671726,4986669700,4986672250,4986658650,4986665450,4986667674,4986671722,4986669698,206.9,115.4,1.648,155.175,124.14,62.07
40,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8662.00,4986906507,4986701745,4986804126,4986673984,4986675466,4986674725,4986906507,4986701749,4986804128,206.4,115.5,1.651,154.8,123.84,61.92
45,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986438001,4986642653,4986540327,4986670861,4986668636,4986669749,4986437998,4986642647,4986540323,206.4,115.5,1.734,154.8,123.84,61.92
50,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8662.00,4986669226,4986675382,4986672304,4986669552,4986671311,4986670432,4986669229,4986675392,4986672311,206.4,115.6,1.648,154.8,123.84,61.92
55,41.00,44.00,32.00,42.00,3567.20,3567.20,8662.00,8449.00,4986682856,4986661607,4986672232,4986667038,4986669561,4986668300,4986682850,4986661599,4986672225,206.5,115.4,1.647,154.875,123.9,61.95
60,41.00,44.00,32.00,42.00,3488.80,3645.60,8662.00,8449.00,4986657569,4986671420,4986664495,4986672602,4986671894,4986672248,4986657577,4986671423,4986664500,206.6,115.3,1.649,154.95,123.96,61.98
65,41.00,44.00,32.00,42.00,3488.80,3567.20,8662.00,8449.00,4986675779,4986670809,4986673294,4986669685,4986670122,4986669904,4986675779,4986670807,4986673293,206.5,115.5,1.65,154.875,123.9,61.95
70,41.00,45.00,32.00,42.00,3488.80,3567.20,8662.00,8449.00,4986681659,4986677496,4986679578,4986672296,4986673568,4986672932,4986681657,4986677501,4986679579,206.6,115.5,1.646,154.95,123.96,61.98
75,41.00,45.00,32.00,42.00,3488.80,3567.20,8662.00,8449.00,4986652083,4986662755,4986657419,4986666147,4986666885,4986666516,4986652079,4986662747,4986657413,206.8,115.5,1.648,155.1,124.08,62.04
