 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6531056 7567976 99 1142 27 0 0 0 14  1  0  0  0  544  966  270  8  2 90
 0 0 0 6736288 7767344 149 2096 0 0 0 0  0  5  0  0  0  564 1855  281  0  3 97
 0 0 0 6736520 7767468 148 1828 0 0 0 0  0  0  0  0  0  500 1503  268  0  3 97
 0 0 0 6736268 7767360 149 1828 0 0 0 0  0  0  0  0  0  496 1489  266  0  3 97
 0 0 0 6736236 7767332 148 1825 0 0 0 0  0  0  0  0  0  495 1501  271  0  3 97
 0 0 0 6736520 7767468 148 1823 0 0 0 0  0  0  0  0  0  493 1484  270  0  3 97
 0 0 0 6736236 7767328 149 1827 0 1 1 0  0  0  0  0  0  499 1504  270  0  3 97
 0 0 0 6736520 7767464 148 1825 0 0 0 0  0  2  0  0  0  520 1486  296  0  3 97
 0 0 0 6736264 7767356 148 1826 0 0 0 0  0  0  0  0  0  486 1500  267  0  3 97
 0 0 0 6736496 7767452 124 1473 0 0 0 0  0  0  0  0  0  482 1325  281  0  3 97
 0 0 0 6736496 7767440 24 355 0 0  0  0  0  0  0  0  0  421  705  201  0  0 100
 0 0 0 6736244 7767336 147 1824 0 0 0 0  0  0  0  0  0  502 1549  309  0  3 97
 0 0 0 6736212 7767308 148 1826 0 0 0 0  0  1  0  0  0  499 1499  272  0  3 97
 0 0 0 6736496 7767444 148 1825 0 1 1 0  0  1  0  0  0  501 1490  274  0  3 97
 0 0 0 6736212 7767304 148 1826 0 0 0 0  0  0  0  0  0  501 1498  292  0  3 97
 0 0 0 6736496 7767440 148 1826 0 0 0 0  0  0  0  0  0  505 1487  275  0  3 97
 0 0 0 6736240 7767328 148 1826 0 0 0 0  0  0  0  0  0  503 1502  293  0  3 97
 0 0 0 6736496 7767436 148 1827 0 0 0 0  0  0  0  0  0  517 1490  308  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6736284 7767344 148 1825 0 1 1 0  0  1  0  0  0  508 1495  275  0  3 97
 0 0 0 6736212 7767296 122 1172 0 1 1 0  0  1  0  0  0  484 1581  244  0  3 97
 0 0 0 6736472 7767416 57 816 0 0  0  0  0  0  0  0  0  446  904  220  0  1 99
 0 0 0 6736472 7767408 148 1823 0 0 0 0  0  0  0  0  0  504 1484  273  0  3 97
 0 0 0 6736188 7767272 148 1826 0 0 0 0  0  0  0  0  0  483 1503  267  0  3 97
 0 0 0 6736472 7767408 149 1828 0 0 0 0  0  0  0  0  0  500 1487  272  0  3 97
 0 0 0 6736216 7767300 148 1824 0 0 0 0  0  1  0  0  0  512 1502  273  0  3 97
 0 0 0 6736472 7767404 148 1825 0 1 1 0  0  1  0  0  0  510 1486  276  0  3 97
 0 0 0 6736220 7767296 148 1826 0 0 0 0  0  0  0  0  0  499 1499  270  0  3 97
 0 0 0 6736188 7767276 148 1827 0 0 0 0  0  0  0  0  0  504 1494  280  0  3 97
 0 0 0 6736472 7767416 148 1826 0 0 0 0  0  0  0  0  0  496 1501  273  0  3 97
 0 0 0 6736188 7767280 91 1009 0 0 0  0  0  0  0  0  0  462 1120  240  0  2 98
 0 0 0 6736472 7767420 58 816 0 0  0  0  0  2  0  0  0  473  910  228  0  1 99
 0 0 0 6736472 7767420 149 1828 0 1 1 0  0  4  0  0  0  495 1487  268  0  3 97
 0 0 0 6736192 7767300 148 1824 0 0 0 0  0  0  0  0  0  498 1499  265  0  3 97
 0 0 0 6736448 7767396 148 1825 0 0 0 0  0  0  0  0  0  494 1484  275  0  3 97
 0 0 0 6736196 7767288 148 1828 0 0 0 0  0  0  0  0  0  489 1505  269  0  3 97
 0 0 0 6736164 7767256 148 1824 0 0 0 0  0  0  0  0  0  507 1547  306  0  3 97
 0 0 0 6736448 7767392 148 1825 0 1 1 0  0  1  0  0  0  518 1498  272  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6736164 7767256 148 1824 0 0 0 0  0  0  0  0  0  494 1491  272  0  3 97
 0 0 0 6736448 7767392 148 1827 0 0 0 0  0  0  0  0  0  495 1499  267  0  3 97
 0 0 0 6736192 7767284 91 1009 0 0 0  0  0  0  0  0  0  453 1094  228  0  2 98
 0 0 0 6736448 7767392 58 817 0 0  0  0  0  0  0  0  0  450  936  220  0  1 99
 0 0 0 6736448 7767392 148 1826 0 0 0 0  0  0  0  0  0  493 1485  269  0  3 97
 0 0 0 6736196 7767284 148 1825 0 0 0 0  0  1  0  0  0  516 1502  272  0  3 97
 0 0 0 6736140 7767244 149 1827 0 1 1 0  0  1  0  0  0  499 1489  272  0  3 97
 0 0 0 6736424 7767368 148 1825 0 0 0 0  0  0  0  0  0  486 1497  268  0  3 97
 0 0 0 6736140 7767228 148 1826 0 0 0 0  0  0  0  0  0  496 1487  273  0  3 97
 0 0 0 6736424 7767360 148 1827 0 0 0 0  0  0  0  0  0  494 1502  269  0  3 97
 0 0 0 6736168 7767252 148 1824 0 0 0 0  0  0  0  0  0  505 1486  267  0  3 97
 0 0 0 6736408 7767368 149 1826 0 1 1 0  0  1  0  0  0  509 1512  274  0  3 97
 0 0 0 6736424 7767364 90 1008 0 0 0  0  0  0  0  0  0  454 1074  234  0  2 98
 0 0 0 6736424 7767364 58 817 0 0  0  0  0  0  0  0  0  450  954  223  0  2 98
 0 0 0 6736140 7767228 148 1826 0 0 0 0  0  0  0  0  0  501 1488  274  0  3 97
 0 0 0 6736424 7767364 148 1826 0 0 0 0  0  0  0  0  0  489 1503  267  0  3 97
 0 0 0 6736380 7767356 148 1825 0 0 0 0  0  0  0  0  0  507 1486  269  0  3 97
 0 0 0 6736424 7767360 149 1826 0 1 1 0  0  1  0  0  0  514 1500  272  0  3 97
 0 0 0 6736144 7767240 148 1825 0 0 0 0  0  0  0  0  0  489 1485  269  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6736396 7767348 148 1827 0 0 0 0  0  0  0  0  0  492 1500  268  0  3 97
 0 0 0 6736400 7767336 148 1825 0 0 0 0  0  0  0  0  0  501 1485  280  0  3 97
 0 0 0 6736116 7767200 148 1826 0 0 0 0  0  0  0  0  0  482 1503  269  0  3 97
 0 0 0 6736400 7767340 30 244 0 0  0  0  0  0  0  0  0  436  775  229  0  1 99
 0 0 0 6735408 7766392 149 2584 0 1 1 0  0  1  0  0  0  522 3108  274  3  2 95
 0 0 0 6700948 7732300 302 3257 743 208 208 0 0 155 0 0 0 3827 6053 440 8 4 88
 0 0 0 6691044 7722804 405 3549 4476 2 2 0 0 355 0 0 0 6813 2130 1255  2  4 93
 0 0 0 6681584 7710312 2933 7045 208 8 8 0 0 34 0 0  0 1186 6262  352 22  4 74
 0 0 0 6654140 7684240 338 6347 8 0 0 0  0  2  0  0  0 3203 3758  272 24  4 72
 0 0 0 6681208 7711412 6690 16652 452 30 30 0 0 52 0 0 0 4798 10733 520 18 6 76
 0 0 0 6687480 7721812 5923 18099 21 87 87 0 0 25 0 0 0 5500 16348 345 21 7 72
 0 0 0 6688584 7730700 3413 13487 9 51 51 0 0 9 0 0  0 4511 11972 310 22  6 72
 0 0 0 6692032 7738836 6274 18863 10 66 66 0 0 9 0 0 0 4430 15803 344 21  7 72
 0 0 0 6692032 7739904 7580 19654 18 59 59 0 0 8 0 0 0 3470 15498 281 21  5 74
 0 0 0 6688360 7735444 4320 14812 1 57 57 0 0 4 0 0  0 3654 13141 314 22  5 72
 0 0 0 6686184 7733524 4756 15991 2 41 41 0 0 6 0 0  0 3168 12790 327 22  6 72
 0 0 0 6687540 7734324 3379 13197 9 97 97 0 0 24 0 0 0 3660 12025 309 23  6 72
 0 0 0 6692764 7740908 6741 19564 1 45 45 0 0 3 0 0  0 3811 16825 345 21  7 72
 0 0 0 6690420 7738836 5793 18296 0 37 37 0 0 2 0 0  0 3781 16859 335 22  7 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6685604 7734312 4869 15998 0 34 34 0 0 3 0 0  0 3675 14512 336 22  7 72
 0 0 0 6690240 7738984 5491 17340 2 38 38 0 0 3 0 0  0 3416 13463 361 22  7 72
 0 0 0 6694664 7742216 1687 7141 216 28 28 0 0 47 0 0 0 3089 6674 456  5  5 90
 0 0 0 6671912 7727448 356 2802 728 61 31 0 0 73 0 0 0 6767 2412  315 16  4 80
 0 0 0 6656772 7716568 49 256 0 2  2  0  0 10  0  0  0  541 1069  233 25  1 74
 0 0 0 6656484 7716408 131 1733 0 0 0 0  0  0  0  0  0  498 1422  266 25  3 72
 0 0 0 6656764 7716540 148 1826 0 0 0 0  0  3  0  0  0  551 1492  280 25  3 72
 0 0 0 6656480 7716400 148 1825 0 0 0 0  0  1  0  0  0  508 1500  296 25  3 72
 0 0 0 6656764 7716528 148 1827 0 0 0 0  0  1  0  0  0  531 1555  306 25  3 72
 0 0 0 6656508 7716416 148 1828 0 1 1 0  0  7  0  0  0  604 1501  274 25  3 72
 0 0 0 6656764 7716524 148 1826 0 0 0 0  0  5  0  0  0  547 1496  283 25  3 72
 0 0 0 6656512 7716416 148 1826 0 0 0 0  0  0  0  0  0  494 1499  272 25  3 72
 0 0 0 6656480 7716388 148 1823 0 0 0 0  0  0  0  0  0  498 1490  273 25  3 72
 0 0 0 6656764 7716520 148 1826 0 0 0 0  0  0  0  0  0  489 1503  265 25  3 72
 0 0 0 6656740 7716508 16 94 0  0  0  0  0  0  0  0  0  408  592  189 25  0 75
 0 0 0 6656456 7716372 132 1733 0 0 0 0  0  0  0  0  0  518 1442  274 25  3 72
 0 0 0 6656740 7716496 148 1826 0 1 1 0  0  1  0  0  0  492 1487  269 25  3 72
 0 0 0 6656484 7716388 148 1825 0 0 0 0  0  0  0  0  0  505 1500  294 25  3 72
 0 0 0 6656740 7716488 148 1826 0 0 0 0  0  0  0  0  0  498 1490  275 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6656484 7716372 148 1825 0 0 0 0  0  0  0  0  0  495 1502  269 25  3 72
 0 0 0 6656452 7716344 148 1826 0 0 0 0  0  0  0  0  0  513 1492  276 25  3 72
 0 0 0 6656736 7716480 148 1827 0 1 1 0  0  1  0  0  0  512 1505  271 25  3 72
 0 0 0 6656452 7716340 148 1825 0 0 0 0  0  0  0  0  0  502 1490  272 25  3 72
 0 0 0 6656736 7716476 129 1543 0 0 0 0  0  0  0  0  0  483 1372  253 25  3 72
 0 0 0 6656736 7716476 19 284 0 0  0  0  0  0  0  0  0  427  659  203 25  0 75
 0 0 0 6656480 7716368 148 1824 0 0 0 0  0  0  0  0  0  491 1503  266 25  3 72
 0 0 0 6656712 7716460 148 1829 0 0 0 0  0  0  0  0  0  502 1489  272 25  3 72
 0 0 0 6656460 7716332 148 1825 0 1 1 0  0  1  0  0  0  524 1502  274 25  3 72
 0 0 0 6656428 7716304 148 1826 0 0 0 0  0  0  0  0  0  509 1489  273 25  3 72
 0 0 0 6656712 7716440 148 1825 0 0 0 0  0  0  0  0  0  491 1499  266 25  3 72
 0 0 0 6656428 7716304 148 1829 0 0 0 0  0  0  0  0  0  525 1492  303 25  3 72
 0 0 0 6656712 7716440 148 1824 0 0 0 0  0  0  0  0  0  491 1502  269 25  3 72
 0 0 0 6656456 7716324 148 1827 0 0 0 0  0  0  0  0  0  513 1552  303 25  3 72
 0 0 0 6656708 7716424 91 1011 0 0 0  0  0  1  0  0  0  477 1154  235 25  3 72
 0 0 0 6656676 7716384 57 813 0 0  0  0  0  1  0  0  0  454  900  234 25  1 74
 0 0 0 6656420 7716272 148 1826 0 0 0 0  0  0  0  0  0  494 1502  270 25  3 72
 0 0 0 6656388 7716244 148 1828 0 0 0 0  0  0  0  0  0  508 1493  282 25  3 72
 0 0 0 6656648 7716364 148 1826 0 0 0 0  0  0  0  0  0  494 1504  271 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6656364 7716228 148 1825 0 0 0 0  0  0  0  0  0  512 1490  275 25  3 72
 0 0 0 6656648 7716352 148 1827 0 1 1 0  0  1  0  0  0  523 1509  276 25  3 72
