pic0: pic0=NB_ht_bus0_bandwidth,umask=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
   time cpu event      pic0      pic1      pic2 
  5.002   3  tick         0 4797165551         0 
  5.002   2  tick         0 4986620269         0 
  5.002   1  tick 4980824325         0 4980824050 
  5.002   0  tick 4984465876         0 4984465673 
 10.002   2  tick         0 4986615256         0 
 10.002   1  tick 4986643497         0 4986643493 
 10.002   3  tick         0 4986637438         0 
 10.002   0  tick 4986657162         0 4986657154 
 15.002   2  tick         0 4986670613         0 
 15.002   1  tick 4986671066         0 4986671064 
 15.002   0  tick 4986668871         0 4986668877 
 15.002   3  tick         0 4986672524         0 
 20.002   1  tick 4986677153         0 4986677157 
 20.002   2  tick         0 4986678117         0 
 20.002   3  tick         0 4986682568         0 
 20.002   0  tick 4986692385         0 4986692381 
 25.002   2  tick         0 4986662845         0 
 25.002   1  tick 4986664545         0 4986664547 
 25.002   0  tick 4986656116         0 4986656120 
 25.002   3  tick         0 4986661808         0 
 30.002   1  tick 4986668690         0 4986668686 
 30.002   2  tick         0 4986669612         0 
 30.002   0  tick 4986663799         0 4986663794 
 30.002   3  tick         0 4986672920         0 
 35.002   1  tick 4986671312         0 4986671316 
 35.002   2  tick         0 4986671269         0 
 35.002   3  tick         0 4986661463         0 
 35.002   0  tick 4986683961         0 4986683968 
 40.002   1  tick 4986671387         0 4986671382 
 40.002   2  tick         0 4986670461         0 
 40.002   0  tick 4986656504         0 4986656502 
 40.002   3  tick         0 4986671959         0 
 45.002   2  tick         0 4986671591         0 
 45.002   1  tick 4986671579         0 4986671583 
 45.002   3  tick         0 4986675693         0 
 45.014   0  tick 4998486724         0 4998486718 
 50.002   1  tick 4986675743         0 4986675741 
 50.002   2  tick         0 4986672027         0 
 50.002   0  tick 4974870857         0 4974870860 
 50.002   3  tick         0 4986670408         0 
 55.002   2  tick         0 4986669290         0 
 55.002   0  tick 4986656084         0 4986656087 
 55.002   1  tick 4986671775         0 4986671778 
 55.002   3  tick         0 4986667671         0 
 60.002   1  tick 4986662651         0 4986662648 
 60.002   2  tick         0 4986670660         0 
 60.002   0  tick 4986673591         0 4986673588 
 60.002   3  tick         0 4986672039         0 
 65.002   2  tick         0 4986671114         0 
 65.002   0  tick 4986671096         0 4986671101 
 65.002   3  tick         0 4986667180         0 
 65.002   1  tick 4986685382         0 4986685387 
 70.002   2  tick         0 4986671651         0 
 70.002   0  tick 4986667651         0 4986667649 
