 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6519344 7557032 96 1099 30 0 0 0 16  2  0  0  0  549  927  271  8  2 90
 0 0 0 6740960 7779704 150 2109 0 0 0 0  0  0  0  0  0  564 1865  297  0  3 97
 0 0 0 6740656 7779564 148 1828 0 0 0 0  0  0  0  0  0  497 1500  268  0  3 97
 0 0 0 6740940 7779700 148 1826 0 0 0 0  0  0  0  0  0  489 1487  271  0  3 97
 0 0 0 6740684 7779592 147 1825 0 1 1 0  0  0  0  0  0  488 1498  266  0  3 97
 0 0 0 6740940 7779700 148 1828 0 0 0 0  0  0  0  0  0  481 1488  274  0  3 97
 0 0 0 6740688 7779588 148 1826 0 0 0 0  0  0  0  0  0  514 1503  311  0  3 97
 0 0 0 6740656 7779560 148 1824 0 0 0 0  0  0  0  0  0  487 1486  272  0  3 97
 0 0 0 6740940 7779696 148 1827 0 0 0 0  0  0  0  0  0  507 1500  313  0  3 97
 0 0 0 6740632 7779548 132 1566 0 1 1 0  0  0  0  0  0  522 1374  306  0  3 97
 0 0 0 6740916 7779672 16 260 0 0  0  0  0  2  0  0  0  438  652  194  0  0 100
 0 0 0 6740916 7779668 148 1826 0 0 0 0  0  0  0  0  0  502 1488  271  0  3 97
 0 0 0 6740660 7779560 148 1826 0 0 0 0  0  0  0  0  0  486 1502  271  0  3 97
 0 0 0 6740916 7779668 148 1825 0 0 0 0  0  0  0  0  0  494 1491  273  0  3 97
 0 0 0 6740664 7779556 148 1824 0 0 0 0  0  0  0  0  0  502 1497  269  0  3 97
 0 0 0 6740632 7779528 149 1829 0 0 0 0  0  0  0  0  0  503 1492  277  0  3 97
 0 0 0 6740916 7779660 148 1824 0 1 1 0  0  2  0  0  0  510 1500  266  0  3 97
 0 0 0 6740632 7779524 148 1826 0 0 0 0  0  0  0  0  0  497 1486  274  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6740916 7779660 148 1824 0 0 0 0  0  0  0  0  0  489 1500  268  0  3 97
 0 0 0 6740660 7779552 91 1009 0 0 0  0  0  0  0  0  0  462 1187  262  0  2 98
 0 0 0 6740892 7779648 58 818 0 0  0  0  0  0  0  0  0  447  908  223  0  1 99
 0 0 0 6740892 7779628 148 1825 0 0 0 0  0  0  0  0  0  510 1510  285  0  3 97
 0 0 0 6740640 7779520 153 1904 0 1 1 0  0  3  0  0  0  513 1534  266  0  3 97
 0 0 0 6740608 7779492 148 1825 0 0 0 0  0  0  0  0  0  496 1487  272  0  3 97
 0 0 0 6740892 7779628 148 1827 0 0 0 0  0  0  0  0  0  496 1505  268  0  3 97
 0 0 0 6740704 7779576 148 1825 0 0 0 0  0  0  0  0  0  496 1489  272  0  3 97
 0 0 0 6740892 7779624 148 1825 0 0 0 0  0  0  0  0  0  492 1498  268  0  3 97
 0 0 0 6740636 7779512 149 1828 0 0 0 0  0  1  0  0  0  526 1489  321  0  3 97
 0 0 0 6740808 7779584 148 1824 0 1 1 0  0  1  0  0  0  532 1499  312  0  3 97
 0 0 0 6740892 7779620 91 1008 0 0 0  0  0  0  0  0  0  478 1102  272  0  2 98
 0 0 0 6740892 7779616 58 817 0 0  0  0  0  0  0  0  0  451  926  227  0  1 99
 0 0 0 6740608 7779480 148 1825 0 0 0 0  0  0  0  0  0  497 1491  274  0  3 97
 0 0 0 6740868 7779604 148 1826 0 0 0 0  0  0  0  0  0  494 1500  269  0  3 97
 0 0 0 6740680 7779552 148 1827 0 0 0 0  0  0  0  0  0  511 1494  274  0  3 97
 0 0 0 6740868 7779592 149 1826 0 1 1 0  0  2  0  0  0  504 1501  269  0  3 97
 0 0 0 6740616 7779480 148 1825 0 0 0 0  0  0  0  0  0  493 1486  271  0  3 97
 0 0 0 6740680 7779544 148 1825 0 0 0 0  0  0  0  0  0  501 1501  270  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6740868 7779588 148 1827 0 0 0 0  0  0  0  0  0  497 1490  268  0  3 97
 0 0 0 6740584 7779452 148 1824 0 0 0 0  0  0  0  0  0  495 1498  266  0  3 97
 0 0 0 6740868 7779588 91 1008 0 1 1  0  0  0  0  0  0  462 1079  231  0  2 98
 0 0 0 6740868 7779584 58 818 0 0  0  0  0  1  0  0  0  479  948  226  0  1 99
 0 0 0 6740800 7779552 148 1825 0 0 0 0  0  0  0  0  0  498 1485  272  0  3 97
 0 0 0 6740868 7779576 148 1826 0 0 0 0  0  0  0  0  0  497 1503  268  0  3 97
 0 0 0 6740592 7779456 148 1824 0 0 0 0  0  0  0  0  0  495 1552  306  0  3 97
