Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled
0,45,49,36,46,3567.2,3567.2,8662,8662,1492353,1524295,1508324,14867238,23647822,19257530,26834902,27847687,27341294.5,208.1,115,1.664,156.075,124.86,62.43,1.508324,19.25753,27.3412945
5,45,48,36,46,3567.2,3567.2,8662,8662,1539398,1539414,1539406,16563599,16558182,16560890.5,15664651,15667779,15666215,208.3,114.9,1.665,156.225,124.98,62.49,1.539406,16.5608905,15.666215
10,45,49,36,46,3567.2,3567.2,8449,8662,1533763,1533763,1533763,15292184,15291950,15292067,15361934,15362781,15362357.5,208.3,115,1.665,156.225,124.98,62.49,1.533763,15.292067,15.3623575
15,45,49,36,46,3567.2,3567.2,8662,8662,1535911,1535869,1535890,18716048,18716168,18716108,23746357,23738029,23742193,208,115,1.665,156,124.8,62.4,1.53589,18.716108,23.742193
20,45,49,36,46,3645.6,3567.2,8662,8662,1538946,1538988,1538967,14791124,14789973,14790548.5,15125033,15131804,15128418.5,207.8,114.7,1.753,155.85,124.68,62.34,1.538967,14.7905485,15.1284185
25,45,49,36,46,3645.6,3567.2,8662,8662,1532040,1532040,1532040,15942950,15943866,15943408,16428315,16429929,16429122,207.9,114.9,1.679,155.925,124.74,62.37,1.53204,15.943408,16.429122
30,45,49,36,46,3567.2,3645.6,8662,8662,1527988,1527988,1527988,18572991,18580575,18576783,23521386,23526653,23524019.5,207.9,115,1.666,155.925,124.74,62.37,1.527988,18.576783,23.5240195
35,45,49,36,46,3645.6,3567.2,8662,8449,1538386,1538386,1538386,16025865,16018129,16021997,15988363,15981885,15985124,208.1,115,1.668,156.075,124.86,62.43,1.538386,16.021997,15.985124
40,45,49,36,46,3567.2,3567.2,8662,8662,1349730,1349720,1349725,10468957,10369130,10419043.5,10491577,10493794,10492685.5,208.2,115,1.667,156.15,124.92,62.46,1.349725,10.4190435,10.4926855
45,45,49,36,46,3567.2,3567.2,8449,8662,410629,410639,410634,12339321,12440113,12389717,17752497,17758728,17755612.5,208.2,114.9,1.664,156.15,124.92,62.46,0.410634,12.389717,17.7556125
50,45,49,36,46,3567.2,3645.6,8449,8662,1547187,1547187,1547187,16457219,16455988,16456603.5,15722984,15715332,15719158,208.2,114.8,1.666,156.15,124.92,62.46,1.547187,16.4566035,15.719158
55,45,49,36,46,3567.2,3567.2,8875,8662,1546847,1546812,1546829.5,16376066,16381579,16378822.5,17348230,17347525,17347877.5,208.4,115.1,1.665,156.3,125.04,62.52,1.5468295,16.3788225,17.3478775
60,45,49,36,46,3567.2,3567.2,8449,8449,1517057,1517092,1517074.5,17511029,17505243,17508136,21909243,21918865,21914054,208.4,115,1.665,156.3,125.04,62.52,1.5170745,17.508136,21.914054
65,45,49,36,46,3567.2,3567.2,8662,8662,1532436,1532436,1532436,16310180,16312276,16311228,15436066,15426965,15431515.5,207.9,115,1.67,155.925,124.74,62.37,1.532436,16.311228,15.4315155
70,45,49,36,46,3645.6,3567.2,8875,8662,1520048,1520048,1520048,15689297,15689914,15689605.5,16198156,16199588,16198872,208,115,1.718,156,124.8,62.4,1.520048,15.6896055,16.198872
75,45,49,36,46,3645.6,3645.6,8662,8449,1550986,1550986,1550986,18917000,18915844,18916422,24027556,24034139,24030847.5,208,114.9,1.667,156,124.8,62.4,1.550986,18.916422,24.0308475
80,45,49,36,46,3567.2,3567.2,8662,8662,1529432,1529432,1529432,15564839,15564877,15564858,14653992,14646161,14650076.5,208.1,114.9,1.666,156.075,124.86,62.43,1.529432,15.564858,14.6500765
85,45,49,36,46,3567.2,3567.2,8662,8662,1532775,1532775,1532775,16440608,16441134,16440871,17194413,17195213,17194813,208.1,115,1.666,156.075,124.86,62.43,1.532775,16.440871,17.194813
90,45,49,36,46,3567.2,3567.2,8662,8662,953264,953360,953312,11934252,11903433,11918842.5,15810164,15822017,15816090.5,208.2,114.9,1.666,156.15,124.92,62.46,0.953312,11.9188425,15.8160905
95,45,49,36,46,3567.2,3645.6,8662,8662,819051,818955,819003,8505912,8535272,8520592,8025218,8012627,8018922.5,208.3,115,1.665,156.225,124.98,62.49,0.819003,8.520592,8.0189225
100,45,49,36,46,3567.2,3567.2,8662,8662,1542029,1542029,1542029,16409094,16411185,16410139.5,15799710,15799751,15799730.5,208.3,114.9,1.666,156.225,124.98,62.49,1.542029,16.4101395,15.7997305
105,45,49,36,46,3567.2,3645.6,8662,8662,1539692,1539650,1539671,18731085,18730469,18730777,23589325,23581525,23585425,208.4,115,1.664,156.3,125.04,62.52,1.539671,18.730777,23.585425
110,45,49,36,46,3567.2,3567.2,8662,8662,1531593,1531635,1531614,14987328,14985505,14986416.5,15333140,15345121,15339130.5,208.3,114.9,1.665,156.225,124.98,62.49,1.531614,14.9864165,15.3391305
115,45,49,36,46,3567.2,3567.2,8662,8662,1567141,1567141,1567141,15258160,15260201,15259180.5,17470717,17464321,17467519,207.9,115,1.667,155.925,124.74,62.37,1.567141,15.2591805,17.467519
120,45,49,36,46,3567.2,3645.6,8662,8662,1548742,1548698,1548720,16559473,16556487,16557980,19131876,19126609,19129242.5,208,114.9,1.759,156,124.8,62.4,1.54872,16.55798,19.1292425
125,45,49,36,46,3567.2,3645.6,8662,8662,1531079,1531123,1531101,16429704,16431062,16430383,16757222,16764174,16760698,208.1,114.8,1.667,156.075,124.86,62.43,1.531101,16.430383,16.760698
130,45,49,36,46,3567.2,3567.2,8662,8662,1569658,1569658,1569658,15797335,15798122,15797728.5,15043161,15044178,15043669.5,208.1,115.1,1.665,156.075,124.86,62.43,1.569658,15.7977285,15.0436695
135,45,49,36,46,3645.6,3567.2,8662,8662,1536860,1536816,1536838,20050726,20047657,20049191.5,25094974,25087248,25091111,208.2,115,1.665,156.15,124.92,62.46,1.536838,20.0491915,25.091111
140,45,49,36,46,3567.2,3567.2,8662,8662,643946,643966,643956,3191081,3171417,3181249,3280539,3287477,3284008,208.2,115,1.665,156.15,124.92,62.46,0.643956,3.181249,3.284008
145,45,48,36,46,3567.2,3567.2,8662,8662,1101197,1101221,1101209,15815119,15837653,15826386,16920238,16917995,16919116.5,208.3,114.9,1.664,156.225,124.98,62.49,1.101209,15.826386,16.9191165
150,45,49,36,46,3567.2,3567.2,8662,8449,1544492,1544446,1544469,17578100,17577080,17577590,19979985,19972136,19976060.5,208.4,114.9,1.667,156.3,125.04,62.52,1.544469,17.57759,19.9760605
155,45,49,36,46,3567.2,3567.2,8662,8662,1527670,1527716,1527693,16904823,16905689,16905256,17300053,17310973,17305513,208.6,115,1.666,156.45,125.16,62.58,1.527693,16.905256,17.305513
160,45,49,36,46,3567.2,3567.2,8662,8449,1544208,1544208,1544208,16005474,16003610,16004542,15415311,15414505,15414908,208.4,115.1,1.664,156.3,125.04,62.52,1.544208,16.004542,15.414908
165,45,49,36,46,3567.2,3567.2,8662,8449,1555547,1555521,1555534,19175792,19178686,19177239,22791163,22786486,22788824.5,208,114.8,1.682,156,124.8,62.4,1.555534,19.177239,22.7888245
170,45,49,36,46,3567.2,3645.6,8662,8662,1549525,1549551,1549538,14953765,14951939,14952852,14993750,14998511,14996130.5,208.1,115,1.7,156.075,124.86,62.43,1.549538,14.952852,14.9961305
175,45,49,36,46,3567.2,3567.2,8662,8662,1530202,1530202,1530202,16255497,16257013,16256255,18894072,18894713,18894392.5,208.1,114.9,1.665,156.075,124.86,62.43,1.530202,16.256255,18.8943925
180,45,49,36,46,3567.2,3567.2,8662,8662,1544202,1544202,1544202,18133499,18131472,18132485.5,21796704,21800519,21798611.5,208.1,114.9,1.667,156.075,124.86,62.43,1.544202,18.1324855,21.7986115
185,45,49,36,46,3567.2,3567.2,8662,8449,1524048,1524048,1524048,15767486,15767784,15767635,15858422,15853607,15856014.5,208.3,115,1.666,156.225,124.98,62.49,1.524048,15.767635,15.8560145
190,45,49,36,46,3567.2,3567.2,8449,8662,274032,274026,274029,3717721,3694567,3706144,3921182,3923736,3922459,208.4,114.9,1.667,156.3,125.04,62.52,0.274029,3.706144,3.922459
195,45,49,36,46,3567.2,3567.2,8662,8449,1500349,1500311,1500330,18716159,18741130,18728644.5,24219067,24209401,24214234,208.4,114.9,1.666,156.3,125.04,62.52,1.50033,18.7286445,24.214234
200,45,49,36,46,3567.2,3567.2,8662,8449,1519964,1520008,1519986,15564438,15562649,15563543.5,15819206,15825664,15822435,208.5,115,1.666,156.375,125.1,62.55,1.519986,15.5635435,15.822435
205,45,49,36,46,3567.2,3567.2,8449,8662,1550026,1550026,1550026,16863493,16865419,16864456,18612260,18613095,18612677.5,208.6,115,1.666,156.45,125.16,62.58,1.550026,16.864456,18.6126775
210,45,49,36,46,3567.2,3567.2,8875,8662,1554402,1554356,1554379,17894291,17891550,17892920.5,20313730,20305823,20309776.5,208.3,115.1,1.666,156.225,124.98,62.49,1.554379,17.8929205,20.3097765
215,45,49,36,46,3567.2,3645.6,8662,8449,1543499,1543545,1543522,15419695,15421333,15420514,15749148,15760347,15754747.5,208.1,115,1.724,156.075,124.86,62.43,1.543522,15.420514,15.7547475
220,45,49,36,46,3645.6,3567.2,8662,8662,1536553,1536553,1536553,16714579,16716376,16715477.5,15953337,15950736,15952036.5,208.1,115,1.688,156.075,124.86,62.43,1.536553,16.7154775,15.9520365
225,45,49,36,46,3567.2,3645.6,8662,8662,1545806,1545806,1545806,19343758,19343031,19343394.5,23370328,23377504,23373916,208.1,115,1.666,156.075,124.86,62.43,1.545806,19.3433945,23.373916
230,45,49,36,46,3567.2,3567.2,8662,8662,1530712,1530712,1530712,16541772,16539836,16540804,15595720,15587391,15591555.5,208.2,115,1.665,156.15,124.92,62.46,1.530712,16.540804,15.5915555
235,45,49,36,46,3567.2,3567.2,8662,8449,1391330,1357491,1374410.5,11532434,11529595,11531014.5,14513796,14447105,14480450.5,208.2,114.9,1.665,156.15,124.92,62.46,1.3744105,11.5310145,14.4804505
240,45,49,36,46,3567.2,3645.6,8449,8662,369858,403687,386772.5,8841142,8843408,8842275,11828541,11891455,11859998,208.3,115,1.666,156.225,124.98,62.49,0.3867725,8.842275,11.859998
245,45,49,36,46,3645.6,3567.2,8662,8449,1528132,1528142,1528137,16387068,16387482,16387275,16758704,16767721,16763212.5,208.4,115,1.665,156.3,125.04,62.52,1.528137,16.387275,16.7632125
250,45,49,36,46,3567.2,3645.6,8662,8662,1538664,1538664,1538664,15887934,15888380,15888157,16478380,16474073,16476226.5,208.5,115.1,1.665,156.375,125.1,62.55,1.538664,15.888157,16.4762265
255,45,49,36,46,3645.6,3567.2,8662,8662,1552644,1552598,1552621,19381910,19383190,19382550,23051898,23043722,23047810,208.5,115.1,1.665,156.375,125.1,62.55,1.552621,19.38255,23.04781
260,45,49,36,46,3645.6,3567.2,8662,8662,1543486,1543532,1543509,15552823,15551398,15552110.5,14253293,14264288,14258790.5,208.1,115,1.665,156.075,124.86,62.43,1.543509,15.5521105,14.2587905
265,45,49,36,46,3567.2,3645.6,8449,8662,1564411,1564411,1564411,16076057,16077863,16076960,18031085,18027680,18029382.5,208,115,1.716,156,124.8,62.4,1.564411,16.07696,18.0293825
270,46,49,36,46,3567.2,3567.2,8662,8662,1556003,1556003,1556003,16204314,16202451,16203382.5,17659149,17662629,17660889,208.1,115,1.668,156.075,124.86,62.43,1.556003,16.2033825,17.660889
275,47,49,36,46,3567.2,3567.2,8662,8449,1550823,1550823,1550823,15296826,15295787,15296306.5,14178070,14178420,14178245,208.2,114.9,1.666,156.15,124.92,62.46,1.550823,15.2963065,14.178245
280,46,49,36,46,3567.2,3645.6,8662,8662,1535209,1535209,1535209,16979173,16982471,16980822,16411463,16408427,16409945,208.3,115,1.665,156.225,124.98,62.49,1.535209,16.980822,16.409945
285,47,49,36,46,3645.6,3645.6,8662,8662,931482,931502,931492,13067392,13035414,13051403,17565600,17570985,17568292.5,208.3,114.9,1.667,156.225,124.98,62.49,0.931492,13.051403,17.5682925
290,48,49,36,46,3567.2,3645.6,8662,8662,834284,834264,834274,8327144,8357151,8342147.5,7507276,7510459,7508867.5,219.1,114.9,1.792,164.325,131.46,65.73,0.834274,8.3421475,7.5088675
295,47,49,36,46,3645.6,3567.2,8662,8662,1532254,1532254,1532254,16829860,16832291,16831075.5,18924023,18915317,18919670,222.8,114.9,1.785,167.1,133.68,66.84,1.532254,16.8310755,18.91967
300,48,49,36,46,3567.2,3567.2,8662,8662,3748200,3748200,3748200,63736996,63731110,63734053,76027577,76023864,76025720.5,223.5,114.9,1.792,167.625,134.1,67.05,3.7482,63.734053,76.0257205
305,48,49,36,46,3567.2,3567.2,8662,8662,1525450,1525450,1525450,39100927,39124144,39112535.5,50895630,50900577,50898103.5,223.9,114.9,1.783,167.925,134.34,67.17,1.52545,39.1125355,50.8981035
310,48,49,37,46,3567.2,3567.2,8875,8662,1537056,1537056,1537056,36380880,36362765,36371822.5,45763995,45754857,45759426,223.5,114.9,1.8,167.625,134.1,67.05,1.537056,36.3718225,45.759426
315,47,50,37,46,3567.2,3645.6,8662,8875,1528891,1528891,1528891,42536852,42537456,42537154,59232690,59243290,59237990,223.6,114.9,1.855,167.7,134.16,67.08,1.528891,42.537154,59.23799
320,48,49,37,46,3567.2,3567.2,8662,8662,1528113,1528113,1528113,37387745,37382307,37385026,48364855,48358837,48361846,223.8,115,1.794,167.85,134.28,67.14,1.528113,37.385026,48.361846
325,48,49,37,46,3567.2,3567.2,8662,8662,1551476,1551476,1551476,54162427,54164012,54163219.5,78399322,78407335,78403328.5,223.8,115,1.786,167.85,134.28,67.14,1.551476,54.1632195,78.4033285
330,49,49,37,46,3567.2,3567.2,8662,8662,1548125,1548125,1548125,37946708,37928870,37937789,51288496,51289237,51288866.5,223.9,115,1.794,167.925,134.34,67.17,1.548125,37.937789,51.2888665
335,49,49,37,47,3567.2,3645.6,8662,8662,683003,685006,684004.5,24218200,24226713,24222456.5,35130124,35196239,35163181.5,224.1,115,1.786,168.075,134.46,67.23,0.6840045,24.2224565,35.1631815
340,48,49,37,46,3567.2,3645.6,8662,8449,1097280,1095277,1096278.5,40396977,40406487,40401732,53308818,53228290,53268554,224.2,115,1.793,168.15,134.52,67.26,1.0962785,40.401732,53.268554
345,49,50,37,46,3645.6,3567.2,8662,8662,1568546,1568546,1568546,46401912,46394683,46398297.5,65655890,65657838,65656864,224.3,114.9,1.787,168.225,134.58,67.29,1.568546,46.3982975,65.656864
350,48,50,37,46,3567.2,3567.2,8662,8662,1533326,1533326,1533326,42645448,42652634,42649041,56541324,56541121,56541222.5,224.4,115,1.793,168.3,134.64,67.32,1.533326,42.649041,56.5412225
355,49,49,37,46,3567.2,3567.2,8662,8449,1527024,1527024,1527024,42105459,42107819,42106639,57079159,57075691,57077425,224.7,114.9,1.786,168.525,134.82,67.41,1.527024,42.106639,57.077425
360,49,49,37,46,3567.2,3645.6,8662,8662,1550079,1550079,1550079,43103152,43101447,43102299.5,58971956,58975836,58973896,224,115,1.799,168,134.4,67.2,1.550079,43.1022995,58.973896
365,48,50,37,46,3567.2,3645.6,8662,8662,1534958,1534958,1534958,35493044,35492884,35492964,46041152,46037152,46039152,224,114.9,1.87,168,134.4,67.2,1.534958,35.492964,46.039152
370,49,49,37,46,3567.2,3567.2,8662,8662,1564347,1564347,1564347,33261487,33279607,33270547,43686692,43696693,43691692.5,224.1,115,1.794,168.075,134.46,67.23,1.564347,33.270547,43.6916925
375,49,50,37,46,3567.2,3567.2,8449,8662,1534562,1534562,1534562,44950234,44932589,44941411.5,59712419,59707739,59710079,224.2,114.8,1.79,168.15,134.52,67.26,1.534562,44.9414115,59.710079
380,49,49,37,46,3567.2,3567.2,8662,8662,1529235,1529235,1529235,39575860,39570598,39573229,50835118,50838513,50836815.5,224.4,115,1.795,168.3,134.64,67.32,1.529235,39.573229,50.8368155
385,49,49,37,47,3567.2,3567.2,8875,8449,237547,237573,237560,34411090,32471446,33441268,49779334,49787318,49783326,224.4,115.1,1.789,168.3,134.64,67.32,0.23756,33.441268,49.783326
390,49,50,37,47,3567.2,3645.6,8662,8662,1525013,1524973,1524993,34551175,36479597,35515386,50591771,50581026,50586398.5,224.5,115,1.795,168.375,134.7,67.35,1.524993,35.515386,50.5863985
395,49,49,37,46,3567.2,3645.6,8875,8449,1550046,1550060,1550053,35747857,35764526,35756191.5,46004914,46020809,46012861.5,224.6,115,1.789,168.45,134.76,67.38,1.550053,35.7561915,46.0128615
400,49,50,37,47,3645.6,3567.2,8662,8662,1539637,1539637,1539637,34608223,34607423,34607823,44423229,44422765,44422997,224.7,115,1.796,168.525,134.82,67.41,1.539637,34.607823,44.422997
405,49,49,37,46,3567.2,3567.2,8662,8662,1546656,1546656,1546656,43078440,43075539,43076989.5,60015117,60003532,60009324.5,224.5,115,1.79,168.375,134.7,67.35,1.546656,43.0769895,60.0093245
410,49,50,37,47,3567.2,3645.6,8449,8662,1551778,1551778,1551778,41936662,41924185,41930423.5,54653569,54654974,54654271.5,224.1,115,1.823,168.075,134.46,67.23,1.551778,41.9304235,54.6542715
415,49,50,37,46,3567.2,3567.2,8662,8662,1518451,1518451,1518451,37775722,37789788,37782755,51550433,51541570,51546001.5,224.2,115,1.821,168.15,134.52,67.26,1.518451,37.782755,51.5460015
420,49,50,37,47,3567.2,3645.6,8662,8449,1548418,1548418,1548418,39706723,39723618,39715170.5,55167232,55180580,55173906,224.2,114.8,1.797,168.15,134.52,67.26,1.548418,39.7151705,55.173906
425,49,49,37,46,3567.2,3567.2,8662,8662,1530119,1530119,1530119,39125728,39108816,39117272,50019292,50006196,50012744,224.4,114.9,1.792,168.3,134.64,67.32,1.530119,39.117272,50.012744
430,50,49,37,47,3567.2,3567.2,8662,8662,1324148,1324098,1324123,32612283,32576198,32594240.5,43769651,43773718,43771684.5,224.4,115.1,1.795,168.3,134.64,67.32,1.324123,32.5942405,43.7716845
435,50,49,37,47,3567.2,3645.6,8662,8449,429448,429498,429473,31965067,32003248,31984157.5,46406776,46404506,46405641,224.5,114.9,1.794,168.375,134.7,67.35,0.429473,31.9841575,46.405641
440,50,49,37,47,3567.2,3567.2,8662,8662,1536908,1536908,1536908,38787540,38787493,38787516.5,50240836,50236118,50238477,224.6,115,1.795,168.45,134.76,67.38,1.536908,38.7875165,50.238477
445,49,50,37,47,3645.6,3567.2,8662,8662,1543863,1543863,1543863,39163490,39160571,39162030.5,53963436,53964712,53964074,224.7,114.9,1.793,168.525,134.82,67.41,1.543863,39.1620305,53.964074
450,49,50,37,47,3567.2,3567.2,8662,8449,1542195,1542195,1542195,40668348,40670432,40669390,57500355,57508246,57504300.5,224.8,115,1.796,168.6,134.88,67.44,1.542195,40.66939,57.5043005
455,50,49,38,47,3567.2,3567.2,8662,8449,1526750,1526750,1526750,39676965,39677870,39677417.5,52027678,52019855,52023766.5,224.4,115,1.793,168.3,134.64,67.32,1.52675,39.6774175,52.0237665
460,49,50,37,47,3645.6,3567.2,8662,8662,1538227,1538227,1538227,36250250,36254670,36252460,45921797,45924428,45923112.5,224.3,114.9,1.883,168.225,134.58,67.29,1.538227,36.25246,45.9231125
465,50,50,38,47,3567.2,3645.6,8662,8662,1551909,1551909,1551909,39116649,39110634,39113641.5,54954565,54955259,54954912,224.3,114.9,1.805,168.225,134.58,67.29,1.551909,39.1136415,54.954912
470,49,50,37,47,3567.2,3567.2,8662,8662,1549855,1549855,1549855,35642480,35628902,35635691,46304105,46312386,46308245.5,224.4,115,1.796,168.3,134.64,67.32,1.549855,35.635691,46.3082455
475,49,50,38,46,3567.2,3567.2,8662,8662,1534598,1534598,1534598,41600490,41624641,41612565.5,59035823,59018596,59027209.5,224.4,115.1,1.792,168.3,134.64,67.32,1.534598,41.6125655,59.0272095
480,50,50,38,47,3567.2,3645.6,8875,8449,924135,925972,925053.5,31181812,31159206,31170509,44325244,44493601,44409422.5,224.6,115,1.794,168.45,134.76,67.38,0.9250535,31.170509,44.4094225
