Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1
0,44,48,36,46,3567.200,3645.600,8662,8662
5,44,48,36,46,3567.200,3567.200,8662,8662
10,44,48,36,46,3567.200,3567.200,8662,8662
15,44,48,36,46,3645.600,3567.200,8662,8662
20,44,48,36,46,3567.200,3567.200,8662,8662
25,44,48,36,46,3567.200,3567.200,8662,8449
30,44,48,36,46,3567.200,3645.600,8449,8662
35,44,48,36,45,3567.200,3567.200,8662,8662
40,44,48,36,45,3645.600,3567.200,8449,8662
45,44,48,36,46,3567.200,3567.200,8662,8662
50,44,48,36,46,3567.200,3645.600,8662,8449
55,44,48,36,45,3488.800,3567.200,8662,8662
60,44,48,36,45,3567.200,3567.200,8662,8662
65,44,48,36,45,3567.200,3567.200,8449,8662
70,44,47,36,45,3567.200,3645.600,8662,8449
75,44,48,36,45,3567.200,3567.200,8662,8662
80,44,47,36,45,3567.200,3567.200,8662,8662
85,44,48,36,45,3645.600,3567.200,8662,8662
90,44,47,36,45,3567.200,3567.200,8449,8662
95,44,47,36,45,3567.200,3567.200,8662,8662
100,43,48,36,45,3567.200,3567.200,8662,8662
105,43,48,35,45,3567.200,3567.200,8662,8662
110,43,48,35,45,3567.200,3645.600,8662,8662
115,44,47,35,45,3645.600,3645.600,8662,8662
120,44,47,35,45,3567.200,3567.200,8662,8662
125,43,47,35,45,3567.200,3567.200,8662,8662
130,44,47,35,45,3567.200,3567.200,8662,8449
135,43,47,35,45,3567.200,3567.200,8449,8449
140,43,47,35,45,3567.200,3567.200,8662,8662
145,43,47,35,45,3567.200,3645.600,8449,8662
150,43,47,35,45,3567.200,3645.600,8449,8449
155,43,47,35,45,3567.200,3567.200,8449,8449
160,43,47,35,45,3567.200,3567.200,8662,8662
165,43,47,35,45,3567.200,3567.200,8662,8662
170,43,47,35,45,3567.200,3645.600,8662,8662
175,43,47,35,45,3567.200,3567.200,8662,8449
180,43,47,35,45,3567.200,3567.200,8662,8449
185,43,47,35,45,3567.200,3567.200,8662,8662
190,43,47,35,45,3567.200,3567.200,8662,8449
195,43,47,35,45,3567.200,3567.200,8662,8449
200,43,46,35,45,3567.200,3567.200,8662,8662
205,43,46,35,45,3567.200,3567.200,8662,8449
210,43,47,35,45,3567.200,3645.600,8662,8449
215,43,46,35,45,3567.200,3567.200,8662,8449
220,43,47,35,45,3567.200,3567.200,8662,8662
225,43,46,35,45,3567.200,3645.600,8662,8662
