Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr
0,44,48,35,45,3567.2,3567.2,8662,8449,1520551,1507521,1514036,12737484,20364304,16550894,22250354,22087206,22168780,207.3,114.3,1.674,155.475,124.38,62.19
5,44,48,36,45,3567.2,3567.2,8662,8449,1551690,1551700,1551695,16643749,16665962,16654855.5,20975259,20978598,20976928.5,207.7,114.4,1.673,155.775,124.62,62.31
10,44,48,35,45,3567.2,3567.2,8875,8662,1532756,1532756,1532756,14720913,14712298,14716605.5,14915410,14915788,14915599,207.9,114.4,1.674,155.925,124.74,62.37
15,44,48,35,45,3567.2,3645.6,8662,8662,1551094,1551089,1551091.5,16451604,16454644,16453124,24168537,24170195,24169366,208,114.3,1.671,156,124.8,62.4
20,44,48,36,45,3567.2,3567.2,8662,8662,1538558,1538563,1538560.5,15463112,15467430,15465271,17446309,17441866,17444087.5,207.6,114.3,1.675,155.7,124.56,62.28
25,44,48,36,45,3567.2,3567.2,8662,8449,1534379,1534379,1534379,15954874,15955399,15955136.5,16614114,16615714,16614914,207.6,114.2,1.715,155.7,124.56,62.28
30,44,48,36,45,3567.2,3567.2,8449,8662,1548825,1548825,1548825,15410845,15503627,15457236,15733681,15739401,15736541,207.6,114.4,1.671,155.7,124.56,62.28
35,44,48,35,45,3567.2,3567.2,8662,8449,1539159,1539159,1539159,16705347,16709292,16707319.5,22614366,22608593,22611479.5,207.6,114.4,1.672,155.7,124.56,62.28
40,45,48,36,45,3567.2,3567.2,8662,8662,1390158,1390148,1390153,9893036,9839596,9866316,10032012,10034414,10033213,207.7,114.3,1.674,155.775,124.62,62.31
45,44,48,35,45,3567.2,3645.6,8662,8449,368518,368528,368523,11215683,11269007,11242345,17461488,17463773,17462630.5,207.9,114.5,1.673,155.925,124.74,62.37
50,44,48,35,45,3567.2,3567.2,8662,8662,1537928,1537928,1537928,16775905,16784119,16780012,17423331,17418990,17421160.5,207.9,114.3,1.678,155.925,124.74,62.37
55,45,48,36,45,3567.2,3567.2,8662,8662,1524369,1524369,1524369,16979077,16970076,16974576.5,18027587,18027506,18027546.5,208.1,114.3,1.674,156.075,124.86,62.43
60,44,48,35,45,3567.2,3567.2,8662,8449,1538934,1538934,1538934,17349073,17350150,17349611.5,18398110,18403684,18400897,208.2,114.2,1.677,156.15,124.92,62.46
65,44,48,36,45,3567.2,3567.2,8662,8449,1537488,1537488,1537488,17422986,17428258,17425622,21832119,21826711,21829415,208.1,114.3,1.673,156.075,124.86,62.43
70,44,48,35,45,3567.2,3567.2,8449,8662,1552134,1552134,1552134,13907587,13909817,13908702,16429939,16429375,16429657,207.6,114.4,1.677,155.7,124.56,62.28
75,44,48,35,45,3488.8,3567.2,8662,8662,1544422,1544344,1544383,18063371,18059420,18061395.5,25273497,25263804,25268650.5,207.6,114.4,1.754,155.7,124.56,62.28
80,45,48,36,45,3567.2,3645.6,8662,8662,1539177,1539255,1539216,15926186,15924493,15925339.5,17424070,17434339,17429204.5,207.7,114.4,1.678,155.775,124.62,62.31
85,45,48,36,45,3567.2,3645.6,8662,8662,1539338,1539338,1539338,16121848,16119799,16120823.5,16229882,16227815,16228848.5,207.8,114.2,1.673,155.85,124.68,62.34
90,44,48,36,45,3645.6,3567.2,8662,8449,982626,982742,982684,11054741,11101052,11077896.5,12063629,12073788,12068708.5,207.8,114.4,1.673,155.85,124.68,62.34
95,44,48,36,45,3567.2,3645.6,8449,8449,789491,789375,789433,10935785,10889957,10912871,15240428,15232770,15236599,207.9,114.4,1.672,155.925,124.74,62.37
100,44,48,36,45,3567.2,3645.6,8662,8449,1517157,1517157,1517157,15525619,15524449,15525034,16036327,16035252,16035789.5,208,114.4,1.688,156,124.8,62.4
105,44,48,36,45,3567.2,3567.2,8662,8662,1530856,1530868,1530862,17182472,17185194,17183833,25214025,25222141,25218083,208.8,114.3,1.673,156.6,125.28,62.64
110,45,48,36,45,3645.6,3645.6,8662,8662,1535738,1535726,1535732,16214195,16216531,16215363,18359942,18352476,18356209,208.5,114.4,1.679,156.375,125.1,62.55
115,44,48,36,45,3567.2,3567.2,8662,8662,1539687,1539687,1539687,15637381,15632208,15634794.5,17136005,17135059,17135532,208.2,114.2,1.675,156.15,124.92,62.46
120,45,48,36,45,3567.2,3645.6,8662,8449,1541205,1541205,1541205,16659094,16657309,16658201.5,17585714,17590560,17588137,207.8,114.3,1.689,155.85,124.68,62.34
125,44,48,36,45,3567.2,3567.2,8662,8449,1557444,1557444,1557444,16342343,16353448,16347895.5,20076301,20072511,20074406,207.8,114.3,1.706,155.85,124.68,62.34
130,44,48,36,45,3567.2,3645.6,8662,8449,1560633,1560633,1560633,14607930,14597380,14602655,14562568,14562313,14562440.5,207.8,114.2,1.675,155.85,124.68,62.34
135,45,48,36,45,3567.2,3567.2,8662,8662,1530616,1530616,1530616,18195993,18186996,18191494.5,24427623,24428658,24428140.5,207.8,114.4,1.673,155.85,124.68,62.34
140,44,48,36,45,3567.2,3645.6,8662,8662,706590,706574,706582,4790118,4788896,4789507,5119305,5118983,5119144,207.9,114.5,1.676,155.925,124.74,62.37
145,45,48,36,45,3567.2,3567.2,8662,8662,1054392,1054408,1054400,14913218,14926498,14919858,16769370,16768337,16768853.5,208,114.4,1.676,156,124.8,62.4
150,44,48,36,45,3567.2,3567.2,8662,8662,1543983,1543983,1543983,16950441,16949363,16949902,18613873,18618347,18616110,208.1,114.4,1.672,156.075,124.86,62.43
155,44,47,36,45,3567.2,3645.6,8449,8449,1545064,1545064,1545064,17078917,17076500,17077708.5,20535562,20530747,20533154.5,208.1,114.4,1.673,156.075,124.86,62.43
160,44,48,36,45,3567.2,3645.6,8662,8662,1531112,1531112,1531112,15317681,15322839,15320260,15876020,15877094,15876557,208.2,114.4,1.675,156.15,124.92,62.46
