 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6361872 7516796 108 1315 35 0 0 0 34 2  0  0  0  572 1165  319 10  2 87
 0 0 0 6750024 7785844 138 2112 0 0 0 0  0  0  0  0  0  557 1848  293  0  3 97
 0 0 0 6749752 7785736 136 1829 0 0 0 0  0  0  0  0  0  496 1522  270  0  3 97
 0 0 0 6750004 7785844 136 1823 0 0 0 0  0  0  0  0  0  498 1485  284  0  3 97
 0 0 0 6749752 7785736 137 1824 0 1 1 0  0  0  0  0  0  498 1498  286  0  3 97
 0 0 0 6749720 7785708 137 1825 0 0 0 0  0  0  0  0  0  504 1494  283  0  3 97
 0 0 0 6750004 7785840 137 1827 0 0 0 0  0  0  0  0  0  486 1501  283  0  3 97
 0 0 0 6749720 7785704 137 1822 0 0 0 0  0  0  0  0  0  499 1486  277  0  3 97
 0 0 0 6750004 7785840 136 1823 0 0 0 0  0  0  0  0  0  507 1502  289  0  3 97
 0 0 0 6749724 7785720 110 1387 0 0 0 0  0  0  0  0  0  497 1295  261  0  3 97
 0 0 0 6749980 7785816 27 439 0 0  0  0  0  1  0  0  0  445  731  208  0  0 100
 0 0 0 6749980 7785812 137 1824 0 1 1 0  0  5  0  0  0  516 1502  281  0  3 97
 0 0 0 6749728 7785704 137 1825 0 0 0 0  0  0  0  0  0  490 1499  268  0  3 97
 0 0 0 6749696 7785676 137 1823 0 0 0 0  0  0  0  0  0  507 1488  294  0  3 97
 0 0 0 6749980 7785808 137 1823 0 0 0 0  0  0  0  0  0  496 1502  272  0  3 97
 0 0 0 6749696 7785672 137 1822 0 0 0 0  0  0  0  0  0  512 1484  284  0  3 97
 0 0 0 6749980 7785804 137 1828 0 1 1 0  0  1  0  0  0  506 1502  272  0  3 97
 0 0 0 6749724 7785696 137 1824 0 0 0 0  0  0  0  0  0  502 1488  288  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6749980 7785804 137 1824 0 0 0 0  0  0  0  0  0  485 1500  279  0  3 97
 0 0 0 6749728 7785696 85 1010 0 0 0  0  0  0  0  0  0  443 1121  233  0  3 97
 0 0 0 6749956 7785792 52 815 0 0  0  0  0  0  0  0  0  454  910  243  0  0 99
 0 0 0 6749664 7785628 137 1826 0 0 0 0  0  0  0  0  0  513 1550  320  0  3 97
 0 0 0 6749948 7785764 137 1824 0 1 1 0  0  1  0  0  0  498 1499  280  0  3 97
 0 0 0 6749664 7785628 136 1823 0 0 0 0  0  0  0  0  0  503 1492  286  0  3 97
 0 0 0 6749948 7785764 136 1823 0 0 0 0  0  0  0  0  0  509 1497  289  0  3 97
 0 0 0 6749692 7785652 137 1824 0 0 0 0  0  0  0  0  0  508 1489  284  0  3 97
 0 0 0 6749948 7785760 136 1825 0 0 0 0  0  0  0  0  0  486 1504  273  0  3 97
 0 0 0 6749696 7785648 137 1823 0 0 0 0  0  1  0  0  0  510 1484  275  0  3 97
 0 0 0 6749664 7785620 137 1826 0 1 1 0  0  1  0  0  0  497 1500  271  0  3 97
 0 0 0 6749948 7785756 84 1006 0 0 0  0  0  0  0  0  0  464 1121  247  0  2 97
 0 0 0 6749948 7785752 53 818 0 0  0  0  0  0  0  0  0  452  906  235  0  1 99
 0 0 0 6749664 7785620 140 1856 0 0 0 0  0  0  0  0  0  527 1596  329  0  3 97
 0 0 0 6749888 7785692 147 1904 20 0 0 0 0  1  0  0  0  559 1662  337  0  3 97
 0 0 0 6749632 7785564 136 1825 0 0 0 0  0  1  0  0  0  536 1541  320  0  3 97
 0 0 0 6749840 7785660 139 1852 0 1 1 0  0  1  0  0  0  522 1568  311  0  3 97
 0 0 0 6749468 7785472 137 1823 0 0 0 0  0  0  0  0  0  500 1492  289  0  3 97
 0 0 0 6749436 7785444 137 1825 0 0 0 0  0  0  0  0  0  495 1503  288  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6749720 7785580 137 1825 0 0 0 0  0  0  0  0  0  500 1494  287  0  3 97
 0 0 0 6749436 7785444 137 1823 0 0 0 0  0  0  0  0  0  487 1506  288  0  3 97
 0 0 0 6749720 7785580 84 1008 0 0 0  0  0  0  0  0  0  487 1110  251  0  2 98
 0 0 0 6749720 7785576 52 817 0 0  0  0  0  1  0  0  0  454  921  234  0  1 99
 0 0 0 6749464 7785464 137 1825 0 1 1 0  0  1  0  0  0  497 1492  299  0  3 97
 0 0 0 6749720 7785568 137 1823 0 0 0 0  0  0  0  0  0  503 1501  285  0  3 97
 0 0 0 6749444 7785448 137 1824 0 0 0 0  0  0  0  0  0  493 1492  283  0  3 97
 0 0 0 6749412 7785408 137 1826 0 0 0 0  0  0  0  0  0  503 1506  290  0  3 97
 0 0 0 6749696 7785540 137 1825 0 0 0 0  0  0  0  0  0  524 1556  315  0  3 97
 0 0 0 6749412 7785404 137 1823 0 1 1 0  0  1  0  0  0  502 1502  279  0  3 97
 0 0 0 6749696 7785536 137 1825 0 0 0 0  0  0  0  0  0  510 1493  282  0  3 97
 0 0 0 6749440 7785428 137 1824 0 0 0 0  0  0  0  0  0  494 1502  288  0  3 97
 0 0 0 6749696 7785532 84 1006 0 0 0  0  0  0  0  0  0  465 1098  253  0  2 98
 0 0 0 6749696 7785532 53 819 0 0  0  0  0  0  0  0  0  440  939  233  0  1 99
 0 0 0 6749444 7785424 137 1822 0 0 0 0  0  0  0  0  0  504 1489  284  0  3 97
 0 0 0 6749412 7785396 137 1824 0 1 1 0  0  0  0  0  0  501 1502  286  0  3 97
 0 0 0 6749696 7785532 137 1826 0 0 0 0  0  0  0  0  0  511 1493  293  0  3 97
 0 0 0 6749412 7785384 137 1823 0 0 0 0  0  0  0  0  0  502 1501  289  0  3 97
 0 0 0 6749672 7785508 137 1825 0 0 0 0  0  0  0  0  0  509 1492  292  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6749416 7785388 137 1825 0 0 0 0  0  0  0  0  0  489 1506  282  0  3 97
 0 0 0 6749672 7785496 137 1823 0 0 0 0  0  0  0  0  0  518 1495  283  0  3 97
 0 0 0 6749420 7785392 137 1825 0 1 1 0  0  1  0  0  0  500 1503  287  0  3 97
 0 0 0 6749672 7785492 84 1006 0 0 0  0  0  1  0  0  0  474 1079  258  0  2 98
 0 0 0 6749388 7785356 81 1813 0 1 1  0  0  0  0  0  0  475 2723  266  3  2 96
 0 0 0 6702828 7741300 786 4030 1787 17 1 0 0 78 0 0 0 5564 4972  363 21  4 75
 0 0 0 6676344 7722248 136 1824 0 0 0 0  0  0  0  0  0  503 1509  281 25  3 72
 0 0 0 6676620 7722368 136 1824 0 0 0 0  0  0  0  0  0  525 1491  274 25  3 72
 0 0 0 6676364 7722256 137 1827 0 1 1 0  0  1  0  0  0  540 1507  267 25  3 72
 0 0 0 6676552 7722296 136 1821 0 0 0 0  0  0  0  0  0  524 1494  270 25  3 72
 0 0 0 6676524 7722280 136 1825 0 0 0 0  0  0  0  0  0  524 1508  278 25  3 72
 0 0 0 6676240 7722132 136 1824 0 0 0 0  0  0  0  0  0  526 1492  271 25  3 72
 0 0 0 6676524 7722256 136 1825 0 0 0 0  0  0  0  0  0  522 1506  267 25  3 72
 0 0 0 6676524 7722252 63 821 0 1  1  0  0  0  0  0  0  501 1030  261 25  2 73
 0 0 0 6676288 7722140 73 1004 0 0 0  0  0  1  0  0  0  497 1085  236 25  2 73
 0 0 0 6676524 7722252 136 1827 0 0 0 0  0  0  0  0  0  528 1501  283 25  3 72
 0 0 0 6676268 7722144 136 1822 0 0 0 0  0  0  0  0  0  524 1505  270 25  3 72
 0 0 0 6676472 7722236 136 1825 0 0 0 0  0  0  0  0  0  527 1494  274 25  3 72
 0 0 0 6676524 7722248 136 1825 0 0 0 0  0  0  0  0  0  531 1509  269 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6676240 7722108 136 1823 0 0 0 0  0  0  0  0  0  542 1491  275 25  3 72
 0 0 0 6676524 7722244 137 1824 0 1 1 0  0  1  0  0  0  529 1506  268 25  3 72
 0 0 0 6676240 7722108 157 1983 0 1 1 0  0  0  0  0  0  557 1954  284 25  3 72
 0 0 0 6676496 7722216 136 1826 0 0 0 0  0  0  0  0  0  519 1506  281 25  3 72
 0 0 0 6676240 7722096 29 251 0 0  0  0  0  0  0  0  0  418  723  210 25  1 74
 0 0 0 6676484 7722188 107 1575 0 0 0 0  0  0  0  0  0  497 1316  264 25  2 73
 0 0 0 6676476 7722180 136 1823 0 0 0 0  0  0  0  0  0  510 1489  284 25  3 72
 0 0 0 6676476 7722180 136 1824 0 1 1 0  0  1  0  0  0  537 1507  270 25  3 72
 0 0 0 6676192 7722040 136 1825 0 0 0 0  0  0  0  0  0  514 1493  277 25  3 72
 0 0 0 6676476 7722172 136 1826 0 0 0 0  0  0  0  0  0  530 1506  273 25  3 72
 0 0 0 6676192 7722036 136 1823 0 0 0 0  0  0  0  0  0  522 1494  275 25  3 72
 0 0 0 6676476 7722172 136 1824 0 0 0 0  0  0  0  0  0  535 1510  282 25  3 72
 0 0 0 6676220 7722064 137 1825 0 1 1 0  0  0  0  0  0  557 1492  268 25  3 72
 0 0 0 6676476 7722168 136 1823 0 0 0 0  0  0  0  0  0  536 1506  281 25  3 72
 0 0 0 6676452 7722156 16 94 0  0  0  0  0  0  0  0  0  452  647  196 25  1 74
 0 0 0 6676452 7722156 121 1733 0 0 0 0  0  0  0  0  0  482 1391  273 25  2 73
 0 0 0 6676168 7722008 136 1826 0 0 0 0  0  0  0  0  0  540 1495  294 25  3 72
 0 0 0 6676452 7722144 136 1824 0 0 0 0  0  0  0  0  0  508 1570  310 25  3 72
 0 0 0 6676168 7722004 136 1826 0 0 0 0  0  0  0  0  0  543 1493  272 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6676452 7722132 137 1825 0 1 1 0  0  1  0  0  0  544 1507  280 25  3 72
 0 0 0 6676184 7722012 136 1822 0 0 0 0  0  1  0  0  0  523 1493  276 25  3 72
 0 0 0 6676432 7722112 136 1827 0 0 0 0  0  0  0  0  0  525 1507  271 25  3 72
 0 0 0 6676180 7722000 136 1826 0 0 0 0  0  0  0  0  0  532 1494  274 25  3 72
 0 0 0 6676148 7721972 136 1823 0 0 0 0  0  0  0  0  0  526 1506  268 25  3 72
 0 0 0 6676432 7722108 16 93 0  1  1  0  0  0  0  0  0  459  639  191 25  1 74
 0 0 0 6676432 7722108 121 1731 0 0 0 0  0  0  0  0  0  530 1399  267 25  2 72
 0 0 0 6676124 7721960 136 1826 0 0 0 0  0  0  0  0  0  520 1494  269 25  3 72
 0 0 0 6676408 7722076 136 1825 0 0 0 0  0  0  0  0  0  531 1507  273 25  3 72
