Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1
0,45,49,36,46,3645.600,3567.200,8449,8662
5,44,49,36,46,3567.200,3567.200,8662,8662
10,45,48,36,46,3567.200,3567.200,8662,8449
15,45,48,36,46,3567.200,3567.200,8662,8449
20,45,48,36,46,3645.600,3645.600,8662,8662
25,44,49,36,46,3645.600,3645.600,8662,8662
30,44,49,36,46,3567.200,3567.200,8662,8662
35,44,49,36,46,3645.600,3567.200,8662,8662
40,45,48,36,46,3567.200,3645.600,8662,8449
45,45,48,36,46,3567.200,3567.200,8449,8662
50,45,49,36,46,3567.200,3645.600,8662,8449
55,45,48,36,46,3567.200,3567.200,8662,8662
60,45,48,36,46,3567.200,3645.600,8662,8662
65,44,49,36,46,3567.200,3567.200,8662,8662
70,45,48,36,46,3567.200,3645.600,8662,8449
75,44,49,36,46,3567.200,3645.600,8449,8449
80,44,48,36,46,3567.200,3567.200,8662,8449
85,44,49,36,45,3567.200,3645.600,8662,8449
90,45,48,36,46,3567.200,3645.600,8662,8662
95,45,48,36,46,3567.200,3567.200,8662,8449
100,44,48,36,46,3567.200,3645.600,8449,8662
105,45,48,36,46,3488.800,3567.200,8662,8662
110,44,48,36,46,3567.200,3567.200,8449,8449
115,45,48,36,46,3567.200,3567.200,8449,8449
120,44,48,36,45,3567.200,3567.200,8449,8662
125,44,48,36,45,3567.200,3567.200,8449,8662
130,45,48,36,46,3567.200,3567.200,8662,8662
135,44,48,36,46,3567.200,3567.200,8662,8449
140,44,48,36,45,3645.600,3567.200,8662,8662
145,44,48,36,46,3567.200,3567.200,8662,8662
150,44,48,36,45,3488.800,3567.200,8662,8449
155,44,48,36,45,3645.600,3645.600,8662,8662
160,44,48,36,46,3567.200,3567.200,8662,8449
165,44,48,36,45,3567.200,3567.200,8449,8449
170,44,48,36,46,3567.200,3567.200,8662,8662
175,44,48,36,45,3567.200,3567.200,8662,8662
180,44,48,36,45,3567.200,3567.200,8662,8662
185,44,48,36,45,3567.200,3567.200,8662,8662
190,44,47,36,46,3567.200,3567.200,8662,8449
195,44,47,36,45,3567.200,3567.200,8449,8662
200,44,47,36,45,3567.200,3645.600,8449,8449
205,44,48,36,45,3567.200,3567.200,8662,8662
210,44,47,36,45,3567.200,3645.600,8662,8662
215,44,48,36,45,3567.200,3645.600,8449,8449
220,44,47,36,45,3567.200,3567.200,8662,8662
225,44,48,35,45,3645.600,3567.200,8662,8662
230,44,48,35,45,3567.200,3567.200,8662,8662
235,44,48,36,45,3567.200,3567.200,8662,8662
240,44,47,35,45,3567.200,3567.200,8662,8662
245,44,47,35,45,3645.600,3567.200,8662,8662
250,44,47,35,45,3567.200,3567.200,8662,8449
255,44,48,35,45,3488.800,3645.600,8449,8449
260,44,48,35,45,3567.200,3567.200,8662,8662
265,44,48,35,45,3567.200,3645.600,8662,8662
270,44,48,35,45,3567.200,3567.200,8449,8449
275,44,49,35,45,3567.200,3567.200,8449,8662
280,43,49,35,45,3567.200,3567.200,8662,8662
285,43,49,35,45,3567.200,3567.200,8662,8662
290,43,49,35,45,3567.200,3567.200,8662,8662
295,43,49,35,45,3567.200,3567.200,8662,8662
300,43,50,35,45,3567.200,3567.200,8662,8662
305,44,49,35,46,3567.200,3567.200,8662,8662
310,43,50,35,46,3567.200,3567.200,8662,8449
315,43,50,35,46,3567.200,3567.200,8662,8662
320,43,50,36,46,3567.200,3567.200,8662,8449
325,44,50,36,46,3567.200,3567.200,8449,8449
330,43,50,36,46,3645.600,3645.600,8449,8449
335,43,50,36,46,3567.200,3567.200,8662,8662
340,43,50,35,46,3567.200,3567.200,8662,8662
345,43,50,36,46,3567.200,3567.200,8449,8662
350,43,50,36,46,3567.200,3567.200,8662,8662
355,43,50,36,46,3567.200,3645.600,8662,8662
360,43,50,36,46,3567.200,3567.200,8662,8662
365,43,50,35,46,3567.200,3567.200,8662,8662
370,43,50,36,46,3567.200,3567.200,8875,8662
375,43,50,36,46,3567.200,3567.200,8662,8449
380,43,50,36,46,3567.200,3567.200,8662,8662
385,43,50,36,46,3567.200,3567.200,8662,8449
390,43,50,36,46,3567.200,3567.200,8662,8662
395,43,50,36,46,3567.200,3567.200,8662,8662
400,43,50,36,46,3567.200,3567.200,8662,8449
405,43,50,35,46,3567.200,3645.600,8662,8662
410,43,50,36,46,3567.200,3567.200,8662,8449
415,43,50,36,46,3567.200,3567.200,8662,8662
420,43,50,36,46,3567.200,3567.200,8449,8662
425,43,50,36,46,3567.200,3567.200,8662,8449
430,43,50,36,46,3567.200,3567.200,8662,8662
435,43,50,36,46,3567.200,3645.600,8662,8662
440,43,50,36,46,3567.200,3567.200,8449,8662
445,43,50,35,46,3567.200,3645.600,8662,8662
450,43,50,36,46,3645.600,3567.200,8662,8662
455,43,50,36,46,3567.200,3567.200,8662,8449
460,43,50,35,46,3567.200,3567.200,8662,8662
465,43,50,36,46,3488.800,3567.200,8662,8449
470,43,50,35,46,3567.200,3567.200,8662,8662
475,43,50,36,46,3567.200,3567.200,8662,8662
480,43,50,36,46,3567.200,3645.600,8662,8662
485,43,50,35,46,3567.200,3567.200,8875,8662
490,43,50,35,46,3567.200,3567.200,8662,8449
495,43,50,35,46,3567.200,3567.200,8449,8662
500,43,50,35,46,3567.200,3567.200,8662,8449
505,43,49,35,46,3567.200,3567.200,8662,8449
510,43,50,35,46,3567.200,3567.200,8662,8662
515,43,50,35,46,3567.200,3567.200,8662,8662
520,43,50,35,46,3567.200,3645.600,8875,8662
525,43,49,35,46,3567.200,3567.200,8662,8662
530,43,49,35,46,3567.200,3567.200,8662,8662
535,43,49,35,46,3567.200,3567.200,8662,8662
540,43,50,35,46,3567.200,3567.200,8662,8449
545,43,49,35,46,3645.600,3645.600,8449,8449
550,43,50,35,46,3567.200,3567.200,8662,8662
555,43,50,35,46,3567.200,3645.600,8662,8662
560,43,50,35,46,3567.200,3567.200,8662,8662
565,43,49,35,46,3567.200,3567.200,8662,8662
570,43,49,35,46,3567.200,3567.200,8449,8449
575,43,49,35,46,3567.200,3567.200,8662,8662
580,43,50,35,46,3645.600,3645.600,8662,8449
585,43,49,35,46,3567.200,3567.200,8662,8662
590,43,49,35,46,3567.200,3567.200,8662,8662
595,42,49,35,46,3567.200,3567.200,8449,8449
600,43,49,35,46,3567.200,3567.200,8662,8449
605,43,49,35,46,3567.200,3567.200,8662,8662
610,43,49,35,46,3645.600,3567.200,8662,8662
615,42,50,35,46,3567.200,3567.200,8662,8662
620,42,50,35,46,3567.200,3567.200,8662,8662
625,42,50,35,46,3567.200,3645.600,8449,8662
630,43,50,35,46,3645.600,3567.200,8662,8449
635,42,50,35,46,3567.200,3645.600,8449,8662
640,42,50,35,46,3645.600,3567.200,8449,8662
645,42,49,35,46,3567.200,3567.200,8662,8662
650,43,50,35,46,3567.200,3567.200,8662,8662
655,42,50,35,46,3567.200,3567.200,8875,8662
660,42,50,35,46,3488.800,3567.200,8449,8449
665,42,49,35,46,3567.200,3567.200,8662,8449
670,42,50,35,46,3567.200,3567.200,8662,8662
675,42,49,35,46,3645.600,3567.200,8662,8662
680,42,50,35,46,3567.200,3567.200,8662,8662
685,42,49,35,46,3567.200,3567.200,8449,8449
690,42,49,35,46,3567.200,3645.600,8449,8662
695,42,49,35,46,3567.200,3645.600,8662,8662
700,42,49,35,46,3567.200,3645.600,8662,8662
705,42,49,35,46,3567.200,3567.200,8662,8662
710,42,49,35,46,3567.200,3645.600,8662,8662
715,42,49,35,46,3567.200,3567.200,8662,8449
720,42,49,35,46,3567.200,3567.200,8662,8662
725,42,49,35,46,3567.200,3567.200,8662,8449
730,42,49,35,46,3567.200,3567.200,8662,8662
735,42,49,35,46,3488.800,3567.200,8449,8449
740,42,49,35,46,3567.200,3567.200,8449,8662
