 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6499912 7574276 83 1069 16 0 0 0 12  1  0  0  0  507  930  261  8  2 90
 0 0 0 6734712 7765216 138 2111 0 0 0 0  0 20  0  0  0  560 1865  275  0  3 97
 0 0 0 6734408 7765080 136 1829 0 0 0 0  0  0  0  0  0  501 1505  280  0  3 97
 0 0 0 6734692 7765216 137 1826 0 0 0 0  0  0  0  0  0  506 1487  287  0  3 97
 0 0 0 6734436 7765108 137 1823 0 1 1 0  0  0  0  0  0  510 1498  287  0  3 97
 0 0 0 6734692 7765216 137 1826 0 0 0 0  0  0  0  0  0  497 1492  291  0  3 97
 0 0 0 6734440 7765104 137 1824 0 0 0 0  0  0  0  0  0  499 1502  275  0  3 97
 0 0 0 6734408 7765076 137 1823 0 0 0 0  0  0  0  0  0  510 1485  290  0  3 97
 0 0 0 6734692 7765212 137 1823 0 0 0 0  0  0  0  0  0  499 1501  278  0  3 97
 0 0 0 6734384 7765064 110 1463 0 0 0 0  0  0  0  0  0  484 1319  267  0  3 97
 0 0 0 6734668 7765188 27 363 0 0  0  0  0  0  0  0  0  432  713  206  0  0 100
 0 0 0 6734668 7765184 137 1825 0 1 1 0  0  1  0  0  0  508 1493  274  0  3 97
 0 0 0 6734412 7765076 137 1823 0 0 0 0  0  0  0  0  0  501 1502  279  0  3 97
 0 0 0 6734668 7765184 137 1824 0 0 0 0  0  0  0  0  0  493 1485  280  0  3 97
 0 0 0 6734416 7765072 137 1825 0 0 0 0  0  0  0  0  0  504 1503  280  0  3 97
 0 0 0 6734384 7765044 137 1823 0 0 0 0  0  0  0  0  0  499 1486  278  0  3 97
 0 0 0 6734668 7765176 137 1825 0 1 1 0  0  0  0  0  0  513 1500  290  0  3 97
 0 0 0 6734384 7765040 137 1823 0 0 0 0  0  1  0  0  0  515 1488  282  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6734668 7765176 137 1824 0 0 0 0  0  0  0  0  0  500 1502  283  0  3 97
 0 0 0 6734412 7765068 84 1007 0 0 0  0  0  0  0  0  0  462 1120  249  0  3 97
 0 0 0 6734644 7765164 53 818 0 0  0  0  0  0  0  0  0  451  909  237  0  1 99
 0 0 0 6734644 7765144 137 1824 0 0 0 0  0  0  0  0  0  503 1549  325  0  3 97
 0 0 0 6734392 7765036 137 1824 0 0 0 0  0  0  0  0  0  509 1501  280  0  3 97
 0 0 0 6734360 7765008 137 1825 0 1 1 0  0  1  0  0  0  516 1505  291  0  3 97
 0 0 0 6734644 7765140 137 1822 0 0 0 0  0  0  0  0  0  501 1504  282  0  3 97
 0 0 0 6734360 7765000 137 1827 0 0 0 0  0  0  0  0  0  494 1488  284  0  3 97
 0 0 0 6734644 7765136 137 1824 0 0 0 0  0  0  0  0  0  504 1502  282  0  3 97
 0 0 0 6734388 7765024 137 1825 0 0 0 0  0  0  0  0  0  494 1487  285  0  3 97
 0 0 0 6734644 7765132 136 1821 0 1 1 0  0  0  0  0  0  507 1496  278  0  3 97
 0 0 0 6734392 7765024 105 1166 0 1 1 0  0  1  0  0  0  502 1581  252  0  3 97
 0 0 0 6734624 7765108 52 817 0 0  0  0  0  0  0  0  0  461  911  242  0  1 99
 0 0 0 6734340 7764972 137 1823 0 0 0 0  0  0  0  0  0  506 1485  296  0  3 97
 0 0 0 6734600 7765096 137 1827 0 0 0 0  0  0  0  0  0  501 1505  279  0  3 97
 0 0 0 6734316 7764948 137 1824 0 0 0 0  0  0  0  0  0  499 1484  278  0  3 97
 0 0 0 6734600 7765084 137 1826 0 1 1 0  0  0  0  0  0  508 1502  282  0  3 97
 0 0 0 6734344 7764972 136 1824 0 0 0 0  0  1  0  0  0  527 1485  282  0  3 97
 0 0 0 6734600 7765080 137 1824 0 0 0 0  0  0  0  0  0  495 1504  274  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6734348 7764972 137 1824 0 0 0 0  0  0  0  0  0  496 1486  284  0  3 97
 0 0 0 6734316 7764944 137 1823 0 0 0 0  0  0  0  0  0  492 1499  275  0  3 97
 0 0 0 6734600 7765080 84 1008 0 0 0  0  0  0  0  0  0  451 1101  238  0  2 98
 0 0 0 6734600 7765076 52 817 0 0  0  0  0  0  0  0  0  470  922  235  0  1 99
 0 0 0 6734316 7764940 137 1823 0 1 1 0  0  1  0  0  0  519 1487  279  0  3 97
 0 0 0 6734600 7765076 136 1824 0 0 0 0  0  0  0  0  0  495 1501  283  0  3 97
 0 0 0 6734320 7764956 136 1825 0 0 0 0  0  0  0  0  0  498 1488  277  0  3 97
 0 0 0 6734576 7765052 137 1826 0 0 0 0  0  0  0  0  0  490 1499  277  0  3 97
 0 0 0 6734324 7764940 137 1824 0 0 0 0  0  0  0  0  0  496 1550  320  0  3 97
 0 0 0 6734292 7764908 137 1824 0 1 1 0  0  0  0  0  0  510 1500  288  0  3 97
 0 0 0 6734572 7765040 137 1824 0 0 0 0  0  1  0  0  0  517 1489  274  0  3 97
 0 0 0 6734272 7764888 137 1824 0 0 0 0  0  0  0  0  0  503 1503  277  0  3 97
 0 0 0 6734556 7765020 84 1006 0 0 0  0  0  0  0  0  0  460 1086  235  0  2 98
 0 0 0 6734556 7765020 53 819 0 0  0  0  0  0  0  0  0  451  941  246  0  1 99
 0 0 0 6734300 7764912 136 1822 0 0 0 0  0  0  0  0  0  493 1484  271  0  3 97
 0 0 0 6734556 7765020 137 1823 0 1 1 0  0  0  0  0  0  514 1498  283  0  3 97
 0 0 0 6734304 7764912 137 1826 0 0 0 0  0  1  0  0  0  516 1487  284  0  3 97
 0 0 0 6734272 7764872 137 1824 0 0 0 0  0  0  0  0  0  494 1502  273  0  3 97
 0 0 0 6734532 7764996 137 1825 0 0 0 0  0  0  0  0  0  495 1488  283  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6734248 7764848 137 1823 0 0 0 0  0  0  0  0  0  498 1496  282  0  3 97
 0 0 0 6734532 7764984 137 1826 0 0 0 0  0  0  0  0  0  495 1489  282  0  3 97
 0 0 0 6734276 7764876 136 1823 0 1 1 0  0  0  0  0  0  509 1499  284  0  3 97
 0 0 0 6734532 7764988 84 1007 0 0 0  0  0  1  0  0  0  481 1070  242  0  2 98
 0 0 0 6734532 7764988 81 1821 0 1 1  0  0  0  0  0  0  473 2754  249  3  2 95
 0 0 0 5669188 6957124 368 88786 0 18 18 0 0 4 0  0  0 1205 4551  303 18 10 72
 0 0 0 4975576 6007212 136 1823 0 0 0 0  0  0  0  0  0  499 1501  278 25  3 72
 0 0 0 4975860 6007344 136 1825 0 0 0 0  0  0  0  0  0  499 1487  267 25  3 72
