Time CPU_0_Temp CPU_1_Temp Ambient_Temp0 Ambient_Temp1 Blower_Fan_0 Blower_Fan_1 Axial_Fan_0 Axial_Fan_1
0 44 48 35 45 3567.200 3567.200 8662 8449
5 44 48 36 45 3567.200 3567.200 8662 8449
10 44 48 35 45 3567.200 3567.200 8875 8662
15 44 48 35 45 3567.200 3645.600 8662 8662
20 44 48 36 45 3567.200 3567.200 8662 8662
25 44 48 36 45 3567.200 3567.200 8662 8449
30 44 48 36 45 3567.200 3567.200 8449 8662
35 44 48 35 45 3567.200 3567.200 8662 8449
40 45 48 36 45 3567.200 3567.200 8662 8662
45 44 48 35 45 3567.200 3645.600 8662 8449
50 44 48 35 45 3567.200 3567.200 8662 8662
55 45 48 36 45 3567.200 3567.200 8662 8662
60 44 48 35 45 3567.200 3567.200 8662 8449
65 44 48 36 45 3567.200 3567.200 8662 8449
70 44 48 35 45 3567.200 3567.200 8449 8662
75 44 48 35 45 3488.800 3567.200 8662 8662
80 45 48 36 45 3567.200 3645.600 8662 8662
85 45 48 36 45 3567.200 3645.600 8662 8662
90 44 48 36 45 3645.600 3567.200 8662 8449
95 44 48 36 45 3567.200 3645.600 8449 8449
100 44 48 36 45 3567.200 3645.600 8662 8449
105 44 48 36 45 3567.200 3567.200 8662 8662
110 45 48 36 45 3645.600 3645.600 8662 8662
115 44 48 36 45 3567.200 3567.200 8662 8662
120 45 48 36 45 3567.200 3645.600 8662 8449
125 44 48 36 45 3567.200 3567.200 8662 8449
130 44 48 36 45 3567.200 3645.600 8662 8449
135 45 48 36 45 3567.200 3567.200 8662 8662
140 44 48 36 45 3567.200 3645.600 8662 8662
145 45 48 36 45 3567.200 3567.200 8662 8662
150 44 48 36 45 3567.200 3567.200 8662 8662
155 44 47 36 45 3567.200 3645.600 8449 8449
160 44 48 36 45 3567.200 3645.600 8662 8662
165 44 48 36 45 3567.200 3645.600 8662 8449
170 44 48 36 45 3567.200 3567.200 8662 8662
175 44 48 36 45 3567.200 3645.600 8662 8449
180 44 48 36 45 3567.200 3567.200 8662 8662
185 44 47 36 45 3567.200 3567.200 8662 8662
190 44 47 36 45 3567.200 3645.600 8662 8449
195 44 47 35 45 3567.200 3567.200 8662 8662
200 44 47 35 45 3645.600 3645.600 8662 8662
205 44 47 35 45 3567.200 3567.200 8662 8449
210 44 47 35 45 3645.600 3645.600 8449 8662
215 44 47 35 45 3645.600 3567.200 8449 8662
220 44 47 35 45 3488.800 3645.600 8449 8662
225 44 47 35 45 3567.200 3567.200 8662 8662
230 44 47 35 45 3645.600 3567.200 8662 8662
235 44 47 35 45 3567.200 3645.600 8662 8662
240 44 47 35 45 3567.200 3567.200 8662 8449
245 43 47 35 45 3567.200 3567.200 8662 8662
250 43 47 35 45 3567.200 3567.200 8662 8662
255 44 47 35 45 3567.200 3567.200 8662 8449
260 44 47 35 45 3645.600 3567.200 8662 8449
265 43 47 35 45 3567.200 3567.200 8662 8662
270 44 48 35 45 3567.200 3567.200 8662 8662
275 44 49 35 45 3567.200 3567.200 8662 8662
280 43 49 35 45 3567.200 3645.600 8662 8662
285 43 50 35 45 3567.200 3645.600 8662 8662
290 43 50 35 46 3645.600 3645.600 8662 8662
295 43 51 35 46 3567.200 3567.200 8662 8449
300 43 51 35 46 3567.200 3567.200 8449 8449
305 43 51 35 46 3567.200 3567.200 8449 8662
310 43 51 35 46 3567.200 3567.200 8449 8449
315 43 51 35 46 3567.200 3567.200 8662 8662
320 43 51 35 46 3567.200 3567.200 8662 8449
325 43 51 35 46 3567.200 3567.200 8662 8662
330 43 51 35 47 3567.200 3567.200 8662 8662
335 43 52 35 47 3488.800 3645.600 8662 8662
340 43 52 35 47 3567.200 3645.600 8449 8449
345 43 51 35 47 3567.200 3567.200 8662 8662
350 43 51 35 47 3567.200 3645.600 8662 8662
355 43 52 35 47 3567.200 3645.600 8662 8449
360 43 52 35 47 3488.800 3567.200 8662 8662
365 43 52 35 47 3488.800 3567.200 8662 8662
370 43 52 35 47 3567.200 3645.600 8449 8449
375 43 52 35 47 3567.200 3645.600 8662 8662
380 43 52 35 47 3567.200 3645.600 8662 8662
385 43 52 35 47 3567.200 3645.600 8662 8662
390 43 52 35 47 3567.200 3567.200 8662 8449
395 43 52 35 47 3567.200 3567.200 8662 8662
400 43 52 35 48 3567.200 3567.200 8662 8662
405 43 52 35 48 3567.200 3645.600 8662 8662
410 43 52 35 48 3567.200 3567.200 8662 8662
415 43 52 35 48 3567.200 3645.600 8662 8449
420 43 52 35 48 3488.800 3567.200 8662 8662
425 43 53 35 48 3567.200 3567.200 8662 8662
430 43 53 35 48 3488.800 3567.200 8662 8449
435 43 52 35 48 3567.200 3567.200 8662 8662
440 43 52 35 48 3567.200 3567.200 8662 8662
445 43 53 35 48 3567.200 3567.200 8662 8662
450 43 52 34 48 3567.200 3567.200 8662 8662
455 43 52 34 48 3567.200 3567.200 8662 8662
460 43 52 34 48 3567.200 3567.200 8662 8662
465 43 52 34 48 3567.200 3567.200 8662 8662
470 43 52 34 48 3567.200 3567.200 8662 8662
475 42 53 34 48 3567.200 3567.200 8449 8662
480 43 52 34 48 3567.200 3567.200 8662 8662
485 43 52 34 48 3488.800 3567.200 8662 8662
490 42 52 34 48 3567.200 3567.200 8662 8662
495 42 53 34 48 3567.200 3645.600 8662 8449
500 42 52 34 48 3567.200 3567.200 8662 8662
505 43 52 34 48 3645.600 3567.200 8662 8449
510 42 52 34 48 3567.200 3567.200 8662 8662
515 42 52 34 48 3567.200 3567.200 8662 8662
520 42 53 34 48 3567.200 3567.200 8449 8662
525 43 51 34 48 3567.200 3645.600 8662 8662
530 43 52 34 48 3567.200 3567.200 8662 8662
535 42 52 34 48 3567.200 3567.200 8662 8662
540 43 52 34 48 3567.200 3567.200 8662 8662
545 42 52 34 48 3567.200 3567.200 8662 8449
550 42 52 34 48 3567.200 3567.200 8662 8662
555 42 53 34 48 3567.200 3645.600 8662 8449
560 42 52 34 48 3567.200 3567.200 8662 8662
565 42 52 34 48 3567.200 3567.200 8662 8662
570 42 52 34 48 3567.200 3567.200 8662 8662
575 42 52 34 48 3567.200 3645.600 8662 8662
580 42 52 34 48 3567.200 3567.200 8662 8662
585 42 50 34 48 3567.200 3567.200 8662 8449
590 42 49 34 48 3567.200 3567.200 8662 8662
595 42 51 34 48 3567.200 3567.200 8662 8662
600 42 52 34 48 3567.200 3567.200 8662 8662
605 42 52 34 47 3567.200 3567.200 8662 8449
610 42 50 34 47 3567.200 3567.200 8662 8449
615 42 49 34 47 3567.200 3645.600 8662 8662
620 42 49 34 47 3567.200 3567.200 8662 8449
625 42 48 34 47 3567.200 3645.600 8662 8662
630 42 48 34 47 3567.200 3567.200 8662 8662
635 42 48 34 47 3567.200 3567.200 8662 8662
640 42 48 34 47 3567.200 3567.200 8662 8449
645 42 48 34 46 3567.200 3645.600 8662 8662
650 42 48 34 46 3567.200 3567.200 8662 8662
