Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,Volts,InputDCPwr,AllPwrExtBd,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,42,45,34,42,3645.6,3645.6,9372,9656,2333046,0,30313763,3.50E+05,329125,0,0,2.333046,0,30.313763,3.50E+00,3.29E+00,0.00E+00,0.00E+00,1415,1127,1594.705,1116.2935,893.0348,44.65174,5.9,3.3,357.6,50.4,366182.4,51609.6
5,42,46,34,42,3645.6,3645.6,9656,9372,2333046,2.66E+07,30313763,3.50E+05,329125,306307,119667,2.333046,26.63564,30.313763,3.50E+00,3.29E+00,3.06E+00,1.20E+00,1410,1133,1597.53,1118.271,894.6168,44.73084,3.4,16.6,246.2,51.6,252108.8,52838.4
10,42,45,34,42,3645.6,3645.6,9656,9656,299388,1729766,2258489,6.27E+04,329125,306307,63908,0.299388,1.729766,2.258489,6.27E-01,3.29E+00,3.06E+00,6.39E-01,1416,1132,1602.912,1122.0384,897.63072,44.881536,0,1.2,0,0.8,0,819.2
15,42,45,34,42,3645.6,3567.2,9656,9656,2420120,1729766,32508803,868078,329125,306307,63908,2.42012,1.729766,32.508803,8.68E+00,3.29E+00,3.06E+00,6.39E-01,1409,1134,1597.806,1118.4642,894.77136,44.738568,0,0,0,0,0,0
20,42,46,34,42,3645.6,3645.6,9656,9656,2420120,21644488,32508803,868078,329125,605318,63908,2.42012,21.644488,32.508803,8.68E+00,3.29E+00,6.05E+00,6.39E-01,1410,1134,1598.94,1119.258,895.4064,44.77032,0,0,0,0,0,0
25,42,46,34,42,3645.6,3645.6,9656,9656,5.85E+05,5398828,5636103,1.64E+05,329125,1.02E+05,63908,0.5850035,5.398828,5.636103,1.64E+00,3.29E+00,1.02E+00,6.39E-01,1411,1136,1602.896,1122.0272,897.62176,44.881088,0,0,0,0,0,0
30,42,45,34,42,3645.6,3645.6,9656,9656,979512,1.42E+07,13684642,1.64E+05,4.00E+05,1.02E+05,1.65E+05,0.979512,14.16472,13.684642,1.64E+00,4.00E+00,1.02E+00,1.65E+00,1410,1131,1594.71,1116.297,893.0376,44.65188,0,0,0,0,0,0
35,42,45,34,42,3645.6,3567.2,9656,9372,556521,1285926,3.37E+06,24967,1.68E+04,1.02E+05,4.29E+04,0.556521,1.285926,3.374237,2.50E-01,1.68E-01,1.02E+00,4.29E-01,1401,1139,1595.739,1117.0173,893.61384,44.680692,0,16.2,0,44.3,0,45363.2
40,42,45,34,42,3645.6,3567.2,9656,9656,556521,33306191,3.37E+06,24967,1.68E+04,928691,4.29E+04,0.556521,33.306191,3.374237,2.50E-01,1.68E-01,9.29E+00,4.29E-01,1408,1138,1602.304,1121.6128,897.29024,44.864512,0,1.2,0,0.8,0,819.2
45,42,46,34,42,3645.6,3567.2,9656,9656,556521,2.08E+07,3.37E+06,24967,1.68E+04,235704,210486,0.556521,20.75942,3.374237,2.50E-01,1.68E-01,2.36E+00,2.10E+00,1404,1135,1593.54,1115.478,892.3824,44.61912,0,0,0,0,0,0
50,42,46,34,42,3645.6,3645.6,9656,9372,7.10E+05,5692839,5.97E+06,1.43E+05,1.68E+04,1.29E+05,210486,0.7098215,5.692839,5.971258,1.43E+00,1.68E-01,1.29E+00,2.10E+00,1402,1138,1595.476,1116.8332,893.46656,44.673328,0.2,0,3.5,0,3584,0
55,42,45,34,42,3645.6,3567.2,9656,9656,7.10E+05,25668348,5.97E+06,1.43E+05,1.68E+04,503828,210486,0.7098215,25.668348,5.971258,1.43E+00,1.68E-01,5.04E+00,2.10E+00,1407,1130,1589.91,1112.937,890.3496,44.51748,0,0,0,0,0,0
60,42,45,34,42,3645.6,3645.6,9656,9656,1173039,25668348,13565256,1.43E+05,230746,503828,210486,1.173039,25.668348,13.565256,1.43E+00,2.31E+00,5.04E+00,2.10E+00,1409,1136,1600.624,1120.4368,896.34944,44.817472,0,0,0,0,0,0
65,42,45,34,42,3645.6,3567.2,9656,9372,1.04E+06,1.32E+07,13953267,1.43E+05,2.88E+05,352997,210486,1.036894,13.21172,13.953267,1.43E+00,2.88E+00,3.53E+00,2.10E+00,1416,1121,1587.336,1111.1352,888.90816,44.445408,0,21.8,0,104,0,106496
70,42,46,34,42,3645.6,3645.6,9656,9656,3.14E+05,1797630,2.34E+06,3.38E+04,2.88E+05,352997,68250,0.3143085,1.79763,2.335758,3.38E-01,2.88E+00,3.53E+00,6.83E-01,1433,1133,1623.589,1136.5123,909.20984,45.460492,0,4.2,0,55.8,0,57139.2
75,42,45,34,42,3567.2,3645.6,9656,9656,3.14E+05,33151848,2.34E+06,3.38E+04,2.88E+05,783846,68250,0.3143085,33.151848,2.335758,3.38E-01,2.88E+00,7.84E+00,6.83E-01,1405,1140,1601.7,1121.19,896.952,44.8476,0,0,0,0,0,0
80,42,46,34,42,3645.6,3645.6,9656,9656,1529595,33151848,20274848,568361,2.88E+05,783846,68250,1.529595,33.151848,20.274848,5.68E+00,2.88E+00,7.84E+00,6.83E-01,1443,1125,1623.375,1136.3625,909.09,45.4545,0,0,0,0,0,0
85,42,45,34,42,3645.6,3645.6,9656,9656,5.75E+05,5.64E+06,6454063,568361,58735,783846,1.24E+05,0.5752015,5.641982,6.454063,5.68E+00,5.87E-01,7.84E+00,1.24E+00,1419,1132,1606.308,1124.4156,899.53248,44.976624,0,0,0,0,0,0
90,42,46,34,42,3645.6,3567.2,9656,9656,1965297,5.64E+06,26808262,784545,58735,783846,1.24E+05,1.965297,5.641982,26.808262,7.85E+00,5.87E-01,7.84E+00,1.24E+00,1445,1123,1622.735,1135.9145,908.7316,45.43658,0,0,0,0,0,0
95,42,45,34,42,3645.6,3645.6,9656,9656,1965297,5119016,26808262,784545,58735,182631,1.24E+05,1.965297,5.119016,26.808262,7.85E+00,5.87E-01,1.83E+00,1.24E+00,1419,1134,1609.146,1126.4022,901.12176,45.056088,0,17.4,0,50.7,0,51916.8
100,42,46,34,42,3645.6,3645.6,9656,9656,2205603,5119016,32423440,800753,58735,182631,1.24E+05,2.205603,5.119016,32.42344,8.01E+00,5.87E-01,1.83E+00,1.24E+00,1437,1131,1625.247,1137.6729,910.13832,45.506916,0,1.2,0,0.8,0,819.2
105,42,45,34,42,3645.6,3645.6,9656,9656,1.30E+05,2.88E+06,1.78E+06,27247,58735,32661,114370,0.1299743,2.876724,1.780974,2.72E-01,5.87E-01,3.27E-01,1.14E+00,1408,1133,1595.264,1116.6848,893.34784,44.667392,0,0,0,0,0,0
110,42,45,34,42,3567.2,3645.6,9656,9656,677473,8601234,8580886,2.43E+05,58735,1.86E+05,114370,0.677473,8.601234,8.580886,2.43E+00,5.87E-01,1.86E+00,1.14E+00,1405,1134,1593.27,1115.289,892.2312,44.61156,0,0,0,0,0,0
115,42,46,34,42,3645.6,3645.6,9656,9656,677473,19410543,8580886,2.43E+05,58735,2.74E+05,113227,0.677473,19.410543,8.580886,2.43E+00,5.87E-01,2.74E+00,1.13E+00,1418,1135,1609.43,1126.601,901.2808,45.06404,0,0,0,0,0,0
120,42,45,34,42,3645.6,3645.6,9656,9656,677473,1.98E+07,8580886,2.43E+05,58735,325053,8.78E+04,0.677473,19.80911,8.580886,2.43E+00,5.87E-01,3.25E+00,8.78E-01,1415,1131,1600.365,1120.2555,896.2044,44.81022,0,0,0,0,0,0
125,42,45,34,42,3645.6,3645.6,9656,9656,7.62E+05,9.15E+06,9567169,2.56E+05,58735,249827,8.78E+04,0.7617725,9.153488,9.567169,2.56E+00,5.87E-01,2.50E+00,8.78E-01,1410,1133,1597.53,1118.271,894.6168,44.73084,0,15.4,0,52.6,0,53862.4
130,42,45,34,42,3645.6,3645.6,9656,9656,7.62E+05,18006367,9567169,2.56E+05,58735,249827,323016,0.7617725,18.006367,9.567169,2.56E+00,5.87E-01,2.50E+00,3.23E+00,1404,1133,1590.732,1113.5124,890.80992,44.540496,0,1.2,0,0.8,0,819.2
135,42,45,34,42,3724,3645.6,9656,9656,7.62E+05,19783086,9567169,2.56E+05,58735,343757,7.93E+04,0.7617725,19.783086,9.567169,2.56E+00,5.87E-01,3.44E+00,7.93E-01,1407,1134,1595.538,1116.8766,893.50128,44.675064,0,0,0,0,0,0
140,42,45,34,42,3645.6,3567.2,9656,9656,759255,1.07E+07,1.09E+07,289737,58735,343757,7.13E+04,0.759255,10.67143,10.90978,2.90E+00,5.87E-01,3.44E+00,7.13E-01,1410,1137,1603.17,1122.219,897.7752,44.88876,0,0,0,0,0,0
