Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,ProcPwr,disk_read_kbytes,disk_write_kbytes
0,97.82608696,94.11764706,97.2972973,93.75,97.84946237,97.84946237,72.56097561,72.56097561,39.04737465,3.358464453,4.800455971,5.120802425,3.781908848,0.332549079,0.348102515,0.893854749,6.503014643,5.959302326
5,97.82608696,92.15686275,97.2972973,93.75,97.84946237,97.84946237,74.3902439,72.56097561,48.74614641,3.009301926,5.118970008,6.299166697,2.25423289,0.243236565,0.765364336,0.892565535,0,0
10,97.82608696,94.11764706,97.2972973,93.75,97.84946237,97.84946237,74.3902439,72.56097561,48.1441622,3.100861202,6.213204558,5.350187898,2.276382503,0.251372974,0.642674352,0.892565535,0,9.447674419
15,97.82608696,92.15686275,97.2972973,93.75,97.84946237,97.84946237,74.3902439,72.56097561,48.39336912,2.646674924,4.890656154,5.669276717,1.926671079,0.247658488,0.332527079,0.892995273,0,0.290697674
20,97.82608696,92.15686275,97.2972973,93.75,97.84946237,97.84946237,74.3902439,74.3902439,48.51903596,2.656845693,4.849724453,5.464206385,2.227530361,0.251415669,0.310247908,0.892995273,0,0
25,97.82608696,92.15686275,97.2972973,93.75,97.84946237,97.84946237,74.3902439,72.56097561,48.24308809,2.671843207,4.791257571,6.00439302,2.054228251,0.247231535,0.302890764,0.893425011,0,0
30,97.82608696,92.15686275,97.2972973,93.75,100,100,74.3902439,74.3902439,48.11617021,2.681975886,4.523742251,6.4358147,3.69278174,0.223045274,0.195006358,0.894284486,0,0
35,97.82608696,92.15686275,97.2972973,93.75,97.84946237,100,74.3902439,72.56097561,47.91662953,3.130870059,5.226252123,6.596932359,2.988018386,0.219722755,0.738731979,0.894714224,0,0
40,97.82608696,92.15686275,97.2972973,93.75,97.84946237,97.84946237,74.3902439,74.3902439,42.30826971,2.110351671,4.268165806,4.856440232,1.849120462,0.13593038,0.453470325,0.894714224,0,4.941860465
45,97.82608696,92.15686275,97.2972973,93.75,97.84946237,97.84946237,74.3902439,74.3902439,13.35058516,1.459640329,2.53772349,3.976192794,1.550116871,0.112436137,0.126388324,0.895143962,0,4.941860465
50,97.82608696,92.15686275,97.2972973,93.75,97.84946237,97.84946237,74.3902439,72.56097561,47.99125399,2.640520495,4.407171851,6.218664055,4.115361399,0.206369818,0.187573738,0.8955737,0,0
55,97.82608696,92.15686275,97.2972973,93.75,97.84946237,100,74.3902439,72.56097561,47.71183448,2.663005173,4.51777255,6.555985718,3.618705149,0.233222159,0.187105066,0.893425011,0,2.325581395
60,97.82608696,92.15686275,97.2972973,93.75,97.84946237,100,72.56097561,72.56097561,48.77997137,2.642932501,4.378515199,6.676128642,3.769458457,0.206147447,0.191924768,0.893425011,0,0
65,97.82608696,92.15686275,97.2972973,93.75,97.84946237,100,74.3902439,72.56097561,48.64378016,3.139273949,5.221939932,6.693996267,3.255949944,0.220263561,0.715739737,0.893425011,0,0
70,97.82608696,92.15686275,97.2972973,93.75,97.84946237,100,74.3902439,72.56097561,48.74725671,2.990423624,5.744154634,7.1110199,3.143756167,0.206428524,0.531938378,0.893854749,0,5.087209302
75,97.82608696,94.11764706,97.2972973,93.75,97.84946237,100,74.3902439,74.3902439,48.02944195,2.645277436,4.406007977,6.852430973,3.476280872,0.205039743,0.204424364,0.893854749,0,2.61627907
80,97.82608696,92.15686275,97.2972973,93.75,97.84946237,97.84946237,74.3902439,72.56097561,47.52508567,2.766777586,4.970227446,5.496261354,1.869295706,0.254227625,0.318511486,0.894284486,0,0
85,97.82608696,92.15686275,97.2972973,93.75,97.84946237,97.84946237,74.3902439,72.56097561,47.88063089,2.620269131,4.405718395,6.537977624,3.497340806,0.207201782,0.228074328,0.894714224,0,0
90,97.82608696,92.15686275,97.2972973,93.75,97.84946237,97.84946237,74.3902439,74.3902439,28.13848874,1.668011872,2.832934586,4.691979417,1.877150026,0.125123147,0.160789709,0.895143962,0,0
95,97.82608696,92.15686275,97.2972973,93.75,100,97.84946237,74.3902439,72.56097561,27.44755567,1.862116401,3.060593514,3.698921523,1.75021861,0.112168106,0.623558717,0.895143962,0,0
100,97.82608696,94.11764706,97.2972973,93.75,97.84946237,100,76.2195122,72.56097561,49.28618856,2.988854731,5.733876701,6.559834562,3.660825016,0.224968339,0.492743168,0.894714224,0,5.377906977
105,97.82608696,92.15686275,97.2972973,93.75,97.84946237,97.84946237,76.2195122,70.73170732,48.67364871,2.528295503,4.585443244,6.157405632,2.262454033,0.233772454,0.296506187,0.892995273,0,5.813953488
110,97.82608696,92.15686275,97.2972973,93.75,100,97.84946237,74.3902439,72.56097561,48.01252165,2.672348644,4.761524818,6.365172964,1.827262149,0.247029919,0.287374991,0.892995273,0,0
