time ,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
6,42,48,34,44,3645.6,3645.6,9656,9656,3.33E+05,2.22E+07,6388689,0,259969,1.79E+05,9.90E+04,3.33E-01,2.22E+01,6.39E+00,0,2.59969,1.792047,0.9895667,1904,1144,1523.2,1142.4,57.12,64.832,0.2,0.6,11.2,14.4,11200,14400
12,43,47,34,44,3645.6,3645.6,9372,9656,817437,9.50E+06,9.14E+06,0,2.78E+05,1.79E+05,82240,8.17E-01,9.50E+00,9.14E+00,0,2.783995,1.792047,0.8224,1879,1146,1503.2,1127.4,56.37,64.007,0,10.6,0,38.4,0,38400
18,43,47,34,44,3724,3645.6,9656,9656,811078,1.28E+07,1.02E+07,0,440665,1.79E+05,7.21E+04,8.11E-01,1.28E+01,1.02E+01,0,4.40665,1.792047,0.720925,1882,1145,1505.6,1129.2,56.46,64.106,0,0,0,0,0,0
24,42,47,34,44,3724,3645.6,9656,9656,819843,9168195,9157032,0,2.46E+05,1.95E+05,7.21E+04,8.20E-01,9.17E+00,9.16E+00,0,2.459285,1.952475,0.720925,1882,1146,1505.6,1129.2,56.46,64.106,0,0,0,0,0,0
30,42,47,34,44,3645.6,3645.6,9656,9656,858857,11276910,9.82E+06,0,329583,200047,7.21E+04,8.59E-01,1.13E+01,9.82E+00,0,3.29583,2.00047,0.720925,1882,1145,1505.6,1129.2,56.46,64.106,0,0,0,0,0,0
36,42,48,34,44,3645.6,3645.6,9656,9656,806602,1.33E+07,10917911,0,456107,209317,7.21E+04,8.07E-01,1.33E+01,1.09E+01,0,4.56107,2.09317,0.720925,1892,1145,1513.6,1135.2,56.76,64.436,0,0,0,0,0,0
42,42,47,34,44,3724,3645.6,9372,9656,8.14E+05,9237879,8.94E+06,0,284627,209317,5.66E+04,8.14E-01,9.24E+00,8.94E+00,0,2.84627,2.09317,0.566065,1878,1146,1502.4,1126.8,56.34,63.974,0,0,0,0,0,0
48,43,47,34,44,3645.6,3645.6,9656,9656,816188,1.24E+07,10548313,0,342726,229757,5.66E+04,8.16E-01,1.24E+01,1.05E+01,0,3.42726,2.29757,0.566065,1861,1144,1488.8,1116.6,55.83,63.413,0,11.4,0,39,0,39000
54,42,48,34,44,3567.2,3645.6,9372,9656,817014,9366868,9125004,0,2.77E+05,1.83E+05,5.66E+04,8.17E-01,9.37E+00,9.13E+00,0,2.773635,1.831325,0.566065,1867,1146,1493.6,1120.2,56.01,63.611,0,0,0,0,0,0
60,42,47,34,44,3645.6,3645.6,9656,9656,8.53E+05,1.13E+07,9.72E+06,0,366250,1.74E+05,5.66E+04,8.53E-01,1.13E+01,9.72E+00,0,3.6625,1.738055,0.566065,2036,1144,1628.8,1221.6,61.08,67.188,0,0,0,0,0,0
66,42,48,34,44,3645.6,3645.6,9656,9372,3.78E+05,1.28E+07,5.07E+06,1.09E+05,366250,7.35E+04,7.13E+04,3.78E-01,1.28E+01,5.07E+00,1.088267,3.6625,0.7345033,0.7126867,1865,1145,1492,1119,55.95,63.545,0,0,0,0,0,0
