Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,40,42,32,41,3567.2,3567.2,8662,8449,1514429,945479,1229954,23138738,22451846,22795292,26541693,17413801,21977747,516914,226558,581541,880276,205.8,114.5,1.66,154.35,123.48,61.74,61.1226,1.23,22.8,21.98,5.17,2.27,5.82,8.8,3.7,1.1,37.7,7.1,38604.8,7270.4
5,40,43,32,41,3567.2,3567.2,8662,8236,1541028,1541028,1541028,16064272,16072631,16068451.5,19531030,19526442,19528736,370952,225349,403127,539650,206,114.5,1.66,154.5,123.6,61.8,61.182,1.54,16.07,19.53,3.71,2.25,4.03,5.4,0,0,0,0,0,0
10,40,42,32,41,3567.2,3567.2,8449,8236,1573021,1573021,1573021,14987576,14990399,14988987.5,16787502,16790420,16788961,413288,232956,353447,484162,206.1,114.4,1.66,154.58,123.66,61.83,61.2117,1.57,14.99,16.79,4.13,2.33,3.53,4.84,0,0.2,0,0.2,0,204.8
15,41,42,32,41,3567.2,3567.2,8662,8449,2074283,2074265,2074274,15511655,15509307,15510481,16098256,16092642,16095449,488727,290032,350006,301920,206.2,114.5,1.66,154.65,123.72,61.86,61.2414,2.07,15.51,16.1,4.89,2.9,3.5,3.02,0,0.2,0,4.5,0,4608
20,40,43,32,41,3488.8,3567.2,8662,8236,1540465,1540483,1540474,15171379,15172792,15172085.5,16738546,16743340,16740943,383098,212211,411206,421489,206.4,114.5,1.66,154.8,123.84,61.92,61.3008,1.54,15.17,16.74,3.83,2.12,4.11,4.21,0,0,0,0,0,0
25,40,43,32,41,3567.2,3567.2,8662,8449,1537351,1537351,1537351,15117354,15120125,15118739.5,16701260,16699893,16700576.5,424617,207922,453516,331585,206.4,114.5,1.66,154.8,123.84,61.92,61.3008,1.54,15.12,16.7,4.25,2.08,4.54,3.32,0,0,0,0,0,0
30,41,42,32,41,3567.2,3567.2,8449,8449,1540728,1540706,1540717,17595461,17587269,17591365,18646156,18641960,18644058,471907,343604,772564,183145,205.9,114.5,1.7,154.43,123.54,61.77,61.1523,1.54,17.59,18.64,4.72,3.44,7.73,1.83,0,0,0,0,0,0
35,41,42,32,41,3567.2,3567.2,8662,8236,1531657,1531679,1531668,16196792,16202829,16199810.5,18494283,18501320,18497801.5,462146,313492,550428,200389,205.9,114.4,1.69,154.43,123.54,61.77,61.1523,1.53,16.2,18.5,4.62,3.13,5.5,2,0,1.4,0,3,0,3072
40,40,42,32,41,3567.2,3567.2,8662,8449,863364,863364,863364,8032615,8029650,8031132.5,8485068,8498841,8491954.5,296079,110553,177281,172709,205.9,114.5,1.66,154.43,123.54,61.77,61.1523,0.86,8.03,8.49,2.96,1.11,1.77,1.73,0,0,0,0,0,0
45,40,43,32,41,3567.2,3567.2,8449,8236,910745,910745,910745,10773478,10756460,10764969,11378229,11366975,11372602,289646,225063,219282,243954,205.9,114.4,1.66,154.43,123.54,61.77,61.1523,0.91,10.76,11.37,2.9,2.25,2.19,2.44,0,0.2,0,2.4,0,2457.6
