Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,41,43,32,41,3488.8,3567.2,8449,8449,944160,1499745,1221952.5,20374013,20600436,20487224.5,15374607,24197799,19786203,307007,374719,558030,999209,206,115.5,1.66,154.5,123.6,61.8,1.22,20.49,19.79,3.07,3.75,5.58,9.99,1.1,0.6,12.2,4.1,12492.8,4198.4
5,41,43,32,41,3488.8,3567.2,8662,8662,1547337,1547341,1547339,17664598,17661539,17663068.5,21762619,21746932,21754775.5,337203,287318,419358,900107,206.1,115.4,1.64,154.58,123.66,61.83,1.55,17.66,21.75,3.37,2.87,4.19,9,0,0,0,0,0,0
10,41,43,32,42,3488.8,3567.2,8449,8449,1547348,1547352,1547350,14225181,14221422,14223301.5,16879408,16904666,16892037,515180,391296,302326,296443,206.1,115.5,1.64,154.58,123.66,61.83,1.55,14.22,16.89,5.15,3.91,3.02,2.96,0,0.2,0,3.9,0,3993.6
15,41,43,32,41,3567.2,3567.2,8449,8662,1534690,1534690,1534690,14178691,14181406,14180048.5,16788346,16795805,16792075.5,368983,258428,384062,373319,206.2,115.5,1.64,154.65,123.72,61.86,1.53,14.18,16.79,3.69,2.58,3.84,3.73,0,0.2,0,0.2,0,204.8
20,41,43,32,41,3567.2,3567.2,8662,8449,1532158,1532158,1532158,14098470,14099851,14099160.5,15797721,15792165,15794943,496833,388007,318094,212711,206.3,115.4,1.64,154.73,123.78,61.89,1.53,14.1,15.79,4.97,3.88,3.18,2.13,0,0,0,0,0,0
25,41,43,32,41,3567.2,3567.2,8662,8449,1528030,1528030,1528030,14348829,14348659,14348744,16745509,16744359,16744934,395468,221210,418280,344872,206.4,115.4,1.65,154.8,123.84,61.92,1.53,14.35,16.74,3.95,2.21,4.18,3.45,0,0,0,0,0,0
30,41,43,32,41,3567.2,3567.2,8449,8449,1523265,1523265,1523265,15667991,15670142,15669066.5,16691993,16698106,16695049.5,478148,439429,308951,682175,206,115.5,1.69,154.5,123.6,61.8,1.52,15.67,16.7,4.78,4.39,3.09,6.82,0,0,0,0,0,0
35,41,43,32,41,3567.2,3567.2,8449,8662,1542101,1542101,1542101,17221203,17219543,17220373,21321441,21315733,21318587,372845,278249,395480,892649,205.9,115.5,1.68,154.43,123.54,61.77,1.54,17.22,21.32,3.73,2.78,3.95,8.93,0,0.4,0,0.8,0,819.2
40,41,43,32,41,3567.2,3645.6,8662,8662,1430510,1391385,1410947.5,10420695,10417123,10418909,13001018,12929448,12965233,245883,147523,222795,342277,205.9,115.4,1.65,154.43,123.54,61.77,1.41,10.42,12.97,2.46,1.48,2.23,3.42,0,1.4,0,5.1,0,5222.4
45,41,43,32,41,3567.2,3567.2,8449,8449,334241,373366,353803.5,7310308,7313005,7311656.5,8950108,9029869,8989988.5,204645,67984,205488,243220,206,115.5,1.64,154.5,123.6,61.8,0.35,7.31,8.99,2.05,0.68,2.05,2.43,0,0.2,0,0.2,0,204.8
50,41,43,32,41,3567.2,3567.2,8662,8449,1558509,1558509,1558509,14121704,14122998,14122351,17049350,17041475,17045412.5,413337,252305,396544,352186,206,115.4,1.64,154.5,123.6,61.8,1.56,14.12,17.05,4.13,2.52,3.97,3.52,0,0,0,0,0,0
55,41,43,32,41,3567.2,3567.2,8662,8449,1549235,1549235,1549235,13118024,13117217,13117620.5,14274066,14274338,14274202,505173,404548,302025,184039,206.1,115.5,1.65,154.58,123.66,61.83,1.55,13.12,14.27,5.05,4.05,3.02,1.84,0,0.2,0,1.6,0,1638.4
60,41,43,32,41,3567.2,3567.2,8449,8449,1559176,1559176,1559176,15229708,15230291,15229999.5,16329674,16337354,16333514,513797,400005,320988,696423,206.2,115.4,1.66,154.65,123.72,61.86,1.56,15.23,16.33,5.14,4,3.21,6.96,0,0,0,0,0,0
65,41,43,32,41,3567.2,3567.2,8449,8449,1542138,1542138,1542138,17024183,17026584,17025383.5,21065720,21056798,21061259,460469,329561,343510,809729,206.3,115.4,1.64,154.73,123.78,61.89,1.54,17.03,21.06,4.6,3.3,3.44,8.1,0,0.4,0,1.2,0,1228.8
70,41,43,32,42,3567.2,3567.2,8449,8662,1538419,1538419,1538419,14823950,14819571,14821760.5,18438889,18439675,18439282,440571,203201,456883,355170,206.3,115.4,1.65,154.73,123.78,61.89,1.54,14.82,18.44,4.41,2.03,4.57,3.55,0,1,0,3.7,0,3788.8
75,41,43,32,41,3488.8,3567.2,8662,8449,1533866,1533804,1533835,14072891,14072107,14072499,16952675,16944381,16948528,363532,188131,498758,317650,206.3,115.5,1.65,154.73,123.78,61.89,1.53,14.07,16.95,3.64,1.88,4.99,3.18,0,0.2,0,0.2,0,204.8
80,41,43,32,41,3488.8,3567.2,8662,8662,1543378,1543440,1543409,14210352,14210604,14210478,17195354,17203957,17199655.5,369636,230547,488727,311191,205.8,115.4,1.73,154.35,123.48,61.74,1.54,14.21,17.2,3.7,2.31,4.89,3.11,0,0,0,0,0,0
85,41,43,32,41,3567.2,3567.2,8662,8449,1548383,1548383,1548383,13780051,13780959,13780505,16629702,16629418,16629560,336782,268792,451226,317784,205.9,115.4,1.66,154.43,123.54,61.77,1.55,13.78,16.63,3.37,2.69,4.51,3.18,0,0,0,0,0,0
90,41,43,32,41,3567.2,3567.2,8662,8449,1027514,1025113,1026313.5,10861398,10864037,10862717.5,12085724,12059708,12072716,265471,127325,240243,778603,206,115.4,1.66,154.5,123.6,61.8,1.03,10.86,12.07,2.65,1.27,2.4,7.79,0,0,0,0,0,0
95,41,43,32,41,3567.2,3567.2,8662,8449,750220,752621,751420.5,10729276,10726501,10727888.5,14096651,14120929,14108790,221975,139442,173793,755322,206.1,115.5,1.65,154.58,123.66,61.83,0.75,10.73,14.11,2.22,1.39,1.74,7.55,0,0.6,0,3.2,0,3276.8
100,41,43,32,41,3567.2,3567.2,8662,8662,1531712,1531712,1531712,14938610,14939961,14939285.5,17932233,17933529,17932881,495540,198841,426539,346632,206.1,115.4,1.64,154.58,123.66,61.83,1.53,14.94,17.93,4.96,1.99,4.27,3.47,0,0.8,0,4.1,0,4198.4
105,41,43,32,41,3567.2,3645.6,8662,8662,1531809,1531809,1531809,14070728,14070056,14070392,15468048,15476405,15472226.5,444827,410598,357548,186690,206.2,115.5,1.65,154.65,123.72,61.86,1.53,14.07,15.47,4.45,4.11,3.58,1.87,0,0.2,0,0.2,0,204.8
110,41,43,32,41,3567.2,3567.2,8662,8662,1530725,1530725,1530725,15663749,15664940,15664344.5,17662186,17654656,17658421,578121,394273,480211,174021,206.2,115.5,1.64,154.65,123.72,61.86,1.53,15.66,17.66,5.78,3.94,4.8,1.74,0,0,0,0,0,0
115,41,43,32,41,3567.2,3567.2,8662,8449,1528543,1528543,1528543,14099906,14096749,14098327.5,15532979,15531882,15532430.5,507885,378623,353432,165710,206.3,115.4,1.65,154.73,123.78,61.89,1.53,14.1,15.53,5.08,3.79,3.53,1.66,0,0.4,0,3.2,0,3276.8
120,41,43,32,41,3567.2,3567.2,8662,8449,1541641,1541579,1541610,16406268,16408458,16407363,18672078,18664043,18668060.5,451883,152662,415326,918152,206.4,115.4,1.67,154.8,123.84,61.92,1.54,16.41,18.67,4.52,1.53,4.15,9.18,0,0,0,0,0,0
125,41,43,32,41,3567.2,3567.2,8662,8662,1533695,1533757,1533726,17305306,17305641,17305473.5,21833991,21842519,21838255,424146,266710,364230,902876,206.3,115.4,1.65,154.73,123.78,61.89,1.53,17.31,21.84,4.24,2.67,3.64,9.03,0,0.6,0,4,0,4096
130,41,43,32,41,3488.8,3567.2,8662,8449,1524663,1524663,1524663,14907392,14905903,14906647.5,17834822,17834453,17834637.5,443152,220031,432416,354447,205.8,115.4,1.69,154.35,123.48,61.74,1.52,14.91,17.83,4.43,2.2,4.32,3.54,0,0.8,0,6.5,0,6656
135,41,43,32,41,3567.2,3567.2,8449,8662,1544089,1544023,1544056,13006397,13006930,13006663.5,14350294,14342445,14346369.5,472250,419478,277902,219358,205.8,115.4,1.64,154.35,123.48,61.74,1.54,13.01,14.35,4.72,4.19,2.78,2.19,0,0.2,0,0.4,0,409.6
140,41,43,32,41,3567.2,3567.2,8449,8449,808383,803199,805791,3807146,3807374,3807260,4311457,4296412,4303934.5,113487,31387,26239,145567,205.9,115.5,1.65,154.43,123.54,61.77,0.81,3.81,4.3,1.13,0.31,0.26,1.46,0,0,0,0,0,0
145,41,43,32,41,3567.2,3567.2,8662,8662,949872,955122,952497,12956653,12958099,12957376,14478956,14502279,14490617.5,423598,346089,334618,220882,206,115.4,1.65,154.5,123.6,61.8,0.95,12.96,14.49,4.24,3.46,3.35,2.21,0,0,0,0,0,0
150,41,43,32,41,3567.2,3567.2,8449,8449,1546521,1546521,1546521,15510177,15510046,15510111.5,16864406,16872980,16868693,494037,339400,358620,770868,206.1,115.4,1.66,154.58,123.66,61.83,1.55,15.51,16.87,4.94,3.39,3.59,7.71,0,0.2,0,1.6,0,1638.4
155,41,43,32,41,3567.2,3567.2,8662,8449,1550661,1550661,1550661,17070076,17070240,17070158,20714569,20704643,20709606,434620,436180,339649,733941,206.2,115.5,1.65,154.65,123.72,61.86,1.55,17.07,20.71,4.35,4.36,3.4,7.34,0,0.4,0,1.4,0,1433.6
160,41,43,32,41,3567.2,3488.8,8449,8662,1536654,1536654,1536654,14608213,14608251,14608232,16813003,16814799,16813901,407174,421391,358386,255142,206.3,115.4,1.65,154.73,123.78,61.89,1.54,14.61,16.81,4.07,4.21,3.58,2.55,0,1,0,5.7,0,5836.8
165,41,43,32,41,3567.2,3567.2,8449,8662,1527150,1527150,1527150,13885773,13884838,13885305.5,15491103,15498920,15495011.5,483340,376548,334717,199803,206.3,115.3,1.65,154.73,123.78,61.89,1.53,13.89,15.5,4.83,3.77,3.35,2,0,0.2,0,0.4,0,409.6
170,41,43,32,41,3567.2,3567.2,8662,8449,1519082,1519082,1519082,14392926,14392885,14392905.5,16837637,16828964,16833300.5,426086,229948,370723,384868,206.4,115.3,1.64,154.8,123.84,61.92,1.52,14.39,16.83,4.26,2.3,3.71,3.85,0,0,0,0,0,0
175,41,43,32,41,3567.2,3567.2,8662,8662,1523170,1523170,1523170,13888526,13888159,13888342.5,15493691,15494072,15493881.5,472916,404894,359869,156131,206.3,115.4,1.65,154.73,123.78,61.89,1.52,13.89,15.49,4.73,4.05,3.6,1.56,0,0,0,0,0,0
180,41,43,32,41,3567.2,3567.2,8449,8662,1540747,1540747,1540747,16695907,16696593,16696250,19099776,19106306,19103041,413265,199702,452602,942887,206,115.4,1.74,154.5,123.6,61.8,1.54,16.7,19.1,4.13,2,4.53,9.43,0,0,0,0,0,0
185,41,43,32,41,3567.2,3567.2,8662,8449,1536562,1536562,1536562,18069267,18068090,18068678.5,23486744,23479961,23483352.5,355825,231419,455317,904032,206,115.4,1.65,154.5,123.6,61.8,1.54,18.07,23.48,3.56,2.31,4.55,9.04,0,0.2,0,0.8,0,819.2
