Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missc3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,43.22222222,45.55555556,34.22222222,43.22222222,3567.2,3593.333333,8591,8401.666667,1331810,1457872.222,1394841.111,18717559.89,19393202.78,19055381.39,20557370.33,22460301.78,21508836.06,481592.5556,393419.1111,477269.4444,551177.7778,207.0777778,115.0666667,1.665555556,155.31,124.2466667,62.12333333,1.394444444,19.05555556,21.51111111,4.816666667,3.935555556,4.773333333,5.511111111,21.7,5.577777778,227.1222222,37.26666667,232573.1556,38161.06667
5,43,45.66666667,34.22222222,43.44444444,3549.777778,3593.333333,8614.666667,8425.333333,1539134.333,1539125.333,1539129.833,16299894.22,16303679.56,16301786.94,19053181,19055184.33,19054182.72,410019.8889,247320.2222,461735.4444,510336.8889,207.0444444,115.0777778,1.663333333,155.2866667,124.2266667,62.11333333,1.54,16.30111111,19.05333333,4.098888889,2.473333333,4.616666667,5.103333333,3.244444444,0,23.4,0,23961.6,0
10,43.11111111,45.55555556,34.22222222,43.22222222,3567.2,3567.2,8567.333333,8378,1544421.556,1544411.778,1544416.667,15627056.78,15634180.89,15630618.89,18356698.33,18350616.78,18353657.56,439042.8889,265335.7778,378030.6667,448028.1111,207.1,115.0777778,1.665555556,155.3277778,124.26,62.13,1.545555556,15.63,18.35444444,4.39,2.652222222,3.778888889,4.478888889,0,0.311111111,0,2.111111111,0,2161.777778
15,43.22222222,45.33333333,34.22222222,43.33333333,3567.2,3584.622222,8591,8425.333333,1591815.778,1591826.889,1591821.333,16111849.89,16105055,16108452.5,19627662.67,19635535.22,19631598.94,434123.1111,281666,374457,491602.5556,207.1777778,115.0777778,1.657777778,155.3855556,124.3066667,62.15333333,1.591111111,16.10888889,19.63222222,4.341111111,2.816666667,3.744444444,4.914444444,0,0.511111111,0,3.655555556,0,3743.288889
20,43.22222222,45.44444444,34.22222222,43.33333333,3567.2,3567.2,8662,8401.666667,1541366.778,1541355.333,1541361.056,15095667.33,15096319,15095993.17,17051343.89,17046790.22,17049067.06,449970.1111,292195.5556,379691.5556,325927.5556,208.6333333,115.0555556,1.662222222,156.4766667,125.18,62.59,1.54,15.09555556,17.04888889,4.5,2.922222222,3.796666667,3.26,0,0.444444444,0,4.611111111,0,4721.777778
25,43,45.44444444,34.22222222,43.33333333,3567.2,3593.333333,8591,8449,1536574.556,1536576.667,1536575.611,15275708.11,15275727.33,15275717.78,16871940,16874888.89,16873414.5,480567.8889,300233,377331,307081,207.1111111,115.0222222,1.662222222,155.3355556,124.2666667,62.13333333,1.536666667,15.27444444,16.87111111,4.804444444,3.001111111,3.774444444,3.071111111,0,0.355555556,0,4.966666667,0,5085.866667
30,43.11111111,45.44444444,34.22222222,43.44444444,3567.2,3584.622222,8543.666667,8401.666667,1533606.444,1533616.444,1533611.444,16033730.89,16033288.11,16033509.5,18466622.89,18469568,18468095.44,435175.2222,309485.4444,412565.8889,430878.5556,206.9888889,115.0777778,1.674444444,155.2433333,124.1933333,62.09666667,1.532222222,16.03222222,18.46777778,4.35,3.094444444,4.125555556,4.308888889,0,0.222222222,0,2,0,2048
35,43.22222222,45.44444444,34.22222222,43.44444444,3558.488889,3584.622222,8567.333333,8449,1538610,1538605.111,1538607.556,16352019.78,16350796.44,16351408.17,18854728.56,18853809.89,18854269.22,439365.4444,282734,397212.3333,506681.2222,207.0666667,115.0777778,1.666666667,155.3033333,124.24,62.12,1.538888889,16.35222222,18.85555556,4.393333333,2.826666667,3.971111111,5.068888889,0,1.311111111,0,2.311111111,0,2366.577778
40,43.11111111,45.33333333,34.22222222,43.33333333,3575.911111,3584.622222,8638.333333,8449,1315353.889,1308651.444,1312002.667,10566733,10369070.22,10467901.67,12447497.11,12426545.56,12437021.33,278179.2222,166301.2222,219493.7778,321854.7778,207.1222222,115.0222222,1.658888889,155.3444444,124.2733333,62.13666667,1.312222222,10.46777778,12.43777778,2.782222222,1.662222222,2.193333333,3.218888889,0,1.644444444,0,3.644444444,0,3731.911111
45,43,45.55555556,34.22222222,43.33333333,3845.955556,3850.311111,8567.333333,8401.666667,447801.4444,454514.8889,451158.1667,9241998.556,9438792.333,9340395.444,12303659.33,12326423.89,12315041.61,257922.1111,145858.5556,190808.8889,353020.7778,207.1888889,115.0777778,1.658888889,155.3933333,124.3133333,62.15666667,0.451111111,9.338888889,12.31444444,2.581111111,1.458888889,1.908888889,3.53,0,1.4,0,3.944444444,0,4039.111111
50,43.11111111,45.44444444,34.22222222,43.33333333,3567.2,3575.911111,8638.333333,8401.666667,1540523.333,1540514.444,1540518.889,16575800.11,16577767.44,16576783.78,18436445.78,18434588,18435516.94,440399.3333,448891,401499,304365.1111,207.1555556,115.0222222,1.671111111,155.3677778,124.2933333,62.14666667,1.538888889,16.57444444,18.43666667,4.404444444,4.486666667,4.015555556,3.044444444,0,0.733333333,0,2.255555556,0,2309.688889
55,43,45.22222222,34.22222222,43.11111111,3558.488889,3584.622222,8591,8425.333333,1531555.222,1531557,1531556.111,15218483.33,15218386.33,15218434.83,17035966.56,17036527.44,17036247,434202.2222,286974.6667,399177,323958.4444,207.0777778,115.0666667,1.676666667,155.3111111,124.2466667,62.12333333,1.532222222,15.21888889,17.03666667,4.343333333,2.868888889,3.991111111,3.238888889,0,0.977777778,0,7.666666667,0,7850.666667
60,43.11111111,45.33333333,34.22222222,43.44444444,3567.2,3575.911111,8567.333333,8401.666667,1537993.333,1537994.667,1537994,15940990.11,15941324.67,15941157.39,18544092.44,18546220.67,18545156.61,431522.6667,295235.3333,384261.6667,481460.3333,207.1555556,115.0666667,1.666666667,155.3688889,124.2933333,62.14666667,1.537777778,15.94111111,18.54555556,4.315555556,2.953333333,3.843333333,4.814444444,0,0.333333333,0,1.555555556,0,1592.888889
65,43,45.44444444,34.22222222,43.44444444,3575.911111,3593.333333,8638.333333,8401.666667,1540063.778,1540061.444,1540062.611,16206281,16205901.78,16206091.44,18782081.44,18781147.11,18781614.33,447864.5556,280011.5556,371705.3333,529684.4444,207.1555556,115.0888889,1.657777778,155.3688889,124.2933333,62.14666667,1.541111111,16.20777778,18.78111111,4.478888889,2.802222222,3.716666667,5.297777778,0,1.511111111,0,3.511111111,0,3595.377778
70,43,45.22222222,34.22222222,43.44444444,3549.777778,3584.622222,8614.666667,8401.666667,1540117.556,1540105.333,1540111.444,15647216.22,15638633.33,15642924.78,18099042.11,18089101.33,18094071.78,458172.5556,297587,370281,398529,207.1222222,115.0666667,1.674444444,155.3433333,124.2733333,62.13666667,1.54,15.64333333,18.09444444,4.582222222,2.974444444,3.703333333,3.984444444,0,1.222222222,0,3.5,0,3584
75,43,45.33333333,34.11111111,43.33333333,3558.488889,3584.622222,8638.333333,8425.333333,1540170.333,1540174.111,1540172.222,16147814.22,16156617,16152215.67,19628964.22,19635448.67,19632206.44,427332.3333,278305.3333,382796.1111,491157.4444,207.1333333,115.0888889,1.661111111,155.3522222,124.28,62.14,1.542222222,16.15222222,19.63222222,4.274444444,2.782222222,3.828888889,4.91,0,1.022222222,0,3.422222222,0,3504.355556
80,43,45.22222222,34.22222222,43.33333333,3567.2,3575.911111,8662,8449,1536329.889,1536338.111,1536334,15473318.33,15473024.22,15473171.33,17356741.44,17359126.78,17357934.17,434309.4444,298881.1111,389056.6667,320823.1111,207.0444444,115.0444444,1.681111111,155.2877778,124.2266667,62.11333333,1.535555556,15.47333333,17.35888889,4.343333333,2.988888889,3.888888889,3.207777778,0,0.466666667,0,2.511111111,0,2571.377778
85,43,45.33333333,34.22222222,43.33333333,3567.2,3593.333333,8614.666667,8401.666667,1541681.222,1541674.111,1541677.667,15015279.67,15015488.89,15015384.28,16775386,16772381.22,16773883.67,447871.8889,303006.1111,383851.5556,332120.5556,207.1111111,115.0444444,1.66,155.3355556,124.2666667,62.13333333,1.541111111,15.01555556,16.77333333,4.478888889,3.03,3.837777778,3.321111111,0,0.244444444,0,2.688888889,0,2753.422222
90,43.22222222,45.11111111,34.22222222,43.33333333,3558.488889,3567.2,8591,8449,943497.5556,943267.8889,943382.7222,10463026.56,10051749.11,10257387.83,12190930.11,12190472.78,12190701.44,279713,164984.1111,225563.3333,381691.1111,207.1777778,115.0222222,1.662222222,155.3855556,124.3066667,62.15333333,0.943333333,10.25666667,12.19111111,2.796666667,1.65,2.255555556,3.817777778,0,0.155555556,0,1.511111111,0,1547.377778
95,43.11111111,45.33333333,34.22222222,43.22222222,3575.911111,3593.333333,8662,8378,825190.5556,825431.6667,825311.1111,10697997.11,10545696.56,10621846.83,12514318,12517872.44,12516095.28,272219,157787,217125.7778,423529.4444,207.1888889,115.0666667,1.662222222,155.3944444,124.3133333,62.15666667,0.824444444,10.62111111,12.51555556,2.721111111,1.577777778,2.171111111,4.234444444,0,2.133333333,0,8.777777778,0,8988.444444
100,43.11111111,45.33333333,34.11111111,43.22222222,3584.622222,3602.044444,8662,8401.666667,1547001.111,1546989.222,1546995.167,15795215.22,15542892.56,15669053.89,18121548.89,18114024.33,18117786.67,453735.6667,273646.3333,368512.7778,426506.2222,207.1111111,115.0333333,1.673333333,155.3355556,124.2666667,62.13333333,1.547777778,15.67111111,18.11777778,4.536666667,2.735555556,3.685555556,4.264444444,0,1.311111111,0,6.577777778,0,6735.644444
105,42.88888889,45.33333333,34.22222222,43.22222222,3567.2,3584.622222,8685.666667,8449,1544717.111,1544723.889,1544720.5,15971691.78,15965111.22,15968401.56,19217040.89,19223530.33,19220285.67,448074.2222,304819.7778,353601.2222,482417.5556,207.0888889,115.0333333,1.674444444,155.3188889,124.2533333,62.12666667,1.544444444,15.96888889,19.21888889,4.481111111,3.048888889,3.536666667,4.824444444,0,1.4,0,5.266666667,0,5393.066667
