Proc ,bm ,n,  rmse,  pcterror  ,min, max 
AMD ,astar ,10,0.7241,0.6606,60.212,70.434
AMD ,astar ,25,0.514,0.4724,60.212,70.434
AMD ,astar ,50,0.1823,0.1816,60.212,66.449
AMD ,astar ,100,0.1823,0.1816,60.212,66.449
AMD ,astar ,200,0.1823,0.1816,60.212,66.449
AMD ,gamess ,10,1.0269,0.9939,63.063,73.887
AMD ,gamess ,25,1.0216,0.9361,63.248,73.524
AMD ,gamess ,50,0.242,0.2063,63.248,68.904
AMD ,gamess ,100,0.242,0.2063,63.248,68.904
AMD ,gamess ,200,0.242,0.2063,63.248,68.904
AMD ,gobmk ,10,0.7555,0.6514,63.8595,74.382
AMD ,gobmk ,25,0.7211,0.6374,64.1355,74.382
AMD ,gobmk ,50,0.3376,0.2762,64.1355,72.6915
AMD ,gobmk ,100,0.3376,0.2762,64.1355,72.6915
AMD ,gobmk ,200,0.3376,0.2762,64.1355,72.6915
AMD ,zeusmp ,10,0.8472,0.8223,63.26,74.303
AMD ,zeusmp ,25,0.8266,0.8248,63.26,74.303
AMD ,zeusmp ,50,0.2337,0.2221,63.26,72.191
AMD ,zeusmp ,100,0.2337,0.2221,63.26,72.191
AMD ,zeusmp ,200,0.2337,0.2221,63.26,72.191
Intel ,astar ,10,1.8386,1.9244,41.55,72.3
Intel ,astar ,25,1.3396,1.3704,42,65.52
Intel ,astar ,50,1.2944,1.2587,42,65.52
Intel ,astar ,100,0.1823,0.1816,60.212,66.449
Intel ,astar ,200,0.1823,0.1816,60.212,66.449
Intel ,gamess ,10,1.5481,1.4203,41.97,68.55
Intel ,gamess ,25,1.6084,1.554,41.97,68.55
Intel ,gamess ,50,2.4411,2.8759,41.97,68.55
Intel ,gamess ,100,0.242,0.2063,63.248,68.904
Intel ,gamess ,200,0.242,0.2063,63.248,68.904
Intel ,gobmk ,10,2.1314,2.3632,40.368,69.21
Intel ,gobmk ,25,1.6767,1.6657,42,67.86
Intel ,gobmk ,50,1.8587,1.7991,42,66.9
Intel ,gobmk ,100,0.3376,0.2762,64.1355,72.6915
Intel ,gobmk ,200,0.3376,0.2762,64.1355,72.6915
Intel ,zeusmp ,10,3.3069,4.2029,41.568,75.39
Intel ,zeusmp ,25,3.5883,4.6398,42.09,75.39
Intel ,zeusmp ,50,3.1972,4.0871,42.09,70.32
Intel ,zeusmp ,100,0.2337,0.2221,63.26,72.191
Intel ,zeusmp ,200,0.2337,0.2221,63.26,72.191
