Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,42,46,34,42,3645.6,3645.6,9656,9656,819119,1.08E+07,1.19E+07,2.34E+05,141571,2.26E+05,245468,0.819119,10.76913,11.91284,2.34E+00,1.42E+00,2.26E+00,2.45E+00,2057.08,1128,1645.662411,123.4246809,61.71234043,61.71234043,0,0,0,0,0,0
5,42,46,34,42,3645.6,3645.6,9656,9656,757335,8.88E+06,10059542,2.34E+05,1.48E+05,2.26E+05,1.90E+05,0.757335,8.879584,10.059542,2.34E+00,1.48E+00,2.26E+00,1.90E+00,2061.46,1127,1649.168794,123.6876596,61.84382979,61.84382979,0,14,0,69.4,0,71065.6
10,43,45,34,42,3645.6,3645.6,9656,9656,1023558,9206654,9458778,250125,1.48E+05,2.26E+05,1.16E+05,1.023558,9.206654,9.458778,2.50E+00,1.48E+00,2.26E+00,1.16E+00,2061.46,1124,1649.168794,123.6876596,61.84382979,61.84382979,0,1.2,0,0.8,0,819.2
15,42,46,34,42,3645.6,3645.6,9656,9656,1023558,1.97E+07,9458778,250125,1.48E+05,2.59E+05,274921,1.023558,19.69436,9.458778,2.50E+00,1.48E+00,2.59E+00,2.75E+00,2071.69,1131,1657.350355,124.3012766,62.1506383,62.1506383,0,0,0,0,0,0
20,42,45,34,42,3645.6,3645.6,9656,9656,771420,9.20E+06,9123664,2.73E+05,1.48E+05,2.59E+05,88619,0.77142,9.19957,9.123664,2.73E+00,1.48E+00,2.59E+00,8.86E-01,2054.16,1130,1643.324823,123.2493617,61.62468085,61.62468085,0,0,0,0,0,0
25,42,45,34,42,3724,3645.6,9656,9372,7.55E+05,9.45E+06,9.58E+06,2.73E+05,250431,2.59E+05,9.57E+04,0.7553415,9.451778,9.57681,2.73E+00,2.50E+00,2.59E+00,9.57E-01,2064.38,1131,1651.506383,123.8629787,61.93148936,61.93148936,0,0,0,0,0,0
30,42,45,34,42,3567.2,3645.6,9656,9656,1635225,9.45E+06,20463656,502660,250431,2.59E+05,9.57E+04,1.635225,9.451778,20.463656,5.03E+00,2.50E+00,2.59E+00,9.57E-01,2064.38,1124,1651.506383,123.8629787,61.93148936,61.93148936,0,0,0,0,0,0
35,42,46,34,42,3645.6,3645.6,9656,9656,7.49E+05,9.23E+06,10529312,502660,1.40E+05,2.59E+05,196787,0.7490495,9.233748,10.529312,5.03E+00,1.40E+00,2.59E+00,1.97E+00,2064.38,1127,1651.506383,123.8629787,61.93148936,61.93148936,0,11,0,57.1,0,58470.4
40,42,45,34,42,3567.2,3645.6,9656,9656,1544076,9.23E+06,18722933,502660,531637,2.59E+05,196787,1.544076,9.233748,18.722933,5.03E+00,5.32E+00,2.59E+00,1.97E+00,2080.45,1130,1664.363121,124.827234,62.41361702,62.41361702,0,1.2,0,0.8,0,819.2
45,42,46,34,42,3645.6,3645.6,9372,9656,1544076,20402294,18722933,502660,531637,2.21E+05,219815,1.544076,20.402294,18.722933,5.03E+00,5.32E+00,2.21E+00,2.20E+00,2058.54,1130,1646.831206,123.5123404,61.75617021,61.75617021,0,0,0,0,0,0
50,42,45,34,42,3645.6,3567.2,9656,9656,760036,9631420,9753021,265850,531637,2.21E+05,9.64E+04,0.760036,9.63142,9.753021,2.66E+00,5.32E+00,2.21E+00,9.64E-01,2078.99,1127,1663.194326,124.7395745,62.36978723,62.36978723,0,0,0,0,0,0
55,42,45,34,42,3645.6,3567.2,9372,9656,757265,9629821,9.80E+06,265850,243534,2.21E+05,95839,0.757265,9.629821,9.797342,2.66E+00,2.44E+00,2.21E+00,9.58E-01,2060,1129,1648,123.6,61.8,61.8,0,0,0,0,0,0
60,42,45,34,42,3645.6,3645.6,9656,9656,8.09E+05,1.03E+07,10474646,265850,2.43E+05,2.21E+05,1.69E+05,0.8094895,10.33252,10.474646,2.66E+00,2.43E+00,2.21E+00,1.69E+00,2061.46,1132,1649.168794,123.6876596,61.84382979,61.84382979,0,0,0,0,0,0
65,42,45,34,42,3645.6,3645.6,9656,9656,1517527,1.03E+07,19511895,490236,2.43E+05,2.21E+05,1.69E+05,1.517527,10.33252,19.511895,4.90E+00,2.43E+00,2.21E+00,1.69E+00,2074.61,1128,1659.687943,124.4765957,62.23829787,62.23829787,0,12.6,0,59.3,0,60723.2
