Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,46,49,36,46,3567.2,3645.6,8449,8449,806467,805443,805955,9145418,9171415,9158416.5,9681246,9680620,9680933,250818,181614,195397,155651,226.9,115.2,1.76,170.18,136.14,68.07,0.81,9.16,9.68,2.51,1.82,1.95,1.56,0,0,0,0,0,0
5,46,49,36,46,3567.2,3567.2,8662,8449,1527754,1527752,1527753,16273106,16272448,16272777,18899911,18909866,18904888.5,357105,239640,455997,417569,231.5,115,1.83,173.63,138.9,69.45,1.53,16.27,18.9,3.57,2.4,4.56,4.18,0,0.2,0,1.6,0,1.6
10,46,50,36,46,3567.2,3645.6,8662,8449,3197344,3197342,3197343,71793254,71783445,71788349.5,74860545,74895218,74877881.5,4429269,9268785,947039,9180678,230.2,114.9,1.91,172.65,138.12,69.06,3.2,71.79,74.88,44.29,92.69,9.47,91.81,0,0,0,0,0,0
15,46,49,36,46,3567.2,3567.2,8662,8449,1544940,1544940,1544940,462115008,462124888,462119948,333305612,333293531,333299571.5,1113135,386551,131741607,3100546,229.2,115.1,1.82,171.9,137.52,68.76,1.54,462.12,333.3,11.13,3.87,1317.42,31.01,0,0.8,0,11.4,0,11.4
20,46,50,37,46,3567.2,3567.2,8662,8449,1529828,1529822,1529825,559568914,559303156,559436035,367087742,367002997,367045369.5,2540806,348429,151324638,1055910,228.5,115.1,1.83,171.38,137.1,68.55,1.53,559.44,367.05,25.41,3.48,1513.25,10.56,0.4,1,2.4,8.3,2.4,8.3
25,46,50,37,46,3567.2,3567.2,8662,8449,1617148,1617187,1617167.5,446618413,446873437,446745925,302149972,302246258,302198115,483498,3489851,105207783,514304,228.4,115.1,1.83,171.3,137.04,68.52,1.62,446.75,302.2,4.83,34.9,1052.08,5.14,0.2,1.8,0.8,53.3,0.8,53.3
30,46,50,37,46,3567.2,3567.2,8662,8662,1574238,1574238,1574238,475673475,475770240,475721857.5,344304036,344332999,344318517.5,569259,377014,467232,139116490,228.8,115,1.83,171.6,137.28,68.64,1.57,475.72,344.32,5.69,3.77,4.67,1391.16,0,0.6,0,33.6,0,33.6
35,46,50,37,46,3567.2,3567.2,8662,8449,1585216,1585216,1585216,529215781,529117346,529166563.5,355775752,355804452,355790102,518640,1937293,168637063,495199,229.3,115.1,1.82,171.98,137.58,68.79,1.59,529.17,355.79,5.19,19.37,1686.37,4.95,0,0.4,0,22.4,0,22.4
40,46,50,37,46,3488.8,3567.2,8662,8449,1580285,1580285,1580285,569084583,569084305,569084444,378848081,378794510,378821295.5,812638,1862694,167817526,567881,228.9,115.1,1.82,171.68,137.34,68.67,1.58,569.08,378.82,8.13,18.63,1678.18,5.68,0,0.4,0,20.8,0,20.8
45,45,51,37,46,3567.2,3645.6,8449,8449,709568,710513,710040.5,370012536,369830725,369921630.5,252681826,252713154,252697490,398433,45579,60874990,44074874,228.8,115.1,1.83,171.6,137.28,68.64,0.71,369.92,252.7,3.98,0.46,608.75,440.75,0.2,1,0.8,16.7,0.8,16.7
50,46,51,37,46,3567.2,3567.2,8662,8449,1086352,1085368,1085860,339215417,339608897,339412157,234212308,234084343,234148325.5,2890929,355529,72019237,777409,228.7,115,1.83,171.53,137.22,68.61,1.09,339.41,234.15,28.91,3.56,720.19,7.77,0,1.6,0,7.8,0,7.8
55,46,51,37,46,3488.8,3645.6,8662,8449,1522321,1522329,1522325,357278593,357099269,357188931,242226768,242314271,242270519.5,2320598,1585708,15656448,55901581,228.5,115.1,1.83,171.38,137.1,68.55,1.52,357.19,242.27,23.21,15.86,156.56,559.02,0,0.2,0,1.9,0,1.9
60,46,51,37,47,3567.2,3567.2,8662,8449,1545434,1545432,1545433,291897978,291875703,291886840.5,201472507,201490189,201481348,830123,378531,76061670,416828,228.2,115,1.89,171.15,136.92,68.46,1.55,291.89,201.48,8.3,3.79,760.62,4.17,0,0,0,0,0,0
65,46,51,37,46,3567.2,3567.2,8875,8662,1571109,1571107,1571108,300980895,300972792,300976843.5,208271709,208298050,208284879.5,529286,1088278,51211966,24275725,228.3,115,1.83,171.23,136.98,68.49,1.57,300.98,208.28,5.29,10.88,512.12,242.76,0,0,0,0,0,0
70,46,51,37,47,3645.6,3567.2,8662,8662,1545465,1545467,1545466,320579268,320599374,320589321,219722258,219686115,219704186.5,2015796,395444,18973927,55095826,228.3,115,1.83,171.23,136.98,68.49,1.55,320.59,219.7,20.16,3.95,189.74,550.96,0,0,0,0,0,0
75,46,51,37,47,3567.2,3567.2,8662,8449,1535665,1535665,1535665,345590176,345571230,345580703,234730279,234771674,234750976.5,1238742,2212099,72456910,1126615,228.4,115.1,1.83,171.3,137.04,68.52,1.54,345.58,234.75,12.39,22.12,724.57,11.27,0,1,0,4.5,0,4.5
80,46,51,37,47,3567.2,3567.2,11644,11644,1524532,1524571,1524551.5,408591644,408592315,408591979.5,276097240,276073347,276085293.5,2920292,3354611,67486942,1610616,228.5,115,1.83,171.38,137.1,68.55,1.52,408.59,276.09,29.2,33.55,674.87,16.11,0,0.8,0,4.4,0,4.4
85,46,51,37,47,3645.6,3567.2,8662,8662,1519102,1519102,1519102,313520391,313539713,313530052,215051555,215036559,215044057,1614133,417120,494085,74695286,228.5,114.9,1.83,171.38,137.1,68.55,1.52,313.53,215.04,16.14,4.17,4.94,746.95,0,0,0,0,0,0
90,46,51,37,47,3488.8,3567.2,8662,8449,1542880,1542876,1542878,299348783,299349313,299349048,207156790,207180330,207168560,874134,530386,67006461,8583086,228.6,115.1,1.83,171.45,137.16,68.58,1.54,299.35,207.17,8.74,5.3,670.06,85.83,0,0,0,0,0,0
95,46,51,37,47,3488.8,3567.2,8662,8449,315864,315860,315862,272620963,272617013,272618988,192840495,192825134,192832814.5,81359,48840,21364818,53970036,228.7,114.9,1.83,171.53,137.22,68.61,0.32,272.62,192.83,0.81,0.49,213.65,539.7,0,0.2,0,1.6,0,1.6
100,46,51,37,47,3567.2,3645.6,8662,8449,1543102,1543106,1543104,327376043,327358614,327367328.5,223174197,223151134,223162665.5,1197905,1684241,72542368,561733,228.9,115,1.83,171.68,137.34,68.67,1.54,327.37,223.16,11.98,16.84,725.42,5.62,0,0,0,0,0,0
105,46,51,37,47,3567.2,3645.6,8662,8449,1539582,1539541,1539561.5,318442624,318716120,318579372,217293199,217210499,217251849,1856967,396230,58746888,17324325,228.4,115.1,1.83,171.3,137.04,68.52,1.54,318.58,217.25,18.57,3.96,587.47,173.24,0,0.6,0,4.2,0,4.2
110,46,51,37,47,3567.2,3567.2,8662,8449,1557258,1557266,1557262,331996714,331723159,331859936.5,229406978,229523974,229465476,1306825,1613973,73152308,721582,228.4,115,1.92,171.3,137.04,68.52,1.56,331.86,229.47,13.07,16.14,731.52,7.22,0,1,0,6,0,6
115,46,51,37,47,3567.2,3567.2,8662,8449,1548046,1548044,1548045,319726128,319738325,319732226.5,218633937,218614990,218624463.5,2012283,398732,73323904,1357819,228.4,115,1.83,171.3,137.04,68.52,1.55,319.73,218.62,20.12,3.99,733.24,13.58,0,0,0,0,0,0
120,46,51,37,47,3567.2,3567.2,8449,8662,1547933,1547927,1547930,321085913,321280871,321183392,220291872,220188416,220240144,2069634,439612,73387332,484153,228.5,115.1,1.83,171.38,137.1,68.55,1.55,321.18,220.24,20.7,4.4,733.87,4.84,0,0,0,0,0,0
125,46,51,37,47,3567.2,3567.2,8662,8662,1516291,1516327,1516309,334773459,334569472,334671465.5,228602333,228728145,228665239,497007,2545332,72009581,1393043,228.5,115,1.86,171.38,137.1,68.55,1.52,334.67,228.67,4.97,25.45,720.1,13.93,0,0,0,0,0,0
130,46,51,37,47,3567.2,3645.6,8662,8449,1517920,1517942,1517931,418739624,418736581,418738102.5,278376569,278393058,278384813.5,5247517,1080079,68807769,576811,228.9,114.9,1.83,171.68,137.34,68.67,1.52,418.74,278.38,52.48,10.8,688.08,5.77,0,0,0,0,0,0
