time,cpu,HT0,HT1,HT2,L2miss
5,0,1639683,0,19659753,518285
10,2,0,19361977,0,446522
15,2,0,17975653,0,503718
20,0,1691044,0,20842259,532996
25,0,1627830,0,18028983,518411
30,2,0,22947746,0,398442
35,2,0,23819515,0,391588
35,0,1611799,0,19635027,526303
40,2,0,18500409,0,334909
45,1,1161209,0,10940586,252820
45,2,0,11587708,0,222076
50,2,0,17235565,0,169604
50,0,821291,0,12241705,305731
50,1,821708,0,12266216,537534
55,2,0,19550692,0,353185
60,3,0,19696089,0,273663
65,3,0,23853579,0,288054
70,2,0,18508884,0,443857
75,3,0,19507256,0,303696
80,0,1695661,0,19395910,546843
85,3,0,19530744,0,252525
90,3,0,18373051,0,281709
90,2,0,18373663,0,325578
95,3,0,8077526,0,69571
95,2,0,8081995,0,33282
95,0,690883,0,5149734,118728
100,3,0,17353917,0,267690
105,0,1628389,0,16774433,525371
110,1,1672987,0,20790953,648816
115,2,0,18038904,0,448518
120,1,1602367,0,17847536,289617
125,2,0,22563200,0,435633
130,1,1617248,0,19088916,211644
135,3,0,18717657,0,351528
140,3,0,18578601,0,175002
140,0,1641761,0,13527740,322066
140,2,0,18806641,0,223407
145,2,0,9728363,0,156829
150,3,0,19015037,0,453385
155,0,1614486,0,19238470,502474
160,3,0,18106652,0,465245
165,3,0,19033417,0,243775
170,0,1719968,0,19228999,516724
175,1,1625872,0,18658454,386294
180,1,1609222,0,17767405,402147
185,2,0,22307355,0,378292
185,0,1635141,0,17892324,529705
185,3,0,22309229,0,237114
190,2,0,11266837,0,210233
195,3,0,11598789,0,134473
200,3,0,26441052,0,263386
205,2,0,18524543,0,350488
210,0,1619101,0,17539366,526258
215,0,1651165,0,18928610,488918
220,2,0,17768850,0,451009
225,2,0,19022845,0,338246
230,0,1728569,0,19122023,573693
235,1,1633408,0,16628555,383936
235,3,0,17874979,0,337046
240,1,415890,0,3486359,143544
240,3,0,3785692,0,64210
240,0,418625,0,3526248,116077
245,2,0,22315353,0,370096
245,0,1479435,0,18035506,487428
250,2,0,19845199,0,419550
250,3,0,19848429,0,257414
255,3,0,19138201,0,239522
260,3,0,25617696,0,274232
265,2,0,18995589,0,416157
265,3,0,18996196,0,212628
270,0,1627846,0,19493128,501877
275,0,1632397,0,18626095,553277
280,2,0,19488664,0,421154
280,3,0,19491283,0,225184
285,0,1278801,0,11518734,273415
285,2,0,13163587,0,240253
290,0,720748,0,11779974,276286
295,0,1611657,0,19435243,432873
300,2,0,20879745,0,435477
305,3,0,67603797,0,1641092
305,0,2274437,0,70070949,1114663
310,0,3114257,0,121235886,1640039
310,3,0,120481608,0,2628336
315,1,1583091,0,84621329,7768273
320,3,0,160374414,0,11964774
320,2,0,160377782,0,4095109
320,1,2153420,0,154553768,10599044
325,2,0,163761873,0,26345359
325,0,1576951,0,148981705,12786072
330,2,0,145544951,0,4891370
330,0,1555562,0,154174426,7263977
330,3,0,145566039,0,8731283
335,1,920604,0,156186634,4233363
335,3,0,185052902,0,3055783
340,3,0,143688794,0,5538757
340,1,943625,0,169822180,31677918
345,0,1567745,0,182473176,3206479
345,1,1567743,0,182478513,34464805
350,1,2655764,0,105939935,7189137
355,3,0,159254131,0,1376236
355,1,1636139,0,213876009,49983474
360,0,1588705,0,280726222,34773294
360,1,1588705,0,280725050,104869725
365,0,1586371,0,268688473,11082361
365,1,1586406,0,268688186,135846929
370,2,0,174380270,0,495894
370,1,1562216,0,252803216,129771058
375,3,0,186694153,0,1602264
375,1,1574385,0,266565654,123255372
375,0,1574387,0,266598640,21902112
380,3,0,187176583,0,536438
380,1,2382579,0,261527161,137308074
385,3,0,178266930,0,95271
385,1,557770,0,264833620,146365061
385,2,0,178301477,0,56954
390,2,0,184048720,0,416298
390,1,1307134,0,262449412,130536364
395,1,1590451,0,278125363,94827449
400,3,0,192716552,0,521346
400,1,1590711,0,279608637,132201616
405,0,1564879,0,263544407,62521355
405,1,1564879,0,263541486,80262868
410,3,0,188968954,0,539917
410,1,1717347,0,267430230,140227796
415,3,0,180332665,0,1790492
