Time CPU_0_Temp CPU_1_Temp Ambient_Temp0 Ambient_Temp1 Blower_Fan_0 Blower_Fan_1 Axial_Fan_0 Axial_Fan_1
0 48 54 39 50 3724 3645.600 9372 9656
5 48 54 39 50 3724 3645.600 9656 9656
10 48 54 39 50 3645.600 3645.600 9656 9656
15 48 54 39 50 3724 3645.600 9656 9656
20 48 54 39 50 3645.600 3645.600 9656 9656
25 48 54 39 50 3724 3645.600 9656 9656
30 48 54 39 50 3645.600 3645.600 9656 9656
35 48 54 39 50 3724 3645.600 9656 9656
40 48 54 39 50 3724 3645.600 9656 9656
45 48 53 39 50 3645.600 3645.600 9656 9372
50 48 53 39 50 3645.600 3645.600 9656 9656
55 48 53 39 50 3724 3645.600 9656 9372
60 48 54 39 50 3724 3645.600 9656 9656
65 48 54 39 50 3645.600 3645.600 9656 9656
70 48 54 39 50 3724 3645.600 9656 9656
75 48 54 39 50 3645.600 3645.600 9656 9656
80 48 54 39 50 3645.600 3724 9656 9656
85 48 54 39 50 3645.600 3645.600 9656 9656
90 48 54 39 50 3724 3645.600 9656 9372
95 48 54 39 50 3645.600 3645.600 9656 9656
100 48 54 39 50 3724 3724 9656 9372
105 48 54 39 50 3645.600 3645.600 9656 9656
110 48 54 39 50 3724 3724 9372 9656
115 48 54 39 50 3645.600 3724 9656 9656
120 48 54 39 50 3645.600 3645.600 9372 9656
125 48 54 39 50 3724 3645.600 9372 9656
130 48 54 39 50 3724 3645.600 9656 9656
135 48 54 39 50 3645.600 3645.600 9656 9656
140 48 54 39 50 3645.600 3645.600 9656 9656
145 48 53 39 50 3645.600 3645.600 9656 9656
150 48 54 39 50 3645.600 3724 9656 9656
155 48 54 39 50 3724 3645.600 9656 9372
160 48 54 39 50 3645.600 3645.600 9656 9372
165 48 54 39 50 3724 3645.600 9372 9656
170 48 54 39 50 3645.600 3645.600 9656 9656
175 48 54 39 50 3645.600 3645.600 9656 9372
180 48 54 39 50 3645.600 3645.600 9656 9656
185 48 54 39 50 3645.600 3645.600 9656 9656
190 48 54 39 50 3724 3724 9656 9656
195 48 54 39 50 3645.600 3645.600 9656 9656
200 48 54 39 50 3645.600 3645.600 9656 9372
205 48 54 39 50 3645.600 3645.600 9372 9656
210 48 54 39 50 3724 3645.600 9656 9372
215 48 54 39 50 3724 3645.600 9656 9372
220 48 54 39 50 3724 3645.600 9656 9656
225 48 54 39 50 3724 3645.600 9656 9656
230 48 54 39 50 3645.600 3645.600 9656 9656
235 48 54 39 50 3645.600 3645.600 9656 9372
240 48 54 39 50 3724 3724 9656 9656
245 48 54 39 50 3724 3724 9656 9656
250 48 54 39 50 3645.600 3724 9656 9656
255 48 54 39 50 3724 3724 9656 9656
260 48 54 39 50 3724 3645.600 9656 9656
265 48 55 39 50 3724 3645.600 9656 9656
270 48 55 39 50 3724 3645.600 9656 9656
275 48 56 39 50 3645.600 3645.600 9656 9656
280 48 56 39 50 3645.600 3645.600 9656 9656
285 48 57 39 50 3645.600 3724 9656 9372
290 49 54 39 50 3724 3645.600 9656 9372
295 50 55 39 50 3645.600 3645.600 9656 9656
300 50 54 39 50 3645.600 3645.600 9656 9656
305 50 54 39 51 3645.600 3645.600 9656 9656
310 50 54 39 50 3645.600 3645.600 9656 9656
315 50 54 39 50 3645.600 3724 9372 9656
320 50 55 39 50 3724 3645.600 9372 9656
325 50 55 39 50 3645.600 3645.600 9656 9656
330 51 54 40 50 3724 3645.600 9656 9656
335 51 54 40 50 3645.600 3724 9656 9656
340 51 54 40 50 3645.600 3645.600 9656 9656
345 51 54 40 50 3724 3724 9656 9656
350 51 55 40 50 3724 3724 9656 9372
355 52 54 40 50 3645.600 3645.600 9372 9656
360 52 54 40 50 3724 3645.600 9656 9656
365 52 54 40 50 3724 3645.600 9656 9656
370 52 54 40 50 3645.600 3645.600 9656 9656
375 52 54 40 50 3724 3645.600 9656 9372
380 51 54 40 50 3724 3645.600 9656 9656
385 52 54 40 50 3645.600 3645.600 9656 9656
390 52 54 40 50 3724 3645.600 9372 9656
395 52 54 40 50 3724 3724 9656 9656
400 52 54 40 50 3724 3645.600 9656 9656
405 52 54 40 50 3724 3645.600 9372 9656
410 52 55 40 50 3724 3724 9656 9656
415 52 54 40 50 3645.600 3645.600 9656 9656
420 52 55 40 50 3645.600 3645.600 9656 9656
425 52 54 40 50 3645.600 3645.600 9656 9656
430 53 54 40 50 3645.600 3645.600 9656 9656
435 53 54 40 50 3724 3645.600 9372 9656
440 52 54 40 50 3645.600 3645.600 9656 9656
445 53 54 40 50 3645.600 3645.600 9656 9656
450 53 54 40 50 3724 3645.600 9656 9372
455 53 54 40 50 3724 3645.600 9656 9656
460 53 54 40 50 3645.600 3645.600 9656 9656
465 53 54 40 50 3724 3645.600 9656 9656
470 52 55 40 50 3724 3645.600 9656 9372
475 52 55 41 50 3724 3724 9372 9656
480 53 54 40 50 3724 3645.600 9656 9656
485 52 54 41 50 3724 3645.600 9656 9656
490 52 54 41 50 3645.600 3645.600 9656 9656
495 53 54 41 50 3724 3645.600 9656 9372
500 53 54 41 50 3645.600 3645.600 9656 9656
505 53 54 41 50 3724 3645.600 9656 9372
510 53 54 41 50 3645.600 3645.600 9656 9656
515 53 54 41 50 3645.600 3645.600 9656 9656
520 52 54 41 50 3645.600 3645.600 9656 9656
525 52 54 41 50 3724 3645.600 9656 9656
530 52 54 41 50 3645.600 3645.600 9656 9656
535 53 54 41 50 3645.600 3645.600 9656 9656
540 53 54 41 50 3645.600 3645.600 9656 9372
545 53 54 41 50 3724 3645.600 9372 9656
550 52 54 41 50 3724 3645.600 9372 9656
555 52 54 41 50 3724 3645.600 9656 9656
560 53 54 41 50 3645.600 3645.600 9656 9656
565 53 54 41 50 3724 3645.600 9656 9656
570 53 54 41 50 3645.600 3645.600 9656 9656
575 53 54 41 50 3724 3645.600 9656 9656
580 53 54 41 50 3645.600 3645.600 9656 9656
585 53 54 41 50 3645.600 3724 9372 9372
590 53 54 41 50 3724 3645.600 9656 9656
595 53 54 41 50 3645.600 3645.600 9656 9656
600 53 54 41 50 3645.600 3645.600 9656 9656
605 53 54 41 50 3645.600 3645.600 9372 9656
610 53 54 41 50 3645.600 3645.600 9656 9656
615 53 54 41 50 3645.600 3724 9656 9656
620 53 54 41 50 3645.600 3724 9656 9372
625 53 54 41 50 3645.600 3645.600 9656 9656
630 53 54 41 50 3645.600 3645.600 9372 9656
635 53 54 41 50 3645.600 3645.600 9656 9656
640 53 54 41 50 3645.600 3645.600 9372 9656
645 52 54 41 50 3724 3645.600 9656 9656
650 53 54 41 50 3724 3645.600 9372 9656
655 53 54 41 50 3724 3645.600 9656 9656
660 53 54 41 50 3724 3645.600 9372 9656
665 51 56 41 50 3724 3724 9656 9372
670 51 57 41 50 3724 3645.600 9656 9656
675 51 57 41 51 3645.600 3645.600 9656 9656
680 51 57 41 51 3645.600 3645.600 9656 9372
685 50 58 41 51 3645.600 3724 9656 9656
690 51 58 41 51 3724 3645.600 9656 9656
695 50 58 41 51 3724 3645.600 9372 9656
700 50 58 41 51 3724 3645.600 9656 9656
705 50 57 41 52 3724 3645.600 9656 9656
710 50 59 41 51 3645.600 3645.600 9656 9656
715 50 58 41 52 3645.600 3645.600 9656 9656
720 49 58 41 52 3724 3645.600 9656 9656
725 49 58 41 52 3724 3645.600 9656 9656
730 49 59 41 52 3645.600 3645.600 9656 9656
735 49 59 41 52 3724 3645.600 9656 9656
740 49 59 41 52 3645.600 3645.600 9656 9656
745 49 60 41 53 3645.600 3645.600 9656 9656
750 49 60 41 53 3645.600 3724 9656 9656
755 49 59 41 53 3724 3645.600 9656 9656
760 49 59 40 53 3724 3645.600 9656 9372
765 49 60 40 53 3724 3645.600 9656 9656
770 49 60 40 53 3724 3645.600 9372 9656
775 49 60 40 53 3645.600 3645.600 9656 9656
780 49 60 40 53 3724 3645.600 9656 9656
785 49 60 40 53 3645.600 3645.600 9656 9656
790 48 60 40 53 3724 3724 9372 9656
795 48 60 40 53 3645.600 3724 9656 9656
800 48 61 40 53 3645.600 3724 9656 9656
805 49 60 40 54 3645.600 3645.600 9656 9656
810 48 61 40 54 3645.600 3645.600 9372 9656
815 48 60 40 54 3645.600 3724 9372 9656
820 48 60 40 54 3645.600 3724 9656 9372
825 48 60 40 54 3645.600 3724 9372 9656
830 48 60 40 54 3645.600 3645.600 9656 9656
835 48 60 40 54 3724 3645.600 9656 9656
840 48 60 40 54 3645.600 3645.600 9656 9656
845 48 60 40 54 3724 3724 9656 9656
850 48 60 40 54 3724 3724 9656 9656
855 48 60 40 54 3645.600 3724 9372 9656
860 48 60 40 54 3645.600 3645.600 9372 9372
865 48 61 40 54 3645.600 3724 9656 9656
870 48 61 40 54 3645.600 3645.600 9372 9656
875 48 60 40 54 3645.600 3645.600 9656 9656
880 48 60 40 54 3645.600 3645.600 9656 9372
885 48 61 40 54 3724 3724 9656 9656
890 48 61 40 54 3645.600 3645.600 9656 9656
895 48 61 40 54 3645.600 3645.600 9656 9656
900 48 61 40 54 3645.600 3724 9656 9372
905 48 60 40 54 3724 3645.600 9656 9656
910 48 60 40 54 3645.600 3724 9656 9656
915 48 61 40 54 3645.600 3645.600 9656 9656
920 48 61 40 54 3645.600 3645.600 9656 9656
925 48 61 40 54 3724 3645.600 9656 9656
930 48 61 40 54 3645.600 3645.600 9656 9656
935 48 60 40 55 3724 3645.600 9656 9656
940 48 61 40 54 3724 3645.600 9656 9656
945 48 61 40 55 3645.600 3645.600 9656 9656
950 48 61 40 54 3724 3645.600 9372 9656
955 48 60 40 55 3645.600 3645.600 9372 9656
960 48 61 40 55 3645.600 3724 9656 9656
965 48 61 40 55 3645.600 3645.600 9656 9656
970 48 61 40 55 3645.600 3645.600 9656 9656
975 48 61 40 55 3645.600 3645.600 9656 9372
980 48 60 40 55 3645.600 3724 9656 9656
985 48 61 40 55 3724 3724 9656 9656
990 48 61 40 55 3724 3724 9656 9656
995 48 60 40 55 3724 3645.600 9656 9372
1000 48 58 40 55 3724 3724 9656 9656
1005 48 60 40 55 3645.600 3645.600 9656 9656
1010 48 60 40 54 3645.600 3645.600 9656 9372
1015 48 61 40 54 3645.600 3645.600 9656 9656
1020 48 60 40 54 3645.600 3645.600 9372 9656
1025 48 60 40 55 3645.600 3645.600 9372 9656
1030 48 60 40 54 3645.600 3645.600 9656 9372
1035 48 61 40 54 3645.600 3645.600 9656 9656
1040 48 60 40 54 3645.600 3645.600 9656 9372
1045 48 60 40 55 3645.600 3645.600 9656 9656
1050 48 60 40 55 3724 3645.600 9656 9656
1055 48 60 40 54 3645.600 3645.600 9656 9656
1060 48 60 40 55 3724 3645.600 9656 9656
1065 48 60 40 54 3724 3645.600 9656 9656
1070 48 59 40 55 3724 3645.600 9656 9656
1075 48 61 40 54 3645.600 3724 9656 9372
1080 48 60 40 54 3645.600 3645.600 9656 9656
1085 48 61 40 55 3645.600 3724 9656 9372
1090 48 60 40 54 3724 3724 9656 9656
1095 48 60 40 54 3645.600 3645.600 9656 9656
1100 48 60 40 55 3645.600 3645.600 9656 9656
1105 48 60 40 55 3645.600 3645.600 9656 9656
1110 48 60 40 54 3724 3645.600 9656 9656
1115 48 60 40 54 3724 3645.600 9656 9656
1120 48 60 40 54 3645.600 3645.600 9656 9656
1125 48 60 40 54 3724 3645.600 9656 9656
1130 48 60 40 55 3645.600 3645.600 9656 9656
1135 48 60 40 54 3645.600 3724 9656 9656
1140 48 60 40 54 3645.600 3645.600 9656 9656
1145 48 61 40 54 3645.600 3645.600 9372 9656
1150 48 60 40 54 3645.600 3645.600 9372 9656
1155 48 59 40 55 3645.600 3645.600 9656 9656
1160 48 59 40 54 3724 3724 9656 9656
1165 48 60 40 54 3645.600 3645.600 9656 9372
1170 48 60 40 54 3645.600 3645.600 9656 9656
1175 48 60 40 54 3724 3645.600 9656 9656
1180 48 60 40 54 3724 3645.600 9656 9656
1185 48 60 40 55 3724 3724 9656 9656
1190 48 60 40 55 3724 3645.600 9656 9656
1195 48 60 40 54 3724 3645.600 9656 9656
1200 48 60 40 54 3645.600 3645.600 9656 9656
1205 48 60 40 54 3645.600 3724 9656 9656
1210 48 61 40 54 3645.600 3645.600 9656 9656
1215 48 59 40 54 3645.600 3645.600 9656 9656
1220 48 60 40 54 3645.600 3645.600 9372 9372
1225 48 60 40 54 3645.600 3645.600 9656 9656
1230 48 60 40 55 3724 3645.600 9656 9656
1235 48 60 40 54 3645.600 3645.600 9656 9656
1240 48 60 40 54 3724 3724 9656 9656
1245 48 60 40 54 3724 3724 9656 9656
1250 48 59 40 54 3724 3645.600 9656 9372
1255 48 60 40 54 3724 3724 9656 9656
1260 48 60 40 54 3645.600 3645.600 9656 9656
1265 48 60 40 54 3724 3645.600 9656 9372
1270 48 60 40 54 3645.600 3645.600 9656 9656
1275 48 59 40 54 3645.600 3645.600 9656 9656
1280 48 59 40 54 3645.600 3645.600 9656 9656
1285 48 60 40 54 3645.600 3645.600 9656 9656
1290 48 60 40 54 3645.600 3645.600 9372 9656
1295 48 60 40 54 3645.600 3645.600 9656 9656
1300 48 59 40 54 3645.600 3645.600 9656 9372
1305 48 59 40 54 3645.600 3724 9372 9656
1310 48 60 40 54 3645.600 3645.600 9656 9656
1315 48 60 40 54 3724 3645.600 9372 9656
1320 48 59 40 54 3724 3645.600 9656 9656
1325 48 59 40 54 3645.600 3645.600 9656 9656
1330 48 59 40 54 3724 3645.600 9656 9656
1335 48 60 40 54 3645.600 3645.600 9656 9372
1340 48 60 40 54 3645.600 3724 9656 9656
1345 48 59 40 54 3724 3645.600 9656 9372
1350 48 59 40 54 3724 3645.600 9656 9656
1355 48 59 40 54 3724 3645.600 9372 9656
1360 48 59 40 54 3645.600 3645.600 9372 9656
1365 48 59 40 54 3645.600 3645.600 9656 9656
1370 48 59 40 54 3645.600 3645.600 9372 9656
1375 48 60 40 54 3724 3645.600 9656 9372
1380 48 59 40 54 3724 3724 9656 9372
1385 48 59 40 54 3645.600 3645.600 9656 9656
1390 48 59 41 54 3645.600 3724 9372 9656
1395 48 59 40 54 3724 3645.600 9656 9656
1400 48 60 40 54 3724 3645.600 9656 9372
1405 48 60 40 54 3645.600 3645.600 9656 9656
1410 48 60 40 54 3724 3645.600 9656 9656
1415 48 59 40 54 3645.600 3645.600 9656 9656
1420 48 60 40 54 3645.600 3645.600 9656 9656
1425 48 60 40 54 3724 3645.600 9656 9656
1430 48 60 40 54 3645.600 3645.600 9656 9656
1435 48 60 40 54 3645.600 3645.600 9656 9372
1440 49 59 40 54 3645.600 3645.600 9372 9656
1445 48 60 40 54 3724 3724 9656 9372
1450 48 60 40 54 3645.600 3645.600 9656 9656
1455 48 60 40 54 3645.600 3645.600 9656 9656
1460 48 60 40 54 3724 3724 9656 9656
1465 48 60 40 54 3724 3724 9656 9656
1470 48 60 40 54 3645.600 3645.600 9656 9656
1475 48 61 40 54 3645.600 3645.600 9656 9656
1480 48 60 40 54 3724 3645.600 9656 9656
1485 48 60 40 55 3645.600 3645.600 9656 9372
1490 48 61 40 54 3645.600 3645.600 9656 9656
1495 48 60 40 55 3645.600 3645.600 9372 9656
1500 48 61 40 55 3645.600 3645.600 9656 9656
1505 48 60 40 55 3724 3645.600 9656 9656
1510 48 60 40 54 3645.600 3645.600 9656 9656
1515 48 60 40 54 3724 3645.600 9656 9656
1520 48 60 40 55 3645.600 3724 9656 9656
1525 48 61 40 54 3645.600 3724 9656 9656
1530 48 60 40 55 3645.600 3645.600 9656 9656
1535 48 60 40 54 3724 3645.600 9656 9656
1540 48 61 40 55 3645.600 3645.600 9372 9656
1545 48 61 40 55 3724 3645.600 9656 9656
1550 48 60 40 55 3724 3645.600 9656 9656
1555 48 60 40 54 3724 3645.600 9656 9656
1560 48 61 40 55 3645.600 3645.600 9656 9656
1565 48 60 40 55 3645.600 3645.600 9656 9656
1570 49 58 40 55 3645.600 3645.600 9656 9656
1575 50 58 40 54 3645.600 3724 9372 9656
1580 50 58 40 54 3645.600 3724 9656 9372
1585 50 58 40 54 3645.600 3724 9656 9656
1590 50 57 40 54 3645.600 3645.600 9656 9656
1595 50 57 40 54 3645.600 3645.600 9372 9656
1600 51 57 40 54 3724 3645.600 9372 9656
1605 51 57 40 54 3645.600 3645.600 9656 9656
1610 51 57 40 54 3645.600 3724 9656 9656
1615 51 57 40 53 3724 3645.600 9656 9656
1620 51 57 40 53 3645.600 3645.600 9656 9656
1625 51 56 40 54 3645.600 3645.600 9656 9656
1630 51 56 40 53 3724 3645.600 9656 9656
1635 51 56 40 53 3645.600 3645.600 9656 9372
1640 52 56 40 53 3724 3645.600 9656 9656
1645 52 56 40 53 3645.600 3645.600 9372 9656
1650 51 56 40 53 3645.600 3645.600 9656 9656
1655 52 55 40 53 3724 3645.600 9656 9656
1660 52 55 40 52 3724 3724 9656 9656
1665 52 55 40 52 3645.600 3645.600 9656 9656
1670 52 55 40 52 3724 3645.600 9656 9656
1675 52 56 41 52 3724 3724 9656 9656
1680 52 55 41 52 3645.600 3645.600 9372 9656
1685 52 56 41 52 3645.600 3645.600 9372 9656
1690 52 55 41 52 3645.600 3724 9656 9372
1695 52 55 41 52 3645.600 3645.600 9656 9656
1700 52 55 41 52 3724 3645.600 9656 9656
1705 51 55 41 52 3724 3645.600 9656 9656
1710 51 55 41 52 3724 3645.600 9656 9372
1715 52 55 41 52 3645.600 3724 9656 9656
1720 52 55 41 52 3724 3645.600 9656 9656
1725 52 55 41 52 3724 3645.600 9656 9656
1730 52 55 41 52 3724 3724 9656 9656
1735 52 55 41 52 3724 3724 9656 9656
1740 52 55 41 51 3645.600 3645.600 9372 9656
1745 52 55 41 51 3645.600 3724 9372 9656
1750 53 55 41 51 3724 3645.600 9656 9656
1755 52 55 41 51 3724 3645.600 9656 9656
1760 52 54 41 51 3724 3724 9656 9656
1765 53 54 41 51 3724 3645.600 9656 9656
1770 53 54 41 51 3645.600 3645.600 9656 9656
1775 53 54 41 51 3645.600 3645.600 9656 9372
1780 53 55 41 51 3645.600 3645.600 9656 9372
1785 52 54 41 51 3645.600 3645.600 9656 9656
1790 52 54 41 51 3645.600 3645.600 9656 9372
1795 52 54 41 51 3724 3645.600 9656 9656
1800 51 56 41 51 3724 3645.600 9656 9656
1805 51 56 41 51 3645.600 3645.600 9656 9656
1810 50 57 41 51 3724 3724 9656 9656
1815 50 57 41 51 3645.600 3724 9656 9656
1820 50 58 41 52 3645.600 3645.600 9656 9372
1825 50 58 41 52 3645.600 3645.600 9656 9656
1830 50 57 41 52 3645.600 3645.600 9656 9656
1835 50 57 41 52 3724 3645.600 9372 9656
1840 50 58 41 52 3645.600 3645.600 9656 9656
1845 50 58 41 52 3724 3645.600 9656 9656
1850 49 58 41 52 3645.600 3645.600 9656 9656
1855 49 58 41 52 3645.600 3645.600 9656 9656
1860 49 58 41 52 3645.600 3645.600 9656 9656
1865 49 59 41 52 3645.600 3645.600 9656 9656
1870 49 58 41 52 3645.600 3645.600 9656 9656
1875 49 58 41 52 3645.600 3645.600 9372 9656
1880 49 59 41 53 3724 3724 9656 9656
1885 49 59 41 53 3724 3645.600 9656 9656
1890 49 59 41 53 3645.600 3645.600 9372 9656
1895 49 59 41 53 3724 3645.600 9656 9372
1900 49 58 41 53 3645.600 3645.600 9656 9656
1905 49 59 41 53 3724 3645.600 9656 9656
1910 49 59 41 53 3724 3724 9656 9656
1915 49 59 41 53 3645.600 3645.600 9656 9656
1920 48 59 41 53 3645.600 3645.600 9656 9656
1925 49 59 41 53 3645.600 3645.600 9656 9656
1930 48 59 41 53 3724 3724 9372 9656
1935 48 58 41 53 3645.600 3645.600 9656 9656
1940 48 57 41 53 3724 3645.600 9656 9656
1945 48 58 41 53 3645.600 3645.600 9656 9656
1950 48 58 41 53 3645.600 3645.600 9656 9656
1955 49 59 41 53 3724 3645.600 9656 9656
1960 48 59 41 53 3724 3724 9656 9656
1965 48 58 41 53 3645.600 3724 9656 9656
1970 49 59 41 53 3645.600 3724 9656 9656
1975 48 59 41 53 3645.600 3645.600 9656 9372
1980 48 59 40 53 3724 3645.600 9656 9656
1985 48 59 40 53 3724 3645.600 9656 9656
