 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 10207592 7086576 121 1433 0 0 0 0 56 4 -0  0  0  607 1518  373  8  2 89
 0 0 0 10210676 7070400 150 2508 0 0 0 0 0  0  0  0  0  661 2094  264  0  4 96
 0 0 0 10210756 7070296 141 2154 0 0 0 0 0  2  0  0  0  607 1762  344  0  4 96
 0 0 0 10210492 7070144 128 2144 0 0 0 0 0  0  0  0  0  559 1672  253  0  3 96
 0 0 0 10210452 7070140 129 2150 0 0 0 0 0  0  0  0  0  591 1699  279  0  4 96
 0 0 0 10210748 7070364 131 2144 0 0 0 0 0  0  0  0  0  554 1694  262  0  4 96
 0 0 0 10210344 7070096 128 2145 0 0 0 0 0  0  0  0  0  564 1671  275  0  3 96
 0 0 0 10210392 7070212 141 2156 0 0 0 0 0  0  0  0  0  534 1674  257  0  3 96
 0 0 0 10210684 7070296 77 1176 0 0 0 0  0  2  0  0  0  529 1262  254  0  3 97
 0 0 0 10210684 7070296 52 977 0 0 0  0  0  0  0  0  0  500 1051  209  0  1 99
 0 0 0 10210428 7070284 129 2147 0 0 0 0 0  0  0  0  0  560 1677  259  0  4 96
 0 0 0 10210384 7070208 140 2153 0 0 0 0 0  0  0  0  0  564 1672  249  0  3 96
 0 0 0 10210688 7070300 129 2153 0 0 0 0 0  0  0  0  0  551 1672  254  0  3 96
 0 0 0 10210440 7070216 136 2156 0 0 0 0 0  0  0  0  0  549 1675  263  0  3 96
 0 0 0 10210396 7070188 130 2152 0 0 0 0 0  2  0  0  0  624 1679  297  0  3 96
 0 0 0 10210696 7070308 129 2145 0 0 0 0 0  0  0  0  0  559 1670  250  0  3 96
 0 0 0 10210440 7070276 140 2153 0 0 0 0 0  0  0  0  0  575 1679  268  0  4 96
 0 0 0 10210696 7070308 37 575 0 0 0  0  0  0  0  0  0  483  985  212  0  2 98
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 10210300 7070092 91 1574 0 0 0 0  0  0  0  0  0  541 1374  257  0  2 98
 0 0 0 10210640 7070344 128 2152 0 0 0 0 0  0  0  0  0  557 1673  262  0  3 96
 0 0 0 10210568 7070280 141 2153 0 0 0 0 0  3  0  0  0  583 1672  304  0  4 96
 0 0 0 10210580 7070240 129 2153 0 0 0 0 0  0  0  0  0  557 1672  255  0  4 96
 0 0 0 10210640 7070256 139 2155 0 0 0 0 0  0  0  0  0  570 1677  263  0  4 96
 0 0 0 10210576 7070248 130 2155 0 0 0 0 0  0  0  0  0  574 1681  257  0  3 96
 0 0 0 10210640 7070252 129 2152 0 0 0 0 0  0  0  0  0  574 1672  258  0  3 96
 0 0 0 10210596 7070300 141 2156 0 0 0 0 0  0  0  0  0  566 1671  265  0  4 96
 0 0 0 10210576 7070188 12 98 0 0  0  0  0  2  0  0  0  465  796  256  0  0 100
 0 0 0 10210280 7070060 117 2059 0 0 0 0 0  0  0  0  0  568 1608  251  0  3 97
 0 0 0 10210572 7070268 129 2155 0 0 0 0 0  0  0  0  0  577 1677  270  0  4 96
 0 0 0 10210316 7070156 140 2159 0 0 0 0 0  0  0  0  0  561 1690  261  0  3 96
