Time CPU_0_Temp CPU_1_Temp Ambient_Temp0 Ambient_Temp1 Blower_Fan_0 Blower_Fan_1 Axial_Fan_0 Axial_Fan_1
0 42 47 33 43 3645.600 3645.600 9656 9656
5 41 47 33 43 3645.600 3645.600 9656 9656
10 41 47 33 43 3645.600 3645.600 9372 9656
15 41 47 33 43 3567.200 3645.600 9372 9656
20 42 47 33 43 3645.600 3645.600 9656 9656
25 41 47 33 43 3645.600 3645.600 9656 9656
30 41 47 33 43 3724 3645.600 9656 9656
35 42 47 33 43 3645.600 3645.600 9372 9656
40 41 47 33 43 3645.600 3645.600 9656 9656
45 41 47 33 43 3724 3567.200 9656 9656
50 42 46 33 43 3724 3645.600 9372 9656
55 41 47 33 43 3645.600 3645.600 9656 9656
60 41 47 33 43 3645.600 3567.200 9656 9372
65 42 47 33 43 3724 3645.600 9372 9656
70 42 47 33 43 3645.600 3645.600 9656 9656
75 41 47 33 43 3724 3645.600 9656 9656
80 41 47 33 44 3645.600 3645.600 9656 9656
85 42 46 33 43 3645.600 3645.600 9656 9656
90 41 47 33 43 3645.600 3567.200 9372 9372
95 41 47 33 43 3645.600 3645.600 9656 9656
100 41 47 33 43 3645.600 3645.600 9372 9656
105 42 47 33 43 3645.600 3645.600 9656 9372
110 42 46 33 43 3645.600 3645.600 9656 9656
115 41 47 33 43 3645.600 3645.600 9656 9656
120 42 47 33 43 3567.200 3645.600 9656 9656
125 42 47 33 43 3645.600 3645.600 9372 9656
130 41 47 33 43 3645.600 3645.600 9656 9656
135 42 47 33 43 3645.600 3645.600 9656 9656
140 43 47 33 43 3645.600 3645.600 9656 9656
145 42 47 33 43 3645.600 3645.600 9372 9656
150 42 47 33 43 3645.600 3645.600 9656 9656
155 42 46 33 43 3645.600 3645.600 9656 9656
160 41 47 33 43 3645.600 3645.600 9656 9656
165 42 47 33 43 3645.600 3645.600 9656 9656
170 42 47 33 43 3645.600 3567.200 9656 9656
175 41 47 33 43 3724 3645.600 9656 9656
180 41 47 33 43 3645.600 3645.600 9656 9656
185 42 47 33 43 3645.600 3645.600 9656 9656
190 41 47 33 43 3645.600 3645.600 9656 9656
195 41 47 33 43 3645.600 3567.200 9656 9372
200 41 47 33 43 3645.600 3645.600 9656 9656
205 41 47 33 43 3645.600 3645.600 9372 9656
210 41 47 33 43 3645.600 3645.600 9656 9372
215 41 46 33 43 3645.600 3645.600 9372 9656
220 42 46 33 43 3645.600 3645.600 9656 9656
225 41 47 33 43 3645.600 3645.600 9372 9372
230 41 47 33 43 3645.600 3645.600 9372 9656
235 42 47 33 43 3645.600 3645.600 9656 9656
240 41 47 33 43 3645.600 3645.600 9656 9656
