 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 7468080 4350212 41 668 0 0  0  0  1  1 -0  0  0  496  418  194  6  1 93
 0 0 0 7429744 4289764 154 2527 0 0 0 0  0  0  0  0  0  646 2090  257  0  4 96
 0 0 0 7429284 4289496 132 2167 0 0 0 0  0  0  0  0  0  712 1681  267  0  4 96
 0 0 0 7429232 4289460 141 2170 0 0 0 0  0  0  0  0  0  562 1676  257  0  4 96
 0 0 0 7429464 4289636 143 2170 0 0 0 0  0  0  0  0  0  572 1673  270  0  4 96
 0 0 0 7429272 4289580 133 2165 0 0 0 0  0  0  0  0  0  565 1671  258  0  4 96
 0 0 0 7429228 4289536 132 2167 0 0 0 0  0  2  0  0  0  634 1672  301  0  4 96
 0 0 0 7429500 4289672 132 2171 0 0 0 0  0  0  0  0  0  531 1762  289  0  3 96
 0 0 0 7429244 4289576 83 1184 0 0 0  0  0  0  0  0  0  495 1235  214  0  2 97
 0 0 0 7429500 4289732 54 984 0 0  0  0  0  0  0  0  0  499 1080  214  0  1 99
 0 0 0 7429200 4289536 137 2167 0 0 0 0  0  0  0  0  0  545 1669  247  0  4 96
 0 0 0 7429500 4289668 133 2169 0 0 0 0  0  0  0  0  0  576 1672  261  0  4 96
 0 0 0 7429236 4289564 132 2167 0 0 0 0  0  3  0  0  0  601 1673  309  0  4 96
 0 0 0 7429200 4289532 132 2166 0 0 0 0  0  0  0  0  0  541 1674  246  0  4 96
 0 0 0 7429500 4289676 132 2168 0 0 0 0  0  0  0  0  0  549 1683  260  0  4 96
 0 0 0 7429244 4289688 142 2171 0 0 0 0  0  0  0  0  0  560 1677  252  0  4 96
 0 0 0 7429056 4289556 144 2170 0 0 0 0  0  0  0  0  0  553 1670  272  0  4 96
 0 0 0 7429472 4289644 12 98 0  0  0  0  0  0  0  0  0  414  726  168  0  1 99
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 7429404 4289580 121 2071 0 0 0 0  0  2  0  0  0  609 1595  294  0  3 97
 0 0 0 7429148 4289472 132 2165 0 0 0 0  0  0  0  0  0  545 1669  252  0  4 96
 0 0 0 7429100 4289448 132 2168 0 0 0 0  0  0  0  0  0  555 1672  258  0  4 96
 0 0 0 7429396 4289616 142 2169 0 0 0 0  0  0  0  0  0  570 1675  254  0  4 96
 0 0 0 7429140 4289576 144 2169 0 0 0 0  0  0  0  0  0  567 1674  256  0  4 96
 0 0 0 7429096 4289436 133 2171 0 0 0 0  0  0  0  0  0  555 1673  258  0  4 96
 0 0 0 7429396 4289560 132 2168 0 0 0 0  0  2  0  0  0  602 1672  299  0  4 96
 0 0 0 7429140 4289464 78 1185 0 0 0  0  0  0  0  0  0  498 1253  213  0  2 97
 0 0 0 7429396 4289576 54 984 0 0  0  0  0  0  0  0  0  495 1067  223  0  1 99
 0 0 0 7429096 4289448 139 2170 0 0 0 0  0  0  0  0  0  568 1679  254  0  4 96
 0 0 0 7429276 4289488 145 2169 0 0 0 0  0  0  0  0  0  567 1670  275  0  4 96
 0 0 0 7429040 4289368 133 2168 0 0 0 0  0  0  0  0  0  553 1671  260  0  4 96
 0 0 0 7428920 4289264 132 2168 0 0 0 0  0  2  0  0  0  604 1674  297  0  4 96
 0 0 0 7385728 4245768 286 6265 0 0 0 0  0  0  0  0  0  714 4789  357 14  5 81
 0 0 0 7335536 4195792 134 3486 0 0 0 0  0  0  0  0  0  750 1722  253 25  4 71
 0 0 0 7422204 4281992 140 2189 0 0 0 0  0  0  0  0  0  584 1688  253  1  4 95
 0 0 0 7422292 4281992 14 105 0 0  0  0  0  0  0  0  0  443  745  166  0  1 99
 0 0 0 7422292 4281992 120 2072 0 0 0 0  0  0  0  0  0  572 1565  260  0  3 97
 0 0 0 7422032 4281888 133 2171 0 0 0 0  0  4  0  0  0  630 1678  337  0  4 96
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 7421992 4281912 132 2170 0 0 0 0  0  0  0  0  0  573 1673  253  0  4 96
 0 0 0 7422292 4282172 132 2173 0 0 0 0  0  0  0  0  0  584 1683  269  0  4 96
 0 0 0 7422036 4282440 142 2178 0 0 0 0  0  0  0  0  0  567 1675  256  0  4 96
 0 0 0 7421896 4282368 144 2173 0 0 0 0  0  0  0  0  0  572 1672  272  0  4 96
 0 0 0 7422272 4282448 133 2175 0 0 0 0  0  0  0  0  0  561 1671  252  0  4 96
 0 0 0 7422016 4282340 79 1256 0 0 0  0  0  2  0  0  0  538 1285  259  0  3 97
 0 0 0 7422272 4282436 54 986 0 0  0  0  0  0  0  0  0  502 1064  208  0  1 99
 0 0 0 7421972 4282328 132 2172 0 0 0 0  0  0  0  0  0  575 1670  255  0  4 96
 0 0 0 7422272 4282472 141 2178 0 0 0 0  0  0  0  0  0  553 1674  255  0  4 96
 0 0 0 7422016 4282416 145 2175 0 0 0 0  0  0  0  0  0  567 1671  249  0  4 96
 0 0 0 7421972 4282308 133 2169 0 0 0 0  0  0  0  0  0  570 1668  258  0  4 96
 0 0 0 7422272 4282436 132 2174 0 0 0 0  0  2  0  0  0  582 1671  292  0  4 96
 0 0 0 7421932 4282256 132 2173 0 0 0 0  0  0  0  0  0  566 1675  253  0  4 96
 0 0 0 7421888 4282228 137 2175 0 0 0 0  0  0  0  0  0  545 1677  261  0  3 96
 0 0 0 7422188 4282420 18 100 0 0  0  0  0  0  0  0  0  423  738  168  0  1 99
 0 0 0 7422072 4282252 129 2077 0 0 0 0  0  0  0  0  0  564 1575  264  0  3 97
 0 0 0 7421784 4282112 134 2174 0 0 0 0  0  0  0  0  0  560 1671  263  0  4 96
 0 0 0 7421796 4282128 133 2179 0 0 0 0  0  2  0  0  0  591 1685  298  0  4 96
 0 0 0 7422092 4282256 132 2174 0 0 0 0  0  0  0  0  0  568 1759  293  0  4 96
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 7421836 4282164 133 2175 0 0 0 0  0  0  0  0  0  566 1673  259  0  4 96
 0 0 0 7421792 4282200 140 2176 0 0 0 0  0  0  0  0  0  552 1673  254  0  4 96
 0 0 0 7422092 4282440 144 2179 0 0 0 0  0  0  0  0  0  559 1676  251  0  4 96
 0 0 0 7421836 4282172 79 1190 0 0 0  0  0  0  0  0  0  474 1267  214  0  3 97
 0 0 0 7422092 4282256 68 1135 0 0 0  0  0  2  0  0  0  538 1137  259  0  1 99
 0 0 0 7123364 4244688 337 4859 0 0 0 0  0  0  0  0  0  730 6390  265 23  6 71
 0 0 0 6716872 4231008 129 2177 0 0 0 0  0  0  0  0  0  683 1688  255 25  4 71
 0 0 0 6716604 4230992 139 2181 0 0 0 0  0  0  0  0  0  670 1681  251 25  4 71
 0 0 0 6716484 4231248 141 2183 0 0 0 0  0  0  0  0  0  705 1678  273 25  4 71
 0 0 0 6716852 4231392 130 2178 0 0 0 0  0  0  0  0  0  688 1675  256 25  4 71
 0 0 0 6716568 4231240 129 2181 0 0 0 0  0 10  0  0  0 3169 1734  454 25  4 70
 0 0 0 6716436 4231104 129 2178 0 0 0 0  0  0  0  0  0  686 1675  252 25  4 71
