 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 10292140 7313656 99 1306 0 0 0 0 104 3 -0 -0  0  539 1420  413  7  2 92
 0 0 0 10574860 7414888 93 2375 0 0 0 0  0  0  0  0  0  552 1929  270  0  3 97
 0 0 0 10574444 7414592 90 2041 0 0 0 0  0  0  0  0  0  489 1541  263  0  3 97
 0 0 0 10574648 7414588 81 2033 0 0 0 0  0  0  0  0  0  491 1540  269  0  3 97
 0 0 0 10574444 7414556 52 1098 0 0 0 0  0  0  0  0  0  469 1135  224  0  2 98
 0 0 0 10574624 7414596 30 932 0 0 0  0  0  0  0  0  0  428 1049  212  0  1 99
 0 0 0 10574348 7414460 81 2032 0 0 0 0  0  2  0  0  0  520 1534  309  0  3 97
 0 0 0 10574588 7414592 90 2037 0 0 0 0  0  0  0  0  0  480 1540  264  0  3 97
 0 0 0 10574348 7414460 80 2034 0 0 0 0  0  0  0  0  0  467 1533  259  0  3 97
 0 0 0 10574584 7414544 0 0  0  0  0  0  0  0  0  0  0  425  640  178  0  0 100
 0 0 0 10574584 7414560 81 2026 0 0 0 0  0  0  0  0  0  495 1538  264  0  3 97
 0 0 0 10574588 7414592 82 2041 0 0 0 0  0  0  0  0  0  503 1625  309  0  3 97
 0 0 0 10574580 7414540 81 2033 0 0 0 0  0  2  0  0  0  533 1532  307  0  3 97
 0 0 0 10574580 7414660 0 0  0  0  0  0  0  0  0  0  0  443  650  182  0  0 100
 0 0 0 10574372 7414500 90 2036 0 0 0 0  0  0  0  0  0  489 1537  263  0  3 97
 0 0 0 10574652 7414600 81 2027 0 0 0 0  0  0  0  0  0  490 1537  269  0  3 97
 0 0 0 10574552 7414532 82 2034 0 0 0 0  0  0  0  0  0  493 1536  261  0  3 97
 0 0 0 10574552 7414524 0 0  0  0  0  0  0  0  0  0  0  441  640  177  0  0 100
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 10574092 7414204 81 2034 0 0 0 0  0  4  0  0  0  629 1541  338  0  3 97
 0 0 0 10574252 7414220 90 2042 0 0 0 0  0  0  0  0  0  501 1536  263  0  3 97
 0 0 0 10574316 7414264 81 2029 0 0 0 0  0  0  0  0  0  493 1536  263  0  3 97
 0 0 0 10574204 7414164 0 0  0  0  0  0  0  0  0  0  0  416  643  177  0  0 100
 0 0 0 10574168 7414144 81 2037 0 0 0 0  0  0  0  0  0  484 1532  264  0  3 97
 0 0 0 10573924 7414040 82 2033 0 0 0 0  0  0  0  0  0  486 1539  264  0  3 97
 0 0 0 10574136 7414100 81 2034 0 0 0 0  0  2  0  0  0  535 1532  308  0  3 97
