pic0: pic0=bus_tran_any,umask=0x20
pic1: pic1=l2_rqsts,umask=0x4f
   time cpu event      pic0      pic1 
  5.003   0  tick  62701488         0 
  5.005   1  tick 138542282         0 
  5.011   4  tick 127278169         0 
  5.011   6  tick  62696517         0 
  5.011   7  tick 150765070         0 
  5.011   5  tick 165428863         0 
  5.011   3  tick  93588581         0 
  5.209   2  tick  73171612         0 
 10.002   2  tick 219940092         0 
 10.011   6  tick 209512917         0 
 10.011   4  tick 238021433         0 
 10.011   1  tick 121186132         0 
 10.011   3  tick 229139625         0 
 10.011   5  tick 226494241         0 
 10.011   7  tick 231128876         0 
 10.012   0  tick 228392369         0 
 15.002   2  tick 204076244         0 
 15.011   3  tick 219346904         0 
 15.011   1  tick 200907959         0 
 15.011   6  tick 212527291         0 
 15.011   4  tick 178537619         0 
 15.011   7  tick 208540801         0 
 15.011   5  tick 213564444         0 
 15.012   0  tick 208333295         0 
 20.232   0  tick  46260834         0 
 20.336   6  tick  61449860         0 
 20.436   3  tick  54695886         0 
 21.247   7  tick  83692602         0 
 21.635   2  tick  86409305         0 
 22.347   5  tick  85216507         0 
 22.925   1  tick  43690585         0 
 23.564   4  tick  83849761         0 
 25.011   5  tick  26660361         0 
 25.011   4  tick  11161810         0 
 25.011   6  tick  16056811         0 
 25.209   3  tick  12421426         0 
 25.451   7  tick    635505         0 
 26.015   0  tick  21577215         0 
 26.117   2  tick  18447532         0 
 26.331   1  tick   2273447         0 
 30.011   2  tick  76035375         0 
 30.011   1  tick  76747534         0 
 30.011   3  tick  97376288         0 
 30.011   0  tick  80765008         0 
 30.011   4  tick  98539262         0 
 30.011   5  tick  91140165         0 
 30.011   6  tick  95838720         0 
 30.011   7  tick  96416058         0 
 35.003   4  tick 110243944         0 
 35.011   1  tick 110089724         0 
 35.011   3  tick 101451408         0 
 35.011   2  tick 103458136         0 
 35.011   7  tick 109877009         0 
 35.011   5  tick 111880577         0 
 35.011   0  tick 111456759         0 
 35.013   6  tick 111979117         0 
 40.002   2  tick 184817066         0 
 40.011   5  tick 188631576         0 
 40.011   7  tick 161623133         0 
 40.011   6  tick 195659711         0 
 40.011   0  tick 199206201         0 
 40.122   1  tick 165575360         0 
 40.300   4  tick 198162917         0 
 40.311   3  tick 174009343         0 
 45.011   1  tick 186994635         0 
 45.011   3  tick 206360823         0 
 45.011   4  tick 204565838         0 
 45.011   6  tick 219143653         0 
 45.011   5  tick 216173727         0 
 45.011   7  tick 197528123         0 
 45.011   2  tick 207333406         0 
 45.011   0  tick 209877704         0 
 50.011   2  tick 250517176         0 
 50.011   0  tick 309829145         0 
 50.011   3  tick 338987038         0 
 50.011   7  tick 341334816         0 
 50.011   1  tick 301299082         0 
 50.011   5  tick 274551140         0 
 50.011   6  tick 267214136         0 
 50.012   4  tick 238899127         0 
 55.011   4  tick  96964779         0 
 55.011   0  tick 181246285         0 
 55.011   2  tick  92359243         0 
 55.214   3  tick  85146762         0 
 55.459   5  tick 117052731         0 
 55.515   7  tick  99331511         0 
 56.184   6  tick  74035825         0 
 58.254   1  tick 187200706         0 
 60.011   4  tick  52121049         0 
 60.011   6  tick  52418288         0 
 60.011   0  tick  30276697         0 
 60.011   1  tick  31719775         0 
 60.011   3  tick  30469648         0 
 60.011   2  tick  48613617         0 
 60.011   7  tick  35982904         0 
 60.011   5  tick  23602499         0 
 65.001   0  tick 252497892         0 
 65.009   2  tick 207936948         0 
 65.011   7  tick 291879249         0 
 65.011   5  tick 314360259         0 
 65.011   6  tick 303484572         0 
 65.011   4  tick 291325036         0 
 65.011   3  tick 243954707         0 
 65.011   1  tick 294459126         0 
 70.003   4  tick 274224416         0 
 70.011   3  tick 300169437         0 
 70.011   1  tick 256181210         0 
 70.011   2  tick 251620136         0 
 70.011   5  tick 260444152         0 
 70.011   7  tick 286664318         0 
 70.011   6  tick 349895232         0 
 70.011   0  tick 300662955         0 
 75.002   1  tick 197216729         0 
 75.011   2  tick 206092572         0 
