 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43853960 31521304 237 3477 0 0 0 0 341 -0 6 -0 0 858 2888  557  3  5 92
 0 0 0 44156132 31578672 123 3491 0 0 0 0 0 0  2  0  0  889 2569  409  0  6 94
 0 0 0 44155780 31578264 106 3192 0 0 0 0 0 0  0  0  0  945 2093  342  0  6 94
 0 0 0 44155672 31578180 98 3028 0 0 0 0 0  0  0  0  0  701 1986  321  0  6 94
 0 0 0 44155624 31578132 106 3119 0 0 0 0 0 0  0  0  0  731 2013  322  0  6 94
 0 0 0 44155596 31578164 208 6145 0 0 0 0 0 0  0  0  0  734 3258  460  0  6 94
 0 0 0 44155668 31578204 98 3026 0 0 0 0 0  0  0  0  0  720 1901  322  0  6 94
 0 0 0 44155552 31578096 106 3120 0 0 0 0 0 0  2  0  0  759 2102  369  0  6 94
 0 0 0 44155576 31578128 98 3021 0 0 0 0 0  0  0  0  0  767 1941  336  0  6 94
 0 0 0 44155600 31578108 106 3128 0 0 0 0 0 0  0  0  0  827 2133  329  0  6 94
 0 0 0 44156212 31578300 210 6206 0 0 0 0 0 0  0  0  0  811 3223  449  0  3 97
 0 0 0 44155500 31578068 102 3024 0 0 0 0 0 0  0  0  0  721 2111  314  0  6 94
 0 0 0 44155792 31578184 204 6152 0 0 0 0 0 0  0  0  0  769 3210  459  0  6 94
 0 0 0 44155500 31578040 106 3121 0 0 0 0 0 0  2  0  0  818 2055  380  0  6 94
 0 0 0 44155476 31578020 98 3023 0 0 0 0 0  0  0  0  0  822 2008  327  0  6 94
 0 0 0 44155548 31578084 106 3127 0 0 0 0 0 0  0  0  0  734 2055  331  0  6 94
 0 0 0 44155512 31578052 204 6148 0 0 0 0 0 0  0  0  0  745 3227  455  0  6 94
 0 0 0 44155492 31578056 208 6145 0 0 0 0 0 0  0  0  0  732 3268  455  0  6 94
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 44155688 31578120 98 3024 0 0 0 0 0  0  0  0  0  813 1928  313  0  6 94
 0 0 0 44155408 31577960 106 3125 0 0 0 0 0 0  2  0  0  798 2078  376  0  6 94
 0 0 0 44155644 31578068 204 6145 0 0 0 0 0 0  0  0  0  724 3292  460  0  6 94
 0 0 0 44155432 31577968 98 3025 0 0 0 0 0  0  0  0  0  700 1955  318  0  6 94
 0 0 0 44155376 31577928 106 3127 0 0 0 0 0 0  0  0  0  720 2205  330  0  6 94
 0 0 0 44155316 31577856 207 6142 0 0 0 0 0 0  0  0  0  741 3213  462  0  6 94
 0 0 0 44155308 31577852 98 3026 0 0 0 0 0  0  0  0  0  724 2007  325  0  6 94
 0 0 0 44155384 31577908 106 3129 0 0 0 0 0 0  2  0  0  784 2177  409  0  6 94
 0 0 0 44154904 31577732 302 9175 0 0 0 0 0 0  0  0  0  986 4450  599  0  6 94
 0 0 0 44154244 31577648 106 3123 0 0 0 0 0 0  0  0  0  722 2049  325  0  6 94
 0 0 0 44154348 31577736 98 3023 0 0 0 0 0  0  0  0  0  804 2023  322  0  6 94
 0 0 0 44154292 31577716 109 3124 0 0 0 0 0 0  0  0  0  801 2035  321  0  6 94
 0 0 0 44154500 31577796 204 6150 0 0 0 0 0 0  0  0  0  774 3349  448  0  6 94
 0 0 0 44154156 31577560 98 3020 0 0 0 0 0  0  2  0  0  758 2008  369  0  6 94
 0 0 0 44154520 31577748 204 6153 0 0 0 0 0 0  0  0  0  829 3167  502  0  6 94
 0 0 0 44154128 31577532 106 3123 0 0 0 0 0 0  0  0  0  793 2028  324  0  6 94
 0 0 0 44154104 31577504 98 3022 0 0 0 0 0  0  0  0  0  802 2038  320  0  6 94
 0 0 0 44154168 31577580 109 3126 0 0 0 0 0 0  0  0  0  729 2055  326  0  6 94
 0 0 0 44154112 31577520 204 6152 0 0 0 0 0 0  0  0  0  790 3284  447  0  6 94
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 44154040 31577444 98 3020 0 0 0 0 0  0  2  0  0  777 2015  362  0  6 94
 0 0 0 44154104 31577500 106 3126 0 0 0 0 0 0  0  0  0  737 2072  353  0  6 94
 0 0 0 44153944 31577348 98 3026 0 0 0 0 0  0  0  0  0  712 1980  328  0  6 94
 0 0 0 44154100 31577496 208 6143 0 0 0 0 0 0  0  0  0  783 3104  452  0  6 94
 0 0 0 44154180 31577472 106 3125 0 0 0 0 0 0  0  0  0  800 2031  322  0  6 94
 0 0 0 44154212 31577464 210 6213 0 0 0 0 0 0  0  0  0  796 3366  458  0  5 95
 0 0 0 44154044 31577440 98 3026 0 0 0 0 0  0  2  0  0  744 1999  362  0  6 94
 0 0 0 44153976 31577364 106 3127 0 0 0 0 0 0  0  0  0  777 2199  332  0  6 94
 0 0 0 44153884 31577256 153 4948 0 0 0 0 0 0  0  0  0  733 2671  431  0  6 94
 0 0 0 44154016 31577384 149 4227 0 0 0 0 0 0  0  0  0  794 2459  365  0  6 94
 0 0 0 44153912 31577336 109 3125 0 0 0 0 0 0  0  0  0  738 2024  312  0  6 94
 0 0 0 44153816 31577184 158 5094 0 0 0 0 0 0  0  0  0  836 2872  410  0  6 94
 0 0 0 44153860 31577224 46 1059 0 0 0 0 0  0  4  0  0  804 1378  349  0  6 94
 0 0 0 44153736 31577116 204 6151 0 0 0 0 0 0  0  0  0 1081 3282  458  0  6 94
 0 0 0 44153736 31577104 204 6150 0 0 0 0 0 0  0  0  0  736 3211  462  0  6 94
 0 0 0 44153804 31577144 98 3025 0 0 0 0 0  0  0  0  0  791 2077  322  0  6 94
 0 0 0 44153748 31577128 109 3127 0 0 0 0 0 0  0  0  0  766 2011  320  0  6 94
 0 0 0 44153676 31577048 98 3027 0 0 0 0 0  0  0  0  0  768 2043  328  0  6 94
 0 0 0 44153680 31577052 204 6149 0 0 0 0 0 0  2  0  0  787 3276  488  0  6 94
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 44153720 31577088 204 6151 0 0 0 0 0 0  0  0  0  834 3130  450  0  6 94
 0 0 0 44153660 31577028 106 3125 0 0 0 0 0 0  0  0  0  802 2130  322  0  6 94
 0 0 0 44153668 31577036 204 6149 0 0 0 0 0 0  0  0  0  794 3316  456  0  6 94
 0 0 0 44153824 31577100 102 3027 0 0 0 0 0 0  0  0  0  741 1944  316  0  6 94
 0 0 0 44153592 31576964 116 3264 0 0 0 0 0 0  0  0  0  722 2130  332  0  6 94
 0 0 0 44016588 31439644 302 8305 0 0 0 0 0 0 63  0  0 1643 7892 1607  3  7 90
 0 0 0 43084420 30553096 184 3421 0 0 0 0 0 0 529 0  0 1139 2634  767  5  7 88
 0 0 0 42897732 30322344 100 3123 0 0 0 0 0 0  0  0  0  743 2005  333  6  6 87
 0 0 0 42897596 30322228 194 6150 0 0 0 0 0 0  0  0  0  852 3161  455  6  6 87
 0 0 0 42897852 30322428 96 3024 0 0 0 0 0  0  0  0  0  755 1999  339  6  6 87
 0 0 0 42897564 30322184 194 6154 0 0 0 0 0 0  0  0  0  852 3247  467  6  6 87
 0 0 0 42897496 30322108 194 6154 0 0 0 0 0 0  3  0  0  844 3334  516  6  6 87
 0 0 0 42897456 30322612 101 3124 0 0 0 0 0 0  0  0  0  749 2084  331  6  6 87
 0 0 0 42898172 30322452 241 6235 0 0 0 0 0 0  0  0  0  870 3317  466  6  4 90
 0 0 0 42894216 30318768 93 3027 0 0 0 0 0  0  0  0  0  783 2107  317  6  6 87
 0 0 0 42893384 30317960 104 3126 0 0 0 0 0 0  0  0  0  766 2056  329  6  6 87
 0 0 0 42893276 30317844 194 6150 0 0 0 0 0 0  0  0  0  835 3143  457  6  6 87
 0 0 0 42893304 30317868 93 3027 0 0 0 0 0  0  2  0  0  797 2216  411  6  6 87
 0 0 0 42893312 30318460 194 6151 0 0 0 0 0 0  0  0  0 1115 3161  462  6  6 87
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 42893268 30318420 101 3125 0 0 0 0 0 0  0  0  0  741 2139  328  6  6 87
 0 0 0 42893252 30318388 197 6153 0 0 0 0 0 0  0  0  0  803 3166  474  6  6 87
 0 0 0 42893244 30318396 93 3025 0 0 0 0 0  0  0  0  0  776 2045  325  6  6 87
 0 0 0 42893152 30318316 101 3126 0 0 0 0 0 0  0  0  0  786 2032  331  6  6 87
 0 0 0 42893220 30318372 93 3026 0 0 0 0 0  0  2  0  0  780 2001  386  6  6 87
 0 0 0 42893216 30318360 193 6153 0 0 0 0 0 0  0  0  0  823 3308  471  6  6 87
 0 0 0 42893196 30318328 101 3127 0 0 0 0 0 0  0  0  0  768 2089  326  6  6 87
 0 0 0 42893152 30318288 93 3026 0 0 0 0 0  0  0  0  0  783 1977  324  6  6 87
 0 0 0 42893184 30318344 104 3124 0 0 0 0 0 0  0  0  0  741 2080  327  6  6 87
 0 0 0 42893096 30318220 93 3028 0 0 0 0 0  0  0  0  0  798 1954  320  6  6 87
 0 0 0 42893168 30318276 101 3127 0 0 0 0 0 0  2  0  0  779 2007  379  6  6 87
 0 0 0 43357164 30874464 254 6426 0 0 0 0 0 0  0  0  0  810 3334  470  6  6 87
 0 0 0 43665080 31089628 194 6152 0 0 0 0 0 0  0  0  0  942 3252  458  6  6 87
 0 0 0 43661824 31086364 93 3024 0 0 0 0 0  0  0  0  0  928 2048  321  6  6 87
 0 0 0 43660924 31085516 104 3127 0 0 0 0 0 0  0  0  0  906 2060  335  6  6 87
 0 0 0 43661080 31085524 93 3027 0 0 0 0 0  0  0  0  0  799 2019  331  6  6 87
 0 0 0 43660964 31085508 101 3126 0 0 0 0 0 0  2  0  0  831 2047  413  6  6 87
 0 0 0 43660840 31085932 194 6149 0 0 0 0 0 0  0  0  0  836 3239  468  6  6 87
 0 0 0 43661008 31085980 194 6154 0 0 0 0 0 0  0  0  0  811 3238  453  6  6 87
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43661632 31086608 152 3218 0 0 0 0 0 0  0  0  0  744 2083  332  6  6 87
