 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43450976 30992584 146 4027 0 0 0 0 39 -0 3 -0 0  830 2698  690  3  6 91
 0 0 0 43449144 30872704 123 3500 0 0 0 0 0 0  0  0  0  792 2573  321  0  6 94
 0 0 0 43448860 30872440 204 6217 0 0 0 0 0 0  2  0  0  794 3116  490  0  6 94
 1 0 0 43448700 30872288 77 2636 0 0 0 0 0  0  0  0  0  813 1822  313  0  6 94
 0 0 0 43448772 30872356 127 3507 0 0 0 0 0 0  0  0  0  716 2330  335  0  6 94
 0 0 0 43448812 30872448 109 3125 0 0 0 0 0 0  0  0  0  755 2046  323  0  6 94
 0 0 0 43448712 30872332 98 3027 0 0 0 0 0  0  0  0  0  736 1927  317  0  6 94
 0 0 0 43448812 30872424 106 3120 0 0 0 0 0 0  0  0  0  764 2058  316  0  6 94
 0 0 0 43448664 30872296 98 3022 0 0 0 0 0  0  3  0  0  855 1996  398  0  6 94
 0 0 0 43448760 30872372 106 3126 0 0 0 0 0 0  0  0  0  880 2098  368  0  6 94
 0 0 0 43448796 30872380 204 6144 0 0 0 0 0 0  0  0  0  729 3213  457  0  6 94
 0 0 0 43448700 30872356 101 3022 0 0 0 0 0 0  0  0  0  738 1995  325  0  6 94
 0 0 0 43448984 30872440 106 3124 0 0 0 0 0 0  0  0  0  700 2003  319  0  6 94
 0 0 0 43448668 30872284 98 3026 0 0 0 0 0  0  0  0  0  713 2045  315  0  6 94
 0 0 0 43448712 30872324 106 3120 0 0 0 0 0 0  2  0  0  769 2027  358  0  6 94
 0 0 0 43448572 30872192 98 3021 0 0 0 0 0  0  0  0  0  744 1957  314  0  6 94
 0 0 0 43448640 30872256 204 6150 0 0 0 0 0 0  0  0  0  804 3205  451  0  6 94
 0 0 0 43448592 30872240 208 6142 0 0 0 0 0 0  0  0  0  796 3263  463  0  6 94
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43448580 30872200 106 3127 0 0 0 0 0 0  0  0  0  735 2074  317  0  6 94
 0 0 0 43448588 30872216 169 5470 0 0 0 0 0 0  0  0  0  766 2959  425  0  6 94
 0 0 0 43448608 30872220 35 677 0 0 0 0  0  0  2  0  0  765 1177  250  0  6 94
 0 0 0 43448504 30872120 204 6148 0 0 0 0 0 0  0  0  0  748 3193  457  0  6 94
 0 0 0 43448480 30872108 204 6144 0 0 0 0 0 0  0  0  0  727 3240  449  0  6 94
 0 0 0 43448480 30872112 208 6145 0 0 0 0 0 0  0  0  0  794 3294  450  0  6 94
 0 0 0 43448548 30872160 98 3026 0 0 0 0 0  0  0  0  0  773 2005  318  0  6 94
 0 0 0 43448452 30872072 106 3120 0 0 0 0 0 0  0  0  0  738 2085  317  0  6 94
 0 0 0 43448356 30871976 99 3023 0 0 0 0 0  0  2  0  0  810 2090  352  0  6 94
 0 0 0 43448704 30872204 204 6148 0 0 0 0 0 0  0  0  0  777 3082  454  0  6 94
 0 0 0 43448400 30872016 204 6142 0 0 0 0 0 0  0  0  0  757 3252  445  0  6 94
 0 0 0 43448320 30871964 148 4416 0 0 0 0 0 0  0  0  0  735 2686  387  0  6 94
 0 0 0 43448252 30871872 165 4855 0 0 0 0 0 0  0  0  0  926 2647  402  0  6 94
 0 0 0 43448296 30871912 98 3021 0 0 0 0 0  0  0  0  0  797 2126  313  0  6 94
 0 0 0 43448332 30871948 106 3125 0 0 0 0 0 0  2  0  0  789 1994  347  0  6 94
 0 0 0 43448488 30871984 204 6147 0 0 0 0 0 0  0  0  0  938 3287  501  0  6 94
 0 0 0 43448524 30871988 98 3021 0 0 0 0 0  0  0  0  0  720 2003  318  0  6 94
 0 0 0 43448300 30871928 208 6150 0 0 0 0 0 0  0  0  0  765 3265  461  0  6 94
 0 0 0 43448208 30871836 106 3120 0 0 0 0 0 0  0  0  0  715 2103  324  0  6 94
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43448168 30871788 179 5832 0 0 0 0 0 0  0  0  0  796 3030  436  0  6 94
 0 0 0 43448244 30871856 77 2111 0 0 0 0 0  0  2  0  0  790 1680  316  0  6 94
 0 0 0 43447980 30871600 152 4352 0 0 0 0 0 0  0  0  0  858 2510  373  0  6 94
 0 0 0 43448048 30871664 98 3021 0 0 0 0 0  0  0  0  0  702 1976  312  0  6 94
 0 0 0 43448228 30871784 208 6149 0 0 0 0 0 0  0  0  0  776 3266  457  0  6 94
 0 0 0 43447956 30871576 106 3123 0 0 0 0 0 0  0  0  0  765 2086  321  0  6 94
 0 0 0 43447984 30871604 98 3020 0 0 0 0 0  0  0  0  0  762 2060  314  0  6 94
 0 0 0 43448056 30871668 106 3125 0 0 0 0 0 0  2  0  0  819 2058  357  0  6 94
 0 0 0 43448084 30871580 204 6148 0 0 0 0 0 0  0  0  0  857 3115  453  0  6 94
 0 0 0 43447912 30871528 98 3021 0 0 0 0 0  0  0  0  0  723 1977  316  0  6 94
