 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43660020 31208744 186 3749 0 0 0 0 173 -0 5 -0 0 838 2658  474  3  6 91
 0 0 0 43797956 31220976 123 3510 0 0 0 0 0 0  0  0  0  939 2438  326  0  6 94
 0 0 0 43797400 31220368 106 3192 0 0 0 0 0 0  2  0  0  846 2041  373  0  6 94
 0 0 0 43797460 31220428 99 3110 0 0 0 0 0  0  0  0  0  808 2004  320  0  6 94
 0 0 0 43797392 31220368 106 3121 0 0 0 0 0 0  0  0  0  797 2121  318  0  6 94
 0 0 0 43797360 31220368 208 6147 0 0 0 0 0 0  0  0  0  752 3243  451  0  6 94
 0 0 0 43797352 31220344 98 3027 0 0 0 0 0  0  0  0  0  766 2026  320  0  6 94
 0 0 0 43797380 31220372 106 3120 0 0 0 0 0 0  0  0  0  809 2021  324  0  6 94
 0 0 0 43797416 31220364 98 3018 0 0 0 0 0  0  2  0  0  801 1983  353  0  6 94
 0 0 0 43797332 31220316 204 6156 0 0 0 0 0 0  0  0  0  860 3173  458  0  6 94
 0 0 0 43797260 31220240 106 3120 0 0 0 0 0 0  0  0  0  794 2028  316  0  6 94
 0 0 0 43797540 31220368 213 6210 0 0 0 0 0 0  0  0  0  918 3373  453  0  5 95
 0 0 0 43797336 31220308 98 3025 0 0 0 0 0  0  0  0  0  892 2001  320  0  6 94
 0 0 0 43797332 31220308 106 3125 0 0 0 0 0 0  0  0  0  752 2157  311  0  6 94
 0 0 0 43797136 31220116 98 3019 0 0 0 0 0  0  4  0  0  848 2048  436  0  6 94
 0 0 0 43797524 31220340 204 6152 0 0 0 0 0 0  0  0  0  949 3146  457  0  6 94
 0 0 0 43797144 31220124 106 3123 0 0 0 0 0 0  0  0  0  768 2024  319  0  6 94
 0 0 0 43797140 31220116 208 6150 0 0 0 0 0 0  0  0  0  760 3283  447  0  6 94
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
