Time Temp Temp Temp Ambient_Temp Temp Ambient_Temp Ambient_Temp Planar_Temp IOH_THERMTRIP CPU_Temp_Interf Temp Temp Temp FAN_MOD_1A_RPM FAN_MOD_2A_RPM FAN_MOD_3A_RPM FAN_MOD_4A_RPM FAN_MOD_5A_RPM FAN_MOD_6A_RPM FAN_MOD_1B_RPM FAN_MOD_2B_RPM FAN_MOD_3B_RPM FAN_MOD_4B_RPM FAN_MOD_5B_RPM FAN_MOD_6B_RPM Fan_Redundancy et
0 -58 -58 37 28 34 26 13 38 5Dh 76h 27 28 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
5 -55 -60 37 29 34 26 13 38 5Dh 76h 27 29 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
10 -54 -60 37 28 34 26 13 38 5Dh 76h 27 29 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
15 -58 -58 37 29 34 26 13 38 5Dh 76h 27 29 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
20 -58 -58 37 28 34 26 13 38 5Dh 76h 27 29 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
25 -55 -60 37 28 34 26 13 38 5Dh 76h 27 29 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
30 -58 -58 37 28 34 26 13 38 5Dh 76h 27 29 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
35 -54 -60 37 28 34 26 14 38 5Dh 76h 27 29 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
40 -58 -58 37 28 34 26 14 38 5Dh 76h 27 29 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
45 -58 -57 37 28 34 26 14 38 5Dh 76h 27 29 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
50 -56 -59 37 28 34 26 14 38 5Dh 76h 27 29 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
55 -58 -57 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
60 -58 -57 37 29 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
65 -54 -60 37 28 34 26 14 38 5Dh 76h 27 29 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
70 -58 -57 37 28 34 26 14 38 5Dh 76h 27 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
75 -58 -57 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
80 -59 -57 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
85 -58 -57 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
90 -59 -57 37 28 34 26 14 38 5Dh 76h 26 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
95 -58 -57 37 28 34 26 14 38 5Dh 76h 26 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
100 -58 -57 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
105 -59 -57 37 28 34 26 14 38 5Dh 76h 26 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
110 -59 -57 37 28 34 26 14 38 5Dh 76h 26 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
115 -55 -59 37 28 35 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
120 -54 -60 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
125 -58 -57 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
130 -54 -59 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
135 -54 -60 37 28 35 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
140 -58 -57 37 28 35 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
145 -54 -60 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
150 -54 -60 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
155 -58 -57 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
160 -54 -60 37 28 34 26 14 38 5Dh 76h 28 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
165 -58 -57 37 28 35 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
170 -53 -60 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
175 -54 -59 37 28 34 26 14 38 5Dh 76h 27 29 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
180 -57 -58 37 28 35 26 14 38 5Dh 76h 28 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
185 -58 -57 37 28 35 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
190 -58 -57 37 28 35 26 14 38 5Dh 76h 28 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
195 -58 -57 37 28 34 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
200 -58 -56 37 28 35 26 14 38 5Dh 76h 28 30 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
205 -57 -55 37 28 35 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
210 -55 -55 37 28 35 26 14 38 5Dh 76h 27 30 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
215 -57 -55 37 28 35 26 14 38 5Dh 76h 28 30 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 3
220 -58 -54 37 28 35 26 14 38 5Dh 76h 27 31 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
225 -54 -54 37 28 35 26 14 38 5Dh 76h 27 31 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
230 -58 -54 37 28 35 26 14 38 5Dh 76h 27 31 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
