 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43582720 31111032 174 3877 0 0 0 0 130 -0 4 -0 0 833 2611  452  3  6 92
 0 0 0 43766776 31189956 123 3502 0 0 0 0 0 0  2  0  0  916 2483  373  0  6 94
 0 0 0 43766120 31189408 106 3195 0 0 0 0 0 0  0  0  0  769 2099  327  0  6 94
 0 0 0 43766260 31189444 204 6147 0 0 0 0 0 0  0  0  0  747 3259  457  0  6 94
 0 0 0 43766060 31189388 98 3019 0 0 0 0 0  0  0  0  0  716 1989  331  0  6 94
 0 0 0 43766068 31189428 109 3127 0 0 0 0 0 0  0  0  0  758 2042  325  0  6 94
 0 0 0 43766052 31189356 204 6144 0 0 0 0 0 0  0  0  0  812 3224  450  0  6 94
 0 0 0 43766052 31189348 98 3021 0 0 0 0 0  0  2  0  0  809 2042  418  0  6 94
 0 0 0 43766028 31189340 106 3127 0 0 0 0 0 0  0  0  0  914 2139  331  0  6 94
 0 0 0 43766020 31189320 204 6143 0 0 0 0 0 0  0  0  0  803 3199  445  0  6 94
 0 0 0 43765988 31189316 98 3021 0 0 0 0 0  0  0  0  0  797 2072  310  0  6 94
 0 0 0 43766028 31189324 208 6152 0 0 0 0 0 0  0  0  0  749 3153  458  0  6 94
 0 0 0 43765964 31189264 106 3120 0 0 0 0 0 0  0  0  0  801 2062  315  0  6 94
 0 0 0 43766004 31189300 98 3019 0 0 0 0 0  0  2  0  0  832 1975  360  0  6 94
 0 0 0 43766148 31189352 106 3127 0 0 0 0 0 0  0  0  0  822 2073  326  0  6 94
 0 0 0 43765888 31189188 204 6146 0 0 0 0 0 0  0  0  0  837 3206  449  0  6 94
 0 0 0 43765924 31189236 102 3022 0 0 0 0 0 0  0  0  0  718 1955  314  0  6 94
 0 0 0 43766032 31189220 106 3126 0 0 0 0 0 0  0  0  0  786 2080  325  0  6 94
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43765736 31189036 98 3026 0 0 0 0 0  0  0  0  0  814 2035  321  0  6 94
 0 0 0 43765728 31189040 106 3121 0 0 0 0 0 0  2  0  0  858 2038  385  0  6 94
 0 0 0 43765856 31189056 204 6145 0 0 0 0 0 0  0  0  0  802 3197  458  0  6 94
 0 0 0 43765672 31188968 98 3025 0 0 0 0 0  0  0  0  0  738 2029  323  0  6 94
 0 0 0 43765652 31188976 208 6140 0 0 0 0 0 0  0  0  0  827 3218  452  0  6 94
 0 0 0 43765516 31188820 0 1 0  0  0  0  0  0  0  0  0  732  878  188  0  6 94
 0 0 0 43765656 31188940 204 6152 0 0 0 0 0 0  0  0  0  841 3109  452  0  6 94
 0 0 0 43765596 31188880 106 3121 0 0 0 0 0 0  2  0  0  799 2153  362  0  6 94
 0 0 0 43765588 31188876 99 3024 0 0 0 0 0  0  0  0  0  811 2058  331  0  6 94
 0 0 0 43765588 31188868 106 3123 0 0 0 0 0 0  0  0  0  775 2021  323  0  6 94
 0 0 0 43765500 31188808 204 6146 0 0 0 0 0 0  0  0  0  852 3305  457  0  6 94
 0 0 0 43765324 31188612 102 3020 0 0 0 0 0 0  0  0  0  799 1909  313  0  6 94
 0 0 0 43765444 31188728 106 3126 0 0 0 0 0 0  0  0  0  809 2073  322  0  6 94
 0 0 0 43765452 31188632 204 6149 0 0 0 0 0 0  4  0  0  800 3181  569  0  6 94
 0 0 0 43765240 31188520 98 3020 0 0 0 0 0  0  0  0  0  978 2080  321  0  6 94
 0 0 0 43765208 31188492 106 3123 0 0 0 0 0 0  0  0  0  800 2056  322  0  6 94
 0 0 0 43765392 31188584 208 6147 0 0 0 0 0 0  0  0  0  857 3232  447  0  6 94
 0 0 0 43765148 31188432 98 3020 0 0 0 0 0  0  0  0  0  780 2016  325  0  6 94
 0 0 0 43765060 31188356 106 3126 0 0 0 0 0 0  0  0  0  725 2018  333  0  6 94
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43764928 31188212 98 3027 0 0 0 0 0  0  2  0  0  752 1965  372  0  6 94
 0 0 0 43764928 31188212 204 6136 0 0 0 0 0 0  0  0  0  747 3191  460  0  6 94
 0 0 0 43764796 31188084 106 3127 0 0 0 0 0 0  0  0  0  812 2201  323  0  6 94
 0 0 0 43764980 31188160 291 8985 0 0 0 0 0 0  0  0  0  816 4304  575  0  6 94
 0 0 0 43764768 31188056 120 3308 0 0 0 0 0 0  0  0  0  707 2096  334  0  6 94
 0 0 0 43764668 31187940 98 3027 0 0 0 0 0  0  0  0  0  800 2084  315  0  6 94
 0 0 0 43764652 31187916 106 3121 0 0 0 0 0 0  2  0  0  798 2084  359  0  6 94
 0 0 0 43764512 31187784 98 3020 0 0 0 0 0  0  0  0  0  759 2012  325  0  6 94
 0 0 0 43764464 31187732 204 6153 0 0 0 0 0 0  0  0  0  733 3089  454  0  6 94
 0 0 0 43764396 31187668 109 3120 0 0 0 0 0 0  0  0  0  728 2215  330  0  6 94
 1 0 0 43764236 31187508 204 6144 0 0 0 0 0 0  0  0  0  781 3155  454  0  6 94
 0 0 0 43764152 31187420 98 3025 0 0 0 0 0  0  0  0  0  738 1989  328  0  6 94
 0 0 0 43764116 31187384 106 3121 0 0 0 0 0 0  2  0  0  747 2001  367  0  6 94
 0 0 0 43764092 31187372 98 3022 0 0 0 0 0  0  0  0  0  755 2057  315  0  6 94
 0 0 0 43764128 31187392 204 6152 0 0 0 0 0 0  0  0  0  836 3170  449  0  6 94
 0 0 0 43764060 31187344 109 3121 0 0 0 0 0 0  0  0  0  732 2022  338  0  6 94
 0 0 0 43764316 31187476 204 6144 0 0 0 0 0 0  0  0  0  764 3331  455  0  6 94
 0 0 0 43764136 31187400 98 3025 0 0 0 0 0  0  0  0  0  719 1941  318  0  6 94
 0 0 0 43764072 31187340 106 3120 0 0 0 0 0 0  2  0  0  756 2194  405  0  6 94
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43764036 31187304 98 3022 0 0 0 0 0  0  0  0  0  939 2091  312  0  6 94
 0 0 0 43764072 31187340 204 6150 0 0 0 0 0 0  0  0  0  812 3197  456  0  6 94
 0 0 0 43764048 31187344 106 3121 0 0 0 0 0 0  0  0  0  751 2074  315  0  6 94
 0 0 0 43764060 31187340 208 6144 0 0 0 0 0 0  0  0  0  833 3231  450  0  6 94
 0 0 0 43763992 31187244 109 3199 0 0 0 0 0 0  0  0  0  759 2067  351  0  6 94
 0 0 0 43653432 31075460 269 5587 0 0 0 0 0 0  6  0  0  877 7317  484  6  7 88
 0 0 0 43532268 30953780 94 3028 0 0 0 0 0  0  0  0  0  870 3302  329  6  6 87
 1 0 0 43520852 30942052 324 9199 0 0 0 0 0 0  0  0  0  957 4408  585  6  6 88
 0 0 0 43519908 30940876 17 155 0 0 0 0  0  0  0  0  0  705  958  208  6  6 88
 0 0 0 43520052 30940884 290 9173 0 0 0 0 0 0  0  0  0  955 4402  588  6  6 87
 0 0 0 43520540 30940940 119 3185 0 0 0 0 0 0  0  0  0  870 2184  320  6  4 90
 0 0 0 43520056 30941088 194 6148 0 0 0 0 0 0  2  0  0  931 3323  504  6  6 87
 0 0 0 43519940 30941384 94 3110 0 0 0 0 0  0  0  0  0  813 1995  323  6  6 87
 0 0 0 43519772 30941332 101 3120 0 0 0 0 0 0  0  0  0  854 2147  331  6  6 87
 0 0 0 43519616 30941212 93 3022 0 0 0 0 0  0  0  0  0  874 1942  319  6  6 87
 0 0 0 43519680 30941268 197 6152 0 0 0 0 0 0  0  0  0  889 3329  452  6  6 87
 0 0 0 43519976 30940748 148 3203 0 0 0 0 0 0  0  0  0  829 2041  320  6  5 89
 0 0 0 43519612 30940824 93 3023 0 0 0 0 0  0  2  0  0  859 1968  361  6  6 87
 0 0 0 43519676 30941236 101 3124 0 0 0 0 0 0  0  0  0  794 2008  336  6  6 87
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43519640 30941204 194 6146 0 0 0 0 0 0  0  0  0  837 3368  452  6  6 87
 0 0 0 43519856 30940984 245 6232 0 0 0 0 0 0  0  0  0  918 3188  454  6  5 89
 0 0 0 43519688 30940660 93 3026 0 0 0 0 0  0  0  0  0  873 2005  326  6  6 87
 0 0 0 43519660 30940632 100 3121 0 0 0 0 0 0  0  0  0  875 2246  328  6  6 87
 0 0 0 43519596 30940784 193 6149 0 0 0 0 0 0  2  0  0  941 3272  542  6  6 87
 0 0 0 43518804 30940344 93 3026 0 0 0 0 0  0  0  0  0 1181 1934  326  6  6 87
 0 0 0 43517576 30939100 101 3123 0 0 0 0 0 0  0  0  0  850 2233  329  6  6 87
 0 0 0 43517624 30939120 156 5283 0 0 0 0 0 0  0  0  0  887 2703  435  6  6 87
 0 0 0 43517576 30939104 133 3887 0 0 0 0 0 0  0  0  0  767 2507  357  6  6 87
 0 0 0 43517484 30939020 194 6141 0 0 0 0 0 0  0  0  0  840 3313  457  6  6 87
 0 0 0 43517524 30939056 194 6148 0 0 0 0 0 0  4  0  0  942 3214  556  6  6 87
 0 0 0 43517488 30939020 100 3121 0 0 0 0 0 0  0  0  0  859 1992  332  6  6 87
 0 0 0 43517500 30939032 194 6147 0 0 0 0 0 0  0  0  0  873 3349  463  6  6 87
 0 0 0 43517464 30939024 93 3026 0 0 0 0 0  0  0  0  0  797 1999  323  6  6 87
 0 0 0 43517496 30939056 104 3121 0 0 0 0 0 0  0  0  0  840 2078  326  6  6 87
 0 0 0 43517468 30939004 194 6144 0 0 0 0 0 0  0  0  0  946 3326  451  6  6 87
 0 0 0 43517616 30939036 93 3026 0 0 0 0 0  0  2  0  0  894 1999  380  6  6 87
 0 0 0 43517516 30939056 106 3280 0 0 0 0 0 0  0  0  0  876 2112  335  6  6 87
 0 0 0 43517380 30938920 189 5986 0 0 0 0 0 0  0  0  0  859 3058  447  6  6 87
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43517692 30939112 96 3026 0 0 0 0 0  0  0  0  0  754 2085  324  6  6 87
 0 0 0 43517428 30938960 101 3121 0 0 0 0 0 0  0  0  0  865 2129  337  6  6 87
 0 0 0 43517600 30939016 287 9175 0 0 0 0 0 0  0  0  0  950 4377  590  6  6 87
 0 0 0 43517336 30938856 101 3119 0 0 0 0 0 0  2  0  0  873 2112  380  6  6 87
 0 0 0 43517368 30938884 93 3022 0 0 0 0 0  0  0  0  0  852 1955  318  6  6 87
 0 0 0 43517360 30938876 101 3127 0 0 0 0 0 0  0  0  0  857 2095  334  6  6 87
 0 0 0 43517292 30938836 93 3024 0 0 0 0 0  0  0  0  0  876 2006  318  6  6 87
 0 0 0 43517376 30938884 197 6143 0 0 0 0 0 0  0  0  0  901 3184  461  6  6 87
 0 0 0 43517396 30938864 194 6150 0 0 0 0 0 0  0  0  0  921 3276  456  6  6 87
 0 0 0 43517292 30938792 101 3122 0 0 0 0 0 0  2  0  0  769 2260  424  6  6 87
 0 0 0 43517492 30938844 176 5962 0 0 0 0 0 0  0  0  0 1086 3093  455  6  6 87
 0 0 0 43517268 30938768 110 3209 0 0 0 0 0 0  0  0  0  764 2172  330  6  6 87
 0 0 0 43517180 30938720 194 6142 0 0 0 0 0 0  0  0  0  836 3328  454  6  6 87
 0 0 0 43517240 30938768 104 3126 0 0 0 0 0 0  0  0  0  719 2054  332  6  6 87
 0 0 0 43517428 30938780 93 3027 0 0 0 0 0  0  0  0  0  808 2044  315  6  6 87
 0 0 0 43517192 30938700 193 6142 0 0 0 0 0 0  2  0  0  937 3226  499  6  6 87
 0 0 0 43517252 30938752 101 3126 0 0 0 0 0 0  0  0  0  857 2091  332  6  6 87
 0 0 0 43516576 30937956 194 6144 0 0 0 0 0 0  0  0  0  938 3193  451  6  6 87
 0 0 0 43515112 30936640 93 3022 0 0 0 0 0  0  0  0  0  853 2051  321  6  6 87
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
