 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 42927844 31908404 836 532 0 0 0 0 2302 -0 14 -0 0 1001 3889 1513 0 1 99
 0 0 0 44425612 31847780 124 3398 0 0 0 0 0 0 23  0  0  971 2620  417  0  6 94
 0 0 0 44424960 31847332 106 3221 0 0 0 0 0 0  0  0  0  744 2159  327  0  6 94
 0 0 0 44425016 31847324 204 6147 0 0 0 0 0 0  0  0  0  752 3188  460  0  6 94
 0 0 0 44425364 31847528 212 6174 0 0 0 0 0 0  0  0  0  791 3271  451  0  6 94
 0 0 0 44425884 31848412 141 3356 0 0 0 0 0 0  0  0  0  850 3920  708  0  6 94
 0 0 0 44425972 31848456 106 3120 0 0 0 0 0 0  0  0  0  815 2103  338  0  6 94
 0 0 0 44425760 31848248 98 3021 0 0 0 0 0  0  6  0  0  852 2063  419  0  6 94
 0 0 0 44425644 31848292 204 6148 0 0 0 0 0 0  0  0  0  977 3286  451  0  6 94
 0 0 0 44425692 31848320 106 3122 0 0 0 0 0 0  0  0  0  729 2055  323  0  6 94
 0 0 0 44425608 31848240 204 6148 0 0 0 0 0 0  0  0  0  779 3306  457  0  6 94
 0 0 0 44425792 31848296 213 6208 0 0 0 0 0 0  0  0  0  822 3233  456  0  5 95
 0 0 0 44425888 31848368 308 9235 0 0 0 0 0 0  0  0  0  821 4522  580  0  5 95
 0 0 0 44425484 31848136 106 3120 0 0 0 0 0 0  3  0  0  772 2095  374  0  6 94
 0 0 0 44425412 31848064 204 6149 0 0 0 0 0 0  0  0  0  778 3356  449  0  6 94
 0 0 0 44425364 31848008 98 3028 0 0 0 0 0  0  0  0  0  755 2021  316  0  6 94
 0 0 0 44425376 31847996 207 6140 0 0 0 0 0 0  0  0  0  778 3187  461  0  6 94
 0 0 0 44425464 31847972 107 3126 0 0 0 0 0 0  0  0  0  798 2099  318  0  6 94
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 44425204 31847832 98 3024 0 0 0 0 0  0  0  0  0  811 2016  314  0  6 94
 0 0 0 44425104 31847736 106 3121 0 0 0 0 0 0  2  0  0  775 2082  375  0  6 94
 0 0 0 44424932 31847560 204 6148 0 0 0 0 0 0  0  0  0  770 3136  457  0  6 94
 0 0 0 44425112 31847632 98 3028 0 0 0 0 0  0  0  0  0  780 2138  314  0  6 94
 0 0 0 44425028 31847572 213 6141 0 0 0 0 0 0  0  0  0  812 3168  442  0  6 94
 0 0 0 44424728 31847376 108 3127 0 0 0 0 0 0  0  0  0  716 2033  322  0  6 94
 0 0 0 44424672 31847300 98 3026 0 0 0 0 0  0  0  0  0  734 2083  326  0  6 94
