 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43443408 30973740 145 4014 0 0 0 0 35 -0 3 -0 0  830 2671  660  3  6 91
 0 0 0 43404420 30828600 122 3510 0 0 0 0 0 0  0  0  0  877 2550  331  0  6 94
 0 0 0 43404044 30828196 204 6217 0 0 0 0 0 0  0  0  0  810 3152  470  0  6 94
 1 0 0 43403920 30828076 106 3121 0 0 0 0 0 0  0  0  0  729 2035  313  0  6 94
 0 0 0 43404020 30828176 98 3022 0 0 0 0 0  0  3  0  0  767 2120  381  0  6 94
 0 0 0 43403984 30828148 106 3125 0 0 0 0 0 0  0  0  0  792 2062  332  0  6 94
 0 0 0 43403916 30828092 98 3026 0 0 0 0 0  0  0  0  0  787 1977  312  0  6 94
 0 0 0 43404176 30828248 208 6143 0 0 0 0 0 0  0  0  0  857 3175  459  0  6 94
 0 0 0 43403872 30828060 106 3126 0 0 0 0 0 0  0  0  0  795 1989  333  0  6 94
 0 0 0 43403944 30828116 98 3025 0 0 0 0 0  0  0  0  0  774 2110  321  0  6 94
 0 0 0 43403904 30828076 204 6139 0 0 0 0 0 0  2  0  0  836 3328  548  0  6 94
 0 0 0 43403880 30828052 204 6154 0 0 0 0 0 0  0  0  0  959 3251  458  0  6 94
 0 0 0 43403844 30828020 109 3120 0 0 0 0 0 0  0  0  0  755 1997  321  0  6 94
 0 0 0 43403916 30828088 98 3020 0 0 0 0 0  0  0  0  0  746 2046  329  0  6 94
 0 0 0 43403856 30828028 106 3126 0 0 0 0 0 0  0  0  0  749 1995  316  0  6 94
 0 0 0 43403860 30828032 98 3026 0 0 0 0 0  0  0  0  0  741 2031  327  0  6 94
 0 0 0 43403876 30828048 171 5344 0 0 0 0 0 0  2  0  0  792 2877  462  0  6 94
 0 0 0 43403856 30828028 140 3925 0 0 0 0 0 0  0  0  0  858 2487  350  0  6 94
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
