time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
10,10753265,8244148,1.0753265,0.8244148,56,61,37,29,35,27,16,38,28,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1667,1333.6,1000.2,50.01,50.01,9.6,9.2
20,19980842,14205438,1.9980842,1.4205438,54,60,37,29,35,27,16,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1522,1217.6,913.2,45.66,45.66,0,0
30,11673048,9939407,1.1673048,0.9939407,53,61,37,29,35,27,16,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1369,1095.2,821.4,41.07,41.07,0,0
40,7454055,4770890,0.7454055,0.477089,53,61,37,29,35,27,16,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1531,1224.8,918.6,45.93,45.93,0,17.6
50,8980219,7792503,0.8980219,0.7792503,57,60,37,29,35,27,16,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1514,1211.2,908.4,45.42,45.42,0,0
60,6262342,3957946,0.6262342,0.3957946,57,60,37,29,35,27,16,38,28,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1370,1096,822,41.1,41.1,0,0
70,19803963,13959128,1.9803963,1.3959128,57,60,37,29,35,27,16,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1378,1102.4,826.8,41.34,41.34,0,16.6
80,6808448,4476685,0.6808448,0.4476685,54,60,37,29,35,27,16,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1385,1108,831,41.55,41.55,0,0
90,20327567,14745456,2.0327567,1.4745456,54,61,37,29,35,27,16,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1498,1198.4,898.8,44.94,44.94,0,0
100,18380261,12945718,1.8380261,1.2945718,57,59,37,29,35,27,16,38,29,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1395,1116,837,41.85,41.85,0,17.7
110,14075134,9826156,1.4075134,0.9826156,54,61,37,29,35,27,16,38,29,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1392,1113.6,835.2,41.76,41.76,0,0
120,14204018,9938428,1.4204018,0.9938428,54,60,37,29,35,27,16,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1388,1110.4,832.8,41.64,41.64,0,0
130,12887154,9249860,1.2887154,0.924986,54,60,37,29,35,27,16,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1389,1111.2,833.4,41.67,41.67,0,18.7
140,16219807,11019911,1.6219807,1.1019911,54,60,37,30,35,27,16,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1385,1108,831,41.55,41.55,0,0
150,12555948,10395681,1.2555948,1.0395681,53,60,37,29,35,27,16,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1381,1104.8,828.6,41.43,41.43,0,0
