 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43367112 30818876 37 1033 0 0 0 0 8 -0  1 -0  0  749  687  277  1  2 98
 0 0 0 43325604 30750244 105 3300 0 0 0 0 0 0  0  0  0  835 1834  315  0  6 94
 0 0 0 43325404 30749884 100 3122 0 0 0 0 0 0  0  0  0  736 1680  310  0  5 95
 0 0 0 43325072 30749776 55 1591 0 0 0 0 0  0  2  0  0  699 1129  268  0  6 94
 0 0 0 43325288 30749868 153 4694 0 0 0 0 0 0  0  0  0  788 2269  383  0  5 95
 0 0 0 43325488 30749952 94 3042 0 0 0 0 0  0  0  0  0  771 1622  310  0  4 96
 0 0 0 43325372 30749888 100 3120 0 0 0 0 0 0  2  0  0  808 1675  334  0  5 95
 0 0 0 43325488 30749932 100 3119 0 0 0 0 0 0  0  0  0  819 1723  332  0  4 96
 0 0 0 43325584 30749972 105 3119 0 0 0 0 0 0  0  0  0  749 1676  311  0  3 97
 0 0 0 43325244 30749816 100 3116 0 0 0 0 0 0  2  0  0  726 1685  337  0  5 95
 0 0 0 43325244 30749816 102 3121 0 0 0 0 0 0  0  0  0  722 1680  306  0  5 95
 0 0 0 43325544 30749888 100 3119 0 0 0 0 0 0  0  0  0  790 1679  309  0  3 97
 0 0 0 43325440 30749864 100 3118 0 0 0 0 0 0  2  0  0  805 1678  334  0  4 96
 0 0 0 43325424 30749868 100 3154 0 0 0 0 0 0  0  0  0  935 1698  311  0  4 96
 0 0 0 43325420 30749888 105 3120 0 0 0 0 0 0  0  0  0  760 1679  313  0  4 96
 0 0 0 43325092 30749744 55 1590 0 0 0 0 0  0  2  0  0  710 1116  267  0  6 94
 0 0 0 43324972 30749704 143 4619 0 0 0 0 0 0  0  0  0  752 2220  381  0  6 94
 0 0 0 43325500 30749868 100 3118 0 0 0 0 0 0  0  0  0  719 1678  313  0  4 96
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43325260 30749780 100 3119 0 0 0 0 0 0  2  0  0  859 1685  334  0  5 95
 0 0 0 43325072 30749656 102 3114 0 0 0 0 0 0  0  0  0  755 1723  332  0  5 95
 0 0 0 43325196 30749708 100 3125 0 0 0 0 0 0  0  0  0  791 1679  313  0  5 95
 0 0 0 43325528 30749796 100 3112 0 0 0 0 0 0  2  0  0  814 1677  329  0  3 97
 0 0 0 43324964 30749636 74 2221 0 0 0 0 0  0  0  0  0  734 1365  279  0  5 95
 0 0 0 43325272 30749696 128 4020 0 0 0 0 0 0  0  0  0  808 2001  350  0  4 96
 0 0 0 43325052 30749652 100 3123 0 0 0 0 0 0  2  0  0  826 1677  336  0  6 94
 0 0 0 43325028 30749600 102 3118 0 0 0 0 0 0  0  0  0  788 1676  311  0  5 95
 0 0 0 43325008 30749584 100 3126 0 0 0 0 0 0  0  0  0  822 1681  306  0  5 95
 0 0 0 43324900 30749548 55 1593 0 0 0 0 0  0  3  0  0  833 1140  283  0  6 94
 0 0 0 43324884 30749540 100 3125 0 0 0 0 0 0  0  0  0  788 1669  320  0  6 94
 0 0 0 43324796 30749508 99 3082 0 0 0 0 0  0  0  0  0  715 1664  317  0  6 94
 0 0 0 43325224 30749636 147 4694 0 0 0 0 0 0  2  0  0  776 2249  422  0  4 96
 0 0 0 42676664 30101660 198 4368 0 0 0 0 0 0  0  0  0  784 4277  339  6  5 89
 0 0 0 42412516 29838060 55 1598 0 0 0 0 0  0  0  0  0  877 1125  252  6  6 88
 0 0 0 42413064 29838524 162 4616 0 0 0 0 0 0  2  0  0  844 2207  408  6  4 90
 0 0 0 42412892 29838340 106 3120 0 0 0 0 0 0  0  0  0  779 1679  318  6  4 90
 0 0 0 42409736 29835112 111 3124 0 0 0 0 0 0  0  0  0  811 1680  320  6  2 91
