Time Temp Temp Temp Ambient_Temp Temp Ambient_Temp Ambient_Temp Planar_Temp IOH_THERMTRIP CPU_Temp_Interf Temp Temp Temp FAN_MOD_1A_RPM FAN_MOD_2A_RPM FAN_MOD_3A_RPM FAN_MOD_4A_RPM FAN_MOD_5A_RPM FAN_MOD_6A_RPM FAN_MOD_1B_RPM FAN_MOD_2B_RPM FAN_MOD_3B_RPM FAN_MOD_4B_RPM FAN_MOD_5B_RPM FAN_MOD_6B_RPM Fan_Redundancy et
0 -58 -61 37 29 35 26 14 38 5Dh 76h 27 29 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
10 -58 -58 37 29 35 26 14 38 5Dh 76h 27 29 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
20 -58 -60 37 28 35 26 14 38 5Dh 76h 27 29 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
30 -58 -61 37 29 35 26 14 38 5Dh 76h 27 29 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
40 -56 -61 37 29 35 26 14 38 5Dh 76h 27 29 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
50 -58 -61 37 29 35 26 14 38 5Dh 76h 27 29 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
60 -58 -61 37 28 35 26 14 38 5Dh 76h 27 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
70 -58 -58 37 29 35 26 14 38 5Dh 76h 27 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
80 -55 -61 37 28 35 26 14 38 5Dh 76h 27 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
90 -58 -58 37 28 35 26 14 38 5Dh 76h 27 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
